TAH6	TAD7	TAE0H7	TAH10	TAH8	TAE0BS2	TAE0BS5	TAE0D4	TAD8	TAH5	TAH1	TABS3	TAE0BS1	TABS4	TAH4	TAE0D9	TAH2	TAD5	TAD3	TAE0H6	TAH7	TAD6	TAE0D7	TAE0H10	TAE0H8	TAE0D5	TAE0D1	TAH3	TABS5	TAD9	TAD2	TAE0H9	TAH9	TAE0BS4	TAE0BS3	TABS2	TAD10	TAD1	TAD4	TABS1
OTU_1	15473	3107	1	8608	4366	12	0	0	4222	16103	16041	7959	1	4866	16659	3	3819	14800	8331	0	11043	8240	1	0	0	0	0	12123	7503	7636	4179	0	18954	0	1	4104	9593	21997	6291	3580
OTU_6	0	9176	1	224	9	54	7	810	1393	0	11	4	0	6	0	2762	1	4	6	0	1	3202	10013	330	18	6	756	0	8	2182	171	1	1	1	4	54	275	344	620	0
OTU_25	1	0	6103	283	0	0	0	0	0	0	21	0	12	0	0	0	743	0	58	3	4447	22	0	378	0	0	0	0	0	1	3	0	1	0	1	0	890	0	0	7
OTU_11	601	16	218	455	3993	272	193	37	12	222	405	215	648	668	317	49	1856	143	16	939	135	120	25	587	4504	289	65	49	143	38	32	2057	894	810	352	234	45	29	52	717
OTU_129	51	7	6	30	83	216	13	42	13	52	23	19	86	184	3	32	3	12	69	112	5	6	3	29	74	7	78	28	17	11	46	41	25	199	22	205	291	22	38	95
OTU_678	4	2	138	436	16	374	332	10	8	0	77	177	629	211	1	5	29	2	6	6	89	3	0	608	17	3	7	0	303	3	14	3	0	229	275	340	9	3	4	559
OTU_3	544	10538	1763	5008	364	20	92	5741	13990	127	3219	42	30	56	2274	9536	352	2341	12042	1053	1184	7184	10862	6046	336	3837	7597	2075	73	7468	10449	132	74	52	37	16	5557	3085	4630	35
OTU_31	20	94	319	213	25	117	295	137	138	4	392	68	680	82	19	154	90	97	42	25	243	37	86	318	32	159	7032	1	237	135	151	15	1	98	96	122	70	2937	116	510
OTU_248	30	0	0	22	6	7	1	0	0	25	0	5	10	1	1	1	29	0	0	56	0	0	6	24	9	0	0	0	2	0	0	351	174	1	11	3	1	0	0	7
OTU_103	3	1	376	15	7	24	243	6	3	6	18	46	122	19	16	0	12	40	2	3	280	0	0	23	6	101	4	4	208	0	3	0	0	32	85	14	4	7	0	78
OTU_47	0	151	0	14	6	0	0	2	0	0	2263	0	177	2802	0	0	0	3	1	0	0	0	168	21	2	0	0	0	1	0	60	0	0	3121	0	0	12	0	4	140
OTU_10	0	331	58	39	0	137	0	4253	4895	1	120	268	12	0	5	77	0	34	3801	3	67	0	335	52	0	119	64	0	0	55	93	0	0	2	325	81	4	27	3410	5
OTU_8	21	1526	30	15	1	30	110	5336	3789	0	12	0	0	8	11	205	2	4922	185	90	13	30	1867	21	3	7341	501	1	107	155	1341	18	2	8	0	14	280	196	4622	0
OTU_5	482	238	1921	861	12712	142	36	265	55	150	1410	177	134	145	264	158	10317	135	209	881	1294	384	256	1253	13838	209	767	52	21	137	100	487	283	172	198	147	293	297	221	111
OTU_9	228	86	11605	503	427	294	294	782	116	54	121	427	916	375	84	834	174	550	207	302	9099	695	72	608	432	733	1589	41	222	661	228	174	89	355	474	302	137	572	711	924
OTU_41	378	405	29	342	68	13	35	6	613	10	255	29	15	17	70	3	111	0	80	723	7	3	460	469	99	2	0	2631	30	7	108	16	5	18	40	17	19	0	9	6
OTU_4	374	554	125	94	1902	10	0	9066	1154	353	54	31	30	62	565	6836	275	4488	3642	617	98	6172	635	143	2142	7080	1234	1376	2	5772	9523	692	390	94	19	12	7113	533	8022	24
OTU_162	0	2	0	0	0	60	341	2	0	0	3	99	58	103	0	3	0	3	1	0	0	0	1	1	1	18	4	3	281	0	2	0	0	139	134	50	0	0	3	45
OTU_22	8	16	85	247	20	1426	1511	28	52	11	104	868	2526	746	8	13	40	18	11	34	58	6	35	391	34	34	46	2	1339	9	33	21	11	745	1143	1394	11	19	20	2273
OTU_67	12	0	24	21	68	4	29	0	0	7	67	22	14	28	98	6	3573	0	0	15	14	1	0	20	71	0	0	3	24	9	0	9	2	37	22	6	0	0	0	6
OTU_1184	0	0	1	0	0	0	0	0	0	0	15	2	0	0	0	0	1	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0
OTU_55	15	1	364	45	6	559	657	33	1	2	12	371	455	513	0	8	53	13	0	32	285	0	3	55	7	13	0	0	502	6	2	9	2	533	477	498	5	0	19	401
OTU_68	0	0	1409	0	0	1	0	0	0	0	17	4	2966	0	0	3	345	0	0	0	928	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2732
OTU_13	6194	0	0	1277	713	1	32	2	0	870	3	0	0	0	1630	0	78	0	18	9757	0	0	0	1583	852	0	0	9423	22	0	0	543	300	0	0	0	0	0	0	0
OTU_62	388	198	19	114	126	0	0	229	350	154	15	0	6	1	17	267	50	61	54	650	7	417	235	142	110	97	17	22	0	215	426	789	374	0	0	0	0	0	190	2
OTU_24	8	12	117	149	3161	19	13	8	4	9	375	89	19	11	11	2	2489	38	3	22	69	299	4	183	3491	75	40	1	13	1	2	33	19	12	133	17	19	5	7	36
OTU_64	0	0	0	0	1	0	0	1	0	0	1	0	1	3	0	1619	80	1	0	0	0	0	0	0	2	0	0	0	0	1351	7	0	0	3	0	0	0	0	0	0
