Chondromyces	Phycicoccus	g__Exophiala	Terrabacter	Ideonella	Marmoricola	Gemmatimonas	Sporichthya	Ohtaekwangia	Oscillochloris	Labilithrix	Gp22	Roseiflexus	Acidiphilium	Aciditerrimonas	Skermanella	Sneathiella	Terrimonas
Chondromyces	1	1	0.976190476190476	0.976190476190476	0.976190476190476	0.976190476190476	0.976190476190476	1	0.97007727214974	0.994029797388005	1	0.976190476190476	0.97007727214974	0.994029797388005	0.922172221673209	0.97007727214974	0.97007727214974	0.97007727214974
Phycicoccus	1	1	0.976190476190476	0.976190476190476	0.976190476190476	0.976190476190476	0.976190476190476	1	0.97007727214974	0.994029797388005	1	0.976190476190476	0.97007727214974	0.994029797388005	0.922172221673209	0.97007727214974	0.97007727214974	0.97007727214974
g__Exophiala	0.976190476190476	0.976190476190476	1	0.952380952380953	0.952380952380953	0.952380952380953	0.952380952380953	0.976190476190476	0.946124746911475	0.97007727214974	0.976190476190476	1	0.922172221673209	0.97007727214974	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Terrabacter	0.976190476190476	0.976190476190476	0.952380952380953	1	1	1	1	0.976190476190476	0.910195959054077	0.958101009530607	0.976190476190476	0.952380952380953	0.934148484292342	0.958101009530607	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
Ideonella	0.976190476190476	0.976190476190476	0.952380952380953	1	1	1	1	0.976190476190476	0.910195959054077	0.958101009530607	0.976190476190476	0.952380952380953	0.934148484292342	0.958101009530607	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
Marmoricola	0.976190476190476	0.976190476190476	0.952380952380953	1	1	1	1	0.976190476190476	0.910195959054077	0.958101009530607	0.976190476190476	0.952380952380953	0.934148484292342	0.958101009530607	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
Gemmatimonas	0.976190476190476	0.976190476190476	0.952380952380953	1	1	1	1	0.976190476190476	0.910195959054077	0.958101009530607	0.976190476190476	0.952380952380953	0.934148484292342	0.958101009530607	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
Sporichthya	1	1	0.976190476190476	0.976190476190476	0.976190476190476	0.976190476190476	0.976190476190476	1	0.97007727214974	0.994029797388005	1	0.976190476190476	0.97007727214974	0.994029797388005	0.922172221673209	0.97007727214974	0.97007727214974	0.97007727214974
Ohtaekwangia	0.97007727214974	0.97007727214974	0.946124746911475	0.910195959054077	0.910195959054077	0.910195959054077	0.910195959054077	0.97007727214974	1	0.975903614457831	0.97007727214974	0.946124746911475	0.927710843373494	0.975903614457831	0.855421686746988	0.927710843373494	0.927710843373494	0.927710843373494
Oscillochloris	0.994029797388005	0.994029797388005	0.97007727214974	0.958101009530607	0.958101009530607	0.958101009530607	0.958101009530607	0.994029797388005	0.975903614457831	1	0.994029797388005	0.97007727214974	0.975903614457831	1	0.927710843373494	0.975903614457831	0.975903614457831	0.975903614457831
Labilithrix	1	1	0.976190476190476	0.976190476190476	0.976190476190476	0.976190476190476	0.976190476190476	1	0.97007727214974	0.994029797388005	1	0.976190476190476	0.97007727214974	0.994029797388005	0.922172221673209	0.97007727214974	0.97007727214974	0.97007727214974
Gp22	0.976190476190476	0.976190476190476	1	0.952380952380953	0.952380952380953	0.952380952380953	0.952380952380953	0.976190476190476	0.946124746911475	0.97007727214974	0.976190476190476	1	0.922172221673209	0.97007727214974	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Roseiflexus	0.97007727214974	0.97007727214974	0.922172221673209	0.934148484292342	0.934148484292342	0.934148484292342	0.934148484292342	0.97007727214974	0.927710843373494	0.975903614457831	0.97007727214974	0.922172221673209	1	0.975903614457831	0.975903614457831	1	1	1
Acidiphilium	0.994029797388005	0.994029797388005	0.97007727214974	0.958101009530607	0.958101009530607	0.958101009530607	0.958101009530607	0.994029797388005	0.975903614457831	1	0.994029797388005	0.97007727214974	0.975903614457831	1	0.927710843373494	0.975903614457831	0.975903614457831	0.975903614457831
Aciditerrimonas	0.922172221673209	0.922172221673209	0.898219696434944	0.886243433815812	0.886243433815812	0.886243433815812	0.886243433815812	0.922172221673209	0.855421686746988	0.927710843373494	0.922172221673209	0.898219696434944	0.975903614457831	0.927710843373494	1	0.975903614457831	0.975903614457831	0.975903614457831
Skermanella	0.97007727214974	0.97007727214974	0.922172221673209	0.934148484292342	0.934148484292342	0.934148484292342	0.934148484292342	0.97007727214974	0.927710843373494	0.975903614457831	0.97007727214974	0.922172221673209	1	0.975903614457831	0.975903614457831	1	1	1
Sneathiella	0.97007727214974	0.97007727214974	0.922172221673209	0.934148484292342	0.934148484292342	0.934148484292342	0.934148484292342	0.97007727214974	0.927710843373494	0.975903614457831	0.97007727214974	0.922172221673209	1	0.975903614457831	0.975903614457831	1	1	1
Terrimonas	0.97007727214974	0.97007727214974	0.922172221673209	0.934148484292342	0.934148484292342	0.934148484292342	0.934148484292342	0.97007727214974	0.927710843373494	0.975903614457831	0.97007727214974	0.922172221673209	1	0.975903614457831	0.975903614457831	1	1	1
