Flavobacterium	Massilia	Actinocorallia	Streptosporangium	Sulfuriferula	g__Trichoderma	Lautropia	Armatimonadetes_gp2	Inquilinus	Cohnella	Starkeya	Saccharomonospora	Thermoleophilum	Ammoniphilus
Flavobacterium	1	0.976190476190476	0.952380952380953	0.833333333333333	0.904761904761905	0.690476190476191	0.833333333333333	0.785714285714286	0.857142857142857	0.976190476190476	0.738095238095238	0.928571428571429	0.976190476190476	0.946124746911475
Massilia	0.976190476190476	1	0.976190476190476	0.904761904761905	0.880952380952381	0.785714285714286	0.904761904761905	0.857142857142857	0.928571428571429	1	0.80952380952381	0.976190476190476	0.928571428571429	0.886243433815812
Actinocorallia	0.952380952380953	0.976190476190476	1	0.880952380952381	0.857142857142857	0.857142857142857	0.880952380952381	0.880952380952381	0.880952380952381	0.976190476190476	0.857142857142857	0.952380952380953	0.904761904761905	0.838338383339281
Streptosporangium	0.833333333333333	0.904761904761905	0.880952380952381	1	0.857142857142857	0.714285714285714	1	0.80952380952381	0.833333333333333	0.904761904761905	0.714285714285714	0.928571428571429	0.785714285714286	0.64671818143316
Sulfuriferula	0.904761904761905	0.880952380952381	0.857142857142857	0.857142857142857	1	0.571428571428572	0.857142857142857	0.738095238095238	0.761904761904762	0.880952380952381	0.666666666666667	0.904761904761905	0.952380952380953	0.814385858101016
g__Trichoderma	0.690476190476191	0.785714285714286	0.857142857142857	0.714285714285714	0.571428571428572	1	0.714285714285714	0.904761904761905	0.833333333333333	0.785714285714286	0.952380952380953	0.80952380952381	0.619047619047619	0.586836868337497
Lautropia	0.833333333333333	0.904761904761905	0.880952380952381	1	0.857142857142857	0.714285714285714	1	0.80952380952381	0.833333333333333	0.904761904761905	0.714285714285714	0.928571428571429	0.785714285714286	0.64671818143316
Armatimonadetes_gp2	0.785714285714286	0.857142857142857	0.880952380952381	0.80952380952381	0.738095238095238	0.904761904761905	0.80952380952381	1	0.904761904761905	0.857142857142857	0.976190476190476	0.904761904761905	0.761904761904762	0.706599494528823
Inquilinus	0.857142857142857	0.928571428571429	0.880952380952381	0.833333333333333	0.761904761904762	0.833333333333333	0.833333333333333	0.904761904761905	1	0.928571428571429	0.880952380952381	0.952380952380953	0.80952380952381	0.814385858101016
Cohnella	0.976190476190476	1	0.976190476190476	0.904761904761905	0.880952380952381	0.785714285714286	0.904761904761905	0.857142857142857	0.928571428571429	1	0.80952380952381	0.976190476190476	0.928571428571429	0.886243433815812
Starkeya	0.738095238095238	0.80952380952381	0.857142857142857	0.714285714285714	0.666666666666667	0.952380952380953	0.714285714285714	0.976190476190476	0.880952380952381	0.80952380952381	1	0.857142857142857	0.714285714285714	0.682646969290558
Saccharomonospora	0.928571428571429	0.976190476190476	0.952380952380953	0.928571428571429	0.904761904761905	0.80952380952381	0.928571428571429	0.904761904761905	0.952380952380953	0.976190476190476	0.857142857142857	1	0.904761904761905	0.826362120720149
Thermoleophilum	0.976190476190476	0.928571428571429	0.904761904761905	0.785714285714286	0.952380952380953	0.619047619047619	0.785714285714286	0.761904761904762	0.80952380952381	0.928571428571429	0.714285714285714	0.904761904761905	1	0.946124746911475
Ammoniphilus	0.946124746911475	0.886243433815812	0.838338383339281	0.64671818143316	0.814385858101016	0.586836868337497	0.64671818143316	0.706599494528823	0.814385858101016	0.886243433815812	0.682646969290558	0.826362120720149	0.946124746911475	1
