Kribbella	Actinokineospora	Sporosarcina	Sporichthya	Ohtaekwangia	Oscillochloris	Nannocystis	Sulfuriferula	Amaricoccus	Labilithrix	Uliginosibacterium	Nitrincola	Geodermatophilus	Gp22	Microlunatus	Roseiflexus	Thermoleophilum	Acidiphilium	Skermanella	Sneathiella	Terrimonas
Kribbella	1	0.976190476190476	0.833333333333333	0.833333333333333	0.898219696434944	0.874267171196679	0.833333333333333	1	0.833333333333333	0.833333333333333	0.785714285714286	0.862290908577547	0.904761904761905	0.80952380952381	0.928571428571429	0.802409595481884	0.952380952380953	0.874267171196679	0.802409595481884	0.802409595481884	0.802409595481884
Actinokineospora	0.976190476190476	1	0.857142857142857	0.880952380952381	0.958101009530607	0.910195959054077	0.904761904761905	0.976190476190476	0.904761904761905	0.880952380952381	0.857142857142857	0.922172221673209	0.952380952380953	0.857142857142857	0.904761904761905	0.838338383339281	0.880952380952381	0.910195959054077	0.838338383339281	0.838338383339281	0.838338383339281
Sporosarcina	0.833333333333333	0.857142857142857	1	0.833333333333333	0.862290908577547	0.814385858101016	0.952380952380953	0.833333333333333	0.952380952380953	0.833333333333333	0.80952380952381	0.97007727214974	0.880952380952381	0.80952380952381	0.761904761904762	0.718575757147955	0.714285714285714	0.814385858101016	0.718575757147955	0.718575757147955	0.718575757147955
Sporichthya	0.833333333333333	0.880952380952381	0.833333333333333	1	0.97007727214974	0.994029797388005	0.928571428571429	0.833333333333333	0.928571428571429	1	0.904761904761905	0.898219696434944	0.785714285714286	0.976190476190476	0.761904761904762	0.97007727214974	0.761904761904762	0.994029797388005	0.97007727214974	0.97007727214974	0.97007727214974
Ohtaekwangia	0.898219696434944	0.958101009530607	0.862290908577547	0.97007727214974	1	0.975903614457831	0.958101009530607	0.898219696434944	0.958101009530607	0.97007727214974	0.922172221673209	0.94578313253012	0.898219696434944	0.946124746911475	0.826362120720149	0.927710843373494	0.790433332862751	0.975903614457831	0.927710843373494	0.927710843373494	0.927710843373494
Oscillochloris	0.874267171196679	0.910195959054077	0.814385858101016	0.994029797388005	0.975903614457831	1	0.910195959054077	0.874267171196679	0.910195959054077	0.994029797388005	0.898219696434944	0.885542168674699	0.802409595481884	0.97007727214974	0.802409595481884	0.975903614457831	0.814385858101016	1	0.975903614457831	0.975903614457831	0.975903614457831
Nannocystis	0.833333333333333	0.904761904761905	0.952380952380953	0.928571428571429	0.958101009530607	0.910195959054077	1	0.833333333333333	1	0.928571428571429	0.904761904761905	0.994029797388005	0.904761904761905	0.904761904761905	0.761904761904762	0.838338383339281	0.690476190476191	0.910195959054077	0.838338383339281	0.838338383339281	0.838338383339281
Sulfuriferula	1	0.976190476190476	0.833333333333333	0.833333333333333	0.898219696434944	0.874267171196679	0.833333333333333	1	0.833333333333333	0.833333333333333	0.785714285714286	0.862290908577547	0.904761904761905	0.80952380952381	0.928571428571429	0.802409595481884	0.952380952380953	0.874267171196679	0.802409595481884	0.802409595481884	0.802409595481884
Amaricoccus	0.833333333333333	0.904761904761905	0.952380952380953	0.928571428571429	0.958101009530607	0.910195959054077	1	0.833333333333333	1	0.928571428571429	0.904761904761905	0.994029797388005	0.904761904761905	0.904761904761905	0.761904761904762	0.838338383339281	0.690476190476191	0.910195959054077	0.838338383339281	0.838338383339281	0.838338383339281
Labilithrix	0.833333333333333	0.880952380952381	0.833333333333333	1	0.97007727214974	0.994029797388005	0.928571428571429	0.833333333333333	0.928571428571429	1	0.904761904761905	0.898219696434944	0.785714285714286	0.976190476190476	0.761904761904762	0.97007727214974	0.761904761904762	0.994029797388005	0.97007727214974	0.97007727214974	0.97007727214974
