Streptomyces	Actinoplanes	Devosia	Mesorhizobium	Steroidobacter	Umezawaea	Shinella	Lysobacter	Bradyrhizobium	Amycolatopsis	Galbitalea	Micromonospora	Dactylosporangium	Rudaibacter	Nitrobacter	Chitinophaga	Polaromonas	Chryseolinea	Dongia	Aquihabitans	Rhizocola	Kinneretia	Arenimonas	Curtobacterium	Aquimonas	Pseudolabrys	Chitinimonas	Parachlamydia	Thiomonas	Halobacteriovorax	Sanguibacter	Sulfurisoma
Streptomyces	1	0.976190476190476	0.80952380952381	0.80952380952381	0.904761904761905	0.880952380952381	0.80952380952381	0.904761904761905	0.833333333333333	0.904761904761905	0.904761904761905	0.833333333333333	0.928571428571429	0.833333333333333	0.785714285714286	0.80952380952381	0.952380952380953	0.904761904761905	0.833333333333333	0.904761904761905	0.904761904761905	0.857142857142857	0.904761904761905	0.80952380952381	0.904761904761905	0.833333333333333	0.904761904761905	0.904761904761905	0.904761904761905	0.904761904761905	0.850314645958414	0.850314645958414
Actinoplanes	0.976190476190476	1	0.904761904761905	0.880952380952381	0.928571428571429	0.904761904761905	0.904761904761905	0.952380952380953	0.857142857142857	0.952380952380953	0.880952380952381	0.857142857142857	0.976190476190476	0.857142857142857	0.880952380952381	0.880952380952381	0.976190476190476	0.880952380952381	0.857142857142857	0.880952380952381	0.928571428571429	0.928571428571429	0.880952380952381	0.880952380952381	0.857142857142857	0.857142857142857	0.880952380952381	0.928571428571429	0.928571428571429	0.952380952380953	0.850314645958414	0.850314645958414
Devosia	0.80952380952381	0.904761904761905	1	0.904761904761905	0.857142857142857	0.833333333333333	1	0.904761904761905	0.833333333333333	0.904761904761905	0.714285714285714	0.738095238095238	0.928571428571429	0.738095238095238	0.976190476190476	0.880952380952381	0.857142857142857	0.714285714285714	0.833333333333333	0.738095238095238	0.857142857142857	0.928571428571429	0.714285714285714	0.880952380952381	0.619047619047619	0.833333333333333	0.738095238095238	0.80952380952381	0.857142857142857	0.904761904761905	0.718575757147955	0.718575757147955
Mesorhizobium	0.80952380952381	0.880952380952381	0.904761904761905	1	0.857142857142857	0.904761904761905	0.904761904761905	0.761904761904762	0.785714285714286	0.952380952380953	0.690476190476191	0.714285714285714	0.904761904761905	0.714285714285714	0.952380952380953	0.690476190476191	0.785714285714286	0.690476190476191	0.785714285714286	0.833333333333333	0.857142857142857	0.785714285714286	0.690476190476191	0.833333333333333	0.619047619047619	0.785714285714286	0.80952380952381	0.880952380952381	0.857142857142857	0.952380952380953	0.826362120720149	0.826362120720149
Steroidobacter	0.904761904761905	0.928571428571429	0.857142857142857	0.857142857142857	1	0.976190476190476	0.857142857142857	0.857142857142857	0.976190476190476	0.952380952380953	0.952380952380953	0.928571428571429	0.976190476190476	0.928571428571429	0.833333333333333	0.761904761904762	0.904761904761905	0.952380952380953	0.976190476190476	0.952380952380953	1	0.904761904761905	0.952380952380953	0.857142857142857	0.857142857142857	0.976190476190476	0.952380952380953	0.857142857142857	1	0.952380952380953	0.922172221673209	0.922172221673209
Umezawaea	0.880952380952381	0.904761904761905	0.833333333333333	0.904761904761905	0.976190476190476	1	0.833333333333333	0.785714285714286	0.928571428571429	0.976190476190476	0.904761904761905	0.904761904761905	0.952380952380953	0.904761904761905	0.857142857142857	0.690476190476191	0.857142857142857	0.904761904761905	0.928571428571429	0.976190476190476	0.976190476190476	0.833333333333333	0.904761904761905	0.785714285714286	0.833333333333333	0.928571428571429	0.928571428571429	0.904761904761905	0.976190476190476	0.976190476190476	0.97007727214974	0.97007727214974
Shinella	0.80952380952381	0.904761904761905	1	0.904761904761905	0.857142857142857	0.833333333333333	1	0.904761904761905	0.833333333333333	0.904761904761905	0.714285714285714	0.738095238095238	0.928571428571429	0.738095238095238	0.976190476190476	0.880952380952381	0.857142857142857	0.714285714285714	0.833333333333333	0.738095238095238	0.857142857142857	0.928571428571429	0.714285714285714	0.880952380952381	0.619047619047619	0.833333333333333	0.738095238095238	0.80952380952381	0.857142857142857	0.904761904761905	0.718575757147955	0.718575757147955
Lysobacter	0.904761904761905	0.952380952380953	0.904761904761905	0.761904761904762	0.857142857142857	0.785714285714286	0.904761904761905	1	0.80952380952381	0.857142857142857	0.833333333333333	0.833333333333333	0.928571428571429	0.833333333333333	0.833333333333333	0.976190476190476	0.976190476190476	0.833333333333333	0.80952380952381	0.738095238095238	0.857142857142857	0.976190476190476	0.833333333333333	0.880952380952381	0.80952380952381	0.80952380952381	0.761904761904762	0.833333333333333	0.857142857142857	0.857142857142857	0.718575757147955	0.718575757147955
Bradyrhizobium	0.833333333333333	0.857142857142857	0.833333333333333	0.785714285714286	0.976190476190476	0.928571428571429	0.833333333333333	0.80952380952381	1	0.880952380952381	0.928571428571429	0.880952380952381	0.928571428571429	0.880952380952381	0.785714285714286	0.714285714285714	0.833333333333333	0.928571428571429	1	0.904761904761905	0.976190476190476	0.880952380952381	0.928571428571429	0.833333333333333	0.785714285714286	1	0.928571428571429	0.738095238095238	0.976190476190476	0.880952380952381	0.850314645958414	0.850314645958414
Amycolatopsis	0.904761904761905	0.952380952380953	0.904761904761905	0.952380952380953	0.952380952380953	0.976190476190476	0.904761904761905	0.857142857142857	0.880952380952381	1	0.857142857142857	0.880952380952381	0.976190476190476	0.880952380952381	0.928571428571429	0.785714285714286	0.904761904761905	0.857142857142857	0.880952380952381	0.928571428571429	0.952380952380953	0.880952380952381	0.857142857142857	0.833333333333333	0.80952380952381	0.880952380952381	0.880952380952381	0.952380952380953	0.952380952380953	1	0.934148484292342	0.934148484292342
