Blastococcus	Peredibacter	Pyxidicoccus	Adhaeribacter	Nitrincola	Lautropia	Tumebacillus	Rubrobacter	Luteivirga	Actinomycetospora	Oceanibacterium	Nakamurella	Sandaracinus	Armatimonadetes_gp5
Blastococcus	1	1	0.904761904761905	0.97007727214974	0.946124746911475	0.904761904761905	0.976190476190476	0.976190476190476	0.904761904761905	0.904761904761905	0.898219696434944	0.952380952380953	0.826362120720149	0.934148484292342
Peredibacter	1	1	0.904761904761905	0.97007727214974	0.946124746911475	0.904761904761905	0.976190476190476	0.976190476190476	0.904761904761905	0.904761904761905	0.898219696434944	0.952380952380953	0.826362120720149	0.934148484292342
Pyxidicoccus	0.904761904761905	0.904761904761905	1	0.97007727214974	0.826362120720149	0.80952380952381	0.833333333333333	0.952380952380953	0.738095238095238	0.952380952380953	0.97007727214974	0.880952380952381	0.826362120720149	0.862290908577547
Adhaeribacter	0.97007727214974	0.97007727214974	0.97007727214974	1	0.879518072289157	0.886243433815812	0.934148484292342	0.994029797388005	0.862290908577547	0.922172221673209	0.927710843373494	0.958101009530607	0.855421686746988	0.94578313253012
Nitrincola	0.946124746911475	0.946124746911475	0.826362120720149	0.879518072289157	1	0.910195959054077	0.886243433815812	0.874267171196679	0.862290908577547	0.850314645958414	0.855421686746988	0.814385858101016	0.831325301204819	0.789156626506024
Lautropia	0.904761904761905	0.904761904761905	0.80952380952381	0.886243433815812	0.910195959054077	1	0.880952380952381	0.857142857142857	0.880952380952381	0.714285714285714	0.742528282386221	0.833333333333333	0.814385858101016	0.850314645958414
Tumebacillus	0.976190476190476	0.976190476190476	0.833333333333333	0.934148484292342	0.886243433815812	0.880952380952381	1	0.952380952380953	0.928571428571429	0.833333333333333	0.814385858101016	0.976190476190476	0.766480807624486	0.97007727214974
Rubrobacter	0.976190476190476	0.976190476190476	0.952380952380953	0.994029797388005	0.874267171196679	0.857142857142857	0.952380952380953	1	0.880952380952381	0.928571428571429	0.922172221673209	0.976190476190476	0.850314645958414	0.958101009530607
Luteivirga	0.904761904761905	0.904761904761905	0.738095238095238	0.862290908577547	0.862290908577547	0.880952380952381	0.928571428571429	0.880952380952381	1	0.714285714285714	0.69462323190969	0.904761904761905	0.886243433815812	0.898219696434944
Actinomycetospora	0.904761904761905	0.904761904761905	0.952380952380953	0.922172221673209	0.850314645958414	0.714285714285714	0.833333333333333	0.928571428571429	0.714285714285714	1	0.994029797388005	0.857142857142857	0.778457070243618	0.814385858101016
Oceanibacterium	0.898219696434944	0.898219696434944	0.97007727214974	0.927710843373494	0.855421686746988	0.742528282386221	0.814385858101016	0.922172221673209	0.69462323190969	0.994029797388005	1	0.838338383339281	0.783132530120482	0.801204819277108
Nakamurella	0.952380952380953	0.952380952380953	0.880952380952381	0.958101009530607	0.814385858101016	0.833333333333333	0.976190476190476	0.976190476190476	0.904761904761905	0.857142857142857	0.838338383339281	1	0.790433332862751	0.994029797388005
Sandaracinus	0.826362120720149	0.826362120720149	0.826362120720149	0.855421686746988	0.831325301204819	0.814385858101016	0.766480807624486	0.850314645958414	0.886243433815812	0.778457070243618	0.783132530120482	0.790433332862751	1	0.765060240963855
Armatimonadetes_gp5	0.934148484292342	0.934148484292342	0.862290908577547	0.94578313253012	0.789156626506024	0.850314645958414	0.97007727214974	0.958101009530607	0.898219696434944	0.814385858101016	0.801204819277108	0.994029797388005	0.765060240963855	1
