Variovorax	Pseudoxanthomonas	Rhodanobacter	Microvirga	Nocardia	Afipia	Methylobacterium	Pedomicrobium	Luteolibacter	Chthonomonas/Armatimonadetes_gp3	Oxalicibacterium
Variovorax	1	1	0.904761904761905	0.904761904761905	0.952380952380953	0.976190476190476	0.928571428571429	0.904761904761905	0.761904761904762	0.778457070243618	0.910195959054077
Pseudoxanthomonas	1	1	0.904761904761905	0.904761904761905	0.952380952380953	0.976190476190476	0.928571428571429	0.904761904761905	0.761904761904762	0.778457070243618	0.910195959054077
Rhodanobacter	0.904761904761905	0.904761904761905	1	0.952380952380953	0.976190476190476	0.952380952380953	0.785714285714286	0.761904761904762	0.904761904761905	0.958101009530607	0.838338383339281
Microvirga	0.904761904761905	0.904761904761905	0.952380952380953	1	0.928571428571429	0.952380952380953	0.785714285714286	0.80952380952381	0.904761904761905	0.898219696434944	0.898219696434944
Nocardia	0.952380952380953	0.952380952380953	0.976190476190476	0.928571428571429	1	0.976190476190476	0.880952380952381	0.857142857142857	0.833333333333333	0.898219696434944	0.898219696434944
Afipia	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	1	0.904761904761905	0.880952380952381	0.857142857142857	0.862290908577547	0.934148484292342
Methylobacterium	0.928571428571429	0.928571428571429	0.785714285714286	0.785714285714286	0.880952380952381	0.904761904761905	1	0.976190476190476	0.690476190476191	0.69462323190969	0.946124746911475
Pedomicrobium	0.904761904761905	0.904761904761905	0.761904761904762	0.80952380952381	0.857142857142857	0.880952380952381	0.976190476190476	1	0.666666666666667	0.670670706671425	0.97007727214974
Luteolibacter	0.761904761904762	0.761904761904762	0.904761904761905	0.904761904761905	0.833333333333333	0.857142857142857	0.690476190476191	0.666666666666667	1	0.958101009530607	0.790433332862751
Chthonomonas/Armatimonadetes_gp3	0.778457070243618	0.778457070243618	0.958101009530607	0.898219696434944	0.898219696434944	0.862290908577547	0.69462323190969	0.670670706671425	0.958101009530607	1	0.771084337349398
Oxalicibacterium	0.910195959054077	0.910195959054077	0.838338383339281	0.898219696434944	0.898219696434944	0.934148484292342	0.946124746911475	0.97007727214974	0.790433332862751	0.771084337349398	1
