Burkholderia	Altererythrobacter	Novosphingobium	g__Pseudogymnoascus	g__Cladosporium	Afipia	Haloactinopolyspora	Methylobacterium	Pedomicrobium	Chelatococcus	Oxalicibacterium	Ammoniphilus	Anaeromyxobacter
Burkholderia	1	0.952380952380953	0.785714285714286	0.904761904761905	0.80952380952381	0.857142857142857	0.738095238095238	0.904761904761905	0.952380952380953	0.952380952380953	0.922172221673209	0.754504545005353	0.838338383339281
Altererythrobacter	0.952380952380953	1	0.904761904761905	0.904761904761905	0.928571428571429	0.857142857142857	0.857142857142857	0.928571428571429	0.952380952380953	0.857142857142857	0.922172221673209	0.838338383339281	0.922172221673209
Novosphingobium	0.785714285714286	0.904761904761905	1	0.833333333333333	0.952380952380953	0.857142857142857	0.952380952380953	0.880952380952381	0.857142857142857	0.642857142857143	0.898219696434944	0.730552019767088	0.790433332862751
g__Pseudogymnoascus	0.904761904761905	0.904761904761905	0.833333333333333	1	0.857142857142857	0.904761904761905	0.690476190476191	0.952380952380953	0.904761904761905	0.904761904761905	0.874267171196679	0.706599494528823	0.790433332862751
g__Cladosporium	0.80952380952381	0.928571428571429	0.952380952380953	0.857142857142857	1	0.785714285714286	0.857142857142857	0.928571428571429	0.904761904761905	0.666666666666667	0.874267171196679	0.706599494528823	0.910195959054077
Afipia	0.857142857142857	0.857142857142857	0.857142857142857	0.904761904761905	0.785714285714286	1	0.80952380952381	0.904761904761905	0.880952380952381	0.833333333333333	0.934148484292342	0.766480807624486	0.69462323190969
Haloactinopolyspora	0.738095238095238	0.857142857142857	0.952380952380953	0.690476190476191	0.857142857142857	0.80952380952381	1	0.761904761904762	0.785714285714286	0.571428571428572	0.862290908577547	0.778457070243618	0.730552019767088
Methylobacterium	0.904761904761905	0.928571428571429	0.880952380952381	0.952380952380953	0.928571428571429	0.904761904761905	0.761904761904762	1	0.976190476190476	0.833333333333333	0.946124746911475	0.69462323190969	0.874267171196679
Pedomicrobium	0.952380952380953	0.952380952380953	0.857142857142857	0.904761904761905	0.904761904761905	0.880952380952381	0.785714285714286	0.976190476190476	1	0.857142857142857	0.97007727214974	0.718575757147955	0.898219696434944
Chelatococcus	0.952380952380953	0.857142857142857	0.642857142857143	0.904761904761905	0.666666666666667	0.833333333333333	0.571428571428572	0.833333333333333	0.857142857142857	1	0.814385858101016	0.730552019767088	0.730552019767088
Oxalicibacterium	0.922172221673209	0.922172221673209	0.898219696434944	0.874267171196679	0.874267171196679	0.934148484292342	0.862290908577547	0.946124746911475	0.97007727214974	0.814385858101016	1	0.704819277108434	0.801204819277108
Ammoniphilus	0.754504545005353	0.838338383339281	0.730552019767088	0.706599494528823	0.706599494528823	0.766480807624486	0.778457070243618	0.69462323190969	0.718575757147955	0.730552019767088	0.704819277108434	1	0.801204819277108
Anaeromyxobacter	0.838338383339281	0.922172221673209	0.790433332862751	0.790433332862751	0.910195959054077	0.69462323190969	0.730552019767088	0.874267171196679	0.898219696434944	0.730552019767088	0.801204819277108	0.801204819277108	1
