Blastococcus	Paenibacillus	Sporosarcina	Cellvibrio	Peredibacter	Ohtaekwangia	Nannocystis	Amaricoccus	Labilithrix	Adhaeribacter	Uliginosibacterium	Nitrincola	Lautropia	Geodermatophilus	Tumebacillus	Gp22	Rubrobacter	Luteivirga	Actinomycetospora	Oceanibacterium	Roseiflexus	Acidiphilium	Skermanella	Sneathiella	Terrimonas
Blastococcus	1	0.928571428571429	0.952380952380953	0.976190476190476	1	0.874267171196679	0.952380952380953	0.952380952380953	0.880952380952381	0.97007727214974	0.904761904761905	0.946124746911475	0.904761904761905	0.785714285714286	0.976190476190476	0.904761904761905	0.976190476190476	0.904761904761905	0.904761904761905	0.898219696434944	0.754504545005353	0.850314645958414	0.754504545005353	0.754504545005353	0.754504545005353
Paenibacillus	0.928571428571429	1	0.952380952380953	0.976190476190476	0.928571428571429	0.874267171196679	0.952380952380953	0.952380952380953	0.880952380952381	0.850314645958414	0.833333333333333	0.946124746911475	0.904761904761905	0.80952380952381	0.904761904761905	0.833333333333333	0.857142857142857	0.928571428571429	0.738095238095238	0.730552019767088	0.778457070243618	0.850314645958414	0.778457070243618	0.778457070243618	0.778457070243618
Sporosarcina	0.952380952380953	0.952380952380953	1	0.976190476190476	0.952380952380953	0.862290908577547	0.952380952380953	0.952380952380953	0.833333333333333	0.922172221673209	0.80952380952381	0.97007727214974	0.976190476190476	0.880952380952381	0.904761904761905	0.80952380952381	0.904761904761905	0.904761904761905	0.80952380952381	0.826362120720149	0.718575757147955	0.814385858101016	0.718575757147955	0.718575757147955	0.718575757147955
Cellvibrio	0.976190476190476	0.976190476190476	0.976190476190476	1	0.976190476190476	0.898219696434944	0.976190476190476	0.976190476190476	0.904761904761905	0.922172221673209	0.857142857142857	0.97007727214974	0.928571428571429	0.833333333333333	0.952380952380953	0.880952380952381	0.928571428571429	0.952380952380953	0.833333333333333	0.826362120720149	0.802409595481884	0.874267171196679	0.802409595481884	0.802409595481884	0.802409595481884
Peredibacter	1	0.928571428571429	0.952380952380953	0.976190476190476	1	0.874267171196679	0.952380952380953	0.952380952380953	0.880952380952381	0.97007727214974	0.904761904761905	0.946124746911475	0.904761904761905	0.785714285714286	0.976190476190476	0.904761904761905	0.976190476190476	0.904761904761905	0.904761904761905	0.898219696434944	0.754504545005353	0.850314645958414	0.754504545005353	0.754504545005353	0.754504545005353
Ohtaekwangia	0.874267171196679	0.874267171196679	0.862290908577547	0.898219696434944	0.874267171196679	1	0.958101009530607	0.958101009530607	0.97007727214974	0.753012048192771	0.922172221673209	0.94578313253012	0.802409595481884	0.898219696434944	0.850314645958414	0.946124746911475	0.766480807624486	0.790433332862751	0.778457070243618	0.765060240963855	0.927710843373494	0.975903614457831	0.927710843373494	0.927710843373494	0.927710843373494
Nannocystis	0.952380952380953	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.958101009530607	1	1	0.928571428571429	0.874267171196679	0.904761904761905	0.994029797388005	0.880952380952381	0.904761904761905	0.904761904761905	0.904761904761905	0.880952380952381	0.880952380952381	0.857142857142857	0.850314645958414	0.838338383339281	0.910195959054077	0.838338383339281	0.838338383339281	0.838338383339281
Amaricoccus	0.952380952380953	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.958101009530607	1	1	0.928571428571429	0.874267171196679	0.904761904761905	0.994029797388005	0.880952380952381	0.904761904761905	0.904761904761905	0.904761904761905	0.880952380952381	0.880952380952381	0.857142857142857	0.850314645958414	0.838338383339281	0.910195959054077	0.838338383339281	0.838338383339281	0.838338383339281
Labilithrix	0.880952380952381	0.880952380952381	0.833333333333333	0.904761904761905	0.880952380952381	0.97007727214974	0.928571428571429	0.928571428571429	1	0.754504545005353	0.904761904761905	0.898219696434944	0.785714285714286	0.785714285714286	0.904761904761905	0.976190476190476	0.785714285714286	0.857142857142857	0.738095238095238	0.706599494528823	0.97007727214974	0.994029797388005	0.97007727214974	0.97007727214974	0.97007727214974
Adhaeribacter	0.97007727214974	0.850314645958414	0.922172221673209	0.922172221673209	0.97007727214974	0.753012048192771	0.874267171196679	0.874267171196679	0.754504545005353	1	0.814385858101016	0.879518072289157	0.886243433815812	0.718575757147955	0.934148484292342	0.802409595481884	0.994029797388005	0.862290908577547	0.922172221673209	0.927710843373494	0.608433734939759	0.716867469879518	0.608433734939759	0.608433734939759	0.608433734939759
