Actinoplanes	Mesorhizobium	Steroidobacter	Umezawaea	Amycolatopsis	Galbitalea	Gaiella	Micromonospora	Dactylosporangium	Rudaibacter	Phenylobacterium	Nitrobacter	Polaromonas	Chryseolinea	Dongia	Aquihabitans	Rhizocola	g__Apodus	Kinneretia	Arenimonas	Catellatospora	Panacagrimonas	Pseudolabrys	Ramlibacter	Chitinimonas	Povalibacter	Parachlamydia	Thiomonas	Halobacteriovorax	Luteivirga	Sanguibacter	Tahibacter	Sulfurisoma
Actinoplanes	1	0.880952380952381	0.928571428571429	0.904761904761905	0.952380952380953	0.880952380952381	0.738095238095238	0.857142857142857	0.976190476190476	0.857142857142857	0.761904761904762	0.880952380952381	0.976190476190476	0.880952380952381	0.857142857142857	0.880952380952381	0.928571428571429	0.826362120720149	0.928571428571429	0.880952380952381	0.761904761904762	0.80952380952381	0.857142857142857	0.80952380952381	0.880952380952381	0.761904761904762	0.928571428571429	0.928571428571429	0.952380952380953	0.785714285714286	0.850314645958414	0.778457070243618	0.850314645958414
Mesorhizobium	0.880952380952381	1	0.857142857142857	0.904761904761905	0.952380952380953	0.690476190476191	0.80952380952381	0.714285714285714	0.904761904761905	0.714285714285714	0.904761904761905	0.952380952380953	0.785714285714286	0.690476190476191	0.785714285714286	0.833333333333333	0.857142857142857	0.778457070243618	0.785714285714286	0.690476190476191	0.833333333333333	0.952380952380953	0.785714285714286	0.880952380952381	0.80952380952381	0.833333333333333	0.880952380952381	0.857142857142857	0.952380952380953	0.80952380952381	0.826362120720149	0.802409595481884	0.826362120720149
Steroidobacter	0.928571428571429	0.857142857142857	1	0.976190476190476	0.952380952380953	0.952380952380953	0.904761904761905	0.928571428571429	0.976190476190476	0.928571428571429	0.857142857142857	0.833333333333333	0.904761904761905	0.952380952380953	0.976190476190476	0.952380952380953	1	0.946124746911475	0.904761904761905	0.952380952380953	0.880952380952381	0.833333333333333	0.976190476190476	0.928571428571429	0.952380952380953	0.880952380952381	0.857142857142857	1	0.952380952380953	0.904761904761905	0.922172221673209	0.850314645958414	0.922172221673209
Umezawaea	0.904761904761905	0.904761904761905	0.976190476190476	1	0.976190476190476	0.904761904761905	0.928571428571429	0.904761904761905	0.952380952380953	0.904761904761905	0.928571428571429	0.857142857142857	0.857142857142857	0.904761904761905	0.928571428571429	0.976190476190476	0.976190476190476	0.898219696434944	0.833333333333333	0.904761904761905	0.952380952380953	0.904761904761905	0.928571428571429	0.976190476190476	0.928571428571429	0.952380952380953	0.904761904761905	0.976190476190476	0.976190476190476	0.952380952380953	0.97007727214974	0.922172221673209	0.97007727214974
Amycolatopsis	0.952380952380953	0.952380952380953	0.952380952380953	0.976190476190476	1	0.857142857142857	0.857142857142857	0.880952380952381	0.976190476190476	0.880952380952381	0.904761904761905	0.928571428571429	0.904761904761905	0.857142857142857	0.880952380952381	0.928571428571429	0.952380952380953	0.838338383339281	0.880952380952381	0.857142857142857	0.904761904761905	0.928571428571429	0.880952380952381	0.928571428571429	0.880952380952381	0.904761904761905	0.952380952380953	0.952380952380953	1	0.880952380952381	0.934148484292342	0.886243433815812	0.934148484292342
Galbitalea	0.880952380952381	0.690476190476191	0.952380952380953	0.904761904761905	0.857142857142857	1	0.80952380952381	0.952380952380953	0.904761904761905	0.952380952380953	0.714285714285714	0.666666666666667	0.904761904761905	1	0.928571428571429	0.928571428571429	0.952380952380953	0.898219696434944	0.857142857142857	1	0.80952380952381	0.666666666666667	0.928571428571429	0.833333333333333	0.928571428571429	0.80952380952381	0.80952380952381	0.952380952380953	0.857142857142857	0.857142857142857	0.898219696434944	0.826362120720149	0.898219696434944
Gaiella	0.738095238095238	0.80952380952381	0.904761904761905	0.928571428571429	0.857142857142857	0.80952380952381	1	0.785714285714286	0.833333333333333	0.785714285714286	0.952380952380953	0.785714285714286	0.666666666666667	0.80952380952381	0.928571428571429	0.904761904761905	0.904761904761905	0.898219696434944	0.714285714285714	0.80952380952381	0.928571428571429	0.880952380952381	0.928571428571429	0.976190476190476	0.857142857142857	0.928571428571429	0.714285714285714	0.904761904761905	0.857142857142857	0.952380952380953	0.874267171196679	0.802409595481884	0.874267171196679
Micromonospora	0.857142857142857	0.714285714285714	0.928571428571429	0.904761904761905	0.880952380952381	0.952380952380953	0.785714285714286	1	0.904761904761905	1	0.738095238095238	0.714285714285714	0.904761904761905	0.952380952380953	0.880952380952381	0.880952380952381	0.928571428571429	0.802409595481884	0.880952380952381	0.952380952380953	0.857142857142857	0.714285714285714	0.880952380952381	0.833333333333333	0.833333333333333	0.857142857142857	0.857142857142857	0.928571428571429	0.880952380952381	0.80952380952381	0.922172221673209	0.874267171196679	0.922172221673209
Dactylosporangium	0.976190476190476	0.904761904761905	0.976190476190476	0.952380952380953	0.976190476190476	0.904761904761905	0.833333333333333	0.904761904761905	1	0.904761904761905	0.833333333333333	0.904761904761905	0.952380952380953	0.904761904761905	0.928571428571429	0.904761904761905	0.976190476190476	0.886243433815812	0.952380952380953	0.904761904761905	0.833333333333333	0.857142857142857	0.928571428571429	0.880952380952381	0.904761904761905	0.833333333333333	0.904761904761905	0.976190476190476	0.976190476190476	0.833333333333333	0.886243433815812	0.814385858101016	0.886243433815812
Rudaibacter	0.857142857142857	0.714285714285714	0.928571428571429	0.904761904761905	0.880952380952381	0.952380952380953	0.785714285714286	1	0.904761904761905	1	0.738095238095238	0.714285714285714	0.904761904761905	0.952380952380953	0.880952380952381	0.880952380952381	0.928571428571429	0.802409595481884	0.880952380952381	0.952380952380953	0.857142857142857	0.714285714285714	0.880952380952381	0.833333333333333	0.833333333333333	0.857142857142857	0.857142857142857	0.928571428571429	0.880952380952381	0.80952380952381	0.922172221673209	0.874267171196679	0.922172221673209
