Conexibacter	Aquabacterium	Kaistia	Hyphomicrobium	Ideonella	Marmoricola	Dissulfuribacter	Geobacter	Gemmatimonas	Dongia	Haliangium	Rhizocola	g__Apodus	Sporichthya	Ilumatobacter	Niastella	Rhodoligotrophos	Pseudolabrys	Actinocorallia	Oscillochloris	Methyloceanibacter	Sulfuriferula	Labilithrix	Variibacter	Thiomonas	Cohnella	Ardenticatena	Chelativorans	Roseiflexus	Thermoleophilum	Acidiphilium	Skermanella	Sneathiella	Terrimonas
Conexibacter	1	0.952380952380953	0.833333333333333	0.928571428571429	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.976190476190476	0.952380952380953	0.928571428571429	0.946124746911475	0.928571428571429	0.952380952380953	0.857142857142857	0.952380952380953	0.976190476190476	0.80952380952381	0.922172221673209	0.952380952380953	0.80952380952381	0.928571428571429	0.952380952380953	0.928571428571429	0.833333333333333	0.952380952380953	0.857142857142857	0.898219696434944	0.80952380952381	0.922172221673209	0.898219696434944	0.898219696434944	0.898219696434944
Aquabacterium	0.952380952380953	1	0.880952380952381	0.857142857142857	0.904761904761905	0.904761904761905	0.857142857142857	0.880952380952381	0.904761904761905	0.928571428571429	0.857142857142857	0.857142857142857	0.934148484292342	0.880952380952381	0.880952380952381	0.857142857142857	0.857142857142857	0.928571428571429	0.880952380952381	0.898219696434944	0.857142857142857	0.857142857142857	0.880952380952381	0.952380952380953	0.857142857142857	0.857142857142857	0.880952380952381	0.928571428571429	0.874267171196679	0.880952380952381	0.898219696434944	0.874267171196679	0.874267171196679	0.874267171196679
Kaistia	0.833333333333333	0.880952380952381	1	0.80952380952381	0.738095238095238	0.738095238095238	0.666666666666667	0.761904761904762	0.738095238095238	0.857142857142857	0.690476190476191	0.833333333333333	0.790433332862751	0.714285714285714	0.761904761904762	0.857142857142857	0.666666666666667	0.857142857142857	0.904761904761905	0.754504545005353	0.690476190476191	0.833333333333333	0.714285714285714	0.928571428571429	0.833333333333333	0.928571428571429	0.761904761904762	0.833333333333333	0.778457070243618	0.952380952380953	0.754504545005353	0.778457070243618	0.778457070243618	0.778457070243618
Hyphomicrobium	0.928571428571429	0.857142857142857	0.80952380952381	1	0.904761904761905	0.904761904761905	0.880952380952381	0.952380952380953	0.904761904761905	0.976190476190476	0.833333333333333	0.952380952380953	0.922172221673209	0.857142857142857	0.952380952380953	0.928571428571429	0.880952380952381	0.976190476190476	0.642857142857143	0.850314645958414	0.833333333333333	0.642857142857143	0.857142857142857	0.952380952380953	0.952380952380953	0.690476190476191	0.952380952380953	0.880952380952381	0.898219696434944	0.714285714285714	0.850314645958414	0.898219696434944	0.898219696434944	0.898219696434944
Ideonella	0.976190476190476	0.904761904761905	0.738095238095238	0.904761904761905	1	1	0.976190476190476	0.976190476190476	1	0.952380952380953	0.976190476190476	0.904761904761905	0.946124746911475	0.976190476190476	0.976190476190476	0.833333333333333	0.976190476190476	0.952380952380953	0.714285714285714	0.958101009530607	0.976190476190476	0.785714285714286	0.976190476190476	0.904761904761905	0.904761904761905	0.738095238095238	0.976190476190476	0.80952380952381	0.934148484292342	0.738095238095238	0.958101009530607	0.934148484292342	0.934148484292342	0.934148484292342
Marmoricola	0.976190476190476	0.904761904761905	0.738095238095238	0.904761904761905	1	1	0.976190476190476	0.976190476190476	1	0.952380952380953	0.976190476190476	0.904761904761905	0.946124746911475	0.976190476190476	0.976190476190476	0.833333333333333	0.976190476190476	0.952380952380953	0.714285714285714	0.958101009530607	0.976190476190476	0.785714285714286	0.976190476190476	0.904761904761905	0.904761904761905	0.738095238095238	0.976190476190476	0.80952380952381	0.934148484292342	0.738095238095238	0.958101009530607	0.934148484292342	0.934148484292342	0.934148484292342
Dissulfuribacter	0.952380952380953	0.857142857142857	0.666666666666667	0.880952380952381	0.976190476190476	0.976190476190476	1	0.928571428571429	0.976190476190476	0.904761904761905	0.952380952380953	0.833333333333333	0.874267171196679	0.952380952380953	0.928571428571429	0.80952380952381	1	0.904761904761905	0.642857142857143	0.934148484292342	0.952380952380953	0.761904761904762	0.952380952380953	0.857142857142857	0.833333333333333	0.690476190476191	0.928571428571429	0.738095238095238	0.886243433815812	0.690476190476191	0.934148484292342	0.886243433815812	0.886243433815812	0.886243433815812
Geobacter	0.952380952380953	0.880952380952381	0.761904761904762	0.952380952380953	0.976190476190476	0.976190476190476	0.928571428571429	1	0.976190476190476	0.976190476190476	0.928571428571429	0.952380952380953	0.97007727214974	0.952380952380953	1	0.880952380952381	0.928571428571429	0.976190476190476	0.666666666666667	0.934148484292342	0.928571428571429	0.714285714285714	0.952380952380953	0.928571428571429	0.952380952380953	0.690476190476191	1	0.857142857142857	0.958101009530607	0.714285714285714	0.934148484292342	0.958101009530607	0.958101009530607	0.958101009530607
Gemmatimonas	0.976190476190476	0.904761904761905	0.738095238095238	0.904761904761905	1	1	0.976190476190476	0.976190476190476	1	0.952380952380953	0.976190476190476	0.904761904761905	0.946124746911475	0.976190476190476	0.976190476190476	0.833333333333333	0.976190476190476	0.952380952380953	0.714285714285714	0.958101009530607	0.976190476190476	0.785714285714286	0.976190476190476	0.904761904761905	0.904761904761905	0.738095238095238	0.976190476190476	0.80952380952381	0.934148484292342	0.738095238095238	0.958101009530607	0.934148484292342	0.934148484292342	0.934148484292342
Dongia	0.976190476190476	0.928571428571429	0.857142857142857	0.976190476190476	0.952380952380953	0.952380952380953	0.904761904761905	0.976190476190476	0.952380952380953	1	0.904761904761905	0.976190476190476	0.97007727214974	0.904761904761905	0.976190476190476	0.904761904761905	0.904761904761905	1	0.761904761904762	0.898219696434944	0.904761904761905	0.738095238095238	0.904761904761905	0.976190476190476	0.976190476190476	0.785714285714286	0.976190476190476	0.904761904761905	0.922172221673209	0.785714285714286	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
