Aeromicrobium	Steroidobacter	Umezawaea	Cellulomonas	Aquihabitans	Haliangium	Rhizocola	g__Apodus	Knoellia	Rhizomicrobium	Saccharothrix	Ilumatobacter	Nitrospira	Cellvibrio	Arenimonas	Catellatospora	Aquimonas	Pseudolabrys	Ramlibacter	Chitinimonas	Methyloceanibacter	Povalibacter	Parachlamydia	Thiomonas	Halobacteriovorax	Tumebacillus	Ardenticatena	Luteivirga	Sanguibacter	Tahibacter	Sandaracinus	Sulfurisoma	Polyangium
Aeromicrobium	1	0.904761904761905	0.952380952380953	1	0.976190476190476	0.976190476190476	0.904761904761905	0.874267171196679	0.928571428571429	0.833333333333333	0.904761904761905	0.904761904761905	0.928571428571429	0.952380952380953	0.857142857142857	0.952380952380953	0.785714285714286	0.880952380952381	0.976190476190476	0.904761904761905	0.976190476190476	0.952380952380953	0.80952380952381	0.904761904761905	0.880952380952381	0.928571428571429	0.904761904761905	1	0.946124746911475	0.898219696434944	0.886243433815812	0.946124746911475	0.904761904761905
Steroidobacter	0.904761904761905	1	0.976190476190476	0.904761904761905	0.952380952380953	0.880952380952381	1	0.946124746911475	0.80952380952381	0.690476190476191	0.80952380952381	0.952380952380953	0.80952380952381	0.785714285714286	0.952380952380953	0.880952380952381	0.857142857142857	0.976190476190476	0.928571428571429	0.952380952380953	0.880952380952381	0.880952380952381	0.857142857142857	1	0.952380952380953	0.80952380952381	0.952380952380953	0.904761904761905	0.922172221673209	0.850314645958414	0.682646969290558	0.922172221673209	0.80952380952381
Umezawaea	0.952380952380953	0.976190476190476	1	0.952380952380953	0.976190476190476	0.904761904761905	0.976190476190476	0.898219696434944	0.833333333333333	0.785714285714286	0.880952380952381	0.904761904761905	0.833333333333333	0.833333333333333	0.904761904761905	0.952380952380953	0.833333333333333	0.928571428571429	0.976190476190476	0.928571428571429	0.904761904761905	0.952380952380953	0.904761904761905	0.976190476190476	0.976190476190476	0.833333333333333	0.904761904761905	0.952380952380953	0.97007727214974	0.922172221673209	0.790433332862751	0.97007727214974	0.857142857142857
Cellulomonas	1	0.904761904761905	0.952380952380953	1	0.976190476190476	0.976190476190476	0.904761904761905	0.874267171196679	0.928571428571429	0.833333333333333	0.904761904761905	0.904761904761905	0.928571428571429	0.952380952380953	0.857142857142857	0.952380952380953	0.785714285714286	0.880952380952381	0.976190476190476	0.904761904761905	0.976190476190476	0.952380952380953	0.80952380952381	0.904761904761905	0.880952380952381	0.928571428571429	0.904761904761905	1	0.946124746911475	0.898219696434944	0.886243433815812	0.946124746911475	0.904761904761905
Aquihabitans	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	1	0.928571428571429	0.952380952380953	0.898219696434944	0.857142857142857	0.857142857142857	0.857142857142857	0.928571428571429	0.857142857142857	0.880952380952381	0.928571428571429	0.928571428571429	0.880952380952381	0.904761904761905	0.952380952380953	0.952380952380953	0.928571428571429	0.928571428571429	0.880952380952381	0.952380952380953	0.928571428571429	0.857142857142857	0.928571428571429	0.976190476190476	0.97007727214974	0.922172221673209	0.850314645958414	0.97007727214974	0.928571428571429
Haliangium	0.976190476190476	0.880952380952381	0.904761904761905	0.976190476190476	0.928571428571429	1	0.880952380952381	0.898219696434944	0.976190476190476	0.714285714285714	0.880952380952381	0.928571428571429	0.976190476190476	0.976190476190476	0.833333333333333	0.904761904761905	0.714285714285714	0.904761904761905	0.952380952380953	0.880952380952381	1	0.904761904761905	0.690476190476191	0.880952380952381	0.80952380952381	0.976190476190476	0.928571428571429	0.976190476190476	0.874267171196679	0.802409595481884	0.814385858101016	0.874267171196679	0.833333333333333
Rhizocola	0.904761904761905	1	0.976190476190476	0.904761904761905	0.952380952380953	0.880952380952381	1	0.946124746911475	0.80952380952381	0.690476190476191	0.80952380952381	0.952380952380953	0.80952380952381	0.785714285714286	0.952380952380953	0.880952380952381	0.857142857142857	0.976190476190476	0.928571428571429	0.952380952380953	0.880952380952381	0.880952380952381	0.857142857142857	1	0.952380952380953	0.80952380952381	0.952380952380953	0.904761904761905	0.922172221673209	0.850314645958414	0.682646969290558	0.922172221673209	0.80952380952381
g__Apodus	0.874267171196679	0.946124746911475	0.898219696434944	0.874267171196679	0.898219696434944	0.898219696434944	0.946124746911475	1	0.826362120720149	0.586836868337497	0.706599494528823	0.97007727214974	0.826362120720149	0.814385858101016	0.898219696434944	0.778457070243618	0.742528282386221	0.97007727214974	0.874267171196679	0.97007727214974	0.898219696434944	0.778457070243618	0.682646969290558	0.946124746911475	0.838338383339281	0.826362120720149	0.97007727214974	0.874267171196679	0.807228915662651	0.734939759036145	0.596385542168675	0.807228915662651	0.754504545005353
Knoellia	0.928571428571429	0.80952380952381	0.833333333333333	0.928571428571429	0.857142857142857	0.976190476190476	0.80952380952381	0.826362120720149	1	0.642857142857143	0.904761904761905	0.880952380952381	1	0.952380952380953	0.785714285714286	0.880952380952381	0.666666666666667	0.857142857142857	0.904761904761905	0.785714285714286	0.976190476190476	0.880952380952381	0.595238095238095	0.80952380952381	0.714285714285714	1	0.880952380952381	0.928571428571429	0.826362120720149	0.754504545005353	0.766480807624486	0.826362120720149	0.738095238095238
Rhizomicrobium	0.833333333333333	0.690476190476191	0.785714285714286	0.833333333333333	0.857142857142857	0.714285714285714	0.690476190476191	0.586836868337497	0.642857142857143	1	0.738095238095238	0.642857142857143	0.642857142857143	0.738095238095238	0.714285714285714	0.80952380952381	0.80952380952381	0.571428571428572	0.761904761904762	0.738095238095238	0.714285714285714	0.80952380952381	0.857142857142857	0.690476190476191	0.761904761904762	0.642857142857143	0.642857142857143	0.833333333333333	0.874267171196679	0.898219696434944	0.934148484292342	0.874267171196679	0.928571428571429
Saccharothrix	0.904761904761905	0.80952380952381	0.880952380952381	0.904761904761905	0.857142857142857	0.880952380952381	0.80952380952381	0.706599494528823	0.904761904761905	0.738095238095238	1	0.761904761904762	0.904761904761905	0.833333333333333	0.761904761904762	0.976190476190476	0.714285714285714	0.785714285714286	0.928571428571429	0.714285714285714	0.880952380952381	0.976190476190476	0.761904761904762	0.80952380952381	0.80952380952381	0.904761904761905	0.761904761904762	0.904761904761905	0.922172221673209	0.898219696434944	0.802409595481884	0.922172221673209	0.714285714285714
