Galbitalea	Chryseolinea	Arenimonas	Aquimonas	Parachlamydia	Thiomonas	Sanguibacter	Tahibacter	Sulfurisoma	Methylosinus	Thiobacillus
Galbitalea	1	1	1	0.952380952380953	0.80952380952381	0.952380952380953	0.898219696434944	0.826362120720149	0.898219696434944	0.946124746911475	0.814385858101016
Chryseolinea	1	1	1	0.952380952380953	0.80952380952381	0.952380952380953	0.898219696434944	0.826362120720149	0.898219696434944	0.946124746911475	0.814385858101016
Arenimonas	1	1	1	0.952380952380953	0.80952380952381	0.952380952380953	0.898219696434944	0.826362120720149	0.898219696434944	0.946124746911475	0.814385858101016
Aquimonas	0.952380952380953	0.952380952380953	0.952380952380953	1	0.857142857142857	0.857142857142857	0.886243433815812	0.838338383339281	0.886243433815812	0.934148484292342	0.874267171196679
Parachlamydia	0.80952380952381	0.80952380952381	0.80952380952381	0.857142857142857	1	0.857142857142857	0.922172221673209	0.898219696434944	0.922172221673209	0.778457070243618	0.64671818143316
Thiomonas	0.952380952380953	0.952380952380953	0.952380952380953	0.857142857142857	0.857142857142857	1	0.922172221673209	0.850314645958414	0.922172221673209	0.874267171196679	0.670670706671425
Sanguibacter	0.898219696434944	0.898219696434944	0.898219696434944	0.886243433815812	0.922172221673209	0.922172221673209	1	0.975903614457831	1	0.855421686746988	0.753012048192771
Tahibacter	0.826362120720149	0.826362120720149	0.826362120720149	0.838338383339281	0.898219696434944	0.850314645958414	0.975903614457831	1	0.975903614457831	0.831325301204819	0.704819277108434
Sulfurisoma	0.898219696434944	0.898219696434944	0.898219696434944	0.886243433815812	0.922172221673209	0.922172221673209	1	0.975903614457831	1	0.855421686746988	0.753012048192771
Methylosinus	0.946124746911475	0.946124746911475	0.946124746911475	0.934148484292342	0.778457070243618	0.874267171196679	0.855421686746988	0.831325301204819	0.855421686746988	1	0.86144578313253
Thiobacillus	0.814385858101016	0.814385858101016	0.814385858101016	0.874267171196679	0.64671818143316	0.670670706671425	0.753012048192771	0.704819277108434	0.753012048192771	0.86144578313253	1
