Sorangium	Bacillus	Blastococcus	Gaiella	Paenibacillus	Phenylobacterium	g__Mortierella	Aquihabitans	Haliangium	Knoellia	Sporosarcina	Nitrospira	Cellvibrio	Catellatospora	Peredibacter	Panacagrimonas	Ramlibacter	Nannocystis	Methyloceanibacter	Streptosporangium	Amaricoccus	Povalibacter	Adhaeribacter	Nitrincola	Lautropia	Tumebacillus	Rubrobacter	Luteivirga	Sandaracinus	Polyangium
Sorangium	1	0.976190476190476	0.928571428571429	0.904761904761905	0.952380952380953	0.904761904761905	0.904761904761905	0.928571428571429	0.952380952380953	0.904761904761905	0.952380952380953	0.904761904761905	0.976190476190476	0.904761904761905	0.928571428571429	0.833333333333333	0.928571428571429	0.928571428571429	0.952380952380953	0.904761904761905	0.928571428571429	0.904761904761905	0.898219696434944	0.922172221673209	0.904761904761905	0.904761904761905	0.904761904761905	0.976190476190476	0.946124746911475	0.928571428571429
Bacillus	0.976190476190476	1	0.904761904761905	0.880952380952381	0.928571428571429	0.928571428571429	0.857142857142857	0.857142857142857	0.904761904761905	0.857142857142857	0.976190476190476	0.857142857142857	0.952380952380953	0.880952380952381	0.904761904761905	0.880952380952381	0.904761904761905	0.904761904761905	0.904761904761905	0.952380952380953	0.904761904761905	0.880952380952381	0.898219696434944	0.922172221673209	0.952380952380953	0.857142857142857	0.880952380952381	0.928571428571429	0.946124746911475	0.880952380952381
Blastococcus	0.928571428571429	0.904761904761905	1	0.904761904761905	0.928571428571429	0.833333333333333	0.976190476190476	0.80952380952381	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	0.833333333333333	1	0.714285714285714	0.857142857142857	0.952380952380953	0.952380952380953	0.904761904761905	0.952380952380953	0.833333333333333	0.97007727214974	0.946124746911475	0.904761904761905	0.976190476190476	0.976190476190476	0.904761904761905	0.826362120720149	0.761904761904762
Gaiella	0.904761904761905	0.880952380952381	0.904761904761905	1	0.904761904761905	0.952380952380953	0.952380952380953	0.904761904761905	0.976190476190476	0.952380952380953	0.904761904761905	0.952380952380953	0.928571428571429	0.928571428571429	0.904761904761905	0.880952380952381	0.976190476190476	0.857142857142857	0.976190476190476	0.928571428571429	0.857142857142857	0.928571428571429	0.850314645958414	0.850314645958414	0.928571428571429	0.952380952380953	0.857142857142857	0.952380952380953	0.754504545005353	0.761904761904762
Paenibacillus	0.952380952380953	0.928571428571429	0.928571428571429	0.904761904761905	1	0.857142857142857	0.904761904761905	0.857142857142857	0.952380952380953	0.904761904761905	0.952380952380953	0.904761904761905	0.976190476190476	0.80952380952381	0.928571428571429	0.761904761904762	0.880952380952381	0.952380952380953	0.952380952380953	0.904761904761905	0.952380952380953	0.80952380952381	0.850314645958414	0.946124746911475	0.904761904761905	0.904761904761905	0.857142857142857	0.928571428571429	0.826362120720149	0.833333333333333
Phenylobacterium	0.904761904761905	0.928571428571429	0.833333333333333	0.952380952380953	0.857142857142857	1	0.857142857142857	0.880952380952381	0.904761904761905	0.857142857142857	0.904761904761905	0.857142857142857	0.880952380952381	0.952380952380953	0.833333333333333	0.976190476190476	0.976190476190476	0.785714285714286	0.904761904761905	0.952380952380953	0.785714285714286	0.952380952380953	0.826362120720149	0.802409595481884	0.952380952380953	0.857142857142857	0.80952380952381	0.928571428571429	0.826362120720149	0.785714285714286
g__Mortierella	0.904761904761905	0.857142857142857	0.976190476190476	0.952380952380953	0.904761904761905	0.857142857142857	1	0.857142857142857	0.976190476190476	1	0.904761904761905	1	0.952380952380953	0.880952380952381	0.976190476190476	0.738095238095238	0.904761904761905	0.904761904761905	0.976190476190476	0.880952380952381	0.904761904761905	0.880952380952381	0.934148484292342	0.886243433815812	0.880952380952381	1	0.952380952380953	0.928571428571429	0.766480807624486	0.738095238095238
Aquihabitans	0.928571428571429	0.857142857142857	0.80952380952381	0.904761904761905	0.857142857142857	0.880952380952381	0.857142857142857	1	0.928571428571429	0.857142857142857	0.80952380952381	0.857142857142857	0.880952380952381	0.928571428571429	0.80952380952381	0.833333333333333	0.952380952380953	0.80952380952381	0.928571428571429	0.785714285714286	0.80952380952381	0.928571428571429	0.754504545005353	0.778457070243618	0.785714285714286	0.857142857142857	0.785714285714286	0.976190476190476	0.850314645958414	0.928571428571429
Haliangium	0.952380952380953	0.904761904761905	0.952380952380953	0.976190476190476	0.952380952380953	0.904761904761905	0.976190476190476	0.928571428571429	1	0.976190476190476	0.928571428571429	0.976190476190476	0.976190476190476	0.904761904761905	0.952380952380953	0.80952380952381	0.952380952380953	0.928571428571429	1	0.904761904761905	0.928571428571429	0.904761904761905	0.886243433815812	0.910195959054077	0.904761904761905	0.976190476190476	0.904761904761905	0.976190476190476	0.814385858101016	0.833333333333333
Knoellia	0.904761904761905	0.857142857142857	0.976190476190476	0.952380952380953	0.904761904761905	0.857142857142857	1	0.857142857142857	0.976190476190476	1	0.904761904761905	1	0.952380952380953	0.880952380952381	0.976190476190476	0.738095238095238	0.904761904761905	0.904761904761905	0.976190476190476	0.880952380952381	0.904761904761905	0.880952380952381	0.934148484292342	0.886243433815812	0.880952380952381	1	0.952380952380953	0.928571428571429	0.766480807624486	0.738095238095238
