Burkholderia	Altererythrobacter	g__Pseudogymnoascus	Actinosynnema	Chitinophaga	g__Monocillium	Afipia	Kinneretia	Methylobacterium	Pedomicrobium	Chelatococcus	Oxalicibacterium	Anaeromyxobacter
Burkholderia	1	0.952380952380953	0.904761904761905	0.857142857142857	0.880952380952381	0.904761904761905	0.857142857142857	0.857142857142857	0.904761904761905	0.952380952380953	0.952380952380953	0.922172221673209	0.838338383339281
Altererythrobacter	0.952380952380953	1	0.904761904761905	0.80952380952381	0.80952380952381	0.785714285714286	0.857142857142857	0.785714285714286	0.928571428571429	0.952380952380953	0.857142857142857	0.922172221673209	0.922172221673209
g__Pseudogymnoascus	0.904761904761905	0.904761904761905	1	0.904761904761905	0.785714285714286	0.761904761904762	0.904761904761905	0.714285714285714	0.952380952380953	0.904761904761905	0.904761904761905	0.874267171196679	0.790433332862751
Actinosynnema	0.857142857142857	0.80952380952381	0.904761904761905	1	0.904761904761905	0.690476190476191	0.80952380952381	0.880952380952381	0.785714285714286	0.761904761904762	0.952380952380953	0.706599494528823	0.706599494528823
Chitinophaga	0.880952380952381	0.80952380952381	0.785714285714286	0.904761904761905	1	0.80952380952381	0.80952380952381	0.952380952380953	0.761904761904762	0.80952380952381	0.928571428571429	0.766480807624486	0.754504545005353
g__Monocillium	0.904761904761905	0.785714285714286	0.761904761904762	0.690476190476191	0.80952380952381	1	0.738095238095238	0.714285714285714	0.833333333333333	0.904761904761905	0.857142857142857	0.862290908577547	0.742528282386221
Afipia	0.857142857142857	0.857142857142857	0.904761904761905	0.80952380952381	0.80952380952381	0.738095238095238	1	0.738095238095238	0.904761904761905	0.880952380952381	0.833333333333333	0.934148484292342	0.69462323190969
Kinneretia	0.857142857142857	0.785714285714286	0.714285714285714	0.880952380952381	0.952380952380953	0.714285714285714	0.738095238095238	1	0.642857142857143	0.714285714285714	0.904761904761905	0.69462323190969	0.670670706671425
Methylobacterium	0.904761904761905	0.928571428571429	0.952380952380953	0.785714285714286	0.761904761904762	0.833333333333333	0.904761904761905	0.642857142857143	1	0.976190476190476	0.833333333333333	0.946124746911475	0.874267171196679
Pedomicrobium	0.952380952380953	0.952380952380953	0.904761904761905	0.761904761904762	0.80952380952381	0.904761904761905	0.880952380952381	0.714285714285714	0.976190476190476	1	0.857142857142857	0.97007727214974	0.898219696434944
Chelatococcus	0.952380952380953	0.857142857142857	0.904761904761905	0.952380952380953	0.928571428571429	0.857142857142857	0.833333333333333	0.904761904761905	0.833333333333333	0.857142857142857	1	0.814385858101016	0.730552019767088
Oxalicibacterium	0.922172221673209	0.922172221673209	0.874267171196679	0.706599494528823	0.766480807624486	0.862290908577547	0.934148484292342	0.69462323190969	0.946124746911475	0.97007727214974	0.814385858101016	1	0.801204819277108
Anaeromyxobacter	0.838338383339281	0.922172221673209	0.790433332862751	0.706599494528823	0.754504545005353	0.742528282386221	0.69462323190969	0.670670706671425	0.874267171196679	0.898219696434944	0.730552019767088	0.801204819277108	1
