Caulobacter	Shinella	Bosea	Nitrobacter	Kaistia	Reyranella	g__Didymella	Cohnella	Thermoleophilum	Pseudenhygromyxa	Ammoniphilus
Caulobacter	1	0.904761904761905	0.904761904761905	0.857142857142857	0.928571428571429	0.976190476190476	0.952380952380953	0.857142857142857	0.880952380952381	0.862290908577547	0.97007727214974
Shinella	0.904761904761905	1	0.880952380952381	0.976190476190476	0.976190476190476	0.928571428571429	0.904761904761905	0.904761904761905	0.880952380952381	0.730552019767088	0.934148484292342
Bosea	0.904761904761905	0.880952380952381	1	0.904761904761905	0.904761904761905	0.880952380952381	0.833333333333333	0.976190476190476	0.904761904761905	0.898219696434944	0.910195959054077
Nitrobacter	0.857142857142857	0.976190476190476	0.904761904761905	1	0.928571428571429	0.904761904761905	0.880952380952381	0.928571428571429	0.833333333333333	0.730552019767088	0.874267171196679
Kaistia	0.928571428571429	0.976190476190476	0.904761904761905	0.928571428571429	1	0.904761904761905	0.880952380952381	0.928571428571429	0.952380952380953	0.790433332862751	0.97007727214974
Reyranella	0.976190476190476	0.928571428571429	0.880952380952381	0.904761904761905	0.904761904761905	1	0.976190476190476	0.833333333333333	0.80952380952381	0.802409595481884	0.934148484292342
g__Didymella	0.952380952380953	0.904761904761905	0.833333333333333	0.880952380952381	0.880952380952381	0.976190476190476	1	0.80952380952381	0.785714285714286	0.778457070243618	0.886243433815812
Cohnella	0.857142857142857	0.904761904761905	0.976190476190476	0.928571428571429	0.928571428571429	0.833333333333333	0.80952380952381	1	0.928571428571429	0.850314645958414	0.886243433815812
Thermoleophilum	0.880952380952381	0.880952380952381	0.904761904761905	0.833333333333333	0.952380952380953	0.80952380952381	0.785714285714286	0.928571428571429	1	0.886243433815812	0.946124746911475
Pseudenhygromyxa	0.862290908577547	0.730552019767088	0.898219696434944	0.730552019767088	0.790433332862751	0.802409595481884	0.778457070243618	0.850314645958414	0.886243433815812	1	0.86144578313253
Ammoniphilus	0.97007727214974	0.934148484292342	0.910195959054077	0.874267171196679	0.97007727214974	0.934148484292342	0.886243433815812	0.886243433815812	0.946124746911475	0.86144578313253	1
