Aeromicrobium	Sorangium	Agromyces	Solirubrobacter	Cellulomonas	Bacillus	Blastococcus	Paenibacillus	g__Mortierella	Haliangium	Knoellia	Sporosarcina	Nitrospira	Cellvibrio	Catellatospora	Peredibacter	Rhodoligotrophos	Ramlibacter	Ohtaekwangia	Oscillochloris	Nannocystis	Methyloceanibacter	Streptosporangium	Amaricoccus	Povalibacter	Labilithrix	Adhaeribacter	Uliginosibacterium	Nitrincola	Lautropia	Tumebacillus	Ardenticatena	Gp22	Rubrobacter	Luteivirga	Nakamurella	Acidiphilium	Sandaracinus	Polyangium	Armatimonadetes_gp5
Aeromicrobium	1	0.976190476190476	0.976190476190476	0.976190476190476	1	0.928571428571429	0.904761904761905	0.928571428571429	0.928571428571429	0.976190476190476	0.928571428571429	0.904761904761905	0.928571428571429	0.952380952380953	0.952380952380953	0.904761904761905	0.880952380952381	0.976190476190476	0.790433332862751	0.814385858101016	0.880952380952381	0.976190476190476	0.880952380952381	0.880952380952381	0.952380952380953	0.857142857142857	0.862290908577547	0.714285714285714	0.862290908577547	0.880952380952381	0.928571428571429	0.904761904761905	0.80952380952381	0.880952380952381	1	0.904761904761905	0.814385858101016	0.886243433815812	0.904761904761905	0.898219696434944
Sorangium	0.976190476190476	1	0.952380952380953	0.952380952380953	0.976190476190476	0.976190476190476	0.928571428571429	0.952380952380953	0.904761904761905	0.952380952380953	0.904761904761905	0.952380952380953	0.904761904761905	0.976190476190476	0.904761904761905	0.928571428571429	0.833333333333333	0.928571428571429	0.814385858101016	0.790433332862751	0.928571428571429	0.952380952380953	0.904761904761905	0.928571428571429	0.904761904761905	0.833333333333333	0.898219696434944	0.738095238095238	0.922172221673209	0.904761904761905	0.904761904761905	0.833333333333333	0.785714285714286	0.904761904761905	0.976190476190476	0.880952380952381	0.790433332862751	0.946124746911475	0.928571428571429	0.862290908577547
Agromyces	0.976190476190476	0.952380952380953	1	1	0.976190476190476	0.904761904761905	0.952380952380953	0.952380952380953	0.976190476190476	1	0.976190476190476	0.928571428571429	0.976190476190476	0.976190476190476	0.904761904761905	0.952380952380953	0.952380952380953	0.952380952380953	0.874267171196679	0.898219696434944	0.928571428571429	1	0.904761904761905	0.928571428571429	0.904761904761905	0.928571428571429	0.886243433815812	0.833333333333333	0.910195959054077	0.904761904761905	0.976190476190476	0.928571428571429	0.904761904761905	0.904761904761905	0.976190476190476	0.928571428571429	0.898219696434944	0.814385858101016	0.833333333333333	0.922172221673209
Solirubrobacter	0.976190476190476	0.952380952380953	1	1	0.976190476190476	0.904761904761905	0.952380952380953	0.952380952380953	0.976190476190476	1	0.976190476190476	0.928571428571429	0.976190476190476	0.976190476190476	0.904761904761905	0.952380952380953	0.952380952380953	0.952380952380953	0.874267171196679	0.898219696434944	0.928571428571429	1	0.904761904761905	0.928571428571429	0.904761904761905	0.928571428571429	0.886243433815812	0.833333333333333	0.910195959054077	0.904761904761905	0.976190476190476	0.928571428571429	0.904761904761905	0.904761904761905	0.976190476190476	0.928571428571429	0.898219696434944	0.814385858101016	0.833333333333333	0.922172221673209
Cellulomonas	1	0.976190476190476	0.976190476190476	0.976190476190476	1	0.928571428571429	0.904761904761905	0.928571428571429	0.928571428571429	0.976190476190476	0.928571428571429	0.904761904761905	0.928571428571429	0.952380952380953	0.952380952380953	0.904761904761905	0.880952380952381	0.976190476190476	0.790433332862751	0.814385858101016	0.880952380952381	0.976190476190476	0.880952380952381	0.880952380952381	0.952380952380953	0.857142857142857	0.862290908577547	0.714285714285714	0.862290908577547	0.880952380952381	0.928571428571429	0.904761904761905	0.80952380952381	0.880952380952381	1	0.904761904761905	0.814385858101016	0.886243433815812	0.904761904761905	0.898219696434944
Bacillus	0.928571428571429	0.976190476190476	0.904761904761905	0.904761904761905	0.928571428571429	1	0.904761904761905	0.928571428571429	0.857142857142857	0.904761904761905	0.857142857142857	0.976190476190476	0.857142857142857	0.952380952380953	0.880952380952381	0.904761904761905	0.761904761904762	0.904761904761905	0.778457070243618	0.730552019767088	0.904761904761905	0.904761904761905	0.952380952380953	0.904761904761905	0.880952380952381	0.761904761904762	0.898219696434944	0.690476190476191	0.922172221673209	0.952380952380953	0.857142857142857	0.738095238095238	0.714285714285714	0.880952380952381	0.928571428571429	0.833333333333333	0.730552019767088	0.946124746911475	0.880952380952381	0.826362120720149
Blastococcus	0.904761904761905	0.928571428571429	0.952380952380953	0.952380952380953	0.904761904761905	0.904761904761905	1	0.928571428571429	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	0.833333333333333	1	0.928571428571429	0.857142857142857	0.874267171196679	0.850314645958414	0.952380952380953	0.952380952380953	0.904761904761905	0.952380952380953	0.833333333333333	0.880952380952381	0.97007727214974	0.904761904761905	0.946124746911475	0.904761904761905	0.976190476190476	0.80952380952381	0.904761904761905	0.976190476190476	0.904761904761905	0.952380952380953	0.850314645958414	0.826362120720149	0.761904761904762	0.934148484292342
Paenibacillus	0.928571428571429	0.952380952380953	0.952380952380953	0.952380952380953	0.928571428571429	0.928571428571429	0.928571428571429	1	0.904761904761905	0.952380952380953	0.904761904761905	0.952380952380953	0.904761904761905	0.976190476190476	0.80952380952381	0.928571428571429	0.857142857142857	0.880952380952381	0.874267171196679	0.850314645958414	0.952380952380953	0.952380952380953	0.904761904761905	0.952380952380953	0.80952380952381	0.880952380952381	0.850314645958414	0.833333333333333	0.946124746911475	0.904761904761905	0.904761904761905	0.833333333333333	0.833333333333333	0.857142857142857	0.928571428571429	0.833333333333333	0.850314645958414	0.826362120720149	0.833333333333333	0.814385858101016
g__Mortierella	0.928571428571429	0.904761904761905	0.976190476190476	0.976190476190476	0.928571428571429	0.857142857142857	0.976190476190476	0.904761904761905	1	0.976190476190476	1	0.904761904761905	1	0.952380952380953	0.880952380952381	0.976190476190476	0.976190476190476	0.904761904761905	0.850314645958414	0.874267171196679	0.904761904761905	0.976190476190476	0.880952380952381	0.904761904761905	0.880952380952381	0.904761904761905	0.934148484292342	0.880952380952381	0.886243433815812	0.880952380952381	1	0.880952380952381	0.928571428571429	0.952380952380953	0.928571428571429	0.976190476190476	0.874267171196679	0.766480807624486	0.738095238095238	0.97007727214974
Haliangium	0.976190476190476	0.952380952380953	1	1	0.976190476190476	0.904761904761905	0.952380952380953	0.952380952380953	0.976190476190476	1	0.976190476190476	0.928571428571429	0.976190476190476	0.976190476190476	0.904761904761905	0.952380952380953	0.952380952380953	0.952380952380953	0.874267171196679	0.898219696434944	0.928571428571429	1	0.904761904761905	0.928571428571429	0.904761904761905	0.928571428571429	0.886243433815812	0.833333333333333	0.910195959054077	0.904761904761905	0.976190476190476	0.928571428571429	0.904761904761905	0.904761904761905	0.976190476190476	0.928571428571429	0.898219696434944	0.814385858101016	0.833333333333333	0.922172221673209
Knoellia	0.928571428571429	0.904761904761905	0.976190476190476	0.976190476190476	0.928571428571429	0.857142857142857	0.976190476190476	0.904761904761905	1	0.976190476190476	1	0.904761904761905	1	0.952380952380953	0.880952380952381	0.976190476190476	0.976190476190476	0.904761904761905	0.850314645958414	0.874267171196679	0.904761904761905	0.976190476190476	0.880952380952381	0.904761904761905	0.880952380952381	0.904761904761905	0.934148484292342	0.880952380952381	0.886243433815812	0.880952380952381	1	0.880952380952381	0.928571428571429	0.952380952380953	0.928571428571429	0.976190476190476	0.874267171196679	0.766480807624486	0.738095238095238	0.97007727214974
Sporosarcina	0.904761904761905	0.952380952380953	0.928571428571429	0.928571428571429	0.904761904761905	0.976190476190476	0.952380952380953	0.952380952380953	0.904761904761905	0.928571428571429	0.904761904761905	1	0.904761904761905	0.976190476190476	0.833333333333333	0.952380952380953	0.833333333333333	0.880952380952381	0.862290908577547	0.814385858101016	0.952380952380953	0.928571428571429	0.976190476190476	0.952380952380953	0.833333333333333	0.833333333333333	0.922172221673209	0.80952380952381	0.97007727214974	0.976190476190476	0.904761904761905	0.761904761904762	0.80952380952381	0.904761904761905	0.904761904761905	0.857142857142857	0.814385858101016	0.874267171196679	0.80952380952381	0.850314645958414
