Steroidobacter	Geobacter	Aquihabitans	Rhizocola	g__Apodus	Ilumatobacter	Chitinimonas	Methyloceanibacter	Labilithrix	Variibacter	Thiomonas	Halobacteriovorax	Ardenticatena	Chelativorans	Luteivirga	Roseiflexus	Sanguibacter	Sulfurisoma	Polyangium	Skermanella	Sneathiella	Terrimonas
Steroidobacter	1	0.952380952380953	0.952380952380953	1	0.946124746911475	0.952380952380953	0.952380952380953	0.880952380952381	0.833333333333333	0.928571428571429	1	0.952380952380953	0.952380952380953	0.857142857142857	0.904761904761905	0.862290908577547	0.922172221673209	0.922172221673209	0.80952380952381	0.862290908577547	0.862290908577547	0.862290908577547
Geobacter	0.952380952380953	1	0.928571428571429	0.952380952380953	0.97007727214974	1	0.952380952380953	0.928571428571429	0.952380952380953	0.928571428571429	0.952380952380953	0.833333333333333	1	0.857142857142857	0.904761904761905	0.958101009530607	0.850314645958414	0.850314645958414	0.80952380952381	0.958101009530607	0.958101009530607	0.958101009530607
Aquihabitans	0.952380952380953	0.928571428571429	1	0.952380952380953	0.898219696434944	0.928571428571429	0.952380952380953	0.928571428571429	0.833333333333333	0.80952380952381	0.952380952380953	0.928571428571429	0.928571428571429	0.714285714285714	0.976190476190476	0.814385858101016	0.97007727214974	0.97007727214974	0.928571428571429	0.814385858101016	0.814385858101016	0.814385858101016
Rhizocola	1	0.952380952380953	0.952380952380953	1	0.946124746911475	0.952380952380953	0.952380952380953	0.880952380952381	0.833333333333333	0.928571428571429	1	0.952380952380953	0.952380952380953	0.857142857142857	0.904761904761905	0.862290908577547	0.922172221673209	0.922172221673209	0.80952380952381	0.862290908577547	0.862290908577547	0.862290908577547
g__Apodus	0.946124746911475	0.97007727214974	0.898219696434944	0.946124746911475	1	0.97007727214974	0.97007727214974	0.898219696434944	0.910195959054077	0.934148484292342	0.946124746911475	0.838338383339281	0.97007727214974	0.934148484292342	0.874267171196679	0.921686746987952	0.807228915662651	0.807228915662651	0.754504545005353	0.921686746987952	0.921686746987952	0.921686746987952
Ilumatobacter	0.952380952380953	1	0.928571428571429	0.952380952380953	0.97007727214974	1	0.952380952380953	0.928571428571429	0.952380952380953	0.928571428571429	0.952380952380953	0.833333333333333	1	0.857142857142857	0.904761904761905	0.958101009530607	0.850314645958414	0.850314645958414	0.80952380952381	0.958101009530607	0.958101009530607	0.958101009530607
Chitinimonas	0.952380952380953	0.952380952380953	0.952380952380953	0.952380952380953	0.97007727214974	0.952380952380953	1	0.880952380952381	0.857142857142857	0.857142857142857	0.952380952380953	0.880952380952381	0.952380952380953	0.857142857142857	0.904761904761905	0.874267171196679	0.874267171196679	0.874267171196679	0.857142857142857	0.874267171196679	0.874267171196679	0.874267171196679
Methyloceanibacter	0.880952380952381	0.928571428571429	0.928571428571429	0.880952380952381	0.898219696434944	0.928571428571429	0.880952380952381	1	0.928571428571429	0.833333333333333	0.880952380952381	0.80952380952381	0.928571428571429	0.714285714285714	0.976190476190476	0.850314645958414	0.874267171196679	0.874267171196679	0.833333333333333	0.850314645958414	0.850314645958414	0.850314645958414
Labilithrix	0.833333333333333	0.952380952380953	0.833333333333333	0.833333333333333	0.910195959054077	0.952380952380953	0.857142857142857	0.928571428571429	1	0.880952380952381	0.833333333333333	0.690476190476191	0.952380952380953	0.785714285714286	0.857142857142857	0.97007727214974	0.718575757147955	0.718575757147955	0.761904761904762	0.97007727214974	0.97007727214974	0.97007727214974
Variibacter	0.928571428571429	0.928571428571429	0.80952380952381	0.928571428571429	0.934148484292342	0.928571428571429	0.857142857142857	0.833333333333333	0.880952380952381	1	0.928571428571429	0.833333333333333	0.928571428571429	0.928571428571429	0.785714285714286	0.922172221673209	0.742528282386221	0.742528282386221	0.642857142857143	0.922172221673209	0.922172221673209	0.922172221673209
Thiomonas	1	0.952380952380953	0.952380952380953	1	0.946124746911475	0.952380952380953	0.952380952380953	0.880952380952381	0.833333333333333	0.928571428571429	1	0.952380952380953	0.952380952380953	0.857142857142857	0.904761904761905	0.862290908577547	0.922172221673209	0.922172221673209	0.80952380952381	0.862290908577547	0.862290908577547	0.862290908577547
Halobacteriovorax	0.952380952380953	0.833333333333333	0.928571428571429	0.952380952380953	0.838338383339281	0.833333333333333	0.880952380952381	0.80952380952381	0.690476190476191	0.833333333333333	0.952380952380953	1	0.833333333333333	0.738095238095238	0.880952380952381	0.718575757147955	0.934148484292342	0.934148484292342	0.833333333333333	0.718575757147955	0.718575757147955	0.718575757147955
Ardenticatena	0.952380952380953	1	0.928571428571429	0.952380952380953	0.97007727214974	1	0.952380952380953	0.928571428571429	0.952380952380953	0.928571428571429	0.952380952380953	0.833333333333333	1	0.857142857142857	0.904761904761905	0.958101009530607	0.850314645958414	0.850314645958414	0.80952380952381	0.958101009530607	0.958101009530607	0.958101009530607
Chelativorans	0.857142857142857	0.857142857142857	0.714285714285714	0.857142857142857	0.934148484292342	0.857142857142857	0.857142857142857	0.714285714285714	0.785714285714286	0.928571428571429	0.857142857142857	0.738095238095238	0.857142857142857	1	0.666666666666667	0.850314645958414	0.622765656194895	0.622765656194895	0.523809523809524	0.850314645958414	0.850314645958414	0.850314645958414
Luteivirga	0.904761904761905	0.904761904761905	0.976190476190476	0.904761904761905	0.874267171196679	0.904761904761905	0.904761904761905	0.976190476190476	0.857142857142857	0.785714285714286	0.904761904761905	0.880952380952381	0.904761904761905	0.666666666666667	1	0.790433332862751	0.946124746911475	0.946124746911475	0.904761904761905	0.790433332862751	0.790433332862751	0.790433332862751
Roseiflexus	0.862290908577547	0.958101009530607	0.814385858101016	0.862290908577547	0.921686746987952	0.958101009530607	0.874267171196679	0.850314645958414	0.97007727214974	0.922172221673209	0.862290908577547	0.718575757147955	0.958101009530607	0.850314645958414	0.790433332862751	1	0.692771084337349	0.692771084337349	0.742528282386221	1	1	1
Sanguibacter	0.922172221673209	0.850314645958414	0.97007727214974	0.922172221673209	0.807228915662651	0.850314645958414	0.874267171196679	0.874267171196679	0.718575757147955	0.742528282386221	0.922172221673209	0.934148484292342	0.850314645958414	0.622765656194895	0.946124746911475	0.692771084337349	1	1	0.874267171196679	0.692771084337349	0.692771084337349	0.692771084337349
Sulfurisoma	0.922172221673209	0.850314645958414	0.97007727214974	0.922172221673209	0.807228915662651	0.850314645958414	0.874267171196679	0.874267171196679	0.718575757147955	0.742528282386221	0.922172221673209	0.934148484292342	0.850314645958414	0.622765656194895	0.946124746911475	0.692771084337349	1	1	0.874267171196679	0.692771084337349	0.692771084337349	0.692771084337349
Polyangium	0.80952380952381	0.80952380952381	0.928571428571429	0.80952380952381	0.754504545005353	0.80952380952381	0.857142857142857	0.833333333333333	0.761904761904762	0.642857142857143	0.80952380952381	0.833333333333333	0.80952380952381	0.523809523809524	0.904761904761905	0.742528282386221	0.874267171196679	0.874267171196679	1	0.742528282386221	0.742528282386221	0.742528282386221
Skermanella	0.862290908577547	0.958101009530607	0.814385858101016	0.862290908577547	0.921686746987952	0.958101009530607	0.874267171196679	0.850314645958414	0.97007727214974	0.922172221673209	0.862290908577547	0.718575757147955	0.958101009530607	0.850314645958414	0.790433332862751	1	0.692771084337349	0.692771084337349	0.742528282386221	1	1	1
Sneathiella	0.862290908577547	0.958101009530607	0.814385858101016	0.862290908577547	0.921686746987952	0.958101009530607	0.874267171196679	0.850314645958414	0.97007727214974	0.922172221673209	0.862290908577547	0.718575757147955	0.958101009530607	0.850314645958414	0.790433332862751	1	0.692771084337349	0.692771084337349	0.742528282386221	1	1	1
Terrimonas	0.862290908577547	0.958101009530607	0.814385858101016	0.862290908577547	0.921686746987952	0.958101009530607	0.874267171196679	0.850314645958414	0.97007727214974	0.922172221673209	0.862290908577547	0.718575757147955	0.958101009530607	0.850314645958414	0.790433332862751	1	0.692771084337349	0.692771084337349	0.742528282386221	1	1	1
