Chondromyces	Solirubrobacter	Cellulomonas	Bradyrhizobium	Phycicoccus	Blastococcus	Gaiella	Conexibacter	g__Exophiala	Terrabacter	Paenibacillus	Saccharibacteria_genera_incertae_sedis	Aquabacterium	g__Mortierella	Kibdelosporangium	Hyphomicrobium	Ideonella	Marmoricola	Dissulfuribacter	Geobacter	Gemmatimonas	Dongia	Actinokineospora	Selenomonas	Haliangium	g__Apodus	Knoellia	Asticcacaulis	Sporichthya	Ilumatobacter	Nitrospira	Cellvibrio	Niastella	Peredibacter	Rhodoligotrophos	Pseudolabrys	Ohtaekwangia	Chitinimonas	Oscillochloris	Nannocystis	Methyloceanibacter	Amaricoccus	Labilithrix	Variibacter	Uliginosibacterium	Nitrincola	Tumebacillus	Gp3	Ardenticatena	Gp22	Luteivirga	Roseiflexus	Acidiphilium	Aciditerrimonas	Skermanella	Sneathiella	Terrimonas
Chondromyces	1	0.928571428571429	0.857142857142857	0.904761904761905	1	0.880952380952381	0.880952380952381	0.928571428571429	0.976190476190476	0.976190476190476	0.880952380952381	0.952380952380953	0.880952380952381	0.904761904761905	0.922172221673209	0.857142857142857	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.904761904761905	0.880952380952381	0.904761904761905	0.928571428571429	0.910195959054077	0.904761904761905	0.880952380952381	1	0.952380952380953	0.904761904761905	0.904761904761905	0.857142857142857	0.880952380952381	0.952380952380953	0.904761904761905	0.97007727214974	0.857142857142857	0.994029797388005	0.928571428571429	0.928571428571429	0.928571428571429	1	0.880952380952381	0.904761904761905	0.898219696434944	0.904761904761905	0.904761904761905	0.952380952380953	0.976190476190476	0.857142857142857	0.97007727214974	0.994029797388005	0.922172221673209	0.97007727214974	0.97007727214974	0.97007727214974
Solirubrobacter	0.928571428571429	1	0.976190476190476	0.904761904761905	0.928571428571429	0.952380952380953	0.976190476190476	0.952380952380953	0.904761904761905	0.976190476190476	0.952380952380953	0.952380952380953	0.857142857142857	0.976190476190476	0.778457070243618	0.833333333333333	0.976190476190476	0.976190476190476	0.952380952380953	0.928571428571429	0.976190476190476	0.904761904761905	0.785714285714286	0.738095238095238	1	0.898219696434944	0.976190476190476	0.833333333333333	0.928571428571429	0.928571428571429	0.976190476190476	0.976190476190476	0.714285714285714	0.952380952380953	0.952380952380953	0.904761904761905	0.874267171196679	0.880952380952381	0.898219696434944	0.928571428571429	1	0.928571428571429	0.928571428571429	0.833333333333333	0.833333333333333	0.910195959054077	0.976190476190476	0.738095238095238	0.928571428571429	0.904761904761905	0.976190476190476	0.850314645958414	0.898219696434944	0.778457070243618	0.850314645958414	0.850314645958414	0.850314645958414
Cellulomonas	0.857142857142857	0.976190476190476	1	0.880952380952381	0.857142857142857	0.904761904761905	0.952380952380953	0.904761904761905	0.80952380952381	0.928571428571429	0.928571428571429	0.880952380952381	0.785714285714286	0.928571428571429	0.742528282386221	0.80952380952381	0.928571428571429	0.928571428571429	0.880952380952381	0.904761904761905	0.928571428571429	0.880952380952381	0.690476190476191	0.690476190476191	0.976190476190476	0.874267171196679	0.928571428571429	0.785714285714286	0.857142857142857	0.904761904761905	0.928571428571429	0.952380952380953	0.642857142857143	0.904761904761905	0.880952380952381	0.880952380952381	0.790433332862751	0.904761904761905	0.814385858101016	0.880952380952381	0.976190476190476	0.880952380952381	0.857142857142857	0.785714285714286	0.714285714285714	0.862290908577547	0.928571428571429	0.690476190476191	0.904761904761905	0.80952380952381	1	0.790433332862751	0.814385858101016	0.718575757147955	0.790433332862751	0.790433332862751	0.790433332862751
Bradyrhizobium	0.904761904761905	0.904761904761905	0.880952380952381	1	0.904761904761905	0.761904761904762	0.928571428571429	0.976190476190476	0.857142857142857	0.952380952380953	0.785714285714286	0.904761904761905	0.928571428571429	0.857142857142857	0.850314645958414	0.976190476190476	0.952380952380953	0.952380952380953	0.904761904761905	0.976190476190476	0.952380952380953	1	0.714285714285714	0.833333333333333	0.904761904761905	0.97007727214974	0.857142857142857	0.904761904761905	0.904761904761905	0.976190476190476	0.857142857142857	0.80952380952381	0.904761904761905	0.761904761904762	0.904761904761905	1	0.802409595481884	0.928571428571429	0.898219696434944	0.761904761904762	0.904761904761905	0.761904761904762	0.904761904761905	0.976190476190476	0.690476190476191	0.730552019767088	0.857142857142857	0.833333333333333	0.976190476190476	0.857142857142857	0.880952380952381	0.922172221673209	0.898219696434944	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Phycicoccus	1	0.928571428571429	0.857142857142857	0.904761904761905	1	0.880952380952381	0.880952380952381	0.928571428571429	0.976190476190476	0.976190476190476	0.880952380952381	0.952380952380953	0.880952380952381	0.904761904761905	0.922172221673209	0.857142857142857	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.904761904761905	0.880952380952381	0.904761904761905	0.928571428571429	0.910195959054077	0.904761904761905	0.880952380952381	1	0.952380952380953	0.904761904761905	0.904761904761905	0.857142857142857	0.880952380952381	0.952380952380953	0.904761904761905	0.97007727214974	0.857142857142857	0.994029797388005	0.928571428571429	0.928571428571429	0.928571428571429	1	0.880952380952381	0.904761904761905	0.898219696434944	0.904761904761905	0.904761904761905	0.952380952380953	0.976190476190476	0.857142857142857	0.97007727214974	0.994029797388005	0.922172221673209	0.97007727214974	0.97007727214974	0.97007727214974
Blastococcus	0.880952380952381	0.952380952380953	0.904761904761905	0.761904761904762	0.880952380952381	1	0.904761904761905	0.857142857142857	0.904761904761905	0.904761904761905	0.928571428571429	0.928571428571429	0.738095238095238	0.976190476190476	0.682646969290558	0.690476190476191	0.904761904761905	0.904761904761905	0.928571428571429	0.80952380952381	0.904761904761905	0.761904761904762	0.80952380952381	0.642857142857143	0.952380952380953	0.742528282386221	0.976190476190476	0.761904761904762	0.880952380952381	0.80952380952381	0.976190476190476	0.976190476190476	0.595238095238095	1	0.928571428571429	0.761904761904762	0.874267171196679	0.714285714285714	0.850314645958414	0.952380952380953	0.952380952380953	0.952380952380953	0.880952380952381	0.690476190476191	0.904761904761905	0.946124746911475	0.976190476190476	0.642857142857143	0.80952380952381	0.904761904761905	0.904761904761905	0.754504545005353	0.850314645958414	0.682646969290558	0.754504545005353	0.754504545005353	0.754504545005353
Gaiella	0.880952380952381	0.976190476190476	0.952380952380953	0.928571428571429	0.880952380952381	0.904761904761905	1	0.976190476190476	0.857142857142857	0.952380952380953	0.904761904761905	0.928571428571429	0.904761904761905	0.952380952380953	0.718575757147955	0.857142857142857	0.952380952380953	0.952380952380953	0.928571428571429	0.904761904761905	0.952380952380953	0.928571428571429	0.761904761904762	0.690476190476191	0.976190476190476	0.898219696434944	0.952380952380953	0.80952380952381	0.880952380952381	0.904761904761905	0.952380952380953	0.928571428571429	0.738095238095238	0.904761904761905	0.928571428571429	0.928571428571429	0.814385858101016	0.857142857142857	0.862290908577547	0.857142857142857	0.976190476190476	0.857142857142857	0.880952380952381	0.880952380952381	0.761904761904762	0.850314645958414	0.952380952380953	0.690476190476191	0.904761904761905	0.857142857142857	0.952380952380953	0.814385858101016	0.862290908577547	0.742528282386221	0.814385858101016	0.814385858101016	0.814385858101016
Conexibacter	0.928571428571429	0.952380952380953	0.904761904761905	0.976190476190476	0.928571428571429	0.857142857142857	0.976190476190476	1	0.904761904761905	0.976190476190476	0.857142857142857	0.952380952380953	0.952380952380953	0.928571428571429	0.802409595481884	0.928571428571429	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.976190476190476	0.785714285714286	0.785714285714286	0.952380952380953	0.946124746911475	0.928571428571429	0.880952380952381	0.928571428571429	0.952380952380953	0.928571428571429	0.880952380952381	0.857142857142857	0.857142857142857	0.952380952380953	0.976190476190476	0.850314645958414	0.880952380952381	0.922172221673209	0.833333333333333	0.952380952380953	0.833333333333333	0.928571428571429	0.952380952380953	0.785714285714286	0.814385858101016	0.928571428571429	0.785714285714286	0.952380952380953	0.904761904761905	0.904761904761905	0.898219696434944	0.922172221673209	0.850314645958414	0.898219696434944	0.898219696434944	0.898219696434944
g__Exophiala	0.976190476190476	0.904761904761905	0.80952380952381	0.857142857142857	0.976190476190476	0.904761904761905	0.857142857142857	0.904761904761905	1	0.952380952380953	0.833333333333333	0.976190476190476	0.833333333333333	0.928571428571429	0.850314645958414	0.833333333333333	0.952380952380953	0.952380952380953	0.976190476190476	0.904761904761905	0.952380952380953	0.857142857142857	0.857142857142857	0.833333333333333	0.904761904761905	0.838338383339281	0.928571428571429	0.904761904761905	0.976190476190476	0.904761904761905	0.928571428571429	0.880952380952381	0.833333333333333	0.904761904761905	0.976190476190476	0.857142857142857	0.946124746911475	0.761904761904762	0.97007727214974	0.904761904761905	0.904761904761905	0.904761904761905	0.976190476190476	0.833333333333333	0.952380952380953	0.874267171196679	0.928571428571429	0.833333333333333	0.904761904761905	1	0.80952380952381	0.922172221673209	0.97007727214974	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Terrabacter	0.976190476190476	0.976190476190476	0.928571428571429	0.952380952380953	0.976190476190476	0.904761904761905	0.952380952380953	0.976190476190476	0.952380952380953	1	0.904761904761905	0.976190476190476	0.904761904761905	0.952380952380953	0.862290908577547	0.904761904761905	1	1	0.976190476190476	0.976190476190476	1	0.952380952380953	0.80952380952381	0.833333333333333	0.976190476190476	0.946124746911475	0.952380952380953	0.904761904761905	0.976190476190476	0.976190476190476	0.952380952380953	0.928571428571429	0.833333333333333	0.904761904761905	0.976190476190476	0.952380952380953	0.910195959054077	0.904761904761905	0.958101009530607	0.904761904761905	0.976190476190476	0.904761904761905	0.976190476190476	0.904761904761905	0.857142857142857	0.874267171196679	0.952380952380953	0.833333333333333	0.976190476190476	0.952380952380953	0.928571428571429	0.934148484292342	0.958101009530607	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
