Promicromonospora	Phyllobacterium	Flavobacterium	Lentzea	Massilia	Bosea	Actinocorallia	Cohnella	Saccharomonospora	Thermoleophilum	Pseudenhygromyxa	Ammoniphilus
Promicromonospora	1	1	0.904761904761905	1	0.952380952380953	0.976190476190476	0.904761904761905	0.952380952380953	0.976190476190476	0.880952380952381	0.934148484292342	0.850314645958414
Phyllobacterium	1	1	0.904761904761905	1	0.952380952380953	0.976190476190476	0.904761904761905	0.952380952380953	0.976190476190476	0.880952380952381	0.934148484292342	0.850314645958414
Flavobacterium	0.904761904761905	0.904761904761905	1	0.904761904761905	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.928571428571429	0.976190476190476	0.850314645958414	0.946124746911475
Lentzea	1	1	0.904761904761905	1	0.952380952380953	0.976190476190476	0.904761904761905	0.952380952380953	0.976190476190476	0.880952380952381	0.934148484292342	0.850314645958414
Massilia	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	1	0.976190476190476	0.976190476190476	1	0.976190476190476	0.928571428571429	0.850314645958414	0.886243433815812
Bosea	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	1	0.928571428571429	0.976190476190476	0.952380952380953	0.904761904761905	0.898219696434944	0.910195959054077
Actinocorallia	0.904761904761905	0.904761904761905	0.952380952380953	0.904761904761905	0.976190476190476	0.928571428571429	1	0.976190476190476	0.952380952380953	0.904761904761905	0.826362120720149	0.838338383339281
Cohnella	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	1	0.976190476190476	0.976190476190476	1	0.976190476190476	0.928571428571429	0.850314645958414	0.886243433815812
Saccharomonospora	0.976190476190476	0.976190476190476	0.928571428571429	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	1	0.904761904761905	0.886243433815812	0.826362120720149
Thermoleophilum	0.880952380952381	0.880952380952381	0.976190476190476	0.880952380952381	0.928571428571429	0.904761904761905	0.904761904761905	0.928571428571429	0.904761904761905	1	0.886243433815812	0.946124746911475
Pseudenhygromyxa	0.934148484292342	0.934148484292342	0.850314645958414	0.934148484292342	0.850314645958414	0.898219696434944	0.826362120720149	0.850314645958414	0.886243433815812	0.886243433815812	1	0.86144578313253
Ammoniphilus	0.850314645958414	0.850314645958414	0.946124746911475	0.850314645958414	0.886243433815812	0.910195959054077	0.838338383339281	0.886243433815812	0.826362120720149	0.946124746911475	0.86144578313253	1
