Agromyces	Arthrobacter	Solirubrobacter	Bradyrhizobium	Gaiella	Conexibacter	g__Exophiala	Terrabacter	Dactylosporangium	Paenibacillus	Saccharibacteria_genera_incertae_sedis	Aquabacterium	Phenylobacterium	g__Mortierella	Chryseolinea	Hyphomicrobium	Ideonella	Marmoricola	Dissulfuribacter	Geobacter	Gemmatimonas	Dongia	Aquihabitans	Haliangium	Rhizocola	g__Apodus	Knoellia	Asticcacaulis	Sporichthya	Ilumatobacter	Nitrospira	Cellvibrio	Arenimonas	Niastella	Catellatospora	Peredibacter	Rhodoligotrophos	Pseudolabrys	Ramlibacter	Ohtaekwangia	Chitinimonas	Oscillochloris	Methyloceanibacter	Streptosporangium	Povalibacter	Labilithrix	Variibacter	Lautropia	Thiomonas	Tumebacillus	Clavibacter	Ardenticatena	Gp22	Chelativorans	Luteivirga	Nakamurella	Roseiflexus	Acidiphilium	Armatimonadetes_gp5	Aciditerrimonas	Skermanella	Sneathiella	Terrimonas
Agromyces	1	0.928571428571429	1	0.904761904761905	0.976190476190476	0.952380952380953	0.904761904761905	0.976190476190476	0.785714285714286	0.952380952380953	0.952380952380953	0.857142857142857	0.904761904761905	0.976190476190476	0.833333333333333	0.833333333333333	0.976190476190476	0.976190476190476	0.952380952380953	0.928571428571429	0.976190476190476	0.904761904761905	0.928571428571429	1	0.880952380952381	0.898219696434944	0.976190476190476	0.833333333333333	0.928571428571429	0.928571428571429	0.976190476190476	0.976190476190476	0.833333333333333	0.714285714285714	0.904761904761905	0.952380952380953	0.952380952380953	0.904761904761905	0.952380952380953	0.874267171196679	0.880952380952381	0.898219696434944	1	0.904761904761905	0.904761904761905	0.928571428571429	0.833333333333333	0.904761904761905	0.880952380952381	0.976190476190476	0.80952380952381	0.928571428571429	0.904761904761905	0.714285714285714	0.976190476190476	0.928571428571429	0.850314645958414	0.898219696434944	0.922172221673209	0.778457070243618	0.850314645958414	0.850314645958414	0.850314645958414
Arthrobacter	0.928571428571429	1	0.928571428571429	0.928571428571429	0.952380952380953	0.976190476190476	0.928571428571429	0.952380952380953	0.761904761904762	0.80952380952381	0.976190476190476	0.904761904761905	0.833333333333333	0.952380952380953	0.80952380952381	0.904761904761905	0.952380952380953	0.952380952380953	0.976190476190476	0.904761904761905	0.952380952380953	0.928571428571429	0.80952380952381	0.928571428571429	0.857142857142857	0.874267171196679	0.952380952380953	0.904761904761905	0.904761904761905	0.904761904761905	0.952380952380953	0.857142857142857	0.80952380952381	0.833333333333333	0.833333333333333	0.880952380952381	0.976190476190476	0.928571428571429	0.880952380952381	0.826362120720149	0.785714285714286	0.898219696434944	0.928571428571429	0.833333333333333	0.833333333333333	0.904761904761905	0.904761904761905	0.833333333333333	0.857142857142857	0.952380952380953	0.928571428571429	0.904761904761905	0.928571428571429	0.785714285714286	0.857142857142857	0.904761904761905	0.850314645958414	0.898219696434944	0.922172221673209	0.826362120720149	0.850314645958414	0.850314645958414	0.850314645958414
Solirubrobacter	1	0.928571428571429	1	0.904761904761905	0.976190476190476	0.952380952380953	0.904761904761905	0.976190476190476	0.785714285714286	0.952380952380953	0.952380952380953	0.857142857142857	0.904761904761905	0.976190476190476	0.833333333333333	0.833333333333333	0.976190476190476	0.976190476190476	0.952380952380953	0.928571428571429	0.976190476190476	0.904761904761905	0.928571428571429	1	0.880952380952381	0.898219696434944	0.976190476190476	0.833333333333333	0.928571428571429	0.928571428571429	0.976190476190476	0.976190476190476	0.833333333333333	0.714285714285714	0.904761904761905	0.952380952380953	0.952380952380953	0.904761904761905	0.952380952380953	0.874267171196679	0.880952380952381	0.898219696434944	1	0.904761904761905	0.904761904761905	0.928571428571429	0.833333333333333	0.904761904761905	0.880952380952381	0.976190476190476	0.80952380952381	0.928571428571429	0.904761904761905	0.714285714285714	0.976190476190476	0.928571428571429	0.850314645958414	0.898219696434944	0.922172221673209	0.778457070243618	0.850314645958414	0.850314645958414	0.850314645958414
Bradyrhizobium	0.904761904761905	0.928571428571429	0.904761904761905	1	0.928571428571429	0.976190476190476	0.857142857142857	0.952380952380953	0.928571428571429	0.785714285714286	0.904761904761905	0.928571428571429	0.833333333333333	0.857142857142857	0.928571428571429	0.976190476190476	0.952380952380953	0.952380952380953	0.904761904761905	0.976190476190476	0.952380952380953	1	0.904761904761905	0.904761904761905	0.976190476190476	0.97007727214974	0.857142857142857	0.904761904761905	0.904761904761905	0.976190476190476	0.857142857142857	0.80952380952381	0.928571428571429	0.904761904761905	0.833333333333333	0.761904761904762	0.904761904761905	1	0.904761904761905	0.802409595481884	0.928571428571429	0.898219696434944	0.904761904761905	0.761904761904762	0.833333333333333	0.904761904761905	0.976190476190476	0.761904761904762	0.976190476190476	0.857142857142857	0.833333333333333	0.976190476190476	0.857142857142857	0.904761904761905	0.880952380952381	0.785714285714286	0.922172221673209	0.898219696434944	0.802409595481884	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Gaiella	0.976190476190476	0.952380952380953	0.976190476190476	0.928571428571429	1	0.976190476190476	0.857142857142857	0.952380952380953	0.833333333333333	0.904761904761905	0.928571428571429	0.904761904761905	0.952380952380953	0.952380952380953	0.80952380952381	0.857142857142857	0.952380952380953	0.952380952380953	0.928571428571429	0.904761904761905	0.952380952380953	0.928571428571429	0.904761904761905	0.976190476190476	0.904761904761905	0.898219696434944	0.952380952380953	0.80952380952381	0.880952380952381	0.904761904761905	0.952380952380953	0.928571428571429	0.80952380952381	0.738095238095238	0.928571428571429	0.904761904761905	0.928571428571429	0.928571428571429	0.976190476190476	0.814385858101016	0.857142857142857	0.862290908577547	0.976190476190476	0.928571428571429	0.928571428571429	0.880952380952381	0.880952380952381	0.928571428571429	0.904761904761905	0.952380952380953	0.833333333333333	0.904761904761905	0.857142857142857	0.761904761904762	0.952380952380953	0.904761904761905	0.814385858101016	0.862290908577547	0.922172221673209	0.742528282386221	0.814385858101016	0.814385858101016	0.814385858101016
Conexibacter	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	1	0.904761904761905	0.976190476190476	0.857142857142857	0.857142857142857	0.952380952380953	0.952380952380953	0.880952380952381	0.928571428571429	0.857142857142857	0.928571428571429	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.976190476190476	0.880952380952381	0.952380952380953	0.928571428571429	0.946124746911475	0.928571428571429	0.880952380952381	0.928571428571429	0.952380952380953	0.928571428571429	0.880952380952381	0.857142857142857	0.857142857142857	0.857142857142857	0.857142857142857	0.952380952380953	0.976190476190476	0.928571428571429	0.850314645958414	0.880952380952381	0.922172221673209	0.952380952380953	0.857142857142857	0.857142857142857	0.928571428571429	0.952380952380953	0.857142857142857	0.928571428571429	0.928571428571429	0.857142857142857	0.952380952380953	0.904761904761905	0.857142857142857	0.904761904761905	0.857142857142857	0.898219696434944	0.922172221673209	0.874267171196679	0.850314645958414	0.898219696434944	0.898219696434944	0.898219696434944
g__Exophiala	0.904761904761905	0.928571428571429	0.904761904761905	0.857142857142857	0.857142857142857	0.904761904761905	1	0.952380952380953	0.642857142857143	0.833333333333333	0.976190476190476	0.833333333333333	0.690476190476191	0.928571428571429	0.785714285714286	0.833333333333333	0.952380952380953	0.952380952380953	0.976190476190476	0.904761904761905	0.952380952380953	0.857142857142857	0.761904761904762	0.904761904761905	0.761904761904762	0.838338383339281	0.928571428571429	0.904761904761905	0.976190476190476	0.904761904761905	0.928571428571429	0.880952380952381	0.785714285714286	0.833333333333333	0.690476190476191	0.904761904761905	0.976190476190476	0.857142857142857	0.761904761904762	0.946124746911475	0.761904761904762	0.97007727214974	0.904761904761905	0.761904761904762	0.690476190476191	0.976190476190476	0.833333333333333	0.761904761904762	0.761904761904762	0.928571428571429	0.833333333333333	0.904761904761905	1	0.714285714285714	0.80952380952381	0.857142857142857	0.922172221673209	0.97007727214974	0.838338383339281	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Terrabacter	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	1	0.80952380952381	0.904761904761905	0.976190476190476	0.904761904761905	0.833333333333333	0.952380952380953	0.880952380952381	0.904761904761905	1	1	0.976190476190476	0.976190476190476	1	0.952380952380953	0.904761904761905	0.976190476190476	0.904761904761905	0.946124746911475	0.952380952380953	0.904761904761905	0.976190476190476	0.976190476190476	0.952380952380953	0.928571428571429	0.880952380952381	0.833333333333333	0.833333333333333	0.904761904761905	0.976190476190476	0.952380952380953	0.904761904761905	0.910195959054077	0.904761904761905	0.958101009530607	0.976190476190476	0.833333333333333	0.833333333333333	0.976190476190476	0.904761904761905	0.833333333333333	0.904761904761905	0.952380952380953	0.833333333333333	0.976190476190476	0.952380952380953	0.80952380952381	0.928571428571429	0.880952380952381	0.934148484292342	0.958101009530607	0.874267171196679	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
Dactylosporangium	0.785714285714286	0.761904761904762	0.785714285714286	0.928571428571429	0.833333333333333	0.857142857142857	0.642857142857143	0.80952380952381	1	0.666666666666667	0.714285714285714	0.80952380952381	0.833333333333333	0.690476190476191	0.904761904761905	0.904761904761905	0.80952380952381	0.80952380952381	0.714285714285714	0.880952380952381	0.80952380952381	0.928571428571429	0.904761904761905	0.785714285714286	0.976190476190476	0.886243433815812	0.690476190476191	0.761904761904762	0.738095238095238	0.880952380952381	0.690476190476191	0.690476190476191	0.904761904761905	0.80952380952381	0.833333333333333	0.595238095238095	0.714285714285714	0.928571428571429	0.880952380952381	0.634741918814027	0.904761904761905	0.730552019767088	0.785714285714286	0.690476190476191	0.833333333333333	0.738095238095238	0.904761904761905	0.690476190476191	0.976190476190476	0.690476190476191	0.690476190476191	0.880952380952381	0.642857142857143	0.833333333333333	0.833333333333333	0.642857142857143	0.802409595481884	0.730552019767088	0.670670706671425	0.778457070243618	0.802409595481884	0.802409595481884	0.802409595481884
Paenibacillus	0.952380952380953	0.80952380952381	0.952380952380953	0.785714285714286	0.904761904761905	0.857142857142857	0.833333333333333	0.904761904761905	0.666666666666667	1	0.857142857142857	0.80952380952381	0.857142857142857	0.904761904761905	0.690476190476191	0.666666666666667	0.904761904761905	0.904761904761905	0.857142857142857	0.833333333333333	0.904761904761905	0.785714285714286	0.857142857142857	0.952380952380953	0.761904761904762	0.838338383339281	0.904761904761905	0.666666666666667	0.880952380952381	0.833333333333333	0.904761904761905	0.976190476190476	0.690476190476191	0.571428571428572	0.80952380952381	0.928571428571429	0.857142857142857	0.785714285714286	0.880952380952381	0.874267171196679	0.833333333333333	0.850314645958414	0.952380952380953	0.904761904761905	0.80952380952381	0.880952380952381	0.714285714285714	0.904761904761905	0.761904761904762	0.904761904761905	0.619047619047619	0.833333333333333	0.833333333333333	0.642857142857143	0.928571428571429	0.833333333333333	0.778457070243618	0.850314645958414	0.814385858101016	0.658694444052292	0.778457070243618	0.778457070243618	0.778457070243618
