Actinoplanes	Steroidobacter	Umezawaea	Amycolatopsis	Dactylosporangium	Rudaibacter	Nitrobacter	Chitinophaga	Polaromonas	Kaistia	Chryseolinea	Hyphomicrobium	Geobacter	Dongia	Aquihabitans	Rhizocola	g__Apodus	Kinneretia	Ilumatobacter	Arenimonas	Curtobacterium	Panacagrimonas	Pseudolabrys	Ramlibacter	Chitinimonas	Variibacter	Parachlamydia	Thiomonas	Halobacteriovorax	Ardenticatena	Sanguibacter	Sulfurisoma	Methylosinus
Actinoplanes	1	0.928571428571429	0.904761904761905	0.952380952380953	0.976190476190476	0.857142857142857	0.880952380952381	0.880952380952381	0.976190476190476	0.833333333333333	0.880952380952381	0.833333333333333	0.833333333333333	0.857142857142857	0.880952380952381	0.928571428571429	0.826362120720149	0.928571428571429	0.833333333333333	0.880952380952381	0.880952380952381	0.80952380952381	0.857142857142857	0.80952380952381	0.880952380952381	0.833333333333333	0.928571428571429	0.928571428571429	0.952380952380953	0.833333333333333	0.850314645958414	0.850314645958414	0.802409595481884
Steroidobacter	0.928571428571429	1	0.976190476190476	0.952380952380953	0.976190476190476	0.928571428571429	0.833333333333333	0.761904761904762	0.904761904761905	0.833333333333333	0.952380952380953	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	1	0.946124746911475	0.904761904761905	0.952380952380953	0.952380952380953	0.857142857142857	0.833333333333333	0.976190476190476	0.928571428571429	0.952380952380953	0.928571428571429	0.857142857142857	1	0.952380952380953	0.952380952380953	0.922172221673209	0.922172221673209	0.874267171196679
Umezawaea	0.904761904761905	0.976190476190476	1	0.976190476190476	0.952380952380953	0.904761904761905	0.857142857142857	0.690476190476191	0.857142857142857	0.785714285714286	0.904761904761905	0.880952380952381	0.904761904761905	0.928571428571429	0.976190476190476	0.976190476190476	0.898219696434944	0.833333333333333	0.904761904761905	0.904761904761905	0.785714285714286	0.904761904761905	0.928571428571429	0.976190476190476	0.928571428571429	0.857142857142857	0.904761904761905	0.976190476190476	0.976190476190476	0.904761904761905	0.97007727214974	0.97007727214974	0.826362120720149
Amycolatopsis	0.952380952380953	0.952380952380953	0.976190476190476	1	0.976190476190476	0.880952380952381	0.928571428571429	0.785714285714286	0.904761904761905	0.833333333333333	0.857142857142857	0.833333333333333	0.833333333333333	0.880952380952381	0.928571428571429	0.952380952380953	0.838338383339281	0.880952380952381	0.833333333333333	0.857142857142857	0.833333333333333	0.928571428571429	0.880952380952381	0.928571428571429	0.880952380952381	0.833333333333333	0.952380952380953	0.952380952380953	1	0.833333333333333	0.934148484292342	0.934148484292342	0.790433332862751
Dactylosporangium	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	1	0.904761904761905	0.904761904761905	0.857142857142857	0.952380952380953	0.880952380952381	0.904761904761905	0.904761904761905	0.880952380952381	0.928571428571429	0.904761904761905	0.976190476190476	0.886243433815812	0.952380952380953	0.880952380952381	0.904761904761905	0.904761904761905	0.857142857142857	0.928571428571429	0.880952380952381	0.904761904761905	0.904761904761905	0.904761904761905	0.976190476190476	0.976190476190476	0.880952380952381	0.886243433815812	0.886243433815812	0.838338383339281
Rudaibacter	0.857142857142857	0.928571428571429	0.904761904761905	0.880952380952381	0.904761904761905	1	0.714285714285714	0.785714285714286	0.904761904761905	0.690476190476191	0.952380952380953	0.928571428571429	0.857142857142857	0.880952380952381	0.880952380952381	0.928571428571429	0.802409595481884	0.880952380952381	0.857142857142857	0.952380952380953	0.738095238095238	0.714285714285714	0.880952380952381	0.833333333333333	0.833333333333333	0.80952380952381	0.857142857142857	0.928571428571429	0.880952380952381	0.857142857142857	0.922172221673209	0.922172221673209	0.97007727214974
Nitrobacter	0.880952380952381	0.833333333333333	0.857142857142857	0.928571428571429	0.904761904761905	0.714285714285714	1	0.80952380952381	0.80952380952381	0.928571428571429	0.666666666666667	0.714285714285714	0.690476190476191	0.785714285714286	0.761904761904762	0.833333333333333	0.718575757147955	0.857142857142857	0.690476190476191	0.666666666666667	0.80952380952381	0.952380952380953	0.785714285714286	0.833333333333333	0.714285714285714	0.80952380952381	0.857142857142857	0.833333333333333	0.928571428571429	0.690476190476191	0.766480807624486	0.766480807624486	0.574860605718364
Chitinophaga	0.880952380952381	0.761904761904762	0.690476190476191	0.785714285714286	0.857142857142857	0.785714285714286	0.80952380952381	1	0.928571428571429	0.833333333333333	0.738095238095238	0.761904761904762	0.642857142857143	0.714285714285714	0.619047619047619	0.761904761904762	0.610789393575762	0.952380952380953	0.642857142857143	0.738095238095238	0.80952380952381	0.642857142857143	0.714285714285714	0.571428571428572	0.619047619047619	0.761904761904762	0.785714285714286	0.761904761904762	0.785714285714286	0.642857142857143	0.634741918814027	0.634741918814027	0.730552019767088
Polaromonas	0.976190476190476	0.904761904761905	0.857142857142857	0.904761904761905	0.952380952380953	0.904761904761905	0.80952380952381	0.928571428571429	1	0.785714285714286	0.904761904761905	0.857142857142857	0.80952380952381	0.833333333333333	0.833333333333333	0.904761904761905	0.778457070243618	0.952380952380953	0.80952380952381	0.904761904761905	0.857142857142857	0.714285714285714	0.833333333333333	0.738095238095238	0.833333333333333	0.80952380952381	0.904761904761905	0.904761904761905	0.904761904761905	0.80952380952381	0.826362120720149	0.826362120720149	0.874267171196679
Kaistia	0.833333333333333	0.833333333333333	0.785714285714286	0.833333333333333	0.880952380952381	0.690476190476191	0.928571428571429	0.833333333333333	0.785714285714286	1	0.690476190476191	0.80952380952381	0.761904761904762	0.857142857142857	0.690476190476191	0.833333333333333	0.790433332862751	0.904761904761905	0.761904761904762	0.690476190476191	0.857142857142857	0.833333333333333	0.857142857142857	0.761904761904762	0.714285714285714	0.928571428571429	0.690476190476191	0.833333333333333	0.833333333333333	0.761904761904762	0.64671818143316	0.64671818143316	0.574860605718364
