Flavobacterium	Lentzea	Nocardioides	Kribbella	Massilia	Devosia	Caulobacter	Shinella	Bosea	Conexibacter	Aquabacterium	Nitrobacter	Kaistia	Reyranella	Panacagrimonas	Actinocorallia	Sulfuriferula	Variibacter	Inquilinus	Cohnella	Saccharomonospora	Thermoleophilum	Pseudenhygromyxa	Ammoniphilus
Flavobacterium	1	0.904761904761905	0.880952380952381	0.904761904761905	0.976190476190476	0.928571428571429	0.904761904761905	0.928571428571429	0.952380952380953	0.857142857142857	0.904761904761905	0.904761904761905	0.976190476190476	0.857142857142857	0.857142857142857	0.952380952380953	0.904761904761905	0.904761904761905	0.857142857142857	0.976190476190476	0.928571428571429	0.976190476190476	0.850314645958414	0.946124746911475
Lentzea	0.904761904761905	1	0.833333333333333	0.857142857142857	0.952380952380953	0.80952380952381	0.833333333333333	0.80952380952381	0.976190476190476	0.666666666666667	0.690476190476191	0.857142857142857	0.833333333333333	0.80952380952381	0.857142857142857	0.904761904761905	0.857142857142857	0.666666666666667	0.976190476190476	0.952380952380953	0.976190476190476	0.880952380952381	0.934148484292342	0.850314645958414
Nocardioides	0.880952380952381	0.833333333333333	1	0.833333333333333	0.928571428571429	0.785714285714286	0.642857142857143	0.785714285714286	0.857142857142857	0.928571428571429	0.880952380952381	0.833333333333333	0.80952380952381	0.619047619047619	0.928571428571429	0.904761904761905	0.833333333333333	0.833333333333333	0.80952380952381	0.928571428571429	0.904761904761905	0.80952380952381	0.64671818143316	0.706599494528823
Kribbella	0.904761904761905	0.857142857142857	0.833333333333333	1	0.880952380952381	0.738095238095238	0.714285714285714	0.738095238095238	0.833333333333333	0.80952380952381	0.857142857142857	0.714285714285714	0.833333333333333	0.619047619047619	0.714285714285714	0.857142857142857	1	0.80952380952381	0.761904761904762	0.880952380952381	0.904761904761905	0.952380952380953	0.850314645958414	0.814385858101016
Massilia	0.976190476190476	0.952380952380953	0.928571428571429	0.880952380952381	1	0.904761904761905	0.857142857142857	0.904761904761905	0.976190476190476	0.833333333333333	0.857142857142857	0.928571428571429	0.928571428571429	0.833333333333333	0.928571428571429	0.976190476190476	0.880952380952381	0.833333333333333	0.928571428571429	1	0.976190476190476	0.928571428571429	0.850314645958414	0.886243433815812
Devosia	0.928571428571429	0.80952380952381	0.785714285714286	0.738095238095238	0.904761904761905	1	0.904761904761905	1	0.880952380952381	0.785714285714286	0.80952380952381	0.976190476190476	0.976190476190476	0.928571428571429	0.880952380952381	0.880952380952381	0.738095238095238	0.880952380952381	0.833333333333333	0.904761904761905	0.833333333333333	0.880952380952381	0.730552019767088	0.934148484292342
Caulobacter	0.904761904761905	0.833333333333333	0.642857142857143	0.714285714285714	0.857142857142857	0.904761904761905	1	0.904761904761905	0.904761904761905	0.619047619047619	0.714285714285714	0.857142857142857	0.928571428571429	0.976190476190476	0.714285714285714	0.833333333333333	0.714285714285714	0.761904761904762	0.80952380952381	0.857142857142857	0.785714285714286	0.880952380952381	0.862290908577547	0.97007727214974
Shinella	0.928571428571429	0.80952380952381	0.785714285714286	0.738095238095238	0.904761904761905	1	0.904761904761905	1	0.880952380952381	0.785714285714286	0.80952380952381	0.976190476190476	0.976190476190476	0.928571428571429	0.880952380952381	0.880952380952381	0.738095238095238	0.880952380952381	0.833333333333333	0.904761904761905	0.833333333333333	0.880952380952381	0.730552019767088	0.934148484292342
Bosea	0.952380952380953	0.976190476190476	0.857142857142857	0.833333333333333	0.976190476190476	0.880952380952381	0.904761904761905	0.880952380952381	1	0.738095238095238	0.761904761904762	0.904761904761905	0.904761904761905	0.880952380952381	0.880952380952381	0.928571428571429	0.833333333333333	0.761904761904762	0.952380952380953	0.976190476190476	0.952380952380953	0.904761904761905	0.898219696434944	0.910195959054077
Conexibacter	0.857142857142857	0.666666666666667	0.928571428571429	0.80952380952381	0.833333333333333	0.785714285714286	0.619047619047619	0.785714285714286	0.738095238095238	1	0.952380952380953	0.761904761904762	0.833333333333333	0.571428571428572	0.80952380952381	0.80952380952381	0.80952380952381	0.952380952380953	0.619047619047619	0.833333333333333	0.761904761904762	0.80952380952381	0.514979292622701	0.718575757147955
Aquabacterium	0.904761904761905	0.690476190476191	0.880952380952381	0.857142857142857	0.857142857142857	0.80952380952381	0.714285714285714	0.80952380952381	0.761904761904762	0.952380952380953	1	0.761904761904762	0.880952380952381	0.642857142857143	0.761904761904762	0.880952380952381	0.857142857142857	0.952380952380953	0.619047619047619	0.857142857142857	0.785714285714286	0.880952380952381	0.622765656194895	0.778457070243618
Nitrobacter	0.904761904761905	0.857142857142857	0.833333333333333	0.714285714285714	0.928571428571429	0.976190476190476	0.857142857142857	0.976190476190476	0.904761904761905	0.761904761904762	0.761904761904762	1	0.928571428571429	0.904761904761905	0.952380952380953	0.904761904761905	0.714285714285714	0.80952380952381	0.904761904761905	0.928571428571429	0.880952380952381	0.833333333333333	0.730552019767088	0.874267171196679
Kaistia	0.976190476190476	0.833333333333333	0.80952380952381	0.833333333333333	0.928571428571429	0.976190476190476	0.928571428571429	0.976190476190476	0.904761904761905	0.833333333333333	0.880952380952381	0.928571428571429	1	0.904761904761905	0.833333333333333	0.904761904761905	0.833333333333333	0.928571428571429	0.80952380952381	0.928571428571429	0.857142857142857	0.952380952380953	0.790433332862751	0.97007727214974
Reyranella	0.857142857142857	0.80952380952381	0.619047619047619	0.619047619047619	0.833333333333333	0.928571428571429	0.976190476190476	0.928571428571429	0.880952380952381	0.571428571428572	0.642857142857143	0.904761904761905	0.904761904761905	1	0.761904761904762	0.80952380952381	0.619047619047619	0.714285714285714	0.833333333333333	0.833333333333333	0.761904761904762	0.80952380952381	0.802409595481884	0.934148484292342
Panacagrimonas	0.857142857142857	0.857142857142857	0.928571428571429	0.714285714285714	0.928571428571429	0.880952380952381	0.714285714285714	0.880952380952381	0.880952380952381	0.80952380952381	0.761904761904762	0.952380952380953	0.833333333333333	0.761904761904762	1	0.904761904761905	0.714285714285714	0.761904761904762	0.904761904761905	0.928571428571429	0.904761904761905	0.761904761904762	0.658694444052292	0.742528282386221
Actinocorallia	0.952380952380953	0.904761904761905	0.904761904761905	0.857142857142857	0.976190476190476	0.880952380952381	0.833333333333333	0.880952380952381	0.928571428571429	0.80952380952381	0.880952380952381	0.904761904761905	0.904761904761905	0.80952380952381	0.904761904761905	1	0.857142857142857	0.80952380952381	0.880952380952381	0.976190476190476	0.952380952380953	0.904761904761905	0.826362120720149	0.838338383339281
Sulfuriferula	0.904761904761905	0.857142857142857	0.833333333333333	1	0.880952380952381	0.738095238095238	0.714285714285714	0.738095238095238	0.833333333333333	0.80952380952381	0.857142857142857	0.714285714285714	0.833333333333333	0.619047619047619	0.714285714285714	0.857142857142857	1	0.80952380952381	0.761904761904762	0.880952380952381	0.904761904761905	0.952380952380953	0.850314645958414	0.814385858101016
Variibacter	0.904761904761905	0.666666666666667	0.833333333333333	0.80952380952381	0.833333333333333	0.880952380952381	0.761904761904762	0.880952380952381	0.761904761904762	0.952380952380953	0.952380952380953	0.80952380952381	0.928571428571429	0.714285714285714	0.761904761904762	0.80952380952381	0.80952380952381	1	0.619047619047619	0.833333333333333	0.738095238095238	0.880952380952381	0.586836868337497	0.850314645958414
Inquilinus	0.857142857142857	0.976190476190476	0.80952380952381	0.761904761904762	0.928571428571429	0.833333333333333	0.80952380952381	0.833333333333333	0.952380952380953	0.619047619047619	0.619047619047619	0.904761904761905	0.80952380952381	0.833333333333333	0.904761904761905	0.880952380952381	0.761904761904762	0.619047619047619	1	0.928571428571429	0.952380952380953	0.80952380952381	0.874267171196679	0.814385858101016
Cohnella	0.976190476190476	0.952380952380953	0.928571428571429	0.880952380952381	1	0.904761904761905	0.857142857142857	0.904761904761905	0.976190476190476	0.833333333333333	0.857142857142857	0.928571428571429	0.928571428571429	0.833333333333333	0.928571428571429	0.976190476190476	0.880952380952381	0.833333333333333	0.928571428571429	1	0.976190476190476	0.928571428571429	0.850314645958414	0.886243433815812
Saccharomonospora	0.928571428571429	0.976190476190476	0.904761904761905	0.904761904761905	0.976190476190476	0.833333333333333	0.785714285714286	0.833333333333333	0.952380952380953	0.761904761904762	0.785714285714286	0.880952380952381	0.857142857142857	0.761904761904762	0.904761904761905	0.952380952380953	0.904761904761905	0.738095238095238	0.952380952380953	0.976190476190476	1	0.904761904761905	0.886243433815812	0.826362120720149
Thermoleophilum	0.976190476190476	0.880952380952381	0.80952380952381	0.952380952380953	0.928571428571429	0.880952380952381	0.880952380952381	0.880952380952381	0.904761904761905	0.80952380952381	0.880952380952381	0.833333333333333	0.952380952380953	0.80952380952381	0.761904761904762	0.904761904761905	0.952380952380953	0.880952380952381	0.80952380952381	0.928571428571429	0.904761904761905	1	0.886243433815812	0.946124746911475
Pseudenhygromyxa	0.850314645958414	0.934148484292342	0.64671818143316	0.850314645958414	0.850314645958414	0.730552019767088	0.862290908577547	0.730552019767088	0.898219696434944	0.514979292622701	0.622765656194895	0.730552019767088	0.790433332862751	0.802409595481884	0.658694444052292	0.826362120720149	0.850314645958414	0.586836868337497	0.874267171196679	0.850314645958414	0.886243433815812	0.886243433815812	1	0.86144578313253
Ammoniphilus	0.946124746911475	0.850314645958414	0.706599494528823	0.814385858101016	0.886243433815812	0.934148484292342	0.97007727214974	0.934148484292342	0.910195959054077	0.718575757147955	0.778457070243618	0.874267171196679	0.97007727214974	0.934148484292342	0.742528282386221	0.838338383339281	0.814385858101016	0.850314645958414	0.814385858101016	0.886243433815812	0.826362120720149	0.946124746911475	0.86144578313253	1
