g__Lachnella	Chondromyces	Phycicoccus	g__Exophiala	Terrabacter	Saccharibacteria_genera_incertae_sedis	Ideonella	Marmoricola	Dissulfuribacter	Gemmatimonas	Sporichthya	Rhodoligotrophos	Oscillochloris	Labilithrix	Uliginosibacterium	Gp22	Nakamurella	Roseiflexus	Acidiphilium	Armatimonadetes_gp5	Aciditerrimonas	Skermanella	Sneathiella	Terrimonas
g__Lachnella	1	0.904761904761905	0.904761904761905	0.952380952380953	0.928571428571429	0.976190476190476	0.928571428571429	0.928571428571429	0.976190476190476	0.928571428571429	0.904761904761905	0.976190476190476	0.886243433815812	0.904761904761905	0.928571428571429	0.952380952380953	0.904761904761905	0.814385858101016	0.886243433815812	0.898219696434944	0.790433332862751	0.814385858101016	0.814385858101016	0.814385858101016
Chondromyces	0.904761904761905	1	1	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	1	0.952380952380953	0.994029797388005	1	0.904761904761905	0.976190476190476	0.80952380952381	0.97007727214974	0.994029797388005	0.790433332862751	0.922172221673209	0.97007727214974	0.97007727214974	0.97007727214974
Phycicoccus	0.904761904761905	1	1	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	1	0.952380952380953	0.994029797388005	1	0.904761904761905	0.976190476190476	0.80952380952381	0.97007727214974	0.994029797388005	0.790433332862751	0.922172221673209	0.97007727214974	0.97007727214974	0.97007727214974
g__Exophiala	0.952380952380953	0.976190476190476	0.976190476190476	1	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	0.97007727214974	0.976190476190476	0.952380952380953	1	0.857142857142857	0.922172221673209	0.97007727214974	0.838338383339281	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Terrabacter	0.928571428571429	0.976190476190476	0.976190476190476	0.952380952380953	1	0.976190476190476	1	1	0.976190476190476	1	0.976190476190476	0.976190476190476	0.958101009530607	0.976190476190476	0.857142857142857	0.952380952380953	0.880952380952381	0.934148484292342	0.958101009530607	0.874267171196679	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
Saccharibacteria_genera_incertae_sedis	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.976190476190476	1	0.976190476190476	0.976190476190476	1	0.976190476190476	0.952380952380953	1	0.934148484292342	0.952380952380953	0.904761904761905	0.976190476190476	0.928571428571429	0.886243433815812	0.934148484292342	0.922172221673209	0.862290908577547	0.886243433815812	0.886243433815812	0.886243433815812
Ideonella	0.928571428571429	0.976190476190476	0.976190476190476	0.952380952380953	1	0.976190476190476	1	1	0.976190476190476	1	0.976190476190476	0.976190476190476	0.958101009530607	0.976190476190476	0.857142857142857	0.952380952380953	0.880952380952381	0.934148484292342	0.958101009530607	0.874267171196679	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
Marmoricola	0.928571428571429	0.976190476190476	0.976190476190476	0.952380952380953	1	0.976190476190476	1	1	0.976190476190476	1	0.976190476190476	0.976190476190476	0.958101009530607	0.976190476190476	0.857142857142857	0.952380952380953	0.880952380952381	0.934148484292342	0.958101009530607	0.874267171196679	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
Dissulfuribacter	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.976190476190476	1	0.976190476190476	0.976190476190476	1	0.976190476190476	0.952380952380953	1	0.934148484292342	0.952380952380953	0.904761904761905	0.976190476190476	0.928571428571429	0.886243433815812	0.934148484292342	0.922172221673209	0.862290908577547	0.886243433815812	0.886243433815812	0.886243433815812
Gemmatimonas	0.928571428571429	0.976190476190476	0.976190476190476	0.952380952380953	1	0.976190476190476	1	1	0.976190476190476	1	0.976190476190476	0.976190476190476	0.958101009530607	0.976190476190476	0.857142857142857	0.952380952380953	0.880952380952381	0.934148484292342	0.958101009530607	0.874267171196679	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
