Kibdelosporangium	Selenomonas	Gp3	Ardenticatena	Roseiflexus	Acidiphilium	g__Olpidium	Aciditerrimonas	Skermanella	Sneathiella	Terrimonas
Kibdelosporangium	1	0.994029797388005	0.994029797388005	0.910195959054077	0.975903614457831	0.927710843373494	0.855421686746988	0.951807228915663	0.975903614457831	0.975903614457831	0.975903614457831
Selenomonas	0.994029797388005	1	1	0.880952380952381	0.97007727214974	0.922172221673209	0.850314645958414	0.946124746911475	0.97007727214974	0.97007727214974	0.97007727214974
Gp3	0.994029797388005	1	1	0.880952380952381	0.97007727214974	0.922172221673209	0.850314645958414	0.946124746911475	0.97007727214974	0.97007727214974	0.97007727214974
Ardenticatena	0.910195959054077	0.880952380952381	0.880952380952381	1	0.958101009530607	0.934148484292342	0.742528282386221	0.934148484292342	0.958101009530607	0.958101009530607	0.958101009530607
Roseiflexus	0.975903614457831	0.97007727214974	0.97007727214974	0.958101009530607	1	0.975903614457831	0.831325301204819	0.975903614457831	1	1	1
Acidiphilium	0.927710843373494	0.922172221673209	0.922172221673209	0.934148484292342	0.975903614457831	1	0.783132530120482	0.927710843373494	0.975903614457831	0.975903614457831	0.975903614457831
g__Olpidium	0.855421686746988	0.850314645958414	0.850314645958414	0.742528282386221	0.831325301204819	0.783132530120482	1	0.903614457831325	0.831325301204819	0.831325301204819	0.831325301204819
Aciditerrimonas	0.951807228915663	0.946124746911475	0.946124746911475	0.934148484292342	0.975903614457831	0.927710843373494	0.903614457831325	1	0.975903614457831	0.975903614457831	0.975903614457831
Skermanella	0.975903614457831	0.97007727214974	0.97007727214974	0.958101009530607	1	0.975903614457831	0.831325301204819	0.975903614457831	1	1	1
Sneathiella	0.975903614457831	0.97007727214974	0.97007727214974	0.958101009530607	1	0.975903614457831	0.831325301204819	0.975903614457831	1	1	1
Terrimonas	0.975903614457831	0.97007727214974	0.97007727214974	0.958101009530607	1	0.975903614457831	0.831325301204819	0.975903614457831	1	1	1
