Aeromicrobium	Sorangium	Agromyces	Solirubrobacter	Cellulomonas	Blastococcus	Gaiella	Conexibacter	Terrabacter	Paenibacillus	Saccharibacteria_genera_incertae_sedis	g__Mortierella	Ideonella	Marmoricola	Dissulfuribacter	Gemmatimonas	Haliangium	Rhizocola	g__Apodus	Knoellia	Saccharothrix	Sporosarcina	Sporichthya	Ilumatobacter	Nitrospira	Cellvibrio	Catellatospora	Peredibacter	Rhodoligotrophos	Pseudolabrys	Ramlibacter	Ohtaekwangia	Chitinimonas	Oscillochloris	Nannocystis	Methyloceanibacter	Streptosporangium	Amaricoccus	Povalibacter	Labilithrix	Adhaeribacter	Nitrincola	Lautropia	Thiomonas	Tumebacillus	Ardenticatena	Gp22	Rubrobacter	Luteivirga	Nakamurella	Roseiflexus	Sanguibacter	Acidiphilium	Sulfurisoma	Armatimonadetes_gp5	Skermanella	Sneathiella	Terrimonas
Aeromicrobium	1	0.976190476190476	0.976190476190476	0.976190476190476	1	0.904761904761905	0.952380952380953	0.904761904761905	0.928571428571429	0.928571428571429	0.880952380952381	0.928571428571429	0.928571428571429	0.928571428571429	0.880952380952381	0.928571428571429	0.976190476190476	0.904761904761905	0.874267171196679	0.928571428571429	0.904761904761905	0.904761904761905	0.857142857142857	0.904761904761905	0.928571428571429	0.952380952380953	0.952380952380953	0.904761904761905	0.880952380952381	0.880952380952381	0.976190476190476	0.790433332862751	0.904761904761905	0.814385858101016	0.880952380952381	0.976190476190476	0.880952380952381	0.880952380952381	0.952380952380953	0.857142857142857	0.862290908577547	0.862290908577547	0.880952380952381	0.904761904761905	0.928571428571429	0.904761904761905	0.80952380952381	0.880952380952381	1	0.904761904761905	0.790433332862751	0.946124746911475	0.814385858101016	0.946124746911475	0.898219696434944	0.790433332862751	0.790433332862751	0.790433332862751
Sorangium	0.976190476190476	1	0.952380952380953	0.952380952380953	0.976190476190476	0.928571428571429	0.904761904761905	0.833333333333333	0.880952380952381	0.952380952380953	0.833333333333333	0.904761904761905	0.880952380952381	0.880952380952381	0.833333333333333	0.880952380952381	0.952380952380953	0.80952380952381	0.790433332862751	0.904761904761905	0.857142857142857	0.952380952380953	0.833333333333333	0.833333333333333	0.904761904761905	0.976190476190476	0.904761904761905	0.928571428571429	0.833333333333333	0.785714285714286	0.928571428571429	0.814385858101016	0.833333333333333	0.790433332862751	0.928571428571429	0.952380952380953	0.904761904761905	0.928571428571429	0.904761904761905	0.833333333333333	0.898219696434944	0.922172221673209	0.904761904761905	0.80952380952381	0.904761904761905	0.833333333333333	0.785714285714286	0.904761904761905	0.976190476190476	0.880952380952381	0.742528282386221	0.886243433815812	0.790433332862751	0.886243433815812	0.862290908577547	0.742528282386221	0.742528282386221	0.742528282386221
Agromyces	0.976190476190476	0.952380952380953	1	1	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	1	0.880952380952381	0.898219696434944	0.976190476190476	0.880952380952381	0.928571428571429	0.928571428571429	0.928571428571429	0.976190476190476	0.976190476190476	0.904761904761905	0.952380952380953	0.952380952380953	0.904761904761905	0.952380952380953	0.874267171196679	0.880952380952381	0.898219696434944	0.928571428571429	1	0.904761904761905	0.928571428571429	0.904761904761905	0.928571428571429	0.886243433815812	0.910195959054077	0.904761904761905	0.880952380952381	0.976190476190476	0.928571428571429	0.904761904761905	0.904761904761905	0.976190476190476	0.928571428571429	0.850314645958414	0.874267171196679	0.898219696434944	0.874267171196679	0.922172221673209	0.850314645958414	0.850314645958414	0.850314645958414
Solirubrobacter	0.976190476190476	0.952380952380953	1	1	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	1	0.880952380952381	0.898219696434944	0.976190476190476	0.880952380952381	0.928571428571429	0.928571428571429	0.928571428571429	0.976190476190476	0.976190476190476	0.904761904761905	0.952380952380953	0.952380952380953	0.904761904761905	0.952380952380953	0.874267171196679	0.880952380952381	0.898219696434944	0.928571428571429	1	0.904761904761905	0.928571428571429	0.904761904761905	0.928571428571429	0.886243433815812	0.910195959054077	0.904761904761905	0.880952380952381	0.976190476190476	0.928571428571429	0.904761904761905	0.904761904761905	0.976190476190476	0.928571428571429	0.850314645958414	0.874267171196679	0.898219696434944	0.874267171196679	0.922172221673209	0.850314645958414	0.850314645958414	0.850314645958414
Cellulomonas	1	0.976190476190476	0.976190476190476	0.976190476190476	1	0.904761904761905	0.952380952380953	0.904761904761905	0.928571428571429	0.928571428571429	0.880952380952381	0.928571428571429	0.928571428571429	0.928571428571429	0.880952380952381	0.928571428571429	0.976190476190476	0.904761904761905	0.874267171196679	0.928571428571429	0.904761904761905	0.904761904761905	0.857142857142857	0.904761904761905	0.928571428571429	0.952380952380953	0.952380952380953	0.904761904761905	0.880952380952381	0.880952380952381	0.976190476190476	0.790433332862751	0.904761904761905	0.814385858101016	0.880952380952381	0.976190476190476	0.880952380952381	0.880952380952381	0.952380952380953	0.857142857142857	0.862290908577547	0.862290908577547	0.880952380952381	0.904761904761905	0.928571428571429	0.904761904761905	0.80952380952381	0.880952380952381	1	0.904761904761905	0.790433332862751	0.946124746911475	0.814385858101016	0.946124746911475	0.898219696434944	0.790433332862751	0.790433332862751	0.790433332862751
Blastococcus	0.904761904761905	0.928571428571429	0.952380952380953	0.952380952380953	0.904761904761905	1	0.904761904761905	0.857142857142857	0.904761904761905	0.928571428571429	0.928571428571429	0.976190476190476	0.904761904761905	0.904761904761905	0.928571428571429	0.904761904761905	0.952380952380953	0.714285714285714	0.742528282386221	0.976190476190476	0.857142857142857	0.952380952380953	0.880952380952381	0.80952380952381	0.976190476190476	0.976190476190476	0.833333333333333	1	0.928571428571429	0.761904761904762	0.857142857142857	0.874267171196679	0.714285714285714	0.850314645958414	0.952380952380953	0.952380952380953	0.904761904761905	0.952380952380953	0.833333333333333	0.880952380952381	0.97007727214974	0.946124746911475	0.904761904761905	0.714285714285714	0.976190476190476	0.80952380952381	0.904761904761905	0.976190476190476	0.904761904761905	0.952380952380953	0.754504545005353	0.766480807624486	0.850314645958414	0.766480807624486	0.934148484292342	0.754504545005353	0.754504545005353	0.754504545005353
Gaiella	0.952380952380953	0.904761904761905	0.976190476190476	0.976190476190476	0.952380952380953	0.904761904761905	1	0.976190476190476	0.952380952380953	0.904761904761905	0.928571428571429	0.952380952380953	0.952380952380953	0.952380952380953	0.928571428571429	0.952380952380953	0.976190476190476	0.904761904761905	0.898219696434944	0.952380952380953	0.904761904761905	0.904761904761905	0.880952380952381	0.904761904761905	0.952380952380953	0.928571428571429	0.928571428571429	0.904761904761905	0.928571428571429	0.928571428571429	0.976190476190476	0.814385858101016	0.857142857142857	0.862290908577547	0.857142857142857	0.976190476190476	0.928571428571429	0.857142857142857	0.928571428571429	0.880952380952381	0.850314645958414	0.850314645958414	0.928571428571429	0.904761904761905	0.952380952380953	0.904761904761905	0.857142857142857	0.857142857142857	0.952380952380953	0.904761904761905	0.814385858101016	0.874267171196679	0.862290908577547	0.874267171196679	0.922172221673209	0.814385858101016	0.814385858101016	0.814385858101016
Conexibacter	0.904761904761905	0.833333333333333	0.952380952380953	0.952380952380953	0.904761904761905	0.857142857142857	0.976190476190476	1	0.976190476190476	0.857142857142857	0.952380952380953	0.928571428571429	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.928571428571429	0.946124746911475	0.928571428571429	0.833333333333333	0.833333333333333	0.928571428571429	0.952380952380953	0.928571428571429	0.880952380952381	0.857142857142857	0.857142857142857	0.952380952380953	0.976190476190476	0.928571428571429	0.850314645958414	0.880952380952381	0.922172221673209	0.833333333333333	0.952380952380953	0.857142857142857	0.833333333333333	0.857142857142857	0.928571428571429	0.766480807624486	0.814385858101016	0.857142857142857	0.928571428571429	0.928571428571429	0.952380952380953	0.904761904761905	0.785714285714286	0.904761904761905	0.857142857142857	0.898219696434944	0.826362120720149	0.922172221673209	0.826362120720149	0.874267171196679	0.898219696434944	0.898219696434944	0.898219696434944
Terrabacter	0.928571428571429	0.880952380952381	0.976190476190476	0.976190476190476	0.928571428571429	0.904761904761905	0.952380952380953	0.976190476190476	1	0.904761904761905	0.976190476190476	0.952380952380953	1	1	0.976190476190476	1	0.976190476190476	0.904761904761905	0.946124746911475	0.952380952380953	0.80952380952381	0.857142857142857	0.976190476190476	0.976190476190476	0.952380952380953	0.928571428571429	0.833333333333333	0.904761904761905	0.976190476190476	0.952380952380953	0.904761904761905	0.910195959054077	0.904761904761905	0.958101009530607	0.904761904761905	0.976190476190476	0.833333333333333	0.904761904761905	0.833333333333333	0.976190476190476	0.802409595481884	0.874267171196679	0.833333333333333	0.904761904761905	0.952380952380953	0.976190476190476	0.952380952380953	0.833333333333333	0.928571428571429	0.880952380952381	0.934148484292342	0.826362120720149	0.958101009530607	0.826362120720149	0.874267171196679	0.934148484292342	0.934148484292342	0.934148484292342
Paenibacillus	0.928571428571429	0.952380952380953	0.952380952380953	0.952380952380953	0.928571428571429	0.928571428571429	0.904761904761905	0.857142857142857	0.904761904761905	1	0.857142857142857	0.904761904761905	0.904761904761905	0.904761904761905	0.857142857142857	0.904761904761905	0.952380952380953	0.761904761904762	0.838338383339281	0.904761904761905	0.761904761904762	0.952380952380953	0.880952380952381	0.833333333333333	0.904761904761905	0.976190476190476	0.80952380952381	0.928571428571429	0.857142857142857	0.785714285714286	0.880952380952381	0.874267171196679	0.833333333333333	0.850314645958414	0.952380952380953	0.952380952380953	0.904761904761905	0.952380952380953	0.80952380952381	0.880952380952381	0.850314645958414	0.946124746911475	0.904761904761905	0.761904761904762	0.904761904761905	0.833333333333333	0.833333333333333	0.857142857142857	0.928571428571429	0.833333333333333	0.778457070243618	0.766480807624486	0.850314645958414	0.766480807624486	0.814385858101016	0.778457070243618	0.778457070243618	0.778457070243618
