Actinoplanes	Mesorhizobium	Steroidobacter	Umezawaea	Amycolatopsis	Dactylosporangium	Rhizocola	Parachlamydia	Thiomonas	Halobacteriovorax	Luteivirga	Sanguibacter	Tahibacter	Sulfurisoma
Actinoplanes	1	0.880952380952381	0.928571428571429	0.904761904761905	0.952380952380953	0.976190476190476	0.928571428571429	0.928571428571429	0.928571428571429	0.952380952380953	0.785714285714286	0.850314645958414	0.778457070243618	0.850314645958414
Mesorhizobium	0.880952380952381	1	0.857142857142857	0.904761904761905	0.952380952380953	0.904761904761905	0.857142857142857	0.880952380952381	0.857142857142857	0.952380952380953	0.80952380952381	0.826362120720149	0.802409595481884	0.826362120720149
Steroidobacter	0.928571428571429	0.857142857142857	1	0.976190476190476	0.952380952380953	0.976190476190476	1	0.857142857142857	1	0.952380952380953	0.904761904761905	0.922172221673209	0.850314645958414	0.922172221673209
Umezawaea	0.904761904761905	0.904761904761905	0.976190476190476	1	0.976190476190476	0.952380952380953	0.976190476190476	0.904761904761905	0.976190476190476	0.976190476190476	0.952380952380953	0.97007727214974	0.922172221673209	0.97007727214974
Amycolatopsis	0.952380952380953	0.952380952380953	0.952380952380953	0.976190476190476	1	0.976190476190476	0.952380952380953	0.952380952380953	0.952380952380953	1	0.880952380952381	0.934148484292342	0.886243433815812	0.934148484292342
Dactylosporangium	0.976190476190476	0.904761904761905	0.976190476190476	0.952380952380953	0.976190476190476	1	0.976190476190476	0.904761904761905	0.976190476190476	0.976190476190476	0.833333333333333	0.886243433815812	0.814385858101016	0.886243433815812
Rhizocola	0.928571428571429	0.857142857142857	1	0.976190476190476	0.952380952380953	0.976190476190476	1	0.857142857142857	1	0.952380952380953	0.904761904761905	0.922172221673209	0.850314645958414	0.922172221673209
Parachlamydia	0.928571428571429	0.880952380952381	0.857142857142857	0.904761904761905	0.952380952380953	0.904761904761905	0.857142857142857	1	0.857142857142857	0.952380952380953	0.80952380952381	0.922172221673209	0.898219696434944	0.922172221673209
Thiomonas	0.928571428571429	0.857142857142857	1	0.976190476190476	0.952380952380953	0.976190476190476	1	0.857142857142857	1	0.952380952380953	0.904761904761905	0.922172221673209	0.850314645958414	0.922172221673209
Halobacteriovorax	0.952380952380953	0.952380952380953	0.952380952380953	0.976190476190476	1	0.976190476190476	0.952380952380953	0.952380952380953	0.952380952380953	1	0.880952380952381	0.934148484292342	0.886243433815812	0.934148484292342
Luteivirga	0.785714285714286	0.80952380952381	0.904761904761905	0.952380952380953	0.880952380952381	0.833333333333333	0.904761904761905	0.80952380952381	0.904761904761905	0.880952380952381	1	0.946124746911475	0.898219696434944	0.946124746911475
Sanguibacter	0.850314645958414	0.826362120720149	0.922172221673209	0.97007727214974	0.934148484292342	0.886243433815812	0.922172221673209	0.922172221673209	0.922172221673209	0.934148484292342	0.946124746911475	1	0.975903614457831	1
Tahibacter	0.778457070243618	0.802409595481884	0.850314645958414	0.922172221673209	0.886243433815812	0.814385858101016	0.850314645958414	0.898219696434944	0.850314645958414	0.886243433815812	0.898219696434944	0.975903614457831	1	0.975903614457831
Sulfurisoma	0.850314645958414	0.826362120720149	0.922172221673209	0.97007727214974	0.934148484292342	0.886243433815812	0.922172221673209	0.922172221673209	0.922172221673209	0.934148484292342	0.946124746911475	1	0.975903614457831	1
