Sphingomonas	Herbaspirillum	Mycobacterium	Mesorhizobium	Rhodanobacter	Amycolatopsis	Achromobacter	Nitrobacter	Microvirga	Acholeplasma	Nocardia	Methylophilus	Iamia	Afipia	Panacagrimonas	Gp6	Parachlamydia	Inquilinus	Luteolibacter	Halobacteriovorax	Chthonomonas/Armatimonadetes_gp3	Oxalicibacterium	g__Phaeosphaeria
Sphingomonas	1	0.976190476190476	0.833333333333333	0.761904761904762	0.880952380952381	0.833333333333333	0.904761904761905	0.833333333333333	0.952380952380953	0.730552019767088	0.904761904761905	0.857142857142857	0.785714285714286	0.928571428571429	0.80952380952381	0.833333333333333	0.880952380952381	0.761904761904762	0.785714285714286	0.833333333333333	0.790433332862751	0.934148484292342	0.952380952380953
Herbaspirillum	0.976190476190476	1	0.880952380952381	0.857142857142857	0.904761904761905	0.880952380952381	0.857142857142857	0.904761904761905	0.976190476190476	0.838338383339281	0.880952380952381	0.928571428571429	0.857142857142857	0.904761904761905	0.904761904761905	0.904761904761905	0.904761904761905	0.857142857142857	0.857142857142857	0.880952380952381	0.850314645958414	0.874267171196679	0.904761904761905
Mycobacterium	0.833333333333333	0.880952380952381	1	0.833333333333333	0.952380952380953	0.761904761904762	0.666666666666667	0.928571428571429	0.952380952380953	0.718575757147955	0.904761904761905	0.80952380952381	0.904761904761905	0.928571428571429	0.833333333333333	0.880952380952381	0.714285714285714	0.904761904761905	0.904761904761905	0.761904761904762	0.898219696434944	0.790433332862751	0.690476190476191
Mesorhizobium	0.761904761904762	0.857142857142857	0.833333333333333	1	0.761904761904762	0.952380952380953	0.571428571428572	0.952380952380953	0.833333333333333	0.886243433815812	0.666666666666667	0.785714285714286	0.80952380952381	0.690476190476191	0.952380952380953	0.761904761904762	0.880952380952381	0.80952380952381	0.714285714285714	0.952380952380953	0.706599494528823	0.550908080480099	0.714285714285714
Rhodanobacter	0.880952380952381	0.904761904761905	0.952380952380953	0.761904761904762	1	0.714285714285714	0.833333333333333	0.857142857142857	0.952380952380953	0.706599494528823	0.976190476190476	0.833333333333333	0.928571428571429	0.952380952380953	0.761904761904762	0.880952380952381	0.761904761904762	0.857142857142857	0.904761904761905	0.714285714285714	0.958101009530607	0.838338383339281	0.761904761904762
Amycolatopsis	0.833333333333333	0.880952380952381	0.761904761904762	0.952380952380953	0.714285714285714	1	0.642857142857143	0.928571428571429	0.833333333333333	0.802409595481884	0.666666666666667	0.761904761904762	0.761904761904762	0.690476190476191	0.928571428571429	0.714285714285714	0.952380952380953	0.738095238095238	0.619047619047619	1	0.622765656194895	0.634741918814027	0.80952380952381
Achromobacter	0.904761904761905	0.857142857142857	0.666666666666667	0.571428571428572	0.833333333333333	0.642857142857143	1	0.619047619047619	0.80952380952381	0.634741918814027	0.880952380952381	0.761904761904762	0.714285714285714	0.833333333333333	0.595238095238095	0.714285714285714	0.80952380952381	0.595238095238095	0.690476190476191	0.642857142857143	0.778457070243618	0.850314645958414	0.904761904761905
Nitrobacter	0.833333333333333	0.904761904761905	0.928571428571429	0.952380952380953	0.857142857142857	0.928571428571429	0.619047619047619	1	0.928571428571429	0.790433332862751	0.785714285714286	0.833333333333333	0.904761904761905	0.80952380952381	0.952380952380953	0.857142857142857	0.857142857142857	0.904761904761905	0.80952380952381	0.928571428571429	0.802409595481884	0.706599494528823	0.714285714285714
Microvirga	0.952380952380953	0.976190476190476	0.952380952380953	0.833333333333333	0.952380952380953	0.833333333333333	0.80952380952381	0.928571428571429	1	0.766480807624486	0.928571428571429	0.904761904761905	0.904761904761905	0.952380952380953	0.880952380952381	0.928571428571429	0.833333333333333	0.904761904761905	0.904761904761905	0.833333333333333	0.898219696434944	0.898219696434944	0.833333333333333
Acholeplasma	0.730552019767088	0.838338383339281	0.718575757147955	0.886243433815812	0.706599494528823	0.802409595481884	0.634741918814027	0.790433332862751	0.766480807624486	1	0.59881313095663	0.874267171196679	0.706599494528823	0.634741918814027	0.898219696434944	0.802409595481884	0.790433332862751	0.778457070243618	0.778457070243618	0.802409595481884	0.728915662650602	0.536144578313253	0.718575757147955
Nocardia	0.904761904761905	0.880952380952381	0.904761904761905	0.666666666666667	0.976190476190476	0.666666666666667	0.880952380952381	0.785714285714286	0.928571428571429	0.59881313095663	1	0.761904761904762	0.857142857142857	0.976190476190476	0.666666666666667	0.80952380952381	0.738095238095238	0.761904761904762	0.833333333333333	0.666666666666667	0.898219696434944	0.898219696434944	0.80952380952381
Methylophilus	0.857142857142857	0.928571428571429	0.80952380952381	0.785714285714286	0.833333333333333	0.761904761904762	0.761904761904762	0.833333333333333	0.904761904761905	0.874267171196679	0.761904761904762	1	0.857142857142857	0.785714285714286	0.904761904761905	0.976190476190476	0.785714285714286	0.928571428571429	0.928571428571429	0.761904761904762	0.886243433815812	0.790433332862751	0.738095238095238
Iamia	0.785714285714286	0.857142857142857	0.904761904761905	0.80952380952381	0.928571428571429	0.761904761904762	0.714285714285714	0.904761904761905	0.904761904761905	0.706599494528823	0.857142857142857	0.857142857142857	1	0.80952380952381	0.833333333333333	0.904761904761905	0.785714285714286	0.928571428571429	0.880952380952381	0.761904761904762	0.946124746911475	0.718575757147955	0.619047619047619
Afipia	0.928571428571429	0.904761904761905	0.928571428571429	0.690476190476191	0.952380952380953	0.690476190476191	0.833333333333333	0.80952380952381	0.952380952380953	0.634741918814027	0.976190476190476	0.785714285714286	0.80952380952381	1	0.714285714285714	0.833333333333333	0.714285714285714	0.785714285714286	0.857142857142857	0.690476190476191	0.862290908577547	0.934148484292342	0.833333333333333
Panacagrimonas	0.80952380952381	0.904761904761905	0.833333333333333	0.952380952380953	0.761904761904762	0.928571428571429	0.595238095238095	0.952380952380953	0.880952380952381	0.898219696434944	0.666666666666667	0.904761904761905	0.833333333333333	0.714285714285714	1	0.880952380952381	0.857142857142857	0.904761904761905	0.80952380952381	0.928571428571429	0.754504545005353	0.658694444052292	0.714285714285714
Gp6	0.833333333333333	0.904761904761905	0.880952380952381	0.761904761904762	0.880952380952381	0.714285714285714	0.714285714285714	0.857142857142857	0.928571428571429	0.802409595481884	0.80952380952381	0.976190476190476	0.904761904761905	0.833333333333333	0.880952380952381	1	0.714285714285714	0.976190476190476	0.976190476190476	0.714285714285714	0.934148484292342	0.814385858101016	0.666666666666667
Parachlamydia	0.880952380952381	0.904761904761905	0.714285714285714	0.880952380952381	0.761904761904762	0.952380952380953	0.80952380952381	0.857142857142857	0.833333333333333	0.790433332862751	0.738095238095238	0.785714285714286	0.785714285714286	0.714285714285714	0.857142857142857	0.714285714285714	1	0.690476190476191	0.619047619047619	0.952380952380953	0.682646969290558	0.682646969290558	0.880952380952381
Inquilinus	0.761904761904762	0.857142857142857	0.904761904761905	0.80952380952381	0.857142857142857	0.738095238095238	0.595238095238095	0.904761904761905	0.904761904761905	0.778457070243618	0.761904761904762	0.928571428571429	0.928571428571429	0.785714285714286	0.904761904761905	0.976190476190476	0.690476190476191	1	0.952380952380953	0.738095238095238	0.910195959054077	0.730552019767088	0.571428571428572
Luteolibacter	0.785714285714286	0.857142857142857	0.904761904761905	0.714285714285714	0.904761904761905	0.619047619047619	0.690476190476191	0.80952380952381	0.904761904761905	0.778457070243618	0.833333333333333	0.928571428571429	0.880952380952381	0.857142857142857	0.80952380952381	0.976190476190476	0.619047619047619	0.952380952380953	1	0.619047619047619	0.958101009530607	0.790433332862751	0.619047619047619
Halobacteriovorax	0.833333333333333	0.880952380952381	0.761904761904762	0.952380952380953	0.714285714285714	1	0.642857142857143	0.928571428571429	0.833333333333333	0.802409595481884	0.666666666666667	0.761904761904762	0.761904761904762	0.690476190476191	0.928571428571429	0.714285714285714	0.952380952380953	0.738095238095238	0.619047619047619	1	0.622765656194895	0.634741918814027	0.80952380952381
Chthonomonas/Armatimonadetes_gp3	0.790433332862751	0.850314645958414	0.898219696434944	0.706599494528823	0.958101009530607	0.622765656194895	0.778457070243618	0.802409595481884	0.898219696434944	0.728915662650602	0.898219696434944	0.886243433815812	0.946124746911475	0.862290908577547	0.754504545005353	0.934148484292342	0.682646969290558	0.910195959054077	0.958101009530607	0.622765656194895	1	0.771084337349398	0.634741918814027
Oxalicibacterium	0.934148484292342	0.874267171196679	0.790433332862751	0.550908080480099	0.838338383339281	0.634741918814027	0.850314645958414	0.706599494528823	0.898219696434944	0.536144578313253	0.898219696434944	0.790433332862751	0.718575757147955	0.934148484292342	0.658694444052292	0.814385858101016	0.682646969290558	0.730552019767088	0.790433332862751	0.634741918814027	0.771084337349398	1	0.838338383339281
g__Phaeosphaeria	0.952380952380953	0.904761904761905	0.690476190476191	0.714285714285714	0.761904761904762	0.80952380952381	0.904761904761905	0.714285714285714	0.833333333333333	0.718575757147955	0.80952380952381	0.738095238095238	0.619047619047619	0.833333333333333	0.714285714285714	0.666666666666667	0.880952380952381	0.571428571428572	0.619047619047619	0.80952380952381	0.634741918814027	0.838338383339281	1
