Steroidobacter	Bradyrhizobium	Galbitalea	Chryseolinea	Hyphomicrobium	Ideonella	Marmoricola	Dissulfuribacter	Geobacter	Gemmatimonas	Dongia	Aquihabitans	Rhizocola	g__Apodus	Asticcacaulis	Kinneretia	Sporichthya	Ilumatobacter	Arenimonas	Methylotenera	Niastella	Kineosporia	Rhodoligotrophos	Pseudolabrys	Chitinimonas	Oscillochloris	Labilithrix	Variibacter	Thiomonas	Clavibacter	Ardenticatena	Chelativorans	Roseiflexus	Acidiphilium	Methylosinus	Aciditerrimonas	Skermanella	Sneathiella	Terrimonas
Steroidobacter	1	0.976190476190476	0.952380952380953	0.952380952380953	0.952380952380953	0.904761904761905	0.904761904761905	0.833333333333333	0.952380952380953	0.904761904761905	0.976190476190476	0.952380952380953	1	0.946124746911475	0.857142857142857	0.904761904761905	0.833333333333333	0.952380952380953	0.952380952380953	0.833333333333333	0.833333333333333	0.761904761904762	0.833333333333333	0.976190476190476	0.952380952380953	0.814385858101016	0.833333333333333	0.928571428571429	1	0.785714285714286	0.952380952380953	0.857142857142857	0.862290908577547	0.814385858101016	0.874267171196679	0.838338383339281	0.862290908577547	0.862290908577547	0.862290908577547
Bradyrhizobium	0.976190476190476	1	0.928571428571429	0.928571428571429	0.976190476190476	0.952380952380953	0.952380952380953	0.904761904761905	0.976190476190476	0.952380952380953	1	0.904761904761905	0.976190476190476	0.97007727214974	0.904761904761905	0.880952380952381	0.904761904761905	0.976190476190476	0.928571428571429	0.857142857142857	0.904761904761905	0.80952380952381	0.904761904761905	1	0.928571428571429	0.898219696434944	0.904761904761905	0.976190476190476	0.976190476190476	0.833333333333333	0.976190476190476	0.904761904761905	0.922172221673209	0.898219696434944	0.826362120720149	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Galbitalea	0.952380952380953	0.928571428571429	1	1	0.952380952380953	0.880952380952381	0.880952380952381	0.833333333333333	0.952380952380953	0.880952380952381	0.928571428571429	0.928571428571429	0.952380952380953	0.898219696434944	0.928571428571429	0.857142857142857	0.833333333333333	0.952380952380953	1	0.880952380952381	0.833333333333333	0.761904761904762	0.833333333333333	0.928571428571429	0.928571428571429	0.802409595481884	0.833333333333333	0.857142857142857	0.952380952380953	0.80952380952381	0.952380952380953	0.785714285714286	0.874267171196679	0.802409595481884	0.946124746911475	0.898219696434944	0.874267171196679	0.874267171196679	0.874267171196679
Chryseolinea	0.952380952380953	0.928571428571429	1	1	0.952380952380953	0.880952380952381	0.880952380952381	0.833333333333333	0.952380952380953	0.880952380952381	0.928571428571429	0.928571428571429	0.952380952380953	0.898219696434944	0.928571428571429	0.857142857142857	0.833333333333333	0.952380952380953	1	0.880952380952381	0.833333333333333	0.761904761904762	0.833333333333333	0.928571428571429	0.928571428571429	0.802409595481884	0.833333333333333	0.857142857142857	0.952380952380953	0.80952380952381	0.952380952380953	0.785714285714286	0.874267171196679	0.802409595481884	0.946124746911475	0.898219696434944	0.874267171196679	0.874267171196679	0.874267171196679
Hyphomicrobium	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	1	0.904761904761905	0.904761904761905	0.880952380952381	0.952380952380953	0.904761904761905	0.976190476190476	0.857142857142857	0.952380952380953	0.922172221673209	0.952380952380953	0.904761904761905	0.857142857142857	0.952380952380953	0.952380952380953	0.928571428571429	0.928571428571429	0.857142857142857	0.880952380952381	0.976190476190476	0.880952380952381	0.850314645958414	0.857142857142857	0.952380952380953	0.952380952380953	0.880952380952381	0.952380952380953	0.880952380952381	0.898219696434944	0.850314645958414	0.898219696434944	0.922172221673209	0.898219696434944	0.898219696434944	0.898219696434944
Ideonella	0.904761904761905	0.952380952380953	0.880952380952381	0.880952380952381	0.904761904761905	1	1	0.976190476190476	0.976190476190476	1	0.952380952380953	0.904761904761905	0.904761904761905	0.946124746911475	0.904761904761905	0.714285714285714	0.976190476190476	0.976190476190476	0.880952380952381	0.80952380952381	0.833333333333333	0.666666666666667	0.976190476190476	0.952380952380953	0.904761904761905	0.958101009530607	0.976190476190476	0.904761904761905	0.904761904761905	0.833333333333333	0.976190476190476	0.80952380952381	0.934148484292342	0.958101009530607	0.730552019767088	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
Marmoricola	0.904761904761905	0.952380952380953	0.880952380952381	0.880952380952381	0.904761904761905	1	1	0.976190476190476	0.976190476190476	1	0.952380952380953	0.904761904761905	0.904761904761905	0.946124746911475	0.904761904761905	0.714285714285714	0.976190476190476	0.976190476190476	0.880952380952381	0.80952380952381	0.833333333333333	0.666666666666667	0.976190476190476	0.952380952380953	0.904761904761905	0.958101009530607	0.976190476190476	0.904761904761905	0.904761904761905	0.833333333333333	0.976190476190476	0.80952380952381	0.934148484292342	0.958101009530607	0.730552019767088	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
Dissulfuribacter	0.833333333333333	0.904761904761905	0.833333333333333	0.833333333333333	0.880952380952381	0.976190476190476	0.976190476190476	1	0.928571428571429	0.976190476190476	0.904761904761905	0.833333333333333	0.833333333333333	0.874267171196679	0.928571428571429	0.642857142857143	0.952380952380953	0.928571428571429	0.833333333333333	0.857142857142857	0.80952380952381	0.619047619047619	1	0.904761904761905	0.80952380952381	0.934148484292342	0.952380952380953	0.857142857142857	0.833333333333333	0.904761904761905	0.928571428571429	0.738095238095238	0.886243433815812	0.934148484292342	0.706599494528823	0.862290908577547	0.886243433815812	0.886243433815812	0.886243433815812
Geobacter	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.952380952380953	0.976190476190476	0.976190476190476	0.928571428571429	1	0.976190476190476	0.976190476190476	0.928571428571429	0.952380952380953	0.97007727214974	0.928571428571429	0.80952380952381	0.952380952380953	1	0.952380952380953	0.833333333333333	0.880952380952381	0.761904761904762	0.928571428571429	0.976190476190476	0.952380952380953	0.934148484292342	0.952380952380953	0.928571428571429	0.952380952380953	0.80952380952381	1	0.857142857142857	0.958101009530607	0.934148484292342	0.826362120720149	0.934148484292342	0.958101009530607	0.958101009530607	0.958101009530607
Gemmatimonas	0.904761904761905	0.952380952380953	0.880952380952381	0.880952380952381	0.904761904761905	1	1	0.976190476190476	0.976190476190476	1	0.952380952380953	0.904761904761905	0.904761904761905	0.946124746911475	0.904761904761905	0.714285714285714	0.976190476190476	0.976190476190476	0.880952380952381	0.80952380952381	0.833333333333333	0.666666666666667	0.976190476190476	0.952380952380953	0.904761904761905	0.958101009530607	0.976190476190476	0.904761904761905	0.904761904761905	0.833333333333333	0.976190476190476	0.80952380952381	0.934148484292342	0.958101009530607	0.730552019767088	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
