Iamia	Reyranella	Gp6	Armatimonadetes_gp2	Inquilinus	Luteolibacter	Starkeya	Pedobacter	Atopobium	Chthonomonas/Armatimonadetes_gp3
Iamia	1	0.857142857142857	0.904761904761905	0.904761904761905	0.928571428571429	0.880952380952381	0.880952380952381	0.880952380952381	0.976190476190476	0.946124746911475
Reyranella	0.857142857142857	1	0.785714285714286	0.738095238095238	0.833333333333333	0.80952380952381	0.761904761904762	0.738095238095238	0.80952380952381	0.814385858101016
Gp6	0.904761904761905	0.785714285714286	1	0.833333333333333	0.976190476190476	0.976190476190476	0.80952380952381	0.833333333333333	0.857142857142857	0.934148484292342
Armatimonadetes_gp2	0.904761904761905	0.738095238095238	0.833333333333333	1	0.904761904761905	0.80952380952381	0.976190476190476	0.857142857142857	0.952380952380953	0.826362120720149
Inquilinus	0.928571428571429	0.833333333333333	0.976190476190476	0.904761904761905	1	0.952380952380953	0.880952380952381	0.904761904761905	0.904761904761905	0.910195959054077
Luteolibacter	0.880952380952381	0.80952380952381	0.976190476190476	0.80952380952381	0.952380952380953	1	0.833333333333333	0.80952380952381	0.80952380952381	0.958101009530607
Starkeya	0.880952380952381	0.761904761904762	0.80952380952381	0.976190476190476	0.880952380952381	0.833333333333333	1	0.833333333333333	0.904761904761905	0.850314645958414
Pedobacter	0.880952380952381	0.738095238095238	0.833333333333333	0.857142857142857	0.904761904761905	0.80952380952381	0.833333333333333	1	0.857142857142857	0.814385858101016
Atopobium	0.976190476190476	0.80952380952381	0.857142857142857	0.952380952380953	0.904761904761905	0.80952380952381	0.904761904761905	0.857142857142857	1	0.874267171196679
Chthonomonas/Armatimonadetes_gp3	0.946124746911475	0.814385858101016	0.934148484292342	0.826362120720149	0.910195959054077	0.958101009530607	0.850314645958414	0.814385858101016	0.874267171196679	1
