Promicromonospora	Phyllobacterium	Lentzea	Bosea	Rhodopseudomonas	Gp6	Inquilinus	Luteolibacter	Cohnella	Starkeya	Pedobacter	Saccharomonospora	Atopobium	Chthonomonas/Armatimonadetes_gp3	Pseudenhygromyxa
Promicromonospora	1	1	1	0.976190476190476	0.952380952380953	0.928571428571429	0.976190476190476	0.904761904761905	0.952380952380953	0.833333333333333	0.928571428571429	0.976190476190476	0.833333333333333	0.826362120720149	0.934148484292342
Phyllobacterium	1	1	1	0.976190476190476	0.952380952380953	0.928571428571429	0.976190476190476	0.904761904761905	0.952380952380953	0.833333333333333	0.928571428571429	0.976190476190476	0.833333333333333	0.826362120720149	0.934148484292342
Lentzea	1	1	1	0.976190476190476	0.952380952380953	0.928571428571429	0.976190476190476	0.904761904761905	0.952380952380953	0.833333333333333	0.928571428571429	0.976190476190476	0.833333333333333	0.826362120720149	0.934148484292342
Bosea	0.976190476190476	0.976190476190476	0.976190476190476	1	0.928571428571429	0.904761904761905	0.952380952380953	0.880952380952381	0.976190476190476	0.785714285714286	0.857142857142857	0.952380952380953	0.80952380952381	0.790433332862751	0.898219696434944
Rhodopseudomonas	0.952380952380953	0.952380952380953	0.952380952380953	0.928571428571429	1	0.952380952380953	0.976190476190476	0.976190476190476	0.880952380952381	0.904761904761905	0.880952380952381	0.904761904761905	0.857142857142857	0.934148484292342	0.898219696434944
Gp6	0.928571428571429	0.928571428571429	0.928571428571429	0.904761904761905	0.952380952380953	1	0.976190476190476	0.976190476190476	0.857142857142857	0.80952380952381	0.833333333333333	0.880952380952381	0.857142857142857	0.934148484292342	0.790433332862751
Inquilinus	0.976190476190476	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	1	0.952380952380953	0.928571428571429	0.880952380952381	0.904761904761905	0.952380952380953	0.904761904761905	0.910195959054077	0.874267171196679
Luteolibacter	0.904761904761905	0.904761904761905	0.904761904761905	0.880952380952381	0.976190476190476	0.976190476190476	0.952380952380953	1	0.80952380952381	0.833333333333333	0.80952380952381	0.833333333333333	0.80952380952381	0.958101009530607	0.814385858101016
Cohnella	0.952380952380953	0.952380952380953	0.952380952380953	0.976190476190476	0.880952380952381	0.857142857142857	0.928571428571429	0.80952380952381	1	0.80952380952381	0.833333333333333	0.976190476190476	0.833333333333333	0.718575757147955	0.850314645958414
Starkeya	0.833333333333333	0.833333333333333	0.833333333333333	0.785714285714286	0.904761904761905	0.80952380952381	0.880952380952381	0.833333333333333	0.80952380952381	1	0.833333333333333	0.857142857142857	0.904761904761905	0.850314645958414	0.802409595481884
Pedobacter	0.928571428571429	0.928571428571429	0.928571428571429	0.857142857142857	0.880952380952381	0.833333333333333	0.904761904761905	0.80952380952381	0.833333333333333	0.833333333333333	1	0.904761904761905	0.857142857142857	0.814385858101016	0.946124746911475
Saccharomonospora	0.976190476190476	0.976190476190476	0.976190476190476	0.952380952380953	0.904761904761905	0.880952380952381	0.952380952380953	0.833333333333333	0.976190476190476	0.857142857142857	0.904761904761905	1	0.857142857142857	0.754504545005353	0.886243433815812
Atopobium	0.833333333333333	0.833333333333333	0.833333333333333	0.80952380952381	0.857142857142857	0.857142857142857	0.904761904761905	0.80952380952381	0.833333333333333	0.904761904761905	0.857142857142857	0.857142857142857	1	0.874267171196679	0.742528282386221
Chthonomonas/Armatimonadetes_gp3	0.826362120720149	0.826362120720149	0.826362120720149	0.790433332862751	0.934148484292342	0.934148484292342	0.910195959054077	0.958101009530607	0.718575757147955	0.850314645958414	0.814385858101016	0.754504545005353	0.874267171196679	1	0.765060240963855
Pseudenhygromyxa	0.934148484292342	0.934148484292342	0.934148484292342	0.898219696434944	0.898219696434944	0.790433332862751	0.874267171196679	0.814385858101016	0.850314645958414	0.802409595481884	0.946124746911475	0.886243433815812	0.742528282386221	0.765060240963855	1
