Flavobacterium	Devosia	Shinella	Kaistia	Reyranella	Dongia	Kinneretia	Niastella	Curtobacterium	Pseudolabrys	Actinocorallia	Variibacter	g__Didymella	Cohnella	Saccharomonospora	Thermoleophilum	Ammoniphilus
Flavobacterium	1	0.928571428571429	0.928571428571429	0.976190476190476	0.857142857142857	0.833333333333333	0.80952380952381	0.80952380952381	0.761904761904762	0.833333333333333	0.952380952380953	0.904761904761905	0.833333333333333	0.976190476190476	0.928571428571429	0.976190476190476	0.946124746911475
Devosia	0.928571428571429	1	1	0.976190476190476	0.928571428571429	0.833333333333333	0.928571428571429	0.785714285714286	0.880952380952381	0.833333333333333	0.880952380952381	0.880952380952381	0.904761904761905	0.904761904761905	0.833333333333333	0.880952380952381	0.934148484292342
Shinella	0.928571428571429	1	1	0.976190476190476	0.928571428571429	0.833333333333333	0.928571428571429	0.785714285714286	0.880952380952381	0.833333333333333	0.880952380952381	0.880952380952381	0.904761904761905	0.904761904761905	0.833333333333333	0.880952380952381	0.934148484292342
Kaistia	0.976190476190476	0.976190476190476	0.976190476190476	1	0.904761904761905	0.857142857142857	0.904761904761905	0.857142857142857	0.857142857142857	0.857142857142857	0.904761904761905	0.928571428571429	0.880952380952381	0.928571428571429	0.857142857142857	0.952380952380953	0.97007727214974
Reyranella	0.857142857142857	0.928571428571429	0.928571428571429	0.904761904761905	1	0.619047619047619	0.833333333333333	0.642857142857143	0.785714285714286	0.619047619047619	0.80952380952381	0.714285714285714	0.976190476190476	0.833333333333333	0.761904761904762	0.80952380952381	0.934148484292342
Dongia	0.833333333333333	0.833333333333333	0.833333333333333	0.857142857142857	0.619047619047619	1	0.880952380952381	0.904761904761905	0.833333333333333	1	0.761904761904762	0.976190476190476	0.595238095238095	0.785714285714286	0.690476190476191	0.785714285714286	0.742528282386221
Kinneretia	0.80952380952381	0.928571428571429	0.928571428571429	0.904761904761905	0.833333333333333	0.880952380952381	1	0.880952380952381	0.904761904761905	0.880952380952381	0.690476190476191	0.904761904761905	0.785714285714286	0.738095238095238	0.619047619047619	0.761904761904762	0.862290908577547
Niastella	0.80952380952381	0.785714285714286	0.785714285714286	0.857142857142857	0.642857142857143	0.904761904761905	0.880952380952381	1	0.785714285714286	0.904761904761905	0.642857142857143	0.952380952380953	0.595238095238095	0.690476190476191	0.595238095238095	0.833333333333333	0.826362120720149
Curtobacterium	0.761904761904762	0.880952380952381	0.880952380952381	0.857142857142857	0.785714285714286	0.833333333333333	0.904761904761905	0.785714285714286	1	0.833333333333333	0.738095238095238	0.857142857142857	0.833333333333333	0.690476190476191	0.571428571428572	0.714285714285714	0.766480807624486
Pseudolabrys	0.833333333333333	0.833333333333333	0.833333333333333	0.857142857142857	0.619047619047619	1	0.880952380952381	0.904761904761905	0.833333333333333	1	0.761904761904762	0.976190476190476	0.595238095238095	0.785714285714286	0.690476190476191	0.785714285714286	0.742528282386221
Actinocorallia	0.952380952380953	0.880952380952381	0.880952380952381	0.904761904761905	0.80952380952381	0.761904761904762	0.690476190476191	0.642857142857143	0.738095238095238	0.761904761904762	1	0.80952380952381	0.833333333333333	0.976190476190476	0.952380952380953	0.904761904761905	0.838338383339281
Variibacter	0.904761904761905	0.880952380952381	0.880952380952381	0.928571428571429	0.714285714285714	0.976190476190476	0.904761904761905	0.952380952380953	0.857142857142857	0.976190476190476	0.80952380952381	1	0.690476190476191	0.833333333333333	0.738095238095238	0.880952380952381	0.850314645958414
g__Didymella	0.833333333333333	0.904761904761905	0.904761904761905	0.880952380952381	0.976190476190476	0.595238095238095	0.785714285714286	0.595238095238095	0.833333333333333	0.595238095238095	0.833333333333333	0.690476190476191	1	0.80952380952381	0.738095238095238	0.785714285714286	0.886243433815812
Cohnella	0.976190476190476	0.904761904761905	0.904761904761905	0.928571428571429	0.833333333333333	0.785714285714286	0.738095238095238	0.690476190476191	0.690476190476191	0.785714285714286	0.976190476190476	0.833333333333333	0.80952380952381	1	0.976190476190476	0.928571428571429	0.886243433815812
Saccharomonospora	0.928571428571429	0.833333333333333	0.833333333333333	0.857142857142857	0.761904761904762	0.690476190476191	0.619047619047619	0.595238095238095	0.571428571428572	0.690476190476191	0.952380952380953	0.738095238095238	0.738095238095238	0.976190476190476	1	0.904761904761905	0.826362120720149
Thermoleophilum	0.976190476190476	0.880952380952381	0.880952380952381	0.952380952380953	0.80952380952381	0.785714285714286	0.761904761904762	0.833333333333333	0.714285714285714	0.785714285714286	0.904761904761905	0.880952380952381	0.785714285714286	0.928571428571429	0.904761904761905	1	0.946124746911475
Ammoniphilus	0.946124746911475	0.934148484292342	0.934148484292342	0.97007727214974	0.934148484292342	0.742528282386221	0.862290908577547	0.826362120720149	0.766480807624486	0.742528282386221	0.838338383339281	0.850314645958414	0.886243433815812	0.886243433815812	0.826362120720149	0.946124746911475	1
