Kibdelosporangium	Chryseolinea	Ideonella	Marmoricola	Geobacter	Gemmatimonas	Dongia	Selenomonas	g__Apodus	Sporichthya	Ilumatobacter	Arenimonas	Niastella	Pseudolabrys	Ohtaekwangia	Chitinimonas	Oscillochloris	Labilithrix	Variibacter	Gp3	Ardenticatena	Gp22	Roseiflexus	Acidiphilium	g__Olpidium	Aciditerrimonas	Skermanella	Sneathiella	Terrimonas
Kibdelosporangium	1	0.850314645958414	0.862290908577547	0.862290908577547	0.910195959054077	0.862290908577547	0.850314645958414	0.994029797388005	0.86144578313253	0.922172221673209	0.910195959054077	0.850314645958414	0.886243433815812	0.850314645958414	0.903614457831325	0.850314645958414	0.927710843373494	0.922172221673209	0.850314645958414	0.994029797388005	0.910195959054077	0.850314645958414	0.975903614457831	0.927710843373494	0.855421686746988	0.951807228915663	0.975903614457831	0.975903614457831	0.975903614457831
Chryseolinea	0.850314645958414	1	0.880952380952381	0.880952380952381	0.952380952380953	0.880952380952381	0.928571428571429	0.80952380952381	0.898219696434944	0.833333333333333	0.952380952380953	1	0.833333333333333	0.928571428571429	0.706599494528823	0.928571428571429	0.802409595481884	0.833333333333333	0.857142857142857	0.80952380952381	0.952380952380953	0.785714285714286	0.874267171196679	0.802409595481884	0.754504545005353	0.898219696434944	0.874267171196679	0.874267171196679	0.874267171196679
Ideonella	0.862290908577547	0.880952380952381	1	1	0.976190476190476	1	0.952380952380953	0.833333333333333	0.946124746911475	0.976190476190476	0.976190476190476	0.880952380952381	0.833333333333333	0.952380952380953	0.910195959054077	0.904761904761905	0.958101009530607	0.976190476190476	0.904761904761905	0.833333333333333	0.976190476190476	0.952380952380953	0.934148484292342	0.958101009530607	0.69462323190969	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
Marmoricola	0.862290908577547	0.880952380952381	1	1	0.976190476190476	1	0.952380952380953	0.833333333333333	0.946124746911475	0.976190476190476	0.976190476190476	0.880952380952381	0.833333333333333	0.952380952380953	0.910195959054077	0.904761904761905	0.958101009530607	0.976190476190476	0.904761904761905	0.833333333333333	0.976190476190476	0.952380952380953	0.934148484292342	0.958101009530607	0.69462323190969	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
Geobacter	0.910195959054077	0.952380952380953	0.976190476190476	0.976190476190476	1	0.976190476190476	0.976190476190476	0.880952380952381	0.97007727214974	0.952380952380953	1	0.952380952380953	0.880952380952381	0.976190476190476	0.862290908577547	0.952380952380953	0.934148484292342	0.952380952380953	0.928571428571429	0.880952380952381	1	0.904761904761905	0.958101009530607	0.934148484292342	0.742528282386221	0.934148484292342	0.958101009530607	0.958101009530607	0.958101009530607
Gemmatimonas	0.862290908577547	0.880952380952381	1	1	0.976190476190476	1	0.952380952380953	0.833333333333333	0.946124746911475	0.976190476190476	0.976190476190476	0.880952380952381	0.833333333333333	0.952380952380953	0.910195959054077	0.904761904761905	0.958101009530607	0.976190476190476	0.904761904761905	0.833333333333333	0.976190476190476	0.952380952380953	0.934148484292342	0.958101009530607	0.69462323190969	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
Dongia	0.850314645958414	0.928571428571429	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	1	0.833333333333333	0.97007727214974	0.904761904761905	0.976190476190476	0.928571428571429	0.904761904761905	1	0.802409595481884	0.928571428571429	0.898219696434944	0.904761904761905	0.976190476190476	0.833333333333333	0.976190476190476	0.857142857142857	0.922172221673209	0.898219696434944	0.658694444052292	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Selenomonas	0.994029797388005	0.80952380952381	0.833333333333333	0.833333333333333	0.880952380952381	0.833333333333333	0.833333333333333	1	0.838338383339281	0.904761904761905	0.880952380952381	0.80952380952381	0.904761904761905	0.833333333333333	0.898219696434944	0.80952380952381	0.922172221673209	0.904761904761905	0.857142857142857	1	0.880952380952381	0.833333333333333	0.97007727214974	0.922172221673209	0.850314645958414	0.946124746911475	0.97007727214974	0.97007727214974	0.97007727214974
g__Apodus	0.86144578313253	0.898219696434944	0.946124746911475	0.946124746911475	0.97007727214974	0.946124746911475	0.97007727214974	0.838338383339281	1	0.910195959054077	0.97007727214974	0.898219696434944	0.850314645958414	0.97007727214974	0.813253012048193	0.97007727214974	0.897590361445783	0.910195959054077	0.934148484292342	0.838338383339281	0.97007727214974	0.838338383339281	0.921686746987952	0.897590361445783	0.608433734939759	0.873493975903614	0.921686746987952	0.921686746987952	0.921686746987952
Sporichthya	0.922172221673209	0.833333333333333	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.904761904761905	0.904761904761905	0.910195959054077	1	0.952380952380953	0.833333333333333	0.857142857142857	0.904761904761905	0.97007727214974	0.857142857142857	0.994029797388005	1	0.880952380952381	0.904761904761905	0.952380952380953	0.976190476190476	0.97007727214974	0.994029797388005	0.778457070243618	0.922172221673209	0.97007727214974	0.97007727214974	0.97007727214974
Ilumatobacter	0.910195959054077	0.952380952380953	0.976190476190476	0.976190476190476	1	0.976190476190476	0.976190476190476	0.880952380952381	0.97007727214974	0.952380952380953	1	0.952380952380953	0.880952380952381	0.976190476190476	0.862290908577547	0.952380952380953	0.934148484292342	0.952380952380953	0.928571428571429	0.880952380952381	1	0.904761904761905	0.958101009530607	0.934148484292342	0.742528282386221	0.934148484292342	0.958101009530607	0.958101009530607	0.958101009530607
Arenimonas	0.850314645958414	1	0.880952380952381	0.880952380952381	0.952380952380953	0.880952380952381	0.928571428571429	0.80952380952381	0.898219696434944	0.833333333333333	0.952380952380953	1	0.833333333333333	0.928571428571429	0.706599494528823	0.928571428571429	0.802409595481884	0.833333333333333	0.857142857142857	0.80952380952381	0.952380952380953	0.785714285714286	0.874267171196679	0.802409595481884	0.754504545005353	0.898219696434944	0.874267171196679	0.874267171196679	0.874267171196679
Niastella	0.886243433815812	0.833333333333333	0.833333333333333	0.833333333333333	0.880952380952381	0.833333333333333	0.904761904761905	0.904761904761905	0.850314645958414	0.857142857142857	0.880952380952381	0.833333333333333	1	0.904761904761905	0.790433332862751	0.761904761904762	0.886243433815812	0.857142857142857	0.952380952380953	0.904761904761905	0.880952380952381	0.833333333333333	0.934148484292342	0.886243433815812	0.814385858101016	0.958101009530607	0.934148484292342	0.934148484292342	0.934148484292342
Pseudolabrys	0.850314645958414	0.928571428571429	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	1	0.833333333333333	0.97007727214974	0.904761904761905	0.976190476190476	0.928571428571429	0.904761904761905	1	0.802409595481884	0.928571428571429	0.898219696434944	0.904761904761905	0.976190476190476	0.833333333333333	0.976190476190476	0.857142857142857	0.922172221673209	0.898219696434944	0.658694444052292	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Ohtaekwangia	0.903614457831325	0.706599494528823	0.910195959054077	0.910195959054077	0.862290908577547	0.910195959054077	0.802409595481884	0.898219696434944	0.813253012048193	0.97007727214974	0.862290908577547	0.706599494528823	0.790433332862751	0.802409595481884	1	0.754504545005353	0.975903614457831	0.97007727214974	0.802409595481884	0.898219696434944	0.862290908577547	0.946124746911475	0.927710843373494	0.975903614457831	0.759036144578313	0.855421686746988	0.927710843373494	0.927710843373494	0.927710843373494
Chitinimonas	0.850314645958414	0.928571428571429	0.904761904761905	0.904761904761905	0.952380952380953	0.904761904761905	0.928571428571429	0.80952380952381	0.97007727214974	0.857142857142857	0.952380952380953	0.928571428571429	0.761904761904762	0.928571428571429	0.754504545005353	1	0.826362120720149	0.857142857142857	0.857142857142857	0.80952380952381	0.952380952380953	0.761904761904762	0.874267171196679	0.826362120720149	0.586836868337497	0.826362120720149	0.874267171196679	0.874267171196679	0.874267171196679
Oscillochloris	0.927710843373494	0.802409595481884	0.958101009530607	0.958101009530607	0.934148484292342	0.958101009530607	0.898219696434944	0.922172221673209	0.897590361445783	0.994029797388005	0.934148484292342	0.802409595481884	0.886243433815812	0.898219696434944	0.975903614457831	0.826362120720149	1	0.994029797388005	0.898219696434944	0.922172221673209	0.934148484292342	0.97007727214974	0.975903614457831	1	0.783132530120482	0.927710843373494	0.975903614457831	0.975903614457831	0.975903614457831
Labilithrix	0.922172221673209	0.833333333333333	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.904761904761905	0.904761904761905	0.910195959054077	1	0.952380952380953	0.833333333333333	0.857142857142857	0.904761904761905	0.97007727214974	0.857142857142857	0.994029797388005	1	0.880952380952381	0.904761904761905	0.952380952380953	0.976190476190476	0.97007727214974	0.994029797388005	0.778457070243618	0.922172221673209	0.97007727214974	0.97007727214974	0.97007727214974
Variibacter	0.850314645958414	0.857142857142857	0.904761904761905	0.904761904761905	0.928571428571429	0.904761904761905	0.976190476190476	0.857142857142857	0.934148484292342	0.880952380952381	0.928571428571429	0.857142857142857	0.952380952380953	0.976190476190476	0.802409595481884	0.857142857142857	0.898219696434944	0.880952380952381	1	0.857142857142857	0.928571428571429	0.833333333333333	0.922172221673209	0.898219696434944	0.658694444052292	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
