Lysobacter	Dactylosporangium	Chitinophaga	Polaromonas	Kinneretia	Arenimonas	Niastella	Kineosporia	Curtobacterium	Pseudolabrys	Variibacter	Thiomonas	Halobacteriovorax	Chelatococcus	Ammoniphilus
Lysobacter	1	0.928571428571429	0.976190476190476	0.976190476190476	0.976190476190476	0.833333333333333	0.833333333333333	0.880952380952381	0.880952380952381	0.80952380952381	0.833333333333333	0.857142857142857	0.857142857142857	0.880952380952381	0.826362120720149
Dactylosporangium	0.928571428571429	1	0.857142857142857	0.952380952380953	0.952380952380953	0.904761904761905	0.80952380952381	0.785714285714286	0.904761904761905	0.928571428571429	0.904761904761905	0.976190476190476	0.976190476190476	0.785714285714286	0.778457070243618
Chitinophaga	0.976190476190476	0.857142857142857	1	0.928571428571429	0.952380952380953	0.738095238095238	0.785714285714286	0.857142857142857	0.80952380952381	0.714285714285714	0.761904761904762	0.761904761904762	0.785714285714286	0.928571428571429	0.850314645958414
Polaromonas	0.976190476190476	0.952380952380953	0.928571428571429	1	0.952380952380953	0.904761904761905	0.785714285714286	0.80952380952381	0.857142857142857	0.833333333333333	0.80952380952381	0.904761904761905	0.904761904761905	0.857142857142857	0.718575757147955
Kinneretia	0.976190476190476	0.952380952380953	0.952380952380953	0.952380952380953	1	0.857142857142857	0.880952380952381	0.904761904761905	0.904761904761905	0.880952380952381	0.904761904761905	0.904761904761905	0.880952380952381	0.904761904761905	0.862290908577547
Arenimonas	0.833333333333333	0.904761904761905	0.738095238095238	0.904761904761905	0.857142857142857	1	0.833333333333333	0.761904761904762	0.761904761904762	0.928571428571429	0.857142857142857	0.952380952380953	0.857142857142857	0.714285714285714	0.574860605718364
Niastella	0.833333333333333	0.80952380952381	0.785714285714286	0.785714285714286	0.880952380952381	0.833333333333333	1	0.952380952380953	0.785714285714286	0.904761904761905	0.952380952380953	0.833333333333333	0.690476190476191	0.714285714285714	0.826362120720149
Kineosporia	0.880952380952381	0.785714285714286	0.857142857142857	0.80952380952381	0.904761904761905	0.761904761904762	0.952380952380953	1	0.857142857142857	0.80952380952381	0.880952380952381	0.761904761904762	0.642857142857143	0.80952380952381	0.826362120720149
Curtobacterium	0.880952380952381	0.904761904761905	0.80952380952381	0.857142857142857	0.904761904761905	0.761904761904762	0.785714285714286	0.857142857142857	1	0.833333333333333	0.857142857142857	0.857142857142857	0.833333333333333	0.761904761904762	0.766480807624486
Pseudolabrys	0.80952380952381	0.928571428571429	0.714285714285714	0.833333333333333	0.880952380952381	0.928571428571429	0.904761904761905	0.80952380952381	0.833333333333333	1	0.976190476190476	0.976190476190476	0.880952380952381	0.666666666666667	0.742528282386221
Variibacter	0.833333333333333	0.904761904761905	0.761904761904762	0.80952380952381	0.904761904761905	0.857142857142857	0.952380952380953	0.880952380952381	0.857142857142857	0.976190476190476	1	0.928571428571429	0.833333333333333	0.690476190476191	0.850314645958414
Thiomonas	0.857142857142857	0.976190476190476	0.761904761904762	0.904761904761905	0.904761904761905	0.952380952380953	0.833333333333333	0.761904761904762	0.857142857142857	0.976190476190476	0.928571428571429	1	0.952380952380953	0.714285714285714	0.706599494528823
Halobacteriovorax	0.857142857142857	0.976190476190476	0.785714285714286	0.904761904761905	0.880952380952381	0.857142857142857	0.690476190476191	0.642857142857143	0.833333333333333	0.880952380952381	0.833333333333333	0.952380952380953	1	0.714285714285714	0.718575757147955
Chelatococcus	0.880952380952381	0.785714285714286	0.928571428571429	0.857142857142857	0.904761904761905	0.714285714285714	0.714285714285714	0.80952380952381	0.761904761904762	0.666666666666667	0.690476190476191	0.714285714285714	0.714285714285714	1	0.730552019767088
Ammoniphilus	0.826362120720149	0.778457070243618	0.850314645958414	0.718575757147955	0.862290908577547	0.574860605718364	0.826362120720149	0.826362120720149	0.766480807624486	0.742528282386221	0.850314645958414	0.706599494528823	0.718575757147955	0.730552019767088	1
