g__Magnaporthiopsis	Rhizomicrobium	Leifsonia	Bdellovibrio	Parachlamydia	Sanguibacter	Tahibacter	Sandaracinus	Sulfurisoma	Polyangium
g__Magnaporthiopsis	1	0.952380952380953	0.976190476190476	0.928571428571429	0.833333333333333	0.754504545005353	0.778457070243618	0.874267171196679	0.754504545005353	0.857142857142857
Rhizomicrobium	0.952380952380953	1	0.976190476190476	0.904761904761905	0.857142857142857	0.874267171196679	0.898219696434944	0.934148484292342	0.874267171196679	0.928571428571429
Leifsonia	0.976190476190476	0.976190476190476	1	0.952380952380953	0.904761904761905	0.838338383339281	0.862290908577547	0.898219696434944	0.838338383339281	0.904761904761905
Bdellovibrio	0.928571428571429	0.904761904761905	0.952380952380953	1	0.904761904761905	0.802409595481884	0.778457070243618	0.922172221673209	0.802409595481884	0.904761904761905
Parachlamydia	0.833333333333333	0.857142857142857	0.904761904761905	0.904761904761905	1	0.922172221673209	0.898219696434944	0.802409595481884	0.922172221673209	0.857142857142857
Sanguibacter	0.754504545005353	0.874267171196679	0.838338383339281	0.802409595481884	0.922172221673209	1	0.975903614457831	0.849397590361446	1	0.874267171196679
Tahibacter	0.778457070243618	0.898219696434944	0.862290908577547	0.778457070243618	0.898219696434944	0.975903614457831	1	0.825301204819277	0.975903614457831	0.826362120720149
Sandaracinus	0.874267171196679	0.934148484292342	0.898219696434944	0.922172221673209	0.802409595481884	0.849397590361446	0.825301204819277	1	0.849397590361446	0.934148484292342
Sulfurisoma	0.754504545005353	0.874267171196679	0.838338383339281	0.802409595481884	0.922172221673209	1	0.975903614457831	0.849397590361446	1	0.874267171196679
Polyangium	0.857142857142857	0.928571428571429	0.904761904761905	0.904761904761905	0.857142857142857	0.874267171196679	0.826362120720149	0.934148484292342	0.874267171196679	1
