Aeromicrobium	Sorangium	Agromyces	Umezawaea	Solirubrobacter	Cellulomonas	Gaiella	Aquihabitans	Haliangium	Cellvibrio	Catellatospora	Ramlibacter	Methyloceanibacter	Povalibacter	Luteivirga	Nakamurella	Sanguibacter	Tahibacter	Sandaracinus	Sulfurisoma	Polyangium	Armatimonadetes_gp5
Aeromicrobium	1	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	1	0.952380952380953	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.976190476190476	0.952380952380953	1	0.904761904761905	0.946124746911475	0.898219696434944	0.886243433815812	0.946124746911475	0.904761904761905	0.898219696434944
Sorangium	0.976190476190476	1	0.952380952380953	0.880952380952381	0.952380952380953	0.976190476190476	0.904761904761905	0.928571428571429	0.952380952380953	0.976190476190476	0.904761904761905	0.928571428571429	0.952380952380953	0.904761904761905	0.976190476190476	0.880952380952381	0.886243433815812	0.838338383339281	0.946124746911475	0.886243433815812	0.928571428571429	0.862290908577547
Agromyces	0.976190476190476	0.952380952380953	1	0.904761904761905	1	0.976190476190476	0.976190476190476	0.928571428571429	1	0.976190476190476	0.904761904761905	0.952380952380953	1	0.904761904761905	0.976190476190476	0.928571428571429	0.874267171196679	0.802409595481884	0.814385858101016	0.874267171196679	0.833333333333333	0.922172221673209
Umezawaea	0.952380952380953	0.880952380952381	0.904761904761905	1	0.904761904761905	0.952380952380953	0.928571428571429	0.976190476190476	0.904761904761905	0.833333333333333	0.952380952380953	0.976190476190476	0.904761904761905	0.952380952380953	0.952380952380953	0.80952380952381	0.97007727214974	0.922172221673209	0.790433332862751	0.97007727214974	0.857142857142857	0.826362120720149
Solirubrobacter	0.976190476190476	0.952380952380953	1	0.904761904761905	1	0.976190476190476	0.976190476190476	0.928571428571429	1	0.976190476190476	0.904761904761905	0.952380952380953	1	0.904761904761905	0.976190476190476	0.928571428571429	0.874267171196679	0.802409595481884	0.814385858101016	0.874267171196679	0.833333333333333	0.922172221673209
Cellulomonas	1	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	1	0.952380952380953	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.976190476190476	0.952380952380953	1	0.904761904761905	0.946124746911475	0.898219696434944	0.886243433815812	0.946124746911475	0.904761904761905	0.898219696434944
Gaiella	0.952380952380953	0.904761904761905	0.976190476190476	0.928571428571429	0.976190476190476	0.952380952380953	1	0.904761904761905	0.976190476190476	0.928571428571429	0.928571428571429	0.976190476190476	0.976190476190476	0.928571428571429	0.952380952380953	0.904761904761905	0.874267171196679	0.802409595481884	0.754504545005353	0.874267171196679	0.761904761904762	0.922172221673209
Aquihabitans	0.976190476190476	0.928571428571429	0.928571428571429	0.976190476190476	0.928571428571429	0.976190476190476	0.904761904761905	1	0.928571428571429	0.880952380952381	0.928571428571429	0.952380952380953	0.928571428571429	0.928571428571429	0.976190476190476	0.833333333333333	0.97007727214974	0.922172221673209	0.850314645958414	0.97007727214974	0.928571428571429	0.826362120720149
Haliangium	0.976190476190476	0.952380952380953	1	0.904761904761905	1	0.976190476190476	0.976190476190476	0.928571428571429	1	0.976190476190476	0.904761904761905	0.952380952380953	1	0.904761904761905	0.976190476190476	0.928571428571429	0.874267171196679	0.802409595481884	0.814385858101016	0.874267171196679	0.833333333333333	0.922172221673209
Cellvibrio	0.952380952380953	0.976190476190476	0.976190476190476	0.833333333333333	0.976190476190476	0.952380952380953	0.928571428571429	0.880952380952381	0.976190476190476	1	0.857142857142857	0.904761904761905	0.976190476190476	0.857142857142857	0.952380952380953	0.904761904761905	0.814385858101016	0.742528282386221	0.874267171196679	0.814385858101016	0.857142857142857	0.886243433815812
Catellatospora	0.952380952380953	0.904761904761905	0.904761904761905	0.952380952380953	0.904761904761905	0.952380952380953	0.928571428571429	0.928571428571429	0.904761904761905	0.857142857142857	1	0.976190476190476	0.904761904761905	1	0.952380952380953	0.904761904761905	0.97007727214974	0.946124746911475	0.850314645958414	0.97007727214974	0.80952380952381	0.922172221673209
Ramlibacter	0.976190476190476	0.928571428571429	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.904761904761905	0.976190476190476	1	0.952380952380953	0.976190476190476	0.976190476190476	0.880952380952381	0.946124746911475	0.898219696434944	0.826362120720149	0.946124746911475	0.833333333333333	0.898219696434944
Methyloceanibacter	0.976190476190476	0.952380952380953	1	0.904761904761905	1	0.976190476190476	0.976190476190476	0.928571428571429	1	0.976190476190476	0.904761904761905	0.952380952380953	1	0.904761904761905	0.976190476190476	0.928571428571429	0.874267171196679	0.802409595481884	0.814385858101016	0.874267171196679	0.833333333333333	0.922172221673209
Povalibacter	0.952380952380953	0.904761904761905	0.904761904761905	0.952380952380953	0.904761904761905	0.952380952380953	0.928571428571429	0.928571428571429	0.904761904761905	0.857142857142857	1	0.976190476190476	0.904761904761905	1	0.952380952380953	0.904761904761905	0.97007727214974	0.946124746911475	0.850314645958414	0.97007727214974	0.80952380952381	0.922172221673209
Luteivirga	1	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	1	0.952380952380953	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.976190476190476	0.952380952380953	1	0.904761904761905	0.946124746911475	0.898219696434944	0.886243433815812	0.946124746911475	0.904761904761905	0.898219696434944
Nakamurella	0.904761904761905	0.880952380952381	0.928571428571429	0.80952380952381	0.928571428571429	0.904761904761905	0.904761904761905	0.833333333333333	0.928571428571429	0.904761904761905	0.904761904761905	0.880952380952381	0.928571428571429	0.904761904761905	0.904761904761905	1	0.850314645958414	0.802409595481884	0.790433332862751	0.850314645958414	0.714285714285714	0.994029797388005
Sanguibacter	0.946124746911475	0.886243433815812	0.874267171196679	0.97007727214974	0.874267171196679	0.946124746911475	0.874267171196679	0.97007727214974	0.874267171196679	0.814385858101016	0.97007727214974	0.946124746911475	0.874267171196679	0.97007727214974	0.946124746911475	0.850314645958414	1	0.975903614457831	0.849397590361446	1	0.874267171196679	0.855421686746988
Tahibacter	0.898219696434944	0.838338383339281	0.802409595481884	0.922172221673209	0.802409595481884	0.898219696434944	0.802409595481884	0.922172221673209	0.802409595481884	0.742528282386221	0.946124746911475	0.898219696434944	0.802409595481884	0.946124746911475	0.898219696434944	0.802409595481884	0.975903614457831	1	0.825301204819277	0.975903614457831	0.826362120720149	0.807228915662651
Sandaracinus	0.886243433815812	0.946124746911475	0.814385858101016	0.790433332862751	0.814385858101016	0.886243433815812	0.754504545005353	0.850314645958414	0.814385858101016	0.874267171196679	0.850314645958414	0.826362120720149	0.814385858101016	0.850314645958414	0.886243433815812	0.790433332862751	0.849397590361446	0.825301204819277	1	0.849397590361446	0.934148484292342	0.765060240963855
Sulfurisoma	0.946124746911475	0.886243433815812	0.874267171196679	0.97007727214974	0.874267171196679	0.946124746911475	0.874267171196679	0.97007727214974	0.874267171196679	0.814385858101016	0.97007727214974	0.946124746911475	0.874267171196679	0.97007727214974	0.946124746911475	0.850314645958414	1	0.975903614457831	0.849397590361446	1	0.874267171196679	0.855421686746988
Polyangium	0.904761904761905	0.928571428571429	0.833333333333333	0.857142857142857	0.833333333333333	0.904761904761905	0.761904761904762	0.928571428571429	0.833333333333333	0.857142857142857	0.80952380952381	0.833333333333333	0.833333333333333	0.80952380952381	0.904761904761905	0.714285714285714	0.874267171196679	0.826362120720149	0.934148484292342	0.874267171196679	1	0.682646969290558
Armatimonadetes_gp5	0.898219696434944	0.862290908577547	0.922172221673209	0.826362120720149	0.922172221673209	0.898219696434944	0.922172221673209	0.826362120720149	0.922172221673209	0.886243433815812	0.922172221673209	0.898219696434944	0.922172221673209	0.922172221673209	0.898219696434944	0.994029797388005	0.855421686746988	0.807228915662651	0.765060240963855	0.855421686746988	0.682646969290558	1
