Actinoplanes	Lysobacter	Amycolatopsis	Dactylosporangium	Actinosynnema	Chitinophaga	Polaromonas	Kaistia	Rhizocola	Kinneretia	Kineosporia	Curtobacterium	Thiomonas	Halobacteriovorax	Chelatococcus
Actinoplanes	1	0.952380952380953	0.952380952380953	0.976190476190476	0.714285714285714	0.880952380952381	0.976190476190476	0.833333333333333	0.928571428571429	0.928571428571429	0.761904761904762	0.880952380952381	0.928571428571429	0.952380952380953	0.761904761904762
Lysobacter	0.952380952380953	1	0.857142857142857	0.928571428571429	0.857142857142857	0.976190476190476	0.976190476190476	0.857142857142857	0.857142857142857	0.976190476190476	0.880952380952381	0.880952380952381	0.857142857142857	0.857142857142857	0.880952380952381
Amycolatopsis	0.952380952380953	0.857142857142857	1	0.976190476190476	0.642857142857143	0.785714285714286	0.904761904761905	0.833333333333333	0.952380952380953	0.880952380952381	0.642857142857143	0.833333333333333	0.952380952380953	1	0.714285714285714
Dactylosporangium	0.976190476190476	0.928571428571429	0.976190476190476	1	0.738095238095238	0.857142857142857	0.952380952380953	0.880952380952381	0.976190476190476	0.952380952380953	0.785714285714286	0.904761904761905	0.976190476190476	0.976190476190476	0.785714285714286
Actinosynnema	0.714285714285714	0.857142857142857	0.642857142857143	0.738095238095238	1	0.904761904761905	0.785714285714286	0.761904761904762	0.642857142857143	0.880952380952381	0.857142857142857	0.833333333333333	0.642857142857143	0.642857142857143	0.952380952380953
Chitinophaga	0.880952380952381	0.976190476190476	0.785714285714286	0.857142857142857	0.904761904761905	1	0.928571428571429	0.833333333333333	0.761904761904762	0.952380952380953	0.857142857142857	0.80952380952381	0.761904761904762	0.785714285714286	0.928571428571429
Polaromonas	0.976190476190476	0.976190476190476	0.904761904761905	0.952380952380953	0.785714285714286	0.928571428571429	1	0.785714285714286	0.904761904761905	0.952380952380953	0.80952380952381	0.857142857142857	0.904761904761905	0.904761904761905	0.857142857142857
Kaistia	0.833333333333333	0.857142857142857	0.833333333333333	0.880952380952381	0.761904761904762	0.833333333333333	0.785714285714286	1	0.833333333333333	0.904761904761905	0.833333333333333	0.857142857142857	0.833333333333333	0.833333333333333	0.714285714285714
Rhizocola	0.928571428571429	0.857142857142857	0.952380952380953	0.976190476190476	0.642857142857143	0.761904761904762	0.904761904761905	0.833333333333333	1	0.904761904761905	0.761904761904762	0.857142857142857	1	0.952380952380953	0.714285714285714
Kinneretia	0.928571428571429	0.976190476190476	0.880952380952381	0.952380952380953	0.880952380952381	0.952380952380953	0.952380952380953	0.904761904761905	0.904761904761905	1	0.904761904761905	0.904761904761905	0.904761904761905	0.880952380952381	0.904761904761905
Kineosporia	0.761904761904762	0.880952380952381	0.642857142857143	0.785714285714286	0.857142857142857	0.857142857142857	0.80952380952381	0.833333333333333	0.761904761904762	0.904761904761905	1	0.857142857142857	0.761904761904762	0.642857142857143	0.80952380952381
Curtobacterium	0.880952380952381	0.880952380952381	0.833333333333333	0.904761904761905	0.833333333333333	0.80952380952381	0.857142857142857	0.857142857142857	0.857142857142857	0.904761904761905	0.857142857142857	1	0.857142857142857	0.833333333333333	0.761904761904762
Thiomonas	0.928571428571429	0.857142857142857	0.952380952380953	0.976190476190476	0.642857142857143	0.761904761904762	0.904761904761905	0.833333333333333	1	0.904761904761905	0.761904761904762	0.857142857142857	1	0.952380952380953	0.714285714285714
Halobacteriovorax	0.952380952380953	0.857142857142857	1	0.976190476190476	0.642857142857143	0.785714285714286	0.904761904761905	0.833333333333333	0.952380952380953	0.880952380952381	0.642857142857143	0.833333333333333	0.952380952380953	1	0.714285714285714
Chelatococcus	0.761904761904762	0.880952380952381	0.714285714285714	0.785714285714286	0.952380952380953	0.928571428571429	0.857142857142857	0.714285714285714	0.714285714285714	0.904761904761905	0.80952380952381	0.761904761904762	0.714285714285714	0.714285714285714	1
