Promicromonospora	Phyllobacterium	Flavobacterium	Lentzea	Massilia	Devosia	Mesorhizobium	Caulobacter	Shinella	Bosea	Rhodopseudomonas	Gaiella	Aquabacterium	Phenylobacterium	Nitrobacter	Kaistia	Haloactinopolyspora	Panacagrimonas	Actinocorallia	Streptosporangium	Sulfuriferula	Gp6	Lautropia	Armatimonadetes_gp2	Inquilinus	Cohnella	Saccharomonospora	Thermoleophilum	Pseudenhygromyxa	Ammoniphilus
Promicromonospora	1	1	0.904761904761905	1	0.952380952380953	0.80952380952381	0.738095238095238	0.833333333333333	0.80952380952381	0.976190476190476	0.952380952380953	0.714285714285714	0.690476190476191	0.80952380952381	0.857142857142857	0.833333333333333	0.904761904761905	0.857142857142857	0.904761904761905	0.857142857142857	0.857142857142857	0.928571428571429	0.857142857142857	0.857142857142857	0.976190476190476	0.952380952380953	0.976190476190476	0.880952380952381	0.934148484292342	0.850314645958414
Phyllobacterium	1	1	0.904761904761905	1	0.952380952380953	0.80952380952381	0.738095238095238	0.833333333333333	0.80952380952381	0.976190476190476	0.952380952380953	0.714285714285714	0.690476190476191	0.80952380952381	0.857142857142857	0.833333333333333	0.904761904761905	0.857142857142857	0.904761904761905	0.857142857142857	0.857142857142857	0.928571428571429	0.857142857142857	0.857142857142857	0.976190476190476	0.952380952380953	0.976190476190476	0.880952380952381	0.934148484292342	0.850314645958414
Flavobacterium	0.904761904761905	0.904761904761905	1	0.904761904761905	0.976190476190476	0.928571428571429	0.80952380952381	0.904761904761905	0.928571428571429	0.952380952380953	0.80952380952381	0.833333333333333	0.904761904761905	0.833333333333333	0.904761904761905	0.976190476190476	0.80952380952381	0.857142857142857	0.952380952380953	0.833333333333333	0.904761904761905	0.761904761904762	0.833333333333333	0.785714285714286	0.857142857142857	0.976190476190476	0.928571428571429	0.976190476190476	0.850314645958414	0.946124746911475
Lentzea	1	1	0.904761904761905	1	0.952380952380953	0.80952380952381	0.738095238095238	0.833333333333333	0.80952380952381	0.976190476190476	0.952380952380953	0.714285714285714	0.690476190476191	0.80952380952381	0.857142857142857	0.833333333333333	0.904761904761905	0.857142857142857	0.904761904761905	0.857142857142857	0.857142857142857	0.928571428571429	0.857142857142857	0.857142857142857	0.976190476190476	0.952380952380953	0.976190476190476	0.880952380952381	0.934148484292342	0.850314645958414
Massilia	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	1	0.904761904761905	0.857142857142857	0.857142857142857	0.904761904761905	0.976190476190476	0.880952380952381	0.857142857142857	0.857142857142857	0.904761904761905	0.928571428571429	0.928571428571429	0.857142857142857	0.928571428571429	0.976190476190476	0.904761904761905	0.880952380952381	0.857142857142857	0.904761904761905	0.857142857142857	0.928571428571429	1	0.976190476190476	0.928571428571429	0.850314645958414	0.886243433815812
Devosia	0.80952380952381	0.80952380952381	0.928571428571429	0.80952380952381	0.904761904761905	1	0.904761904761905	0.904761904761905	1	0.880952380952381	0.785714285714286	0.761904761904762	0.80952380952381	0.80952380952381	0.976190476190476	0.976190476190476	0.714285714285714	0.880952380952381	0.880952380952381	0.714285714285714	0.738095238095238	0.761904761904762	0.714285714285714	0.80952380952381	0.833333333333333	0.904761904761905	0.833333333333333	0.880952380952381	0.730552019767088	0.934148484292342
Mesorhizobium	0.738095238095238	0.738095238095238	0.80952380952381	0.738095238095238	0.857142857142857	0.904761904761905	1	0.714285714285714	0.904761904761905	0.785714285714286	0.761904761904762	0.80952380952381	0.761904761904762	0.904761904761905	0.952380952380953	0.833333333333333	0.619047619047619	0.952380952380953	0.880952380952381	0.785714285714286	0.619047619047619	0.761904761904762	0.785714285714286	0.880952380952381	0.80952380952381	0.857142857142857	0.80952380952381	0.714285714285714	0.574860605718364	0.718575757147955
Caulobacter	0.833333333333333	0.833333333333333	0.904761904761905	0.833333333333333	0.857142857142857	0.904761904761905	0.714285714285714	1	0.904761904761905	0.904761904761905	0.833333333333333	0.571428571428572	0.714285714285714	0.619047619047619	0.857142857142857	0.928571428571429	0.785714285714286	0.714285714285714	0.833333333333333	0.571428571428572	0.714285714285714	0.738095238095238	0.571428571428572	0.690476190476191	0.80952380952381	0.857142857142857	0.785714285714286	0.880952380952381	0.862290908577547	0.97007727214974
Shinella	0.80952380952381	0.80952380952381	0.928571428571429	0.80952380952381	0.904761904761905	1	0.904761904761905	0.904761904761905	1	0.880952380952381	0.785714285714286	0.761904761904762	0.80952380952381	0.80952380952381	0.976190476190476	0.976190476190476	0.714285714285714	0.880952380952381	0.880952380952381	0.714285714285714	0.738095238095238	0.761904761904762	0.714285714285714	0.80952380952381	0.833333333333333	0.904761904761905	0.833333333333333	0.880952380952381	0.730552019767088	0.934148484292342
Bosea	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	0.880952380952381	0.785714285714286	0.904761904761905	0.880952380952381	1	0.928571428571429	0.761904761904762	0.761904761904762	0.833333333333333	0.904761904761905	0.904761904761905	0.928571428571429	0.880952380952381	0.928571428571429	0.833333333333333	0.833333333333333	0.904761904761905	0.833333333333333	0.80952380952381	0.952380952380953	0.976190476190476	0.952380952380953	0.904761904761905	0.898219696434944	0.910195959054077
Rhodopseudomonas	0.952380952380953	0.952380952380953	0.80952380952381	0.952380952380953	0.880952380952381	0.785714285714286	0.761904761904762	0.833333333333333	0.785714285714286	0.928571428571429	1	0.571428571428572	0.547619047619048	0.738095238095238	0.857142857142857	0.761904761904762	0.857142857142857	0.833333333333333	0.857142857142857	0.738095238095238	0.690476190476191	0.952380952380953	0.738095238095238	0.880952380952381	0.976190476190476	0.880952380952381	0.904761904761905	0.761904761904762	0.898219696434944	0.790433332862751
Gaiella	0.714285714285714	0.714285714285714	0.833333333333333	0.714285714285714	0.857142857142857	0.761904761904762	0.80952380952381	0.571428571428572	0.761904761904762	0.761904761904762	0.571428571428572	1	0.904761904761905	0.952380952380953	0.785714285714286	0.785714285714286	0.690476190476191	0.880952380952381	0.833333333333333	0.928571428571429	0.785714285714286	0.642857142857143	0.928571428571429	0.666666666666667	0.690476190476191	0.857142857142857	0.80952380952381	0.761904761904762	0.514979292622701	0.658694444052292
Aquabacterium	0.690476190476191	0.690476190476191	0.904761904761905	0.690476190476191	0.857142857142857	0.80952380952381	0.761904761904762	0.714285714285714	0.80952380952381	0.761904761904762	0.547619047619048	0.904761904761905	1	0.80952380952381	0.761904761904762	0.880952380952381	0.595238095238095	0.761904761904762	0.880952380952381	0.80952380952381	0.857142857142857	0.5	0.80952380952381	0.642857142857143	0.619047619047619	0.857142857142857	0.785714285714286	0.880952380952381	0.622765656194895	0.778457070243618
Phenylobacterium	0.80952380952381	0.80952380952381	0.833333333333333	0.80952380952381	0.904761904761905	0.80952380952381	0.904761904761905	0.619047619047619	0.80952380952381	0.833333333333333	0.738095238095238	0.952380952380953	0.80952380952381	1	0.880952380952381	0.785714285714286	0.761904761904762	0.976190476190476	0.880952380952381	0.952380952380953	0.738095238095238	0.80952380952381	0.952380952380953	0.80952380952381	0.833333333333333	0.904761904761905	0.880952380952381	0.738095238095238	0.586836868337497	0.670670706671425
Nitrobacter	0.857142857142857	0.857142857142857	0.904761904761905	0.857142857142857	0.928571428571429	0.976190476190476	0.952380952380953	0.857142857142857	0.976190476190476	0.904761904761905	0.857142857142857	0.785714285714286	0.761904761904762	0.880952380952381	1	0.928571428571429	0.761904761904762	0.952380952380953	0.904761904761905	0.785714285714286	0.714285714285714	0.857142857142857	0.785714285714286	0.880952380952381	0.904761904761905	0.928571428571429	0.880952380952381	0.833333333333333	0.730552019767088	0.874267171196679
Kaistia	0.833333333333333	0.833333333333333	0.976190476190476	0.833333333333333	0.928571428571429	0.976190476190476	0.833333333333333	0.928571428571429	0.976190476190476	0.904761904761905	0.761904761904762	0.785714285714286	0.880952380952381	0.785714285714286	0.928571428571429	1	0.738095238095238	0.833333333333333	0.904761904761905	0.738095238095238	0.833333333333333	0.714285714285714	0.738095238095238	0.761904761904762	0.80952380952381	0.928571428571429	0.857142857142857	0.952380952380953	0.790433332862751	0.97007727214974
Haloactinopolyspora	0.904761904761905	0.904761904761905	0.80952380952381	0.904761904761905	0.857142857142857	0.714285714285714	0.619047619047619	0.785714285714286	0.714285714285714	0.928571428571429	0.857142857142857	0.690476190476191	0.595238095238095	0.761904761904762	0.761904761904762	0.738095238095238	1	0.785714285714286	0.761904761904762	0.761904761904762	0.690476190476191	0.904761904761905	0.761904761904762	0.619047619047619	0.880952380952381	0.857142857142857	0.833333333333333	0.738095238095238	0.790433332862751	0.778457070243618
Panacagrimonas	0.857142857142857	0.857142857142857	0.857142857142857	0.857142857142857	0.928571428571429	0.880952380952381	0.952380952380953	0.714285714285714	0.880952380952381	0.880952380952381	0.833333333333333	0.880952380952381	0.761904761904762	0.976190476190476	0.952380952380953	0.833333333333333	0.785714285714286	1	0.904761904761905	0.904761904761905	0.714285714285714	0.880952380952381	0.904761904761905	0.880952380952381	0.904761904761905	0.928571428571429	0.904761904761905	0.761904761904762	0.658694444052292	0.742528282386221
Actinocorallia	0.904761904761905	0.904761904761905	0.952380952380953	0.904761904761905	0.976190476190476	0.880952380952381	0.880952380952381	0.833333333333333	0.880952380952381	0.928571428571429	0.857142857142857	0.833333333333333	0.880952380952381	0.880952380952381	0.904761904761905	0.904761904761905	0.761904761904762	0.904761904761905	1	0.880952380952381	0.857142857142857	0.785714285714286	0.880952380952381	0.880952380952381	0.880952380952381	0.976190476190476	0.952380952380953	0.904761904761905	0.826362120720149	0.838338383339281
Streptosporangium	0.857142857142857	0.857142857142857	0.833333333333333	0.857142857142857	0.904761904761905	0.714285714285714	0.785714285714286	0.571428571428572	0.714285714285714	0.833333333333333	0.738095238095238	0.928571428571429	0.80952380952381	0.952380952380953	0.785714285714286	0.738095238095238	0.761904761904762	0.904761904761905	0.880952380952381	1	0.857142857142857	0.785714285714286	1	0.80952380952381	0.833333333333333	0.904761904761905	0.928571428571429	0.785714285714286	0.682646969290558	0.64671818143316
Sulfuriferula	0.857142857142857	0.857142857142857	0.904761904761905	0.857142857142857	0.880952380952381	0.738095238095238	0.619047619047619	0.714285714285714	0.738095238095238	0.833333333333333	0.690476190476191	0.785714285714286	0.857142857142857	0.738095238095238	0.714285714285714	0.833333333333333	0.690476190476191	0.714285714285714	0.857142857142857	0.857142857142857	1	0.642857142857143	0.857142857142857	0.738095238095238	0.761904761904762	0.880952380952381	0.904761904761905	0.952380952380953	0.850314645958414	0.814385858101016
Gp6	0.928571428571429	0.928571428571429	0.761904761904762	0.928571428571429	0.857142857142857	0.761904761904762	0.761904761904762	0.738095238095238	0.761904761904762	0.904761904761905	0.952380952380953	0.642857142857143	0.5	0.80952380952381	0.857142857142857	0.714285714285714	0.904761904761905	0.880952380952381	0.785714285714286	0.785714285714286	0.642857142857143	1	0.785714285714286	0.833333333333333	0.976190476190476	0.857142857142857	0.880952380952381	0.690476190476191	0.790433332862751	0.730552019767088
Lautropia	0.857142857142857	0.857142857142857	0.833333333333333	0.857142857142857	0.904761904761905	0.714285714285714	0.785714285714286	0.571428571428572	0.714285714285714	0.833333333333333	0.738095238095238	0.928571428571429	0.80952380952381	0.952380952380953	0.785714285714286	0.738095238095238	0.761904761904762	0.904761904761905	0.880952380952381	1	0.857142857142857	0.785714285714286	1	0.80952380952381	0.833333333333333	0.904761904761905	0.928571428571429	0.785714285714286	0.682646969290558	0.64671818143316
Armatimonadetes_gp2	0.857142857142857	0.857142857142857	0.785714285714286	0.857142857142857	0.857142857142857	0.80952380952381	0.880952380952381	0.690476190476191	0.80952380952381	0.80952380952381	0.880952380952381	0.666666666666667	0.642857142857143	0.80952380952381	0.880952380952381	0.761904761904762	0.619047619047619	0.880952380952381	0.880952380952381	0.80952380952381	0.738095238095238	0.833333333333333	0.80952380952381	1	0.904761904761905	0.857142857142857	0.904761904761905	0.761904761904762	0.778457070243618	0.706599494528823
Inquilinus	0.976190476190476	0.976190476190476	0.857142857142857	0.976190476190476	0.928571428571429	0.833333333333333	0.80952380952381	0.80952380952381	0.833333333333333	0.952380952380953	0.976190476190476	0.690476190476191	0.619047619047619	0.833333333333333	0.904761904761905	0.80952380952381	0.880952380952381	0.904761904761905	0.880952380952381	0.833333333333333	0.761904761904762	0.976190476190476	0.833333333333333	0.904761904761905	1	0.928571428571429	0.952380952380953	0.80952380952381	0.874267171196679	0.814385858101016
Cohnella	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	1	0.904761904761905	0.857142857142857	0.857142857142857	0.904761904761905	0.976190476190476	0.880952380952381	0.857142857142857	0.857142857142857	0.904761904761905	0.928571428571429	0.928571428571429	0.857142857142857	0.928571428571429	0.976190476190476	0.904761904761905	0.880952380952381	0.857142857142857	0.904761904761905	0.857142857142857	0.928571428571429	1	0.976190476190476	0.928571428571429	0.850314645958414	0.886243433815812
Saccharomonospora	0.976190476190476	0.976190476190476	0.928571428571429	0.976190476190476	0.976190476190476	0.833333333333333	0.80952380952381	0.785714285714286	0.833333333333333	0.952380952380953	0.904761904761905	0.80952380952381	0.785714285714286	0.880952380952381	0.880952380952381	0.857142857142857	0.833333333333333	0.904761904761905	0.952380952380953	0.928571428571429	0.904761904761905	0.880952380952381	0.928571428571429	0.904761904761905	0.952380952380953	0.976190476190476	1	0.904761904761905	0.886243433815812	0.826362120720149
Thermoleophilum	0.880952380952381	0.880952380952381	0.976190476190476	0.880952380952381	0.928571428571429	0.880952380952381	0.714285714285714	0.880952380952381	0.880952380952381	0.904761904761905	0.761904761904762	0.761904761904762	0.880952380952381	0.738095238095238	0.833333333333333	0.952380952380953	0.738095238095238	0.761904761904762	0.904761904761905	0.785714285714286	0.952380952380953	0.690476190476191	0.785714285714286	0.761904761904762	0.80952380952381	0.928571428571429	0.904761904761905	1	0.886243433815812	0.946124746911475
Pseudenhygromyxa	0.934148484292342	0.934148484292342	0.850314645958414	0.934148484292342	0.850314645958414	0.730552019767088	0.574860605718364	0.862290908577547	0.730552019767088	0.898219696434944	0.898219696434944	0.514979292622701	0.622765656194895	0.586836868337497	0.730552019767088	0.790433332862751	0.790433332862751	0.658694444052292	0.826362120720149	0.682646969290558	0.850314645958414	0.790433332862751	0.682646969290558	0.778457070243618	0.874267171196679	0.850314645958414	0.886243433815812	0.886243433815812	1	0.86144578313253
Ammoniphilus	0.850314645958414	0.850314645958414	0.946124746911475	0.850314645958414	0.886243433815812	0.934148484292342	0.718575757147955	0.97007727214974	0.934148484292342	0.910195959054077	0.790433332862751	0.658694444052292	0.778457070243618	0.670670706671425	0.874267171196679	0.97007727214974	0.778457070243618	0.742528282386221	0.838338383339281	0.64671818143316	0.814385858101016	0.730552019767088	0.64671818143316	0.706599494528823	0.814385858101016	0.886243433815812	0.826362120720149	0.946124746911475	0.86144578313253	1
