Mesorhizobium	Steroidobacter	Umezawaea	Shinella	Amycolatopsis	Dactylosporangium	Phenylobacterium	Nitrobacter	Acholeplasma	Rhizocola	Ochrobactrum	Panacagrimonas	Ramlibacter	Actinocorallia	Parachlamydia	Armatimonadetes_gp2	Thiomonas	Halobacteriovorax	Cohnella	Atopobium
Mesorhizobium	1	0.857142857142857	0.904761904761905	0.904761904761905	0.952380952380953	0.904761904761905	0.904761904761905	0.952380952380953	0.886243433815812	0.857142857142857	0.904761904761905	0.952380952380953	0.880952380952381	0.880952380952381	0.880952380952381	0.880952380952381	0.857142857142857	0.952380952380953	0.857142857142857	0.880952380952381
Steroidobacter	0.857142857142857	1	0.976190476190476	0.857142857142857	0.952380952380953	0.976190476190476	0.857142857142857	0.833333333333333	0.64671818143316	1	0.619047619047619	0.833333333333333	0.928571428571429	0.738095238095238	0.857142857142857	0.619047619047619	1	0.952380952380953	0.761904761904762	0.690476190476191
Umezawaea	0.904761904761905	0.976190476190476	1	0.833333333333333	0.976190476190476	0.952380952380953	0.928571428571429	0.857142857142857	0.778457070243618	0.976190476190476	0.690476190476191	0.904761904761905	0.976190476190476	0.761904761904762	0.904761904761905	0.690476190476191	0.976190476190476	0.976190476190476	0.785714285714286	0.738095238095238
Shinella	0.904761904761905	0.857142857142857	0.833333333333333	1	0.904761904761905	0.928571428571429	0.80952380952381	0.976190476190476	0.658694444052292	0.857142857142857	0.738095238095238	0.880952380952381	0.785714285714286	0.880952380952381	0.80952380952381	0.80952380952381	0.857142857142857	0.904761904761905	0.904761904761905	0.880952380952381
Amycolatopsis	0.952380952380953	0.952380952380953	0.976190476190476	0.904761904761905	1	0.976190476190476	0.904761904761905	0.928571428571429	0.802409595481884	0.952380952380953	0.785714285714286	0.928571428571429	0.928571428571429	0.785714285714286	0.952380952380953	0.761904761904762	0.952380952380953	1	0.80952380952381	0.833333333333333
Dactylosporangium	0.904761904761905	0.976190476190476	0.952380952380953	0.928571428571429	0.976190476190476	1	0.833333333333333	0.904761904761905	0.670670706671425	0.976190476190476	0.714285714285714	0.857142857142857	0.880952380952381	0.761904761904762	0.904761904761905	0.690476190476191	0.976190476190476	0.976190476190476	0.785714285714286	0.785714285714286
Phenylobacterium	0.904761904761905	0.857142857142857	0.928571428571429	0.80952380952381	0.904761904761905	0.833333333333333	1	0.880952380952381	0.874267171196679	0.857142857142857	0.690476190476191	0.976190476190476	0.976190476190476	0.880952380952381	0.80952380952381	0.80952380952381	0.857142857142857	0.904761904761905	0.904761904761905	0.785714285714286
Nitrobacter	0.952380952380953	0.833333333333333	0.857142857142857	0.976190476190476	0.928571428571429	0.904761904761905	0.880952380952381	1	0.790433332862751	0.833333333333333	0.80952380952381	0.952380952380953	0.833333333333333	0.904761904761905	0.857142857142857	0.880952380952381	0.833333333333333	0.928571428571429	0.928571428571429	0.928571428571429
Acholeplasma	0.886243433815812	0.64671818143316	0.778457070243618	0.658694444052292	0.802409595481884	0.670670706671425	0.874267171196679	0.790433332862751	1	0.64671818143316	0.874267171196679	0.898219696434944	0.814385858101016	0.754504545005353	0.790433332862751	0.814385858101016	0.64671818143316	0.802409595481884	0.730552019767088	0.754504545005353
Rhizocola	0.857142857142857	1	0.976190476190476	0.857142857142857	0.952380952380953	0.976190476190476	0.857142857142857	0.833333333333333	0.64671818143316	1	0.619047619047619	0.833333333333333	0.928571428571429	0.738095238095238	0.857142857142857	0.619047619047619	1	0.952380952380953	0.761904761904762	0.690476190476191
