Galbitalea	Micromonospora	Dactylosporangium	Rudaibacter	Polaromonas	Chryseolinea	Hyphomicrobium	Pseudorhodoferax	Geobacter	Dongia	Aquihabitans	Rhizocola	Asticcacaulis	Kinneretia	Ilumatobacter	Arenimonas	Methylotenera	Catellatospora	Aquimonas	Neptunomonas	Pseudolabrys	Povalibacter	Parachlamydia	Thiomonas	Halobacteriovorax	Clavibacter	Ardenticatena	Sanguibacter	Tahibacter	Sulfurisoma	Methylosinus	Thiobacillus	g__Phaeosphaeria
Galbitalea	1	0.952380952380953	0.904761904761905	0.952380952380953	0.904761904761905	1	0.952380952380953	0.785714285714286	0.952380952380953	0.928571428571429	0.928571428571429	0.952380952380953	0.928571428571429	0.857142857142857	0.952380952380953	1	0.880952380952381	0.80952380952381	0.952380952380953	0.80952380952381	0.928571428571429	0.80952380952381	0.80952380952381	0.952380952380953	0.857142857142857	0.80952380952381	0.952380952380953	0.898219696434944	0.826362120720149	0.898219696434944	0.946124746911475	0.814385858101016	0.690476190476191
Micromonospora	0.952380952380953	1	0.904761904761905	1	0.904761904761905	0.952380952380953	0.928571428571429	0.904761904761905	0.857142857142857	0.880952380952381	0.880952380952381	0.928571428571429	0.880952380952381	0.880952380952381	0.857142857142857	0.952380952380953	0.928571428571429	0.857142857142857	0.928571428571429	0.857142857142857	0.880952380952381	0.857142857142857	0.857142857142857	0.928571428571429	0.880952380952381	0.857142857142857	0.857142857142857	0.922172221673209	0.874267171196679	0.922172221673209	0.97007727214974	0.862290908577547	0.857142857142857
Dactylosporangium	0.904761904761905	0.904761904761905	1	0.904761904761905	0.952380952380953	0.904761904761905	0.904761904761905	0.714285714285714	0.880952380952381	0.928571428571429	0.904761904761905	0.976190476190476	0.761904761904762	0.952380952380953	0.880952380952381	0.904761904761905	0.761904761904762	0.833333333333333	0.833333333333333	0.666666666666667	0.928571428571429	0.833333333333333	0.904761904761905	0.976190476190476	0.976190476190476	0.690476190476191	0.880952380952381	0.886243433815812	0.814385858101016	0.886243433815812	0.838338383339281	0.610789393575762	0.761904761904762
Rudaibacter	0.952380952380953	1	0.904761904761905	1	0.904761904761905	0.952380952380953	0.928571428571429	0.904761904761905	0.857142857142857	0.880952380952381	0.880952380952381	0.928571428571429	0.880952380952381	0.880952380952381	0.857142857142857	0.952380952380953	0.928571428571429	0.857142857142857	0.928571428571429	0.857142857142857	0.880952380952381	0.857142857142857	0.857142857142857	0.928571428571429	0.880952380952381	0.857142857142857	0.857142857142857	0.922172221673209	0.874267171196679	0.922172221673209	0.97007727214974	0.862290908577547	0.857142857142857
Polaromonas	0.904761904761905	0.904761904761905	0.952380952380953	0.904761904761905	1	0.904761904761905	0.857142857142857	0.690476190476191	0.80952380952381	0.833333333333333	0.833333333333333	0.904761904761905	0.738095238095238	0.952380952380953	0.80952380952381	0.904761904761905	0.738095238095238	0.714285714285714	0.904761904761905	0.619047619047619	0.833333333333333	0.714285714285714	0.904761904761905	0.904761904761905	0.904761904761905	0.619047619047619	0.80952380952381	0.826362120720149	0.754504545005353	0.826362120720149	0.874267171196679	0.69462323190969	0.785714285714286
Chryseolinea	1	0.952380952380953	0.904761904761905	0.952380952380953	0.904761904761905	1	0.952380952380953	0.785714285714286	0.952380952380953	0.928571428571429	0.928571428571429	0.952380952380953	0.928571428571429	0.857142857142857	0.952380952380953	1	0.880952380952381	0.80952380952381	0.952380952380953	0.80952380952381	0.928571428571429	0.80952380952381	0.80952380952381	0.952380952380953	0.857142857142857	0.80952380952381	0.952380952380953	0.898219696434944	0.826362120720149	0.898219696434944	0.946124746911475	0.814385858101016	0.690476190476191
Hyphomicrobium	0.952380952380953	0.928571428571429	0.904761904761905	0.928571428571429	0.857142857142857	0.952380952380953	1	0.738095238095238	0.952380952380953	0.976190476190476	0.857142857142857	0.952380952380953	0.952380952380953	0.904761904761905	0.952380952380953	0.952380952380953	0.928571428571429	0.785714285714286	0.833333333333333	0.761904761904762	0.976190476190476	0.785714285714286	0.714285714285714	0.952380952380953	0.833333333333333	0.880952380952381	0.952380952380953	0.826362120720149	0.730552019767088	0.826362120720149	0.898219696434944	0.754504545005353	0.642857142857143
Pseudorhodoferax	0.785714285714286	0.904761904761905	0.714285714285714	0.904761904761905	0.690476190476191	0.785714285714286	0.738095238095238	1	0.666666666666667	0.690476190476191	0.785714285714286	0.761904761904762	0.738095238095238	0.642857142857143	0.666666666666667	0.785714285714286	0.857142857142857	0.880952380952381	0.80952380952381	0.928571428571429	0.690476190476191	0.880952380952381	0.785714285714286	0.761904761904762	0.761904761904762	0.833333333333333	0.666666666666667	0.898219696434944	0.922172221673209	0.898219696434944	0.874267171196679	0.850314645958414	0.904761904761905
Geobacter	0.952380952380953	0.857142857142857	0.880952380952381	0.857142857142857	0.80952380952381	0.952380952380953	0.952380952380953	0.666666666666667	1	0.976190476190476	0.928571428571429	0.952380952380953	0.928571428571429	0.80952380952381	1	0.952380952380953	0.833333333333333	0.80952380952381	0.833333333333333	0.761904761904762	0.976190476190476	0.80952380952381	0.714285714285714	0.952380952380953	0.833333333333333	0.80952380952381	1	0.850314645958414	0.754504545005353	0.850314645958414	0.826362120720149	0.682646969290558	0.523809523809524
Dongia	0.928571428571429	0.880952380952381	0.928571428571429	0.880952380952381	0.833333333333333	0.928571428571429	0.976190476190476	0.690476190476191	0.976190476190476	1	0.904761904761905	0.976190476190476	0.904761904761905	0.880952380952381	0.976190476190476	0.928571428571429	0.857142857142857	0.833333333333333	0.785714285714286	0.738095238095238	1	0.833333333333333	0.738095238095238	0.976190476190476	0.880952380952381	0.833333333333333	0.976190476190476	0.850314645958414	0.754504545005353	0.850314645958414	0.826362120720149	0.64671818143316	0.595238095238095
