Rhizobium	Chryseobacterium	Mycobacterium	Massilia	Devosia	Caulobacter	Rhodanobacter	Shinella	Bosea	Rhodopseudomonas	Nitrobacter	Microvirga	Kaistia	Nocardia	Iamia	Reyranella	Afipia	Gp6	g__Didymella	Inquilinus	Luteolibacter	Cohnella	Atopobium	Chthonomonas/Armatimonadetes_gp3	Ammoniphilus
Rhizobium	1	0.976190476190476	1	0.857142857142857	0.904761904761905	0.928571428571429	0.952380952380953	0.904761904761905	0.904761904761905	0.928571428571429	0.928571428571429	0.952380952380953	0.857142857142857	0.904761904761905	0.904761904761905	0.976190476190476	0.928571428571429	0.880952380952381	0.952380952380953	0.904761904761905	0.904761904761905	0.857142857142857	0.857142857142857	0.898219696434944	0.874267171196679
Chryseobacterium	0.976190476190476	1	0.976190476190476	0.833333333333333	0.880952380952381	0.904761904761905	0.904761904761905	0.880952380952381	0.857142857142857	0.904761904761905	0.904761904761905	0.880952380952381	0.833333333333333	0.833333333333333	0.857142857142857	0.952380952380953	0.857142857142857	0.80952380952381	0.976190476190476	0.857142857142857	0.857142857142857	0.833333333333333	0.833333333333333	0.850314645958414	0.826362120720149
Mycobacterium	1	0.976190476190476	1	0.857142857142857	0.904761904761905	0.928571428571429	0.952380952380953	0.904761904761905	0.904761904761905	0.928571428571429	0.928571428571429	0.952380952380953	0.857142857142857	0.904761904761905	0.904761904761905	0.976190476190476	0.928571428571429	0.880952380952381	0.952380952380953	0.904761904761905	0.904761904761905	0.857142857142857	0.857142857142857	0.898219696434944	0.874267171196679
Massilia	0.857142857142857	0.833333333333333	0.857142857142857	1	0.904761904761905	0.857142857142857	0.714285714285714	0.904761904761905	0.976190476190476	0.880952380952381	0.928571428571429	0.833333333333333	0.928571428571429	0.619047619047619	0.80952380952381	0.833333333333333	0.690476190476191	0.857142857142857	0.80952380952381	0.928571428571429	0.80952380952381	1	0.833333333333333	0.718575757147955	0.886243433815812
Devosia	0.904761904761905	0.880952380952381	0.904761904761905	0.904761904761905	1	0.904761904761905	0.80952380952381	1	0.880952380952381	0.785714285714286	0.976190476190476	0.880952380952381	0.976190476190476	0.761904761904762	0.857142857142857	0.928571428571429	0.785714285714286	0.761904761904762	0.904761904761905	0.833333333333333	0.714285714285714	0.904761904761905	0.880952380952381	0.718575757147955	0.934148484292342
Caulobacter	0.928571428571429	0.904761904761905	0.928571428571429	0.857142857142857	0.904761904761905	1	0.80952380952381	0.904761904761905	0.904761904761905	0.833333333333333	0.857142857142857	0.833333333333333	0.928571428571429	0.785714285714286	0.785714285714286	0.976190476190476	0.833333333333333	0.738095238095238	0.952380952380953	0.80952380952381	0.761904761904762	0.857142857142857	0.738095238095238	0.730552019767088	0.97007727214974
Rhodanobacter	0.952380952380953	0.904761904761905	0.952380952380953	0.714285714285714	0.80952380952381	0.80952380952381	1	0.80952380952381	0.785714285714286	0.880952380952381	0.857142857142857	0.952380952380953	0.714285714285714	0.976190476190476	0.928571428571429	0.904761904761905	0.952380952380953	0.880952380952381	0.857142857142857	0.857142857142857	0.904761904761905	0.714285714285714	0.857142857142857	0.958101009530607	0.754504545005353
Shinella	0.904761904761905	0.880952380952381	0.904761904761905	0.904761904761905	1	0.904761904761905	0.80952380952381	1	0.880952380952381	0.785714285714286	0.976190476190476	0.880952380952381	0.976190476190476	0.761904761904762	0.857142857142857	0.928571428571429	0.785714285714286	0.761904761904762	0.904761904761905	0.833333333333333	0.714285714285714	0.904761904761905	0.880952380952381	0.718575757147955	0.934148484292342
Bosea	0.904761904761905	0.857142857142857	0.904761904761905	0.976190476190476	0.880952380952381	0.904761904761905	0.785714285714286	0.880952380952381	1	0.928571428571429	0.904761904761905	0.880952380952381	0.904761904761905	0.714285714285714	0.833333333333333	0.880952380952381	0.785714285714286	0.904761904761905	0.833333333333333	0.952380952380953	0.880952380952381	0.976190476190476	0.80952380952381	0.790433332862751	0.910195959054077
Rhodopseudomonas	0.928571428571429	0.904761904761905	0.928571428571429	0.880952380952381	0.785714285714286	0.833333333333333	0.880952380952381	0.785714285714286	0.928571428571429	1	0.857142857142857	0.880952380952381	0.761904761904762	0.785714285714286	0.904761904761905	0.857142857142857	0.80952380952381	0.952380952380953	0.833333333333333	0.976190476190476	0.976190476190476	0.880952380952381	0.857142857142857	0.934148484292342	0.790433332862751
Nitrobacter	0.928571428571429	0.904761904761905	0.928571428571429	0.928571428571429	0.976190476190476	0.857142857142857	0.857142857142857	0.976190476190476	0.904761904761905	0.857142857142857	1	0.928571428571429	0.928571428571429	0.785714285714286	0.904761904761905	0.904761904761905	0.80952380952381	0.857142857142857	0.880952380952381	0.904761904761905	0.80952380952381	0.928571428571429	0.928571428571429	0.802409595481884	0.874267171196679
Microvirga	0.952380952380953	0.880952380952381	0.952380952380953	0.833333333333333	0.880952380952381	0.833333333333333	0.952380952380953	0.880952380952381	0.880952380952381	0.880952380952381	0.928571428571429	1	0.80952380952381	0.928571428571429	0.904761904761905	0.904761904761905	0.952380952380953	0.928571428571429	0.833333333333333	0.904761904761905	0.904761904761905	0.833333333333333	0.857142857142857	0.898219696434944	0.814385858101016
