Saccharothrix	Neptunomonas	Povalibacter	Adhaeribacter	Tumebacillus	Clavibacter	Rubrobacter	Luteivirga	Nakamurella	Sanguibacter	Tahibacter	Sulfurisoma	Armatimonadetes_gp5	Thiobacillus
Saccharothrix	1	0.952380952380953	0.976190476190476	0.898219696434944	0.904761904761905	0.880952380952381	0.904761904761905	0.904761904761905	0.952380952380953	0.922172221673209	0.898219696434944	0.922172221673209	0.97007727214974	0.742528282386221
Neptunomonas	0.952380952380953	1	0.904761904761905	0.874267171196679	0.880952380952381	0.904761904761905	0.904761904761905	0.857142857142857	0.952380952380953	0.898219696434944	0.874267171196679	0.898219696434944	0.946124746911475	0.886243433815812
Povalibacter	0.976190476190476	0.904761904761905	1	0.850314645958414	0.880952380952381	0.80952380952381	0.857142857142857	0.952380952380953	0.904761904761905	0.97007727214974	0.946124746911475	0.97007727214974	0.922172221673209	0.682646969290558
Adhaeribacter	0.898219696434944	0.874267171196679	0.850314645958414	1	0.934148484292342	0.778457070243618	0.994029797388005	0.862290908577547	0.958101009530607	0.765060240963855	0.716867469879518	0.765060240963855	0.94578313253012	0.632530120481928
Tumebacillus	0.904761904761905	0.880952380952381	0.880952380952381	0.934148484292342	1	0.880952380952381	0.952380952380953	0.928571428571429	0.976190476190476	0.826362120720149	0.754504545005353	0.826362120720149	0.97007727214974	0.670670706671425
Clavibacter	0.880952380952381	0.904761904761905	0.80952380952381	0.778457070243618	0.880952380952381	1	0.80952380952381	0.761904761904762	0.904761904761905	0.778457070243618	0.706599494528823	0.778457070243618	0.922172221673209	0.850314645958414
Rubrobacter	0.904761904761905	0.904761904761905	0.857142857142857	0.994029797388005	0.952380952380953	0.80952380952381	1	0.880952380952381	0.976190476190476	0.790433332862751	0.742528282386221	0.790433332862751	0.958101009530607	0.682646969290558
Luteivirga	0.904761904761905	0.857142857142857	0.952380952380953	0.862290908577547	0.928571428571429	0.761904761904762	0.880952380952381	1	0.904761904761905	0.946124746911475	0.898219696434944	0.946124746911475	0.898219696434944	0.634741918814027
Nakamurella	0.952380952380953	0.952380952380953	0.904761904761905	0.958101009530607	0.976190476190476	0.904761904761905	0.976190476190476	0.904761904761905	1	0.850314645958414	0.802409595481884	0.850314645958414	0.994029797388005	0.754504545005353
Sanguibacter	0.922172221673209	0.898219696434944	0.97007727214974	0.765060240963855	0.826362120720149	0.778457070243618	0.790433332862751	0.946124746911475	0.850314645958414	1	0.975903614457831	1	0.855421686746988	0.753012048192771
Tahibacter	0.898219696434944	0.874267171196679	0.946124746911475	0.716867469879518	0.754504545005353	0.706599494528823	0.742528282386221	0.898219696434944	0.802409595481884	0.975903614457831	1	0.975903614457831	0.807228915662651	0.704819277108434
Sulfurisoma	0.922172221673209	0.898219696434944	0.97007727214974	0.765060240963855	0.826362120720149	0.778457070243618	0.790433332862751	0.946124746911475	0.850314645958414	1	0.975903614457831	1	0.855421686746988	0.753012048192771
Armatimonadetes_gp5	0.97007727214974	0.946124746911475	0.922172221673209	0.94578313253012	0.97007727214974	0.922172221673209	0.958101009530607	0.898219696434944	0.994029797388005	0.855421686746988	0.807228915662651	0.855421686746988	1	0.740963855421687
Thiobacillus	0.742528282386221	0.886243433815812	0.682646969290558	0.632530120481928	0.670670706671425	0.850314645958414	0.682646969290558	0.634741918814027	0.754504545005353	0.753012048192771	0.704819277108434	0.753012048192771	0.740963855421687	1
