Sporosarcina	Cellvibrio	Nannocystis	Amaricoccus	Nitrincola	Lautropia	Geodermatophilus	Tumebacillus	Gp22	Rubrobacter	Luteivirga	Actinomycetospora	Oceanibacterium	Acidiphilium
Sporosarcina	1	0.976190476190476	0.952380952380953	0.952380952380953	0.97007727214974	0.976190476190476	0.880952380952381	0.904761904761905	0.80952380952381	0.904761904761905	0.904761904761905	0.80952380952381	0.826362120720149	0.814385858101016
Cellvibrio	0.976190476190476	1	0.976190476190476	0.976190476190476	0.97007727214974	0.928571428571429	0.833333333333333	0.952380952380953	0.880952380952381	0.928571428571429	0.952380952380953	0.833333333333333	0.826362120720149	0.874267171196679
Nannocystis	0.952380952380953	0.976190476190476	1	1	0.994029797388005	0.880952380952381	0.904761904761905	0.904761904761905	0.904761904761905	0.880952380952381	0.880952380952381	0.857142857142857	0.850314645958414	0.910195959054077
Amaricoccus	0.952380952380953	0.976190476190476	1	1	0.994029797388005	0.880952380952381	0.904761904761905	0.904761904761905	0.904761904761905	0.880952380952381	0.880952380952381	0.857142857142857	0.850314645958414	0.910195959054077
Nitrincola	0.97007727214974	0.97007727214974	0.994029797388005	0.994029797388005	1	0.910195959054077	0.934148484292342	0.886243433815812	0.874267171196679	0.874267171196679	0.862290908577547	0.850314645958414	0.855421686746988	0.885542168674699
Lautropia	0.976190476190476	0.928571428571429	0.880952380952381	0.880952380952381	0.910195959054077	1	0.833333333333333	0.880952380952381	0.761904761904762	0.857142857142857	0.880952380952381	0.714285714285714	0.742528282386221	0.778457070243618
Geodermatophilus	0.880952380952381	0.833333333333333	0.904761904761905	0.904761904761905	0.934148484292342	0.833333333333333	1	0.690476190476191	0.738095238095238	0.690476190476191	0.690476190476191	0.738095238095238	0.766480807624486	0.802409595481884
Tumebacillus	0.904761904761905	0.952380952380953	0.904761904761905	0.904761904761905	0.886243433815812	0.880952380952381	0.690476190476191	1	0.928571428571429	0.952380952380953	0.928571428571429	0.833333333333333	0.814385858101016	0.874267171196679
Gp22	0.80952380952381	0.880952380952381	0.904761904761905	0.904761904761905	0.874267171196679	0.761904761904762	0.738095238095238	0.928571428571429	1	0.833333333333333	0.80952380952381	0.80952380952381	0.778457070243618	0.97007727214974
Rubrobacter	0.904761904761905	0.928571428571429	0.880952380952381	0.880952380952381	0.874267171196679	0.857142857142857	0.690476190476191	0.952380952380953	0.833333333333333	1	0.880952380952381	0.928571428571429	0.922172221673209	0.742528282386221
Luteivirga	0.904761904761905	0.952380952380953	0.880952380952381	0.880952380952381	0.862290908577547	0.880952380952381	0.690476190476191	0.928571428571429	0.80952380952381	0.880952380952381	1	0.714285714285714	0.69462323190969	0.814385858101016
Actinomycetospora	0.80952380952381	0.833333333333333	0.857142857142857	0.857142857142857	0.850314645958414	0.714285714285714	0.738095238095238	0.833333333333333	0.80952380952381	0.928571428571429	0.714285714285714	1	0.994029797388005	0.706599494528823
Oceanibacterium	0.826362120720149	0.826362120720149	0.850314645958414	0.850314645958414	0.855421686746988	0.742528282386221	0.766480807624486	0.814385858101016	0.778457070243618	0.922172221673209	0.69462323190969	0.994029797388005	1	0.680722891566265
Acidiphilium	0.814385858101016	0.874267171196679	0.910195959054077	0.910195959054077	0.885542168674699	0.778457070243618	0.802409595481884	0.874267171196679	0.97007727214974	0.742528282386221	0.814385858101016	0.706599494528823	0.680722891566265	1
