Devosia	Mesorhizobium	Shinella	Nitrobacter	Microvirga	Kaistia	Iamia	Reyranella	Kinneretia	Panacagrimonas	Actinocorallia	Gp6	Parachlamydia	g__Didymella	Armatimonadetes_gp2	Inquilinus	Halobacteriovorax	Cohnella	Saccharomonospora	Atopobium	Ammoniphilus
Devosia	1	0.904761904761905	1	0.976190476190476	0.880952380952381	0.976190476190476	0.857142857142857	0.928571428571429	0.928571428571429	0.880952380952381	0.880952380952381	0.761904761904762	0.80952380952381	0.904761904761905	0.80952380952381	0.833333333333333	0.904761904761905	0.904761904761905	0.833333333333333	0.880952380952381	0.934148484292342
Mesorhizobium	0.904761904761905	1	0.904761904761905	0.952380952380953	0.833333333333333	0.833333333333333	0.80952380952381	0.785714285714286	0.785714285714286	0.952380952380953	0.880952380952381	0.761904761904762	0.880952380952381	0.80952380952381	0.880952380952381	0.80952380952381	0.952380952380953	0.857142857142857	0.80952380952381	0.880952380952381	0.718575757147955
Shinella	1	0.904761904761905	1	0.976190476190476	0.880952380952381	0.976190476190476	0.857142857142857	0.928571428571429	0.928571428571429	0.880952380952381	0.880952380952381	0.761904761904762	0.80952380952381	0.904761904761905	0.80952380952381	0.833333333333333	0.904761904761905	0.904761904761905	0.833333333333333	0.880952380952381	0.934148484292342
Nitrobacter	0.976190476190476	0.952380952380953	0.976190476190476	1	0.928571428571429	0.928571428571429	0.904761904761905	0.904761904761905	0.857142857142857	0.952380952380953	0.904761904761905	0.857142857142857	0.857142857142857	0.880952380952381	0.880952380952381	0.904761904761905	0.928571428571429	0.928571428571429	0.880952380952381	0.928571428571429	0.874267171196679
Microvirga	0.880952380952381	0.833333333333333	0.880952380952381	0.928571428571429	1	0.80952380952381	0.904761904761905	0.904761904761905	0.785714285714286	0.880952380952381	0.761904761904762	0.928571428571429	0.833333333333333	0.833333333333333	0.761904761904762	0.904761904761905	0.833333333333333	0.833333333333333	0.785714285714286	0.857142857142857	0.814385858101016
Kaistia	0.976190476190476	0.833333333333333	0.976190476190476	0.928571428571429	0.80952380952381	1	0.785714285714286	0.904761904761905	0.904761904761905	0.833333333333333	0.904761904761905	0.714285714285714	0.690476190476191	0.880952380952381	0.761904761904762	0.80952380952381	0.833333333333333	0.928571428571429	0.857142857142857	0.80952380952381	0.97007727214974
Iamia	0.857142857142857	0.80952380952381	0.857142857142857	0.904761904761905	0.904761904761905	0.785714285714286	1	0.857142857142857	0.690476190476191	0.833333333333333	0.761904761904762	0.904761904761905	0.785714285714286	0.80952380952381	0.904761904761905	0.928571428571429	0.761904761904762	0.80952380952381	0.833333333333333	0.976190476190476	0.802409595481884
Reyranella	0.928571428571429	0.785714285714286	0.928571428571429	0.904761904761905	0.904761904761905	0.904761904761905	0.857142857142857	1	0.833333333333333	0.761904761904762	0.80952380952381	0.785714285714286	0.666666666666667	0.976190476190476	0.738095238095238	0.833333333333333	0.738095238095238	0.833333333333333	0.761904761904762	0.80952380952381	0.934148484292342
Kinneretia	0.928571428571429	0.785714285714286	0.928571428571429	0.857142857142857	0.785714285714286	0.904761904761905	0.690476190476191	0.833333333333333	1	0.738095238095238	0.690476190476191	0.571428571428572	0.80952380952381	0.785714285714286	0.571428571428572	0.619047619047619	0.880952380952381	0.738095238095238	0.619047619047619	0.714285714285714	0.862290908577547
Panacagrimonas	0.880952380952381	0.952380952380953	0.880952380952381	0.952380952380953	0.880952380952381	0.833333333333333	0.833333333333333	0.761904761904762	0.738095238095238	1	0.904761904761905	0.880952380952381	0.857142857142857	0.738095238095238	0.880952380952381	0.904761904761905	0.928571428571429	0.928571428571429	0.904761904761905	0.880952380952381	0.742528282386221
Actinocorallia	0.880952380952381	0.880952380952381	0.880952380952381	0.904761904761905	0.761904761904762	0.904761904761905	0.761904761904762	0.80952380952381	0.690476190476191	0.904761904761905	1	0.785714285714286	0.619047619047619	0.833333333333333	0.880952380952381	0.880952380952381	0.785714285714286	0.976190476190476	0.952380952380953	0.80952380952381	0.838338383339281
Gp6	0.761904761904762	0.761904761904762	0.761904761904762	0.857142857142857	0.928571428571429	0.714285714285714	0.904761904761905	0.785714285714286	0.571428571428572	0.880952380952381	0.785714285714286	1	0.714285714285714	0.714285714285714	0.833333333333333	0.976190476190476	0.714285714285714	0.857142857142857	0.880952380952381	0.857142857142857	0.730552019767088
Parachlamydia	0.80952380952381	0.880952380952381	0.80952380952381	0.857142857142857	0.833333333333333	0.690476190476191	0.785714285714286	0.666666666666667	0.80952380952381	0.857142857142857	0.619047619047619	0.714285714285714	1	0.619047619047619	0.714285714285714	0.690476190476191	0.952380952380953	0.666666666666667	0.619047619047619	0.833333333333333	0.59881313095663
g__Didymella	0.904761904761905	0.80952380952381	0.904761904761905	0.880952380952381	0.833333333333333	0.880952380952381	0.80952380952381	0.976190476190476	0.785714285714286	0.738095238095238	0.833333333333333	0.714285714285714	0.619047619047619	1	0.761904761904762	0.785714285714286	0.714285714285714	0.80952380952381	0.738095238095238	0.785714285714286	0.886243433815812
Armatimonadetes_gp2	0.80952380952381	0.880952380952381	0.80952380952381	0.880952380952381	0.761904761904762	0.761904761904762	0.904761904761905	0.738095238095238	0.571428571428572	0.880952380952381	0.880952380952381	0.833333333333333	0.714285714285714	0.761904761904762	1	0.904761904761905	0.761904761904762	0.857142857142857	0.904761904761905	0.952380952380953	0.706599494528823
Inquilinus	0.833333333333333	0.80952380952381	0.833333333333333	0.904761904761905	0.904761904761905	0.80952380952381	0.928571428571429	0.833333333333333	0.619047619047619	0.904761904761905	0.880952380952381	0.976190476190476	0.690476190476191	0.785714285714286	0.904761904761905	1	0.738095238095238	0.928571428571429	0.952380952380953	0.904761904761905	0.814385858101016
Halobacteriovorax	0.904761904761905	0.952380952380953	0.904761904761905	0.928571428571429	0.833333333333333	0.833333333333333	0.761904761904762	0.738095238095238	0.880952380952381	0.928571428571429	0.785714285714286	0.714285714285714	0.952380952380953	0.714285714285714	0.761904761904762	0.738095238095238	1	0.80952380952381	0.738095238095238	0.833333333333333	0.718575757147955
Cohnella	0.904761904761905	0.857142857142857	0.904761904761905	0.928571428571429	0.833333333333333	0.928571428571429	0.80952380952381	0.833333333333333	0.738095238095238	0.928571428571429	0.976190476190476	0.857142857142857	0.666666666666667	0.80952380952381	0.857142857142857	0.928571428571429	0.80952380952381	1	0.976190476190476	0.833333333333333	0.886243433815812
Saccharomonospora	0.833333333333333	0.80952380952381	0.833333333333333	0.880952380952381	0.785714285714286	0.857142857142857	0.833333333333333	0.761904761904762	0.619047619047619	0.904761904761905	0.952380952380953	0.880952380952381	0.619047619047619	0.738095238095238	0.904761904761905	0.952380952380953	0.738095238095238	0.976190476190476	1	0.857142857142857	0.826362120720149
Atopobium	0.880952380952381	0.880952380952381	0.880952380952381	0.928571428571429	0.857142857142857	0.80952380952381	0.976190476190476	0.80952380952381	0.714285714285714	0.880952380952381	0.80952380952381	0.857142857142857	0.833333333333333	0.785714285714286	0.952380952380953	0.904761904761905	0.833333333333333	0.833333333333333	0.857142857142857	1	0.778457070243618
Ammoniphilus	0.934148484292342	0.718575757147955	0.934148484292342	0.874267171196679	0.814385858101016	0.97007727214974	0.802409595481884	0.934148484292342	0.862290908577547	0.742528282386221	0.838338383339281	0.730552019767088	0.59881313095663	0.886243433815812	0.706599494528823	0.814385858101016	0.718575757147955	0.886243433815812	0.826362120720149	0.778457070243618	1
