Variovorax	Pseudoxanthomonas	Rhodanobacter	Nocardia	Iamia	Reyranella	Sphingobacterium	Afipia	Methylobacterium	Pedomicrobium	Methylovirgula	Chthonomonas/Armatimonadetes_gp3	Oxalicibacterium
Variovorax	1	1	0.904761904761905	0.952380952380953	0.761904761904762	0.928571428571429	0.880952380952381	0.976190476190476	0.928571428571429	0.904761904761905	0.785714285714286	0.778457070243618	0.910195959054077
Pseudoxanthomonas	1	1	0.904761904761905	0.952380952380953	0.761904761904762	0.928571428571429	0.880952380952381	0.976190476190476	0.928571428571429	0.904761904761905	0.785714285714286	0.778457070243618	0.910195959054077
Rhodanobacter	0.904761904761905	0.904761904761905	1	0.976190476190476	0.928571428571429	0.904761904761905	0.857142857142857	0.952380952380953	0.785714285714286	0.761904761904762	0.833333333333333	0.958101009530607	0.838338383339281
Nocardia	0.952380952380953	0.952380952380953	0.976190476190476	1	0.857142857142857	0.880952380952381	0.928571428571429	0.976190476190476	0.880952380952381	0.857142857142857	0.880952380952381	0.898219696434944	0.898219696434944
Iamia	0.761904761904762	0.761904761904762	0.928571428571429	0.857142857142857	1	0.857142857142857	0.714285714285714	0.80952380952381	0.619047619047619	0.642857142857143	0.738095238095238	0.946124746911475	0.718575757147955
Reyranella	0.928571428571429	0.928571428571429	0.904761904761905	0.880952380952381	0.857142857142857	1	0.714285714285714	0.904761904761905	0.761904761904762	0.738095238095238	0.642857142857143	0.814385858101016	0.766480807624486
Sphingobacterium	0.880952380952381	0.880952380952381	0.857142857142857	0.928571428571429	0.714285714285714	0.714285714285714	1	0.904761904761905	0.952380952380953	0.928571428571429	0.976190476190476	0.814385858101016	0.934148484292342
Afipia	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.80952380952381	0.904761904761905	0.904761904761905	1	0.904761904761905	0.880952380952381	0.833333333333333	0.862290908577547	0.934148484292342
Methylobacterium	0.928571428571429	0.928571428571429	0.785714285714286	0.880952380952381	0.619047619047619	0.761904761904762	0.952380952380953	0.904761904761905	1	0.976190476190476	0.880952380952381	0.69462323190969	0.946124746911475
Pedomicrobium	0.904761904761905	0.904761904761905	0.761904761904762	0.857142857142857	0.642857142857143	0.738095238095238	0.928571428571429	0.880952380952381	0.976190476190476	1	0.857142857142857	0.670670706671425	0.97007727214974
Methylovirgula	0.785714285714286	0.785714285714286	0.833333333333333	0.880952380952381	0.738095238095238	0.642857142857143	0.976190476190476	0.833333333333333	0.880952380952381	0.857142857142857	1	0.850314645958414	0.874267171196679
Chthonomonas/Armatimonadetes_gp3	0.778457070243618	0.778457070243618	0.958101009530607	0.898219696434944	0.946124746911475	0.814385858101016	0.814385858101016	0.862290908577547	0.69462323190969	0.670670706671425	0.850314645958414	1	0.771084337349398
Oxalicibacterium	0.910195959054077	0.910195959054077	0.838338383339281	0.898219696434944	0.718575757147955	0.766480807624486	0.934148484292342	0.934148484292342	0.946124746911475	0.97007727214974	0.874267171196679	0.771084337349398	1
