Nocardioides	Massilia	Aeromicrobium	Sorangium	Agromyces	Arthrobacter	Umezawaea	Solirubrobacter	Bosea	Cellulomonas	Bradyrhizobium	Bacillus	Blastococcus	Gaiella	Conexibacter	Terrabacter	Paenibacillus	Saccharibacteria_genera_incertae_sedis	Aquabacterium	Phenylobacterium	g__Mortierella	Ideonella	Marmoricola	Dissulfuribacter	Gemmatimonas	Dongia	Haliangium	Knoellia	Saccharothrix	Sporosarcina	Nitrospira	Cellvibrio	Catellatospora	Peredibacter	Panacagrimonas	Rhodoligotrophos	Pseudolabrys	Ramlibacter	Actinocorallia	Methyloceanibacter	Streptosporangium	Povalibacter	Adhaeribacter	Nitrincola	Lautropia	Tumebacillus	Cohnella	Saccharomonospora	Luteivirga	Nakamurella	Armatimonadetes_gp5
Nocardioides	1	0.928571428571429	0.904761904761905	0.880952380952381	0.928571428571429	0.904761904761905	0.880952380952381	0.928571428571429	0.857142857142857	0.904761904761905	0.857142857142857	0.904761904761905	0.880952380952381	0.976190476190476	0.928571428571429	0.880952380952381	0.880952380952381	0.857142857142857	0.880952380952381	0.976190476190476	0.904761904761905	0.880952380952381	0.880952380952381	0.857142857142857	0.880952380952381	0.857142857142857	0.928571428571429	0.904761904761905	0.880952380952381	0.928571428571429	0.904761904761905	0.904761904761905	0.904761904761905	0.880952380952381	0.928571428571429	0.857142857142857	0.857142857142857	0.952380952380953	0.904761904761905	0.928571428571429	0.976190476190476	0.904761904761905	0.850314645958414	0.850314645958414	0.976190476190476	0.904761904761905	0.928571428571429	0.904761904761905	0.904761904761905	0.857142857142857	0.886243433815812
Massilia	0.928571428571429	1	0.738095238095238	0.714285714285714	0.761904761904762	0.785714285714286	0.785714285714286	0.761904761904762	0.976190476190476	0.738095238095238	0.785714285714286	0.785714285714286	0.690476190476191	0.857142857142857	0.833333333333333	0.738095238095238	0.714285714285714	0.690476190476191	0.857142857142857	0.904761904761905	0.714285714285714	0.738095238095238	0.738095238095238	0.690476190476191	0.738095238095238	0.785714285714286	0.761904761904762	0.714285714285714	0.714285714285714	0.80952380952381	0.714285714285714	0.738095238095238	0.761904761904762	0.690476190476191	0.928571428571429	0.690476190476191	0.785714285714286	0.833333333333333	0.976190476190476	0.761904761904762	0.904761904761905	0.761904761904762	0.658694444052292	0.730552019767088	0.904761904761905	0.714285714285714	1	0.976190476190476	0.738095238095238	0.642857142857143	0.69462323190969
Aeromicrobium	0.904761904761905	0.738095238095238	1	0.976190476190476	0.976190476190476	0.857142857142857	0.952380952380953	0.976190476190476	0.619047619047619	1	0.880952380952381	0.928571428571429	0.904761904761905	0.952380952380953	0.904761904761905	0.928571428571429	0.928571428571429	0.880952380952381	0.785714285714286	0.928571428571429	0.928571428571429	0.928571428571429	0.928571428571429	0.880952380952381	0.928571428571429	0.880952380952381	0.976190476190476	0.928571428571429	0.904761904761905	0.904761904761905	0.928571428571429	0.952380952380953	0.952380952380953	0.904761904761905	0.857142857142857	0.880952380952381	0.880952380952381	0.976190476190476	0.714285714285714	0.976190476190476	0.880952380952381	0.952380952380953	0.862290908577547	0.862290908577547	0.880952380952381	0.928571428571429	0.738095238095238	0.714285714285714	1	0.904761904761905	0.898219696434944
Sorangium	0.880952380952381	0.714285714285714	0.976190476190476	1	0.952380952380953	0.785714285714286	0.880952380952381	0.952380952380953	0.595238095238095	0.976190476190476	0.785714285714286	0.976190476190476	0.928571428571429	0.904761904761905	0.833333333333333	0.880952380952381	0.952380952380953	0.833333333333333	0.714285714285714	0.904761904761905	0.904761904761905	0.880952380952381	0.880952380952381	0.833333333333333	0.880952380952381	0.785714285714286	0.952380952380953	0.904761904761905	0.857142857142857	0.952380952380953	0.904761904761905	0.976190476190476	0.904761904761905	0.928571428571429	0.833333333333333	0.833333333333333	0.785714285714286	0.928571428571429	0.690476190476191	0.952380952380953	0.904761904761905	0.904761904761905	0.898219696434944	0.922172221673209	0.904761904761905	0.904761904761905	0.714285714285714	0.738095238095238	0.976190476190476	0.880952380952381	0.862290908577547
Agromyces	0.928571428571429	0.761904761904762	0.976190476190476	0.952380952380953	1	0.928571428571429	0.904761904761905	1	0.642857142857143	0.976190476190476	0.904761904761905	0.904761904761905	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.857142857142857	0.904761904761905	0.976190476190476	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.904761904761905	1	0.976190476190476	0.880952380952381	0.928571428571429	0.976190476190476	0.976190476190476	0.904761904761905	0.952380952380953	0.80952380952381	0.952380952380953	0.904761904761905	0.952380952380953	0.738095238095238	1	0.904761904761905	0.904761904761905	0.886243433815812	0.910195959054077	0.904761904761905	0.976190476190476	0.761904761904762	0.738095238095238	0.976190476190476	0.928571428571429	0.922172221673209
Arthrobacter	0.904761904761905	0.785714285714286	0.857142857142857	0.785714285714286	0.928571428571429	1	0.833333333333333	0.928571428571429	0.714285714285714	0.857142857142857	0.928571428571429	0.738095238095238	0.880952380952381	0.952380952380953	0.976190476190476	0.952380952380953	0.80952380952381	0.976190476190476	0.904761904761905	0.833333333333333	0.952380952380953	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.928571428571429	0.928571428571429	0.952380952380953	0.857142857142857	0.80952380952381	0.952380952380953	0.857142857142857	0.833333333333333	0.880952380952381	0.738095238095238	0.976190476190476	0.928571428571429	0.880952380952381	0.738095238095238	0.928571428571429	0.833333333333333	0.833333333333333	0.814385858101016	0.790433332862751	0.833333333333333	0.952380952380953	0.785714285714286	0.714285714285714	0.857142857142857	0.904761904761905	0.922172221673209
Umezawaea	0.880952380952381	0.785714285714286	0.952380952380953	0.880952380952381	0.904761904761905	0.833333333333333	1	0.904761904761905	0.690476190476191	0.952380952380953	0.928571428571429	0.833333333333333	0.761904761904762	0.928571428571429	0.904761904761905	0.880952380952381	0.80952380952381	0.80952380952381	0.80952380952381	0.928571428571429	0.833333333333333	0.880952380952381	0.880952380952381	0.80952380952381	0.880952380952381	0.928571428571429	0.904761904761905	0.833333333333333	0.880952380952381	0.785714285714286	0.833333333333333	0.833333333333333	0.952380952380953	0.761904761904762	0.904761904761905	0.80952380952381	0.928571428571429	0.976190476190476	0.761904761904762	0.904761904761905	0.80952380952381	0.952380952380953	0.718575757147955	0.718575757147955	0.80952380952381	0.833333333333333	0.785714285714286	0.714285714285714	0.952380952380953	0.80952380952381	0.826362120720149
Solirubrobacter	0.928571428571429	0.761904761904762	0.976190476190476	0.952380952380953	1	0.928571428571429	0.904761904761905	1	0.642857142857143	0.976190476190476	0.904761904761905	0.904761904761905	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.857142857142857	0.904761904761905	0.976190476190476	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.904761904761905	1	0.976190476190476	0.880952380952381	0.928571428571429	0.976190476190476	0.976190476190476	0.904761904761905	0.952380952380953	0.80952380952381	0.952380952380953	0.904761904761905	0.952380952380953	0.738095238095238	1	0.904761904761905	0.904761904761905	0.886243433815812	0.910195959054077	0.904761904761905	0.976190476190476	0.761904761904762	0.738095238095238	0.976190476190476	0.928571428571429	0.922172221673209
Bosea	0.857142857142857	0.976190476190476	0.619047619047619	0.595238095238095	0.642857142857143	0.714285714285714	0.690476190476191	0.642857142857143	1	0.619047619047619	0.690476190476191	0.690476190476191	0.595238095238095	0.761904761904762	0.738095238095238	0.619047619047619	0.571428571428572	0.595238095238095	0.761904761904762	0.833333333333333	0.619047619047619	0.619047619047619	0.619047619047619	0.595238095238095	0.619047619047619	0.690476190476191	0.642857142857143	0.619047619047619	0.666666666666667	0.714285714285714	0.619047619047619	0.619047619047619	0.690476190476191	0.595238095238095	0.880952380952381	0.595238095238095	0.690476190476191	0.738095238095238	0.928571428571429	0.642857142857143	0.833333333333333	0.690476190476191	0.59881313095663	0.622765656194895	0.833333333333333	0.619047619047619	0.976190476190476	0.952380952380953	0.619047619047619	0.571428571428572	0.634741918814027
Cellulomonas	0.904761904761905	0.738095238095238	1	0.976190476190476	0.976190476190476	0.857142857142857	0.952380952380953	0.976190476190476	0.619047619047619	1	0.880952380952381	0.928571428571429	0.904761904761905	0.952380952380953	0.904761904761905	0.928571428571429	0.928571428571429	0.880952380952381	0.785714285714286	0.928571428571429	0.928571428571429	0.928571428571429	0.928571428571429	0.880952380952381	0.928571428571429	0.880952380952381	0.976190476190476	0.928571428571429	0.904761904761905	0.904761904761905	0.928571428571429	0.952380952380953	0.952380952380953	0.904761904761905	0.857142857142857	0.880952380952381	0.880952380952381	0.976190476190476	0.714285714285714	0.976190476190476	0.880952380952381	0.952380952380953	0.862290908577547	0.862290908577547	0.880952380952381	0.928571428571429	0.738095238095238	0.714285714285714	1	0.904761904761905	0.898219696434944
