Sorangium	Agromyces	Solirubrobacter	Paenibacillus	Saccharibacteria_genera_incertae_sedis	Phenylobacterium	g__Mortierella	Ideonella	Marmoricola	Dissulfuribacter	Gemmatimonas	Aquihabitans	Haliangium	g__Apodus	Knoellia	Sporosarcina	Sporichthya	Nitrospira	Cellvibrio	Peredibacter	Rhodoligotrophos	Ramlibacter	Ohtaekwangia	Oscillochloris	Nannocystis	Methyloceanibacter	Streptosporangium	Amaricoccus	Labilithrix	Adhaeribacter	Nitrincola	Lautropia	Tumebacillus	Rubrobacter	Luteivirga	Acidiphilium
Sorangium	1	0.952380952380953	0.952380952380953	0.952380952380953	0.833333333333333	0.904761904761905	0.904761904761905	0.880952380952381	0.880952380952381	0.833333333333333	0.880952380952381	0.928571428571429	0.952380952380953	0.790433332862751	0.904761904761905	0.952380952380953	0.833333333333333	0.904761904761905	0.976190476190476	0.928571428571429	0.833333333333333	0.928571428571429	0.814385858101016	0.790433332862751	0.928571428571429	0.952380952380953	0.904761904761905	0.928571428571429	0.833333333333333	0.898219696434944	0.922172221673209	0.904761904761905	0.904761904761905	0.904761904761905	0.976190476190476	0.790433332862751
Agromyces	0.952380952380953	1	1	0.952380952380953	0.952380952380953	0.904761904761905	0.976190476190476	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.928571428571429	1	0.898219696434944	0.976190476190476	0.928571428571429	0.928571428571429	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.952380952380953	0.874267171196679	0.898219696434944	0.928571428571429	1	0.904761904761905	0.928571428571429	0.928571428571429	0.886243433815812	0.910195959054077	0.904761904761905	0.976190476190476	0.904761904761905	0.976190476190476	0.898219696434944
Solirubrobacter	0.952380952380953	1	1	0.952380952380953	0.952380952380953	0.904761904761905	0.976190476190476	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.928571428571429	1	0.898219696434944	0.976190476190476	0.928571428571429	0.928571428571429	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.952380952380953	0.874267171196679	0.898219696434944	0.928571428571429	1	0.904761904761905	0.928571428571429	0.928571428571429	0.886243433815812	0.910195959054077	0.904761904761905	0.976190476190476	0.904761904761905	0.976190476190476	0.898219696434944
Paenibacillus	0.952380952380953	0.952380952380953	0.952380952380953	1	0.857142857142857	0.857142857142857	0.904761904761905	0.904761904761905	0.904761904761905	0.857142857142857	0.904761904761905	0.857142857142857	0.952380952380953	0.838338383339281	0.904761904761905	0.952380952380953	0.880952380952381	0.904761904761905	0.976190476190476	0.928571428571429	0.857142857142857	0.880952380952381	0.874267171196679	0.850314645958414	0.952380952380953	0.952380952380953	0.904761904761905	0.952380952380953	0.880952380952381	0.850314645958414	0.946124746911475	0.904761904761905	0.904761904761905	0.857142857142857	0.928571428571429	0.850314645958414
Saccharibacteria_genera_incertae_sedis	0.833333333333333	0.952380952380953	0.952380952380953	0.857142857142857	1	0.785714285714286	0.976190476190476	0.976190476190476	0.976190476190476	1	0.976190476190476	0.833333333333333	0.952380952380953	0.874267171196679	0.976190476190476	0.833333333333333	0.952380952380953	0.976190476190476	0.904761904761905	0.928571428571429	1	0.857142857142857	0.886243433815812	0.934148484292342	0.880952380952381	0.952380952380953	0.80952380952381	0.880952380952381	0.952380952380953	0.850314645958414	0.850314645958414	0.80952380952381	0.976190476190476	0.880952380952381	0.880952380952381	0.934148484292342
Phenylobacterium	0.904761904761905	0.904761904761905	0.904761904761905	0.857142857142857	0.785714285714286	1	0.857142857142857	0.833333333333333	0.833333333333333	0.785714285714286	0.833333333333333	0.880952380952381	0.904761904761905	0.790433332862751	0.857142857142857	0.904761904761905	0.738095238095238	0.857142857142857	0.880952380952381	0.833333333333333	0.785714285714286	0.976190476190476	0.69462323190969	0.718575757147955	0.785714285714286	0.904761904761905	0.952380952380953	0.785714285714286	0.738095238095238	0.826362120720149	0.802409595481884	0.952380952380953	0.857142857142857	0.80952380952381	0.928571428571429	0.718575757147955
g__Mortierella	0.904761904761905	0.976190476190476	0.976190476190476	0.904761904761905	0.976190476190476	0.857142857142857	1	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.857142857142857	0.976190476190476	0.826362120720149	1	0.904761904761905	0.904761904761905	1	0.952380952380953	0.976190476190476	0.976190476190476	0.904761904761905	0.850314645958414	0.874267171196679	0.904761904761905	0.976190476190476	0.880952380952381	0.904761904761905	0.904761904761905	0.934148484292342	0.886243433815812	0.880952380952381	1	0.952380952380953	0.928571428571429	0.874267171196679
Ideonella	0.880952380952381	0.976190476190476	0.976190476190476	0.904761904761905	0.976190476190476	0.833333333333333	0.952380952380953	1	1	0.976190476190476	1	0.904761904761905	0.976190476190476	0.946124746911475	0.952380952380953	0.857142857142857	0.976190476190476	0.952380952380953	0.928571428571429	0.904761904761905	0.976190476190476	0.904761904761905	0.910195959054077	0.958101009530607	0.904761904761905	0.976190476190476	0.833333333333333	0.904761904761905	0.976190476190476	0.802409595481884	0.874267171196679	0.833333333333333	0.952380952380953	0.833333333333333	0.928571428571429	0.958101009530607
Marmoricola	0.880952380952381	0.976190476190476	0.976190476190476	0.904761904761905	0.976190476190476	0.833333333333333	0.952380952380953	1	1	0.976190476190476	1	0.904761904761905	0.976190476190476	0.946124746911475	0.952380952380953	0.857142857142857	0.976190476190476	0.952380952380953	0.928571428571429	0.904761904761905	0.976190476190476	0.904761904761905	0.910195959054077	0.958101009530607	0.904761904761905	0.976190476190476	0.833333333333333	0.904761904761905	0.976190476190476	0.802409595481884	0.874267171196679	0.833333333333333	0.952380952380953	0.833333333333333	0.928571428571429	0.958101009530607
Dissulfuribacter	0.833333333333333	0.952380952380953	0.952380952380953	0.857142857142857	1	0.785714285714286	0.976190476190476	0.976190476190476	0.976190476190476	1	0.976190476190476	0.833333333333333	0.952380952380953	0.874267171196679	0.976190476190476	0.833333333333333	0.952380952380953	0.976190476190476	0.904761904761905	0.928571428571429	1	0.857142857142857	0.886243433815812	0.934148484292342	0.880952380952381	0.952380952380953	0.80952380952381	0.880952380952381	0.952380952380953	0.850314645958414	0.850314645958414	0.80952380952381	0.976190476190476	0.880952380952381	0.880952380952381	0.934148484292342
