Mesorhizobium	Phenylobacterium	Nitrobacter	Panacagrimonas	Ramlibacter	Actinocorallia	Streptosporangium	Gp6	Povalibacter	Parachlamydia	Lautropia	Armatimonadetes_gp2	Inquilinus	Halobacteriovorax	Cohnella	Saccharomonospora	Luteivirga	Atopobium	Sanguibacter	Sulfurisoma
Mesorhizobium	1	0.904761904761905	0.952380952380953	0.952380952380953	0.880952380952381	0.880952380952381	0.785714285714286	0.761904761904762	0.833333333333333	0.880952380952381	0.785714285714286	0.880952380952381	0.80952380952381	0.952380952380953	0.857142857142857	0.80952380952381	0.80952380952381	0.880952380952381	0.826362120720149	0.826362120720149
Phenylobacterium	0.904761904761905	1	0.880952380952381	0.976190476190476	0.976190476190476	0.880952380952381	0.952380952380953	0.80952380952381	0.952380952380953	0.80952380952381	0.952380952380953	0.80952380952381	0.833333333333333	0.904761904761905	0.904761904761905	0.880952380952381	0.928571428571429	0.785714285714286	0.886243433815812	0.886243433815812
Nitrobacter	0.952380952380953	0.880952380952381	1	0.952380952380953	0.833333333333333	0.904761904761905	0.785714285714286	0.857142857142857	0.785714285714286	0.857142857142857	0.785714285714286	0.880952380952381	0.904761904761905	0.928571428571429	0.928571428571429	0.880952380952381	0.738095238095238	0.928571428571429	0.766480807624486	0.766480807624486
Panacagrimonas	0.952380952380953	0.976190476190476	0.952380952380953	1	0.928571428571429	0.904761904761905	0.904761904761905	0.880952380952381	0.904761904761905	0.857142857142857	0.904761904761905	0.880952380952381	0.904761904761905	0.928571428571429	0.928571428571429	0.904761904761905	0.857142857142857	0.880952380952381	0.850314645958414	0.850314645958414
Ramlibacter	0.880952380952381	0.976190476190476	0.833333333333333	0.928571428571429	1	0.80952380952381	0.904761904761905	0.690476190476191	0.976190476190476	0.833333333333333	0.904761904761905	0.714285714285714	0.714285714285714	0.928571428571429	0.833333333333333	0.785714285714286	0.976190476190476	0.714285714285714	0.946124746911475	0.946124746911475
Actinocorallia	0.880952380952381	0.880952380952381	0.904761904761905	0.904761904761905	0.80952380952381	1	0.880952380952381	0.785714285714286	0.714285714285714	0.619047619047619	0.880952380952381	0.880952380952381	0.880952380952381	0.785714285714286	0.976190476190476	0.952380952380953	0.714285714285714	0.80952380952381	0.622765656194895	0.622765656194895
Streptosporangium	0.785714285714286	0.952380952380953	0.785714285714286	0.904761904761905	0.904761904761905	0.880952380952381	1	0.785714285714286	0.857142857142857	0.642857142857143	1	0.80952380952381	0.833333333333333	0.761904761904762	0.904761904761905	0.928571428571429	0.880952380952381	0.738095238095238	0.754504545005353	0.754504545005353
Gp6	0.761904761904762	0.80952380952381	0.857142857142857	0.880952380952381	0.690476190476191	0.785714285714286	0.785714285714286	1	0.714285714285714	0.714285714285714	0.785714285714286	0.833333333333333	0.976190476190476	0.714285714285714	0.857142857142857	0.880952380952381	0.595238095238095	0.857142857142857	0.622765656194895	0.622765656194895
Povalibacter	0.833333333333333	0.952380952380953	0.785714285714286	0.904761904761905	0.976190476190476	0.714285714285714	0.857142857142857	0.714285714285714	1	0.857142857142857	0.857142857142857	0.642857142857143	0.690476190476191	0.904761904761905	0.761904761904762	0.714285714285714	0.952380952380953	0.666666666666667	0.97007727214974	0.97007727214974
Parachlamydia	0.880952380952381	0.80952380952381	0.857142857142857	0.857142857142857	0.833333333333333	0.619047619047619	0.642857142857143	0.714285714285714	0.857142857142857	1	0.642857142857143	0.714285714285714	0.690476190476191	0.952380952380953	0.666666666666667	0.619047619047619	0.80952380952381	0.833333333333333	0.922172221673209	0.922172221673209
