Nocardioides	Gaiella	Phenylobacterium	Nitrobacter	Acholeplasma	g__Mortierella	Methylophilus	Aquihabitans	Haliangium	Rhizocola	Knoellia	Saccharothrix	Sporosarcina	Nitrospira	Cellvibrio	Catellatospora	Panacagrimonas	Ramlibacter	Actinocorallia	Methyloceanibacter	Streptosporangium	Povalibacter	Lautropia	Thiomonas	Halobacteriovorax	Tumebacillus	Cohnella	Saccharomonospora	Luteivirga	Sanguibacter	Tahibacter	Sulfurisoma	Armatimonadetes_gp5
Nocardioides	1	0.976190476190476	0.976190476190476	0.833333333333333	0.778457070243618	0.904761904761905	0.785714285714286	0.833333333333333	0.928571428571429	0.833333333333333	0.904761904761905	0.880952380952381	0.928571428571429	0.904761904761905	0.904761904761905	0.904761904761905	0.928571428571429	0.952380952380953	0.904761904761905	0.928571428571429	0.976190476190476	0.904761904761905	0.976190476190476	0.833333333333333	0.833333333333333	0.904761904761905	0.928571428571429	0.904761904761905	0.904761904761905	0.814385858101016	0.742528282386221	0.814385858101016	0.886243433815812
Gaiella	0.976190476190476	1	0.952380952380953	0.785714285714286	0.718575757147955	0.952380952380953	0.690476190476191	0.904761904761905	0.976190476190476	0.904761904761905	0.952380952380953	0.904761904761905	0.904761904761905	0.952380952380953	0.928571428571429	0.928571428571429	0.880952380952381	0.976190476190476	0.833333333333333	0.976190476190476	0.928571428571429	0.928571428571429	0.928571428571429	0.904761904761905	0.857142857142857	0.952380952380953	0.857142857142857	0.80952380952381	0.952380952380953	0.874267171196679	0.802409595481884	0.874267171196679	0.922172221673209
Phenylobacterium	0.976190476190476	0.952380952380953	1	0.880952380952381	0.874267171196679	0.857142857142857	0.857142857142857	0.880952380952381	0.904761904761905	0.857142857142857	0.857142857142857	0.904761904761905	0.904761904761905	0.857142857142857	0.880952380952381	0.952380952380953	0.976190476190476	0.976190476190476	0.880952380952381	0.904761904761905	0.952380952380953	0.952380952380953	0.952380952380953	0.857142857142857	0.904761904761905	0.857142857142857	0.904761904761905	0.880952380952381	0.928571428571429	0.886243433815812	0.838338383339281	0.886243433815812	0.862290908577547
Nitrobacter	0.833333333333333	0.785714285714286	0.880952380952381	1	0.790433332862751	0.595238095238095	0.833333333333333	0.761904761904762	0.690476190476191	0.833333333333333	0.595238095238095	0.690476190476191	0.690476190476191	0.595238095238095	0.642857142857143	0.785714285714286	0.952380952380953	0.833333333333333	0.904761904761905	0.690476190476191	0.785714285714286	0.785714285714286	0.785714285714286	0.833333333333333	0.928571428571429	0.595238095238095	0.928571428571429	0.880952380952381	0.738095238095238	0.766480807624486	0.69462323190969	0.766480807624486	0.59881313095663
Acholeplasma	0.778457070243618	0.718575757147955	0.874267171196679	0.790433332862751	1	0.586836868337497	0.874267171196679	0.718575757147955	0.658694444052292	0.64671818143316	0.586836868337497	0.766480807624486	0.718575757147955	0.586836868337497	0.658694444052292	0.838338383339281	0.898219696434944	0.814385858101016	0.754504545005353	0.658694444052292	0.778457070243618	0.838338383339281	0.778457070243618	0.64671818143316	0.802409595481884	0.586836868337497	0.730552019767088	0.730552019767088	0.754504545005353	0.77710843373494	0.825301204819277	0.77710843373494	0.644578313253012
g__Mortierella	0.904761904761905	0.952380952380953	0.857142857142857	0.595238095238095	0.586836868337497	1	0.595238095238095	0.857142857142857	0.976190476190476	0.80952380952381	1	0.904761904761905	0.904761904761905	1	0.952380952380953	0.880952380952381	0.738095238095238	0.904761904761905	0.666666666666667	0.976190476190476	0.880952380952381	0.880952380952381	0.880952380952381	0.80952380952381	0.714285714285714	1	0.714285714285714	0.690476190476191	0.928571428571429	0.826362120720149	0.754504545005353	0.826362120720149	0.97007727214974
Methylophilus	0.785714285714286	0.690476190476191	0.857142857142857	0.833333333333333	0.874267171196679	0.595238095238095	1	0.642857142857143	0.619047619047619	0.595238095238095	0.595238095238095	0.785714285714286	0.738095238095238	0.595238095238095	0.642857142857143	0.80952380952381	0.904761904761905	0.761904761904762	0.738095238095238	0.619047619047619	0.80952380952381	0.80952380952381	0.80952380952381	0.595238095238095	0.761904761904762	0.595238095238095	0.80952380952381	0.833333333333333	0.690476190476191	0.730552019767088	0.706599494528823	0.730552019767088	0.682646969290558
Aquihabitans	0.833333333333333	0.904761904761905	0.880952380952381	0.761904761904762	0.718575757147955	0.857142857142857	0.642857142857143	1	0.928571428571429	0.952380952380953	0.857142857142857	0.857142857142857	0.80952380952381	0.857142857142857	0.880952380952381	0.928571428571429	0.833333333333333	0.952380952380953	0.666666666666667	0.928571428571429	0.785714285714286	0.928571428571429	0.785714285714286	0.952380952380953	0.928571428571429	0.857142857142857	0.690476190476191	0.642857142857143	0.976190476190476	0.97007727214974	0.922172221673209	0.97007727214974	0.826362120720149
Haliangium	0.928571428571429	0.976190476190476	0.904761904761905	0.690476190476191	0.658694444052292	0.976190476190476	0.619047619047619	0.928571428571429	1	0.880952380952381	0.976190476190476	0.880952380952381	0.928571428571429	0.976190476190476	0.976190476190476	0.904761904761905	0.80952380952381	0.952380952380953	0.738095238095238	1	0.904761904761905	0.904761904761905	0.904761904761905	0.880952380952381	0.80952380952381	0.976190476190476	0.761904761904762	0.738095238095238	0.976190476190476	0.874267171196679	0.802409595481884	0.874267171196679	0.922172221673209
Rhizocola	0.833333333333333	0.904761904761905	0.857142857142857	0.833333333333333	0.64671818143316	0.80952380952381	0.595238095238095	0.952380952380953	0.880952380952381	1	0.80952380952381	0.80952380952381	0.714285714285714	0.80952380952381	0.785714285714286	0.880952380952381	0.833333333333333	0.928571428571429	0.738095238095238	0.880952380952381	0.738095238095238	0.880952380952381	0.738095238095238	1	0.952380952380953	0.80952380952381	0.761904761904762	0.666666666666667	0.904761904761905	0.922172221673209	0.850314645958414	0.922172221673209	0.778457070243618
