Streptomyces	Actinoplanes	Lysobacter	Dactylosporangium	Polaromonas	Chryseolinea	Hyphomicrobium	Rhizocola	Kinneretia	Arenimonas	Curtobacterium	Aquimonas	Parachlamydia	Thiomonas	Halobacteriovorax	Chelatococcus	Methylosinus
Streptomyces	1	0.976190476190476	0.904761904761905	0.928571428571429	0.952380952380953	0.904761904761905	0.80952380952381	0.904761904761905	0.857142857142857	0.904761904761905	0.80952380952381	0.904761904761905	0.904761904761905	0.904761904761905	0.904761904761905	0.666666666666667	0.802409595481884
Actinoplanes	0.976190476190476	1	0.952380952380953	0.976190476190476	0.976190476190476	0.880952380952381	0.833333333333333	0.928571428571429	0.928571428571429	0.880952380952381	0.880952380952381	0.857142857142857	0.928571428571429	0.928571428571429	0.952380952380953	0.761904761904762	0.802409595481884
Lysobacter	0.904761904761905	0.952380952380953	1	0.928571428571429	0.976190476190476	0.833333333333333	0.833333333333333	0.857142857142857	0.976190476190476	0.833333333333333	0.880952380952381	0.80952380952381	0.833333333333333	0.857142857142857	0.857142857142857	0.880952380952381	0.790433332862751
Dactylosporangium	0.928571428571429	0.976190476190476	0.928571428571429	1	0.952380952380953	0.904761904761905	0.904761904761905	0.976190476190476	0.952380952380953	0.904761904761905	0.904761904761905	0.833333333333333	0.904761904761905	0.976190476190476	0.976190476190476	0.785714285714286	0.838338383339281
Polaromonas	0.952380952380953	0.976190476190476	0.976190476190476	0.952380952380953	1	0.904761904761905	0.857142857142857	0.904761904761905	0.952380952380953	0.904761904761905	0.857142857142857	0.904761904761905	0.904761904761905	0.904761904761905	0.904761904761905	0.857142857142857	0.874267171196679
Chryseolinea	0.904761904761905	0.880952380952381	0.833333333333333	0.904761904761905	0.904761904761905	1	0.952380952380953	0.952380952380953	0.857142857142857	1	0.761904761904762	0.952380952380953	0.80952380952381	0.952380952380953	0.857142857142857	0.714285714285714	0.946124746911475
Hyphomicrobium	0.80952380952381	0.833333333333333	0.833333333333333	0.904761904761905	0.857142857142857	0.952380952380953	1	0.952380952380953	0.904761904761905	0.952380952380953	0.80952380952381	0.833333333333333	0.714285714285714	0.952380952380953	0.833333333333333	0.761904761904762	0.898219696434944
Rhizocola	0.904761904761905	0.928571428571429	0.857142857142857	0.976190476190476	0.904761904761905	0.952380952380953	0.952380952380953	1	0.904761904761905	0.952380952380953	0.857142857142857	0.857142857142857	0.857142857142857	1	0.952380952380953	0.714285714285714	0.874267171196679
Kinneretia	0.857142857142857	0.928571428571429	0.976190476190476	0.952380952380953	0.952380952380953	0.857142857142857	0.904761904761905	0.904761904761905	1	0.857142857142857	0.904761904761905	0.785714285714286	0.80952380952381	0.904761904761905	0.880952380952381	0.904761904761905	0.826362120720149
Arenimonas	0.904761904761905	0.880952380952381	0.833333333333333	0.904761904761905	0.904761904761905	1	0.952380952380953	0.952380952380953	0.857142857142857	1	0.761904761904762	0.952380952380953	0.80952380952381	0.952380952380953	0.857142857142857	0.714285714285714	0.946124746911475
Curtobacterium	0.80952380952381	0.880952380952381	0.880952380952381	0.904761904761905	0.857142857142857	0.761904761904762	0.80952380952381	0.857142857142857	0.904761904761905	0.761904761904762	1	0.642857142857143	0.714285714285714	0.857142857142857	0.833333333333333	0.761904761904762	0.730552019767088
Aquimonas	0.904761904761905	0.857142857142857	0.80952380952381	0.833333333333333	0.904761904761905	0.952380952380953	0.833333333333333	0.857142857142857	0.785714285714286	0.952380952380953	0.642857142857143	1	0.857142857142857	0.857142857142857	0.80952380952381	0.714285714285714	0.934148484292342
Parachlamydia	0.904761904761905	0.928571428571429	0.833333333333333	0.904761904761905	0.904761904761905	0.80952380952381	0.714285714285714	0.857142857142857	0.80952380952381	0.80952380952381	0.714285714285714	0.857142857142857	1	0.857142857142857	0.952380952380953	0.714285714285714	0.778457070243618
Thiomonas	0.904761904761905	0.928571428571429	0.857142857142857	0.976190476190476	0.904761904761905	0.952380952380953	0.952380952380953	1	0.904761904761905	0.952380952380953	0.857142857142857	0.857142857142857	0.857142857142857	1	0.952380952380953	0.714285714285714	0.874267171196679
Halobacteriovorax	0.904761904761905	0.952380952380953	0.857142857142857	0.976190476190476	0.904761904761905	0.857142857142857	0.833333333333333	0.952380952380953	0.880952380952381	0.857142857142857	0.833333333333333	0.80952380952381	0.952380952380953	0.952380952380953	1	0.714285714285714	0.790433332862751
Chelatococcus	0.666666666666667	0.761904761904762	0.880952380952381	0.785714285714286	0.857142857142857	0.714285714285714	0.761904761904762	0.714285714285714	0.904761904761905	0.714285714285714	0.761904761904762	0.714285714285714	0.714285714285714	0.714285714285714	0.714285714285714	1	0.814385858101016
Methylosinus	0.802409595481884	0.802409595481884	0.790433332862751	0.838338383339281	0.874267171196679	0.946124746911475	0.898219696434944	0.874267171196679	0.826362120720149	0.946124746911475	0.730552019767088	0.934148484292342	0.778457070243618	0.874267171196679	0.790433332862751	0.814385858101016	1
