Aeromicrobium	Umezawaea	Cellulomonas	Phenylobacterium	Saccharothrix	Catellatospora	Ramlibacter	Povalibacter	Adhaeribacter	Parachlamydia	Lautropia	Thiomonas	Halobacteriovorax	Tumebacillus	Rubrobacter	Luteivirga	Nakamurella	Sanguibacter	Tahibacter	Sandaracinus	Sulfurisoma	Armatimonadetes_gp5
Aeromicrobium	1	0.952380952380953	1	0.928571428571429	0.904761904761905	0.952380952380953	0.976190476190476	0.952380952380953	0.862290908577547	0.80952380952381	0.880952380952381	0.904761904761905	0.880952380952381	0.928571428571429	0.880952380952381	1	0.904761904761905	0.946124746911475	0.898219696434944	0.886243433815812	0.946124746911475	0.898219696434944
Umezawaea	0.952380952380953	1	0.952380952380953	0.928571428571429	0.880952380952381	0.952380952380953	0.976190476190476	0.952380952380953	0.718575757147955	0.904761904761905	0.80952380952381	0.976190476190476	0.976190476190476	0.833333333333333	0.738095238095238	0.952380952380953	0.80952380952381	0.97007727214974	0.922172221673209	0.790433332862751	0.97007727214974	0.826362120720149
Cellulomonas	1	0.952380952380953	1	0.928571428571429	0.904761904761905	0.952380952380953	0.976190476190476	0.952380952380953	0.862290908577547	0.80952380952381	0.880952380952381	0.904761904761905	0.880952380952381	0.928571428571429	0.880952380952381	1	0.904761904761905	0.946124746911475	0.898219696434944	0.886243433815812	0.946124746911475	0.898219696434944
Phenylobacterium	0.928571428571429	0.928571428571429	0.928571428571429	1	0.904761904761905	0.952380952380953	0.976190476190476	0.952380952380953	0.826362120720149	0.80952380952381	0.952380952380953	0.857142857142857	0.904761904761905	0.857142857142857	0.80952380952381	0.928571428571429	0.833333333333333	0.886243433815812	0.838338383339281	0.826362120720149	0.886243433815812	0.862290908577547
Saccharothrix	0.904761904761905	0.880952380952381	0.904761904761905	0.904761904761905	1	0.976190476190476	0.928571428571429	0.976190476190476	0.898219696434944	0.761904761904762	0.833333333333333	0.80952380952381	0.80952380952381	0.904761904761905	0.904761904761905	0.904761904761905	0.952380952380953	0.922172221673209	0.898219696434944	0.802409595481884	0.922172221673209	0.97007727214974
Catellatospora	0.952380952380953	0.952380952380953	0.952380952380953	0.952380952380953	0.976190476190476	1	0.976190476190476	1	0.850314645958414	0.857142857142857	0.857142857142857	0.880952380952381	0.904761904761905	0.880952380952381	0.857142857142857	0.952380952380953	0.904761904761905	0.97007727214974	0.946124746911475	0.850314645958414	0.97007727214974	0.922172221673209
Ramlibacter	0.976190476190476	0.976190476190476	0.976190476190476	0.976190476190476	0.928571428571429	0.976190476190476	1	0.976190476190476	0.826362120720149	0.833333333333333	0.904761904761905	0.928571428571429	0.928571428571429	0.904761904761905	0.833333333333333	0.976190476190476	0.880952380952381	0.946124746911475	0.898219696434944	0.826362120720149	0.946124746911475	0.898219696434944
Povalibacter	0.952380952380953	0.952380952380953	0.952380952380953	0.952380952380953	0.976190476190476	1	0.976190476190476	1	0.850314645958414	0.857142857142857	0.857142857142857	0.880952380952381	0.904761904761905	0.880952380952381	0.857142857142857	0.952380952380953	0.904761904761905	0.97007727214974	0.946124746911475	0.850314645958414	0.97007727214974	0.922172221673209
Adhaeribacter	0.862290908577547	0.718575757147955	0.862290908577547	0.826362120720149	0.898219696434944	0.850314645958414	0.826362120720149	0.850314645958414	1	0.562884343099232	0.886243433815812	0.634741918814027	0.610789393575762	0.934148484292342	0.994029797388005	0.862290908577547	0.958101009530607	0.765060240963855	0.716867469879518	0.855421686746988	0.765060240963855	0.94578313253012
Parachlamydia	0.80952380952381	0.904761904761905	0.80952380952381	0.80952380952381	0.761904761904762	0.857142857142857	0.833333333333333	0.857142857142857	0.562884343099232	1	0.642857142857143	0.857142857142857	0.952380952380953	0.595238095238095	0.571428571428572	0.80952380952381	0.619047619047619	0.922172221673209	0.898219696434944	0.802409595481884	0.922172221673209	0.634741918814027
Lautropia	0.880952380952381	0.80952380952381	0.880952380952381	0.952380952380953	0.833333333333333	0.857142857142857	0.904761904761905	0.857142857142857	0.886243433815812	0.642857142857143	1	0.738095238095238	0.761904761904762	0.880952380952381	0.857142857142857	0.880952380952381	0.833333333333333	0.754504545005353	0.682646969290558	0.814385858101016	0.754504545005353	0.850314645958414
Thiomonas	0.904761904761905	0.976190476190476	0.904761904761905	0.857142857142857	0.80952380952381	0.880952380952381	0.928571428571429	0.880952380952381	0.634741918814027	0.857142857142857	0.738095238095238	1	0.952380952380953	0.80952380952381	0.666666666666667	0.904761904761905	0.761904761904762	0.922172221673209	0.850314645958414	0.682646969290558	0.922172221673209	0.778457070243618
Halobacteriovorax	0.880952380952381	0.976190476190476	0.880952380952381	0.904761904761905	0.80952380952381	0.904761904761905	0.928571428571429	0.904761904761905	0.610789393575762	0.952380952380953	0.761904761904762	0.952380952380953	1	0.714285714285714	0.619047619047619	0.880952380952381	0.690476190476191	0.934148484292342	0.886243433815812	0.754504545005353	0.934148484292342	0.718575757147955
Tumebacillus	0.928571428571429	0.833333333333333	0.928571428571429	0.857142857142857	0.904761904761905	0.880952380952381	0.904761904761905	0.880952380952381	0.934148484292342	0.595238095238095	0.880952380952381	0.80952380952381	0.714285714285714	1	0.952380952380953	0.928571428571429	0.976190476190476	0.826362120720149	0.754504545005353	0.766480807624486	0.826362120720149	0.97007727214974
Rubrobacter	0.880952380952381	0.738095238095238	0.880952380952381	0.80952380952381	0.904761904761905	0.857142857142857	0.833333333333333	0.857142857142857	0.994029797388005	0.571428571428572	0.857142857142857	0.666666666666667	0.619047619047619	0.952380952380953	1	0.880952380952381	0.976190476190476	0.790433332862751	0.742528282386221	0.850314645958414	0.790433332862751	0.958101009530607
Luteivirga	1	0.952380952380953	1	0.928571428571429	0.904761904761905	0.952380952380953	0.976190476190476	0.952380952380953	0.862290908577547	0.80952380952381	0.880952380952381	0.904761904761905	0.880952380952381	0.928571428571429	0.880952380952381	1	0.904761904761905	0.946124746911475	0.898219696434944	0.886243433815812	0.946124746911475	0.898219696434944
Nakamurella	0.904761904761905	0.80952380952381	0.904761904761905	0.833333333333333	0.952380952380953	0.904761904761905	0.880952380952381	0.904761904761905	0.958101009530607	0.619047619047619	0.833333333333333	0.761904761904762	0.690476190476191	0.976190476190476	0.976190476190476	0.904761904761905	1	0.850314645958414	0.802409595481884	0.790433332862751	0.850314645958414	0.994029797388005
Sanguibacter	0.946124746911475	0.97007727214974	0.946124746911475	0.886243433815812	0.922172221673209	0.97007727214974	0.946124746911475	0.97007727214974	0.765060240963855	0.922172221673209	0.754504545005353	0.922172221673209	0.934148484292342	0.826362120720149	0.790433332862751	0.946124746911475	0.850314645958414	1	0.975903614457831	0.849397590361446	1	0.855421686746988
Tahibacter	0.898219696434944	0.922172221673209	0.898219696434944	0.838338383339281	0.898219696434944	0.946124746911475	0.898219696434944	0.946124746911475	0.716867469879518	0.898219696434944	0.682646969290558	0.850314645958414	0.886243433815812	0.754504545005353	0.742528282386221	0.898219696434944	0.802409595481884	0.975903614457831	1	0.825301204819277	0.975903614457831	0.807228915662651
Sandaracinus	0.886243433815812	0.790433332862751	0.886243433815812	0.826362120720149	0.802409595481884	0.850314645958414	0.826362120720149	0.850314645958414	0.855421686746988	0.802409595481884	0.814385858101016	0.682646969290558	0.754504545005353	0.766480807624486	0.850314645958414	0.886243433815812	0.790433332862751	0.849397590361446	0.825301204819277	1	0.849397590361446	0.765060240963855
Sulfurisoma	0.946124746911475	0.97007727214974	0.946124746911475	0.886243433815812	0.922172221673209	0.97007727214974	0.946124746911475	0.97007727214974	0.765060240963855	0.922172221673209	0.754504545005353	0.922172221673209	0.934148484292342	0.826362120720149	0.790433332862751	0.946124746911475	0.850314645958414	1	0.975903614457831	0.849397590361446	1	0.855421686746988
Armatimonadetes_gp5	0.898219696434944	0.826362120720149	0.898219696434944	0.862290908577547	0.97007727214974	0.922172221673209	0.898219696434944	0.922172221673209	0.94578313253012	0.634741918814027	0.850314645958414	0.778457070243618	0.718575757147955	0.97007727214974	0.958101009530607	0.898219696434944	0.994029797388005	0.855421686746988	0.807228915662651	0.765060240963855	0.855421686746988	1
