Steroidobacter	Bradyrhizobium	Conexibacter	Terrabacter	Hyphomicrobium	Ideonella	Marmoricola	Geobacter	Gemmatimonas	Dongia	Rhizocola	g__Apodus	Ilumatobacter	Pseudolabrys	Ramlibacter	Chitinimonas	Oscillochloris	Methyloceanibacter	Labilithrix	Variibacter	Thiomonas	Halobacteriovorax	Tumebacillus	Ardenticatena	Gp22	Chelativorans	Luteivirga	Roseiflexus	Sanguibacter	Acidiphilium	Sulfurisoma	Aciditerrimonas	Skermanella	Sneathiella	Terrimonas
Steroidobacter	1	0.976190476190476	0.928571428571429	0.904761904761905	0.952380952380953	0.904761904761905	0.904761904761905	0.952380952380953	0.904761904761905	0.976190476190476	1	0.946124746911475	0.952380952380953	0.976190476190476	0.928571428571429	0.952380952380953	0.814385858101016	0.880952380952381	0.833333333333333	0.928571428571429	1	0.952380952380953	0.80952380952381	0.952380952380953	0.761904761904762	0.857142857142857	0.904761904761905	0.862290908577547	0.922172221673209	0.814385858101016	0.922172221673209	0.838338383339281	0.862290908577547	0.862290908577547	0.862290908577547
Bradyrhizobium	0.976190476190476	1	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	1	0.976190476190476	0.97007727214974	0.976190476190476	1	0.904761904761905	0.928571428571429	0.898219696434944	0.904761904761905	0.904761904761905	0.976190476190476	0.976190476190476	0.880952380952381	0.857142857142857	0.976190476190476	0.857142857142857	0.904761904761905	0.880952380952381	0.922172221673209	0.850314645958414	0.898219696434944	0.850314645958414	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Conexibacter	0.928571428571429	0.976190476190476	1	0.976190476190476	0.928571428571429	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	0.928571428571429	0.946124746911475	0.952380952380953	0.976190476190476	0.928571428571429	0.880952380952381	0.922172221673209	0.952380952380953	0.928571428571429	0.952380952380953	0.928571428571429	0.833333333333333	0.928571428571429	0.952380952380953	0.904761904761905	0.857142857142857	0.904761904761905	0.898219696434944	0.826362120720149	0.922172221673209	0.826362120720149	0.850314645958414	0.898219696434944	0.898219696434944	0.898219696434944
Terrabacter	0.904761904761905	0.952380952380953	0.976190476190476	1	0.904761904761905	1	1	0.976190476190476	1	0.952380952380953	0.904761904761905	0.946124746911475	0.976190476190476	0.952380952380953	0.904761904761905	0.904761904761905	0.958101009530607	0.976190476190476	0.976190476190476	0.904761904761905	0.904761904761905	0.785714285714286	0.952380952380953	0.976190476190476	0.952380952380953	0.80952380952381	0.928571428571429	0.934148484292342	0.826362120720149	0.958101009530607	0.826362120720149	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
Hyphomicrobium	0.952380952380953	0.976190476190476	0.928571428571429	0.904761904761905	1	0.904761904761905	0.904761904761905	0.952380952380953	0.904761904761905	0.976190476190476	0.952380952380953	0.922172221673209	0.952380952380953	0.976190476190476	0.833333333333333	0.880952380952381	0.850314645958414	0.833333333333333	0.857142857142857	0.952380952380953	0.952380952380953	0.833333333333333	0.80952380952381	0.952380952380953	0.833333333333333	0.880952380952381	0.80952380952381	0.898219696434944	0.826362120720149	0.850314645958414	0.826362120720149	0.922172221673209	0.898219696434944	0.898219696434944	0.898219696434944
Ideonella	0.904761904761905	0.952380952380953	0.976190476190476	1	0.904761904761905	1	1	0.976190476190476	1	0.952380952380953	0.904761904761905	0.946124746911475	0.976190476190476	0.952380952380953	0.904761904761905	0.904761904761905	0.958101009530607	0.976190476190476	0.976190476190476	0.904761904761905	0.904761904761905	0.785714285714286	0.952380952380953	0.976190476190476	0.952380952380953	0.80952380952381	0.928571428571429	0.934148484292342	0.826362120720149	0.958101009530607	0.826362120720149	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
Marmoricola	0.904761904761905	0.952380952380953	0.976190476190476	1	0.904761904761905	1	1	0.976190476190476	1	0.952380952380953	0.904761904761905	0.946124746911475	0.976190476190476	0.952380952380953	0.904761904761905	0.904761904761905	0.958101009530607	0.976190476190476	0.976190476190476	0.904761904761905	0.904761904761905	0.785714285714286	0.952380952380953	0.976190476190476	0.952380952380953	0.80952380952381	0.928571428571429	0.934148484292342	0.826362120720149	0.958101009530607	0.826362120720149	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
Geobacter	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	1	0.976190476190476	0.976190476190476	0.952380952380953	0.97007727214974	1	0.976190476190476	0.880952380952381	0.952380952380953	0.934148484292342	0.928571428571429	0.952380952380953	0.928571428571429	0.952380952380953	0.833333333333333	0.880952380952381	1	0.904761904761905	0.857142857142857	0.904761904761905	0.958101009530607	0.850314645958414	0.934148484292342	0.850314645958414	0.934148484292342	0.958101009530607	0.958101009530607	0.958101009530607
Gemmatimonas	0.904761904761905	0.952380952380953	0.976190476190476	1	0.904761904761905	1	1	0.976190476190476	1	0.952380952380953	0.904761904761905	0.946124746911475	0.976190476190476	0.952380952380953	0.904761904761905	0.904761904761905	0.958101009530607	0.976190476190476	0.976190476190476	0.904761904761905	0.904761904761905	0.785714285714286	0.952380952380953	0.976190476190476	0.952380952380953	0.80952380952381	0.928571428571429	0.934148484292342	0.826362120720149	0.958101009530607	0.826362120720149	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
Dongia	0.976190476190476	1	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	1	0.976190476190476	0.97007727214974	0.976190476190476	1	0.904761904761905	0.928571428571429	0.898219696434944	0.904761904761905	0.904761904761905	0.976190476190476	0.976190476190476	0.880952380952381	0.857142857142857	0.976190476190476	0.857142857142857	0.904761904761905	0.880952380952381	0.922172221673209	0.850314645958414	0.898219696434944	0.850314645958414	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
