Glycomyces	Pseudonocardia	Nonomuraea	Nannocystis	Amaricoccus	Nitrosospira	Nitrincola	Geodermatophilus	Sandaracinus	Polyangium
Glycomyces	1	0.976190476190476	0.904761904761905	0.857142857142857	0.857142857142857	0.976190476190476	0.874267171196679	0.904761904761905	0.898219696434944	0.857142857142857
Pseudonocardia	0.976190476190476	1	0.928571428571429	0.880952380952381	0.880952380952381	0.952380952380953	0.874267171196679	0.857142857142857	0.898219696434944	0.904761904761905
Nonomuraea	0.904761904761905	0.928571428571429	1	0.714285714285714	0.714285714285714	0.880952380952381	0.706599494528823	0.761904761904762	0.826362120720149	0.904761904761905
Nannocystis	0.857142857142857	0.880952380952381	0.714285714285714	1	1	0.785714285714286	0.994029797388005	0.904761904761905	0.826362120720149	0.833333333333333
Amaricoccus	0.857142857142857	0.880952380952381	0.714285714285714	1	1	0.785714285714286	0.994029797388005	0.904761904761905	0.826362120720149	0.833333333333333
Nitrosospira	0.976190476190476	0.952380952380953	0.880952380952381	0.785714285714286	0.785714285714286	1	0.802409595481884	0.80952380952381	0.922172221673209	0.833333333333333
Nitrincola	0.874267171196679	0.874267171196679	0.706599494528823	0.994029797388005	0.994029797388005	0.802409595481884	1	0.934148484292342	0.831325301204819	0.814385858101016
Geodermatophilus	0.904761904761905	0.857142857142857	0.761904761904762	0.904761904761905	0.904761904761905	0.80952380952381	0.934148484292342	1	0.742528282386221	0.738095238095238
Sandaracinus	0.898219696434944	0.898219696434944	0.826362120720149	0.826362120720149	0.826362120720149	0.922172221673209	0.831325301204819	0.742528282386221	1	0.934148484292342
Polyangium	0.857142857142857	0.904761904761905	0.904761904761905	0.833333333333333	0.833333333333333	0.833333333333333	0.814385858101016	0.738095238095238	0.934148484292342	1
