Nocardioides	Aeromicrobium	Agromyces	Umezawaea	Solirubrobacter	Cellulomonas	Gaiella	Phenylobacterium	Aquihabitans	Haliangium	Catellatospora	Ramlibacter	Chitinimonas	Methyloceanibacter	Streptosporangium	Povalibacter	Lautropia	Thiomonas	Halobacteriovorax	Tumebacillus	Ardenticatena	Luteivirga	Nakamurella	Sanguibacter	Tahibacter	Sulfurisoma	Armatimonadetes_gp5
Nocardioides	1	0.904761904761905	0.928571428571429	0.880952380952381	0.928571428571429	0.904761904761905	0.976190476190476	0.976190476190476	0.833333333333333	0.928571428571429	0.904761904761905	0.952380952380953	0.761904761904762	0.928571428571429	0.976190476190476	0.904761904761905	0.976190476190476	0.833333333333333	0.833333333333333	0.904761904761905	0.80952380952381	0.904761904761905	0.857142857142857	0.814385858101016	0.742528282386221	0.814385858101016	0.886243433815812
Aeromicrobium	0.904761904761905	1	0.976190476190476	0.952380952380953	0.976190476190476	1	0.952380952380953	0.928571428571429	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.904761904761905	0.976190476190476	0.880952380952381	0.952380952380953	0.880952380952381	0.904761904761905	0.880952380952381	0.928571428571429	0.904761904761905	1	0.904761904761905	0.946124746911475	0.898219696434944	0.946124746911475	0.898219696434944
Agromyces	0.928571428571429	0.976190476190476	1	0.904761904761905	1	0.976190476190476	0.976190476190476	0.904761904761905	0.928571428571429	1	0.904761904761905	0.952380952380953	0.880952380952381	1	0.904761904761905	0.904761904761905	0.904761904761905	0.880952380952381	0.80952380952381	0.976190476190476	0.928571428571429	0.976190476190476	0.928571428571429	0.874267171196679	0.802409595481884	0.874267171196679	0.922172221673209
Umezawaea	0.880952380952381	0.952380952380953	0.904761904761905	1	0.904761904761905	0.952380952380953	0.928571428571429	0.928571428571429	0.976190476190476	0.904761904761905	0.952380952380953	0.976190476190476	0.928571428571429	0.904761904761905	0.80952380952381	0.952380952380953	0.80952380952381	0.976190476190476	0.976190476190476	0.833333333333333	0.904761904761905	0.952380952380953	0.80952380952381	0.97007727214974	0.922172221673209	0.97007727214974	0.826362120720149
Solirubrobacter	0.928571428571429	0.976190476190476	1	0.904761904761905	1	0.976190476190476	0.976190476190476	0.904761904761905	0.928571428571429	1	0.904761904761905	0.952380952380953	0.880952380952381	1	0.904761904761905	0.904761904761905	0.904761904761905	0.880952380952381	0.80952380952381	0.976190476190476	0.928571428571429	0.976190476190476	0.928571428571429	0.874267171196679	0.802409595481884	0.874267171196679	0.922172221673209
Cellulomonas	0.904761904761905	1	0.976190476190476	0.952380952380953	0.976190476190476	1	0.952380952380953	0.928571428571429	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.904761904761905	0.976190476190476	0.880952380952381	0.952380952380953	0.880952380952381	0.904761904761905	0.880952380952381	0.928571428571429	0.904761904761905	1	0.904761904761905	0.946124746911475	0.898219696434944	0.946124746911475	0.898219696434944
Gaiella	0.976190476190476	0.952380952380953	0.976190476190476	0.928571428571429	0.976190476190476	0.952380952380953	1	0.952380952380953	0.904761904761905	0.976190476190476	0.928571428571429	0.976190476190476	0.857142857142857	0.976190476190476	0.928571428571429	0.928571428571429	0.928571428571429	0.904761904761905	0.857142857142857	0.952380952380953	0.904761904761905	0.952380952380953	0.904761904761905	0.874267171196679	0.802409595481884	0.874267171196679	0.922172221673209
Phenylobacterium	0.976190476190476	0.928571428571429	0.904761904761905	0.928571428571429	0.904761904761905	0.928571428571429	0.952380952380953	1	0.880952380952381	0.904761904761905	0.952380952380953	0.976190476190476	0.785714285714286	0.904761904761905	0.952380952380953	0.952380952380953	0.952380952380953	0.857142857142857	0.904761904761905	0.857142857142857	0.785714285714286	0.928571428571429	0.833333333333333	0.886243433815812	0.838338383339281	0.886243433815812	0.862290908577547
Aquihabitans	0.833333333333333	0.976190476190476	0.928571428571429	0.976190476190476	0.928571428571429	0.976190476190476	0.904761904761905	0.880952380952381	1	0.928571428571429	0.928571428571429	0.952380952380953	0.952380952380953	0.928571428571429	0.785714285714286	0.928571428571429	0.785714285714286	0.952380952380953	0.928571428571429	0.857142857142857	0.928571428571429	0.976190476190476	0.833333333333333	0.97007727214974	0.922172221673209	0.97007727214974	0.826362120720149
Haliangium	0.928571428571429	0.976190476190476	1	0.904761904761905	1	0.976190476190476	0.976190476190476	0.904761904761905	0.928571428571429	1	0.904761904761905	0.952380952380953	0.880952380952381	1	0.904761904761905	0.904761904761905	0.904761904761905	0.880952380952381	0.80952380952381	0.976190476190476	0.928571428571429	0.976190476190476	0.928571428571429	0.874267171196679	0.802409595481884	0.874267171196679	0.922172221673209
Catellatospora	0.904761904761905	0.952380952380953	0.904761904761905	0.952380952380953	0.904761904761905	0.952380952380953	0.928571428571429	0.952380952380953	0.928571428571429	0.904761904761905	1	0.976190476190476	0.80952380952381	0.904761904761905	0.857142857142857	1	0.857142857142857	0.880952380952381	0.904761904761905	0.880952380952381	0.80952380952381	0.952380952380953	0.904761904761905	0.97007727214974	0.946124746911475	0.97007727214974	0.922172221673209
Ramlibacter	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	1	0.880952380952381	0.952380952380953	0.904761904761905	0.976190476190476	0.904761904761905	0.928571428571429	0.928571428571429	0.904761904761905	0.880952380952381	0.976190476190476	0.880952380952381	0.946124746911475	0.898219696434944	0.946124746911475	0.898219696434944
Chitinimonas	0.761904761904762	0.904761904761905	0.880952380952381	0.928571428571429	0.880952380952381	0.904761904761905	0.857142857142857	0.785714285714286	0.952380952380953	0.880952380952381	0.80952380952381	0.880952380952381	1	0.880952380952381	0.690476190476191	0.80952380952381	0.690476190476191	0.952380952380953	0.880952380952381	0.785714285714286	0.952380952380953	0.904761904761905	0.714285714285714	0.874267171196679	0.826362120720149	0.874267171196679	0.706599494528823
