Promicromonospora	Phyllobacterium	Lentzea	Rhodopseudomonas	Nitrobacter	Microvirga	Methylophilus	Iamia	Reyranella	Haloactinopolyspora	Actinocorallia	Gp6	g__Trichoderma	Armatimonadetes_gp2	Inquilinus	Luteolibacter	Cohnella	Starkeya	Pedobacter	Saccharomonospora	Atopobium	Chthonomonas/Armatimonadetes_gp3	Pseudenhygromyxa
Promicromonospora	1	1	1	0.952380952380953	0.857142857142857	0.833333333333333	0.857142857142857	0.857142857142857	0.80952380952381	0.904761904761905	0.904761904761905	0.928571428571429	0.785714285714286	0.857142857142857	0.976190476190476	0.904761904761905	0.952380952380953	0.833333333333333	0.928571428571429	0.976190476190476	0.833333333333333	0.826362120720149	0.934148484292342
Phyllobacterium	1	1	1	0.952380952380953	0.857142857142857	0.833333333333333	0.857142857142857	0.857142857142857	0.80952380952381	0.904761904761905	0.904761904761905	0.928571428571429	0.785714285714286	0.857142857142857	0.976190476190476	0.904761904761905	0.952380952380953	0.833333333333333	0.928571428571429	0.976190476190476	0.833333333333333	0.826362120720149	0.934148484292342
Lentzea	1	1	1	0.952380952380953	0.857142857142857	0.833333333333333	0.857142857142857	0.857142857142857	0.80952380952381	0.904761904761905	0.904761904761905	0.928571428571429	0.785714285714286	0.857142857142857	0.976190476190476	0.904761904761905	0.952380952380953	0.833333333333333	0.928571428571429	0.976190476190476	0.833333333333333	0.826362120720149	0.934148484292342
Rhodopseudomonas	0.952380952380953	0.952380952380953	0.952380952380953	1	0.857142857142857	0.880952380952381	0.880952380952381	0.904761904761905	0.857142857142857	0.857142857142857	0.857142857142857	0.952380952380953	0.880952380952381	0.880952380952381	0.976190476190476	0.976190476190476	0.880952380952381	0.904761904761905	0.880952380952381	0.904761904761905	0.857142857142857	0.934148484292342	0.898219696434944
Nitrobacter	0.857142857142857	0.857142857142857	0.857142857142857	0.857142857142857	1	0.928571428571429	0.833333333333333	0.904761904761905	0.904761904761905	0.761904761904762	0.904761904761905	0.857142857142857	0.785714285714286	0.880952380952381	0.904761904761905	0.80952380952381	0.928571428571429	0.833333333333333	0.761904761904762	0.880952380952381	0.928571428571429	0.802409595481884	0.730552019767088
Microvirga	0.833333333333333	0.833333333333333	0.833333333333333	0.880952380952381	0.928571428571429	1	0.904761904761905	0.904761904761905	0.904761904761905	0.857142857142857	0.761904761904762	0.928571428571429	0.714285714285714	0.761904761904762	0.904761904761905	0.904761904761905	0.833333333333333	0.738095238095238	0.714285714285714	0.785714285714286	0.857142857142857	0.898219696434944	0.69462323190969
Methylophilus	0.857142857142857	0.857142857142857	0.857142857142857	0.880952380952381	0.833333333333333	0.904761904761905	1	0.857142857142857	0.690476190476191	0.857142857142857	0.738095238095238	0.976190476190476	0.761904761904762	0.80952380952381	0.928571428571429	0.928571428571429	0.80952380952381	0.761904761904762	0.738095238095238	0.833333333333333	0.833333333333333	0.886243433815812	0.658694444052292
Iamia	0.857142857142857	0.857142857142857	0.857142857142857	0.904761904761905	0.904761904761905	0.904761904761905	0.857142857142857	1	0.857142857142857	0.714285714285714	0.761904761904762	0.904761904761905	0.761904761904762	0.904761904761905	0.928571428571429	0.880952380952381	0.80952380952381	0.880952380952381	0.880952380952381	0.833333333333333	0.976190476190476	0.946124746911475	0.790433332862751
Reyranella	0.80952380952381	0.80952380952381	0.80952380952381	0.857142857142857	0.904761904761905	0.904761904761905	0.690476190476191	0.857142857142857	1	0.761904761904762	0.80952380952381	0.785714285714286	0.714285714285714	0.738095238095238	0.833333333333333	0.80952380952381	0.833333333333333	0.761904761904762	0.738095238095238	0.761904761904762	0.80952380952381	0.814385858101016	0.802409595481884
Haloactinopolyspora	0.904761904761905	0.904761904761905	0.904761904761905	0.857142857142857	0.761904761904762	0.857142857142857	0.857142857142857	0.714285714285714	0.761904761904762	1	0.761904761904762	0.904761904761905	0.619047619047619	0.619047619047619	0.880952380952381	0.880952380952381	0.857142857142857	0.595238095238095	0.738095238095238	0.833333333333333	0.642857142857143	0.754504545005353	0.790433332862751
Actinocorallia	0.904761904761905	0.904761904761905	0.904761904761905	0.857142857142857	0.904761904761905	0.761904761904762	0.738095238095238	0.761904761904762	0.80952380952381	0.761904761904762	1	0.785714285714286	0.857142857142857	0.880952380952381	0.880952380952381	0.761904761904762	0.976190476190476	0.857142857142857	0.785714285714286	0.952380952380953	0.80952380952381	0.670670706671425	0.826362120720149
Gp6	0.928571428571429	0.928571428571429	0.928571428571429	0.952380952380953	0.857142857142857	0.928571428571429	0.976190476190476	0.904761904761905	0.785714285714286	0.904761904761905	0.785714285714286	1	0.785714285714286	0.833333333333333	0.976190476190476	0.976190476190476	0.857142857142857	0.80952380952381	0.833333333333333	0.880952380952381	0.857142857142857	0.934148484292342	0.790433332862751
g__Trichoderma	0.785714285714286	0.785714285714286	0.785714285714286	0.880952380952381	0.785714285714286	0.714285714285714	0.761904761904762	0.761904761904762	0.714285714285714	0.619047619047619	0.857142857142857	0.785714285714286	1	0.904761904761905	0.833333333333333	0.833333333333333	0.785714285714286	0.952380952380953	0.690476190476191	0.80952380952381	0.785714285714286	0.790433332862751	0.718575757147955
Armatimonadetes_gp2	0.857142857142857	0.857142857142857	0.857142857142857	0.880952380952381	0.880952380952381	0.761904761904762	0.80952380952381	0.904761904761905	0.738095238095238	0.619047619047619	0.880952380952381	0.833333333333333	0.904761904761905	1	0.904761904761905	0.80952380952381	0.857142857142857	0.976190476190476	0.857142857142857	0.904761904761905	0.952380952380953	0.826362120720149	0.778457070243618
Inquilinus	0.976190476190476	0.976190476190476	0.976190476190476	0.976190476190476	0.904761904761905	0.904761904761905	0.928571428571429	0.928571428571429	0.833333333333333	0.880952380952381	0.880952380952381	0.976190476190476	0.833333333333333	0.904761904761905	1	0.952380952380953	0.928571428571429	0.880952380952381	0.904761904761905	0.952380952380953	0.904761904761905	0.910195959054077	0.874267171196679
