Blastococcus	g__Mortierella	Knoellia	Nitrospira	Peredibacter	Pyxidicoccus	Adhaeribacter	Tumebacillus	Rubrobacter	Luteivirga	Actinomycetospora	Oceanibacterium	Nakamurella	Sandaracinus	Armatimonadetes_gp5
Blastococcus	1	0.976190476190476	0.976190476190476	0.976190476190476	1	0.904761904761905	0.97007727214974	0.976190476190476	0.976190476190476	0.904761904761905	0.904761904761905	0.898219696434944	0.952380952380953	0.826362120720149	0.934148484292342
g__Mortierella	0.976190476190476	1	1	1	0.976190476190476	0.833333333333333	0.934148484292342	1	0.952380952380953	0.928571428571429	0.833333333333333	0.814385858101016	0.976190476190476	0.766480807624486	0.97007727214974
Knoellia	0.976190476190476	1	1	1	0.976190476190476	0.833333333333333	0.934148484292342	1	0.952380952380953	0.928571428571429	0.833333333333333	0.814385858101016	0.976190476190476	0.766480807624486	0.97007727214974
Nitrospira	0.976190476190476	1	1	1	0.976190476190476	0.833333333333333	0.934148484292342	1	0.952380952380953	0.928571428571429	0.833333333333333	0.814385858101016	0.976190476190476	0.766480807624486	0.97007727214974
Peredibacter	1	0.976190476190476	0.976190476190476	0.976190476190476	1	0.904761904761905	0.97007727214974	0.976190476190476	0.976190476190476	0.904761904761905	0.904761904761905	0.898219696434944	0.952380952380953	0.826362120720149	0.934148484292342
Pyxidicoccus	0.904761904761905	0.833333333333333	0.833333333333333	0.833333333333333	0.904761904761905	1	0.97007727214974	0.833333333333333	0.952380952380953	0.738095238095238	0.952380952380953	0.97007727214974	0.880952380952381	0.826362120720149	0.862290908577547
Adhaeribacter	0.97007727214974	0.934148484292342	0.934148484292342	0.934148484292342	0.97007727214974	0.97007727214974	1	0.934148484292342	0.994029797388005	0.862290908577547	0.922172221673209	0.927710843373494	0.958101009530607	0.855421686746988	0.94578313253012
Tumebacillus	0.976190476190476	1	1	1	0.976190476190476	0.833333333333333	0.934148484292342	1	0.952380952380953	0.928571428571429	0.833333333333333	0.814385858101016	0.976190476190476	0.766480807624486	0.97007727214974
Rubrobacter	0.976190476190476	0.952380952380953	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.994029797388005	0.952380952380953	1	0.880952380952381	0.928571428571429	0.922172221673209	0.976190476190476	0.850314645958414	0.958101009530607
Luteivirga	0.904761904761905	0.928571428571429	0.928571428571429	0.928571428571429	0.904761904761905	0.738095238095238	0.862290908577547	0.928571428571429	0.880952380952381	1	0.714285714285714	0.69462323190969	0.904761904761905	0.886243433815812	0.898219696434944
Actinomycetospora	0.904761904761905	0.833333333333333	0.833333333333333	0.833333333333333	0.904761904761905	0.952380952380953	0.922172221673209	0.833333333333333	0.928571428571429	0.714285714285714	1	0.994029797388005	0.857142857142857	0.778457070243618	0.814385858101016
Oceanibacterium	0.898219696434944	0.814385858101016	0.814385858101016	0.814385858101016	0.898219696434944	0.97007727214974	0.927710843373494	0.814385858101016	0.922172221673209	0.69462323190969	0.994029797388005	1	0.838338383339281	0.783132530120482	0.801204819277108
Nakamurella	0.952380952380953	0.976190476190476	0.976190476190476	0.976190476190476	0.952380952380953	0.880952380952381	0.958101009530607	0.976190476190476	0.976190476190476	0.904761904761905	0.857142857142857	0.838338383339281	1	0.790433332862751	0.994029797388005
Sandaracinus	0.826362120720149	0.766480807624486	0.766480807624486	0.766480807624486	0.826362120720149	0.826362120720149	0.855421686746988	0.766480807624486	0.850314645958414	0.886243433815812	0.778457070243618	0.783132530120482	0.790433332862751	1	0.765060240963855
Armatimonadetes_gp5	0.934148484292342	0.97007727214974	0.97007727214974	0.97007727214974	0.934148484292342	0.862290908577547	0.94578313253012	0.97007727214974	0.958101009530607	0.898219696434944	0.814385858101016	0.801204819277108	0.994029797388005	0.765060240963855	1
