Saccharothrix	Nitrospira	Catellatospora	Peredibacter	Neptunomonas	Ramlibacter	Methyloceanibacter	Povalibacter	Adhaeribacter	Tumebacillus	Clavibacter	Rubrobacter	Luteivirga	Nakamurella	Sanguibacter	Tahibacter	Sulfurisoma	Armatimonadetes_gp5
Saccharothrix	1	0.904761904761905	0.976190476190476	0.857142857142857	0.952380952380953	0.928571428571429	0.880952380952381	0.976190476190476	0.898219696434944	0.904761904761905	0.880952380952381	0.904761904761905	0.904761904761905	0.952380952380953	0.922172221673209	0.898219696434944	0.922172221673209	0.97007727214974
Nitrospira	0.904761904761905	1	0.880952380952381	0.976190476190476	0.880952380952381	0.904761904761905	0.976190476190476	0.880952380952381	0.934148484292342	1	0.880952380952381	0.952380952380953	0.928571428571429	0.976190476190476	0.826362120720149	0.754504545005353	0.826362120720149	0.97007727214974
Catellatospora	0.976190476190476	0.880952380952381	1	0.833333333333333	0.904761904761905	0.976190476190476	0.904761904761905	1	0.850314645958414	0.880952380952381	0.80952380952381	0.857142857142857	0.952380952380953	0.904761904761905	0.97007727214974	0.946124746911475	0.97007727214974	0.922172221673209
Peredibacter	0.857142857142857	0.976190476190476	0.833333333333333	1	0.833333333333333	0.857142857142857	0.952380952380953	0.833333333333333	0.97007727214974	0.976190476190476	0.785714285714286	0.976190476190476	0.904761904761905	0.952380952380953	0.766480807624486	0.69462323190969	0.766480807624486	0.934148484292342
Neptunomonas	0.952380952380953	0.880952380952381	0.904761904761905	0.833333333333333	1	0.833333333333333	0.833333333333333	0.904761904761905	0.874267171196679	0.880952380952381	0.904761904761905	0.904761904761905	0.857142857142857	0.952380952380953	0.898219696434944	0.874267171196679	0.898219696434944	0.946124746911475
Ramlibacter	0.928571428571429	0.904761904761905	0.976190476190476	0.857142857142857	0.833333333333333	1	0.952380952380953	0.976190476190476	0.826362120720149	0.904761904761905	0.785714285714286	0.833333333333333	0.976190476190476	0.880952380952381	0.946124746911475	0.898219696434944	0.946124746911475	0.898219696434944
Methyloceanibacter	0.880952380952381	0.976190476190476	0.904761904761905	0.952380952380953	0.833333333333333	0.952380952380953	1	0.904761904761905	0.886243433815812	0.976190476190476	0.80952380952381	0.904761904761905	0.976190476190476	0.928571428571429	0.874267171196679	0.802409595481884	0.874267171196679	0.922172221673209
Povalibacter	0.976190476190476	0.880952380952381	1	0.833333333333333	0.904761904761905	0.976190476190476	0.904761904761905	1	0.850314645958414	0.880952380952381	0.80952380952381	0.857142857142857	0.952380952380953	0.904761904761905	0.97007727214974	0.946124746911475	0.97007727214974	0.922172221673209
Adhaeribacter	0.898219696434944	0.934148484292342	0.850314645958414	0.97007727214974	0.874267171196679	0.826362120720149	0.886243433815812	0.850314645958414	1	0.934148484292342	0.778457070243618	0.994029797388005	0.862290908577547	0.958101009530607	0.765060240963855	0.716867469879518	0.765060240963855	0.94578313253012
Tumebacillus	0.904761904761905	1	0.880952380952381	0.976190476190476	0.880952380952381	0.904761904761905	0.976190476190476	0.880952380952381	0.934148484292342	1	0.880952380952381	0.952380952380953	0.928571428571429	0.976190476190476	0.826362120720149	0.754504545005353	0.826362120720149	0.97007727214974
Clavibacter	0.880952380952381	0.880952380952381	0.80952380952381	0.785714285714286	0.904761904761905	0.785714285714286	0.80952380952381	0.80952380952381	0.778457070243618	0.880952380952381	1	0.80952380952381	0.761904761904762	0.904761904761905	0.778457070243618	0.706599494528823	0.778457070243618	0.922172221673209
Rubrobacter	0.904761904761905	0.952380952380953	0.857142857142857	0.976190476190476	0.904761904761905	0.833333333333333	0.904761904761905	0.857142857142857	0.994029797388005	0.952380952380953	0.80952380952381	1	0.880952380952381	0.976190476190476	0.790433332862751	0.742528282386221	0.790433332862751	0.958101009530607
Luteivirga	0.904761904761905	0.928571428571429	0.952380952380953	0.904761904761905	0.857142857142857	0.976190476190476	0.976190476190476	0.952380952380953	0.862290908577547	0.928571428571429	0.761904761904762	0.880952380952381	1	0.904761904761905	0.946124746911475	0.898219696434944	0.946124746911475	0.898219696434944
Nakamurella	0.952380952380953	0.976190476190476	0.904761904761905	0.952380952380953	0.952380952380953	0.880952380952381	0.928571428571429	0.904761904761905	0.958101009530607	0.976190476190476	0.904761904761905	0.976190476190476	0.904761904761905	1	0.850314645958414	0.802409595481884	0.850314645958414	0.994029797388005
Sanguibacter	0.922172221673209	0.826362120720149	0.97007727214974	0.766480807624486	0.898219696434944	0.946124746911475	0.874267171196679	0.97007727214974	0.765060240963855	0.826362120720149	0.778457070243618	0.790433332862751	0.946124746911475	0.850314645958414	1	0.975903614457831	1	0.855421686746988
Tahibacter	0.898219696434944	0.754504545005353	0.946124746911475	0.69462323190969	0.874267171196679	0.898219696434944	0.802409595481884	0.946124746911475	0.716867469879518	0.754504545005353	0.706599494528823	0.742528282386221	0.898219696434944	0.802409595481884	0.975903614457831	1	0.975903614457831	0.807228915662651
Sulfurisoma	0.922172221673209	0.826362120720149	0.97007727214974	0.766480807624486	0.898219696434944	0.946124746911475	0.874267171196679	0.97007727214974	0.765060240963855	0.826362120720149	0.778457070243618	0.790433332862751	0.946124746911475	0.850314645958414	1	0.975903614457831	1	0.855421686746988
Armatimonadetes_gp5	0.97007727214974	0.97007727214974	0.922172221673209	0.934148484292342	0.946124746911475	0.898219696434944	0.922172221673209	0.922172221673209	0.94578313253012	0.97007727214974	0.922172221673209	0.958101009530607	0.898219696434944	0.994029797388005	0.855421686746988	0.807228915662651	0.855421686746988	1
