Kibdelosporangium	Selenomonas	g__Apodus	Sporichthya	Ilumatobacter	Niastella	Ohtaekwangia	Oscillochloris	Labilithrix	Variibacter	Gp3	Ardenticatena	Roseiflexus	Acidiphilium	g__Olpidium	Aciditerrimonas	Skermanella	Sneathiella	Terrimonas
Kibdelosporangium	1	0.994029797388005	0.86144578313253	0.922172221673209	0.910195959054077	0.886243433815812	0.903614457831325	0.927710843373494	0.922172221673209	0.850314645958414	0.994029797388005	0.910195959054077	0.975903614457831	0.927710843373494	0.855421686746988	0.951807228915663	0.975903614457831	0.975903614457831	0.975903614457831
Selenomonas	0.994029797388005	1	0.838338383339281	0.904761904761905	0.880952380952381	0.904761904761905	0.898219696434944	0.922172221673209	0.904761904761905	0.857142857142857	1	0.880952380952381	0.97007727214974	0.922172221673209	0.850314645958414	0.946124746911475	0.97007727214974	0.97007727214974	0.97007727214974
g__Apodus	0.86144578313253	0.838338383339281	1	0.910195959054077	0.97007727214974	0.850314645958414	0.813253012048193	0.897590361445783	0.910195959054077	0.934148484292342	0.838338383339281	0.97007727214974	0.921686746987952	0.897590361445783	0.608433734939759	0.873493975903614	0.921686746987952	0.921686746987952	0.921686746987952
Sporichthya	0.922172221673209	0.904761904761905	0.910195959054077	1	0.952380952380953	0.857142857142857	0.97007727214974	0.994029797388005	1	0.880952380952381	0.904761904761905	0.952380952380953	0.97007727214974	0.994029797388005	0.778457070243618	0.922172221673209	0.97007727214974	0.97007727214974	0.97007727214974
Ilumatobacter	0.910195959054077	0.880952380952381	0.97007727214974	0.952380952380953	1	0.880952380952381	0.862290908577547	0.934148484292342	0.952380952380953	0.928571428571429	0.880952380952381	1	0.958101009530607	0.934148484292342	0.742528282386221	0.934148484292342	0.958101009530607	0.958101009530607	0.958101009530607
Niastella	0.886243433815812	0.904761904761905	0.850314645958414	0.857142857142857	0.880952380952381	1	0.790433332862751	0.886243433815812	0.857142857142857	0.952380952380953	0.904761904761905	0.880952380952381	0.934148484292342	0.886243433815812	0.814385858101016	0.958101009530607	0.934148484292342	0.934148484292342	0.934148484292342
Ohtaekwangia	0.903614457831325	0.898219696434944	0.813253012048193	0.97007727214974	0.862290908577547	0.790433332862751	1	0.975903614457831	0.97007727214974	0.802409595481884	0.898219696434944	0.862290908577547	0.927710843373494	0.975903614457831	0.759036144578313	0.855421686746988	0.927710843373494	0.927710843373494	0.927710843373494
Oscillochloris	0.927710843373494	0.922172221673209	0.897590361445783	0.994029797388005	0.934148484292342	0.886243433815812	0.975903614457831	1	0.994029797388005	0.898219696434944	0.922172221673209	0.934148484292342	0.975903614457831	1	0.783132530120482	0.927710843373494	0.975903614457831	0.975903614457831	0.975903614457831
Labilithrix	0.922172221673209	0.904761904761905	0.910195959054077	1	0.952380952380953	0.857142857142857	0.97007727214974	0.994029797388005	1	0.880952380952381	0.904761904761905	0.952380952380953	0.97007727214974	0.994029797388005	0.778457070243618	0.922172221673209	0.97007727214974	0.97007727214974	0.97007727214974
Variibacter	0.850314645958414	0.857142857142857	0.934148484292342	0.880952380952381	0.928571428571429	0.952380952380953	0.802409595481884	0.898219696434944	0.880952380952381	1	0.857142857142857	0.928571428571429	0.922172221673209	0.898219696434944	0.658694444052292	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Gp3	0.994029797388005	1	0.838338383339281	0.904761904761905	0.880952380952381	0.904761904761905	0.898219696434944	0.922172221673209	0.904761904761905	0.857142857142857	1	0.880952380952381	0.97007727214974	0.922172221673209	0.850314645958414	0.946124746911475	0.97007727214974	0.97007727214974	0.97007727214974
Ardenticatena	0.910195959054077	0.880952380952381	0.97007727214974	0.952380952380953	1	0.880952380952381	0.862290908577547	0.934148484292342	0.952380952380953	0.928571428571429	0.880952380952381	1	0.958101009530607	0.934148484292342	0.742528282386221	0.934148484292342	0.958101009530607	0.958101009530607	0.958101009530607
Roseiflexus	0.975903614457831	0.97007727214974	0.921686746987952	0.97007727214974	0.958101009530607	0.934148484292342	0.927710843373494	0.975903614457831	0.97007727214974	0.922172221673209	0.97007727214974	0.958101009530607	1	0.975903614457831	0.831325301204819	0.975903614457831	1	1	1
Acidiphilium	0.927710843373494	0.922172221673209	0.897590361445783	0.994029797388005	0.934148484292342	0.886243433815812	0.975903614457831	1	0.994029797388005	0.898219696434944	0.922172221673209	0.934148484292342	0.975903614457831	1	0.783132530120482	0.927710843373494	0.975903614457831	0.975903614457831	0.975903614457831
g__Olpidium	0.855421686746988	0.850314645958414	0.608433734939759	0.778457070243618	0.742528282386221	0.814385858101016	0.759036144578313	0.783132530120482	0.778457070243618	0.658694444052292	0.850314645958414	0.742528282386221	0.831325301204819	0.783132530120482	1	0.903614457831325	0.831325301204819	0.831325301204819	0.831325301204819
Aciditerrimonas	0.951807228915663	0.946124746911475	0.873493975903614	0.922172221673209	0.934148484292342	0.958101009530607	0.855421686746988	0.927710843373494	0.922172221673209	0.898219696434944	0.946124746911475	0.934148484292342	0.975903614457831	0.927710843373494	0.903614457831325	1	0.975903614457831	0.975903614457831	0.975903614457831
Skermanella	0.975903614457831	0.97007727214974	0.921686746987952	0.97007727214974	0.958101009530607	0.934148484292342	0.927710843373494	0.975903614457831	0.97007727214974	0.922172221673209	0.97007727214974	0.958101009530607	1	0.975903614457831	0.831325301204819	0.975903614457831	1	1	1
Sneathiella	0.975903614457831	0.97007727214974	0.921686746987952	0.97007727214974	0.958101009530607	0.934148484292342	0.927710843373494	0.975903614457831	0.97007727214974	0.922172221673209	0.97007727214974	0.958101009530607	1	0.975903614457831	0.831325301204819	0.975903614457831	1	1	1
