Devosia	Shinella	Lysobacter	Bosea	Amycolatopsis	Dactylosporangium	Nitrobacter	Microvirga	Chitinophaga	Polaromonas	Kaistia	Iamia	Reyranella	Rhizocola	Kinneretia	Curtobacterium	Panacagrimonas	Actinocorallia	Variibacter	g__Didymella	Thiomonas	Halobacteriovorax	Cohnella	Atopobium	Thermoleophilum	Ammoniphilus
Devosia	1	1	0.904761904761905	0.880952380952381	0.904761904761905	0.928571428571429	0.976190476190476	0.880952380952381	0.880952380952381	0.857142857142857	0.976190476190476	0.857142857142857	0.928571428571429	0.857142857142857	0.928571428571429	0.880952380952381	0.880952380952381	0.880952380952381	0.880952380952381	0.904761904761905	0.857142857142857	0.904761904761905	0.904761904761905	0.880952380952381	0.880952380952381	0.934148484292342
Shinella	1	1	0.904761904761905	0.880952380952381	0.904761904761905	0.928571428571429	0.976190476190476	0.880952380952381	0.880952380952381	0.857142857142857	0.976190476190476	0.857142857142857	0.928571428571429	0.857142857142857	0.928571428571429	0.880952380952381	0.880952380952381	0.880952380952381	0.880952380952381	0.904761904761905	0.857142857142857	0.904761904761905	0.904761904761905	0.880952380952381	0.880952380952381	0.934148484292342
Lysobacter	0.904761904761905	0.904761904761905	1	0.642857142857143	0.857142857142857	0.928571428571429	0.833333333333333	0.761904761904762	0.976190476190476	0.976190476190476	0.857142857142857	0.738095238095238	0.80952380952381	0.857142857142857	0.976190476190476	0.880952380952381	0.690476190476191	0.619047619047619	0.833333333333333	0.761904761904762	0.857142857142857	0.857142857142857	0.666666666666667	0.761904761904762	0.714285714285714	0.826362120720149
Bosea	0.880952380952381	0.880952380952381	0.642857142857143	1	0.738095238095238	0.714285714285714	0.904761904761905	0.880952380952381	0.666666666666667	0.571428571428572	0.904761904761905	0.833333333333333	0.880952380952381	0.666666666666667	0.714285714285714	0.619047619047619	0.880952380952381	0.928571428571429	0.761904761904762	0.833333333333333	0.666666666666667	0.738095238095238	0.976190476190476	0.80952380952381	0.904761904761905	0.910195959054077
Amycolatopsis	0.904761904761905	0.904761904761905	0.857142857142857	0.738095238095238	1	0.976190476190476	0.928571428571429	0.833333333333333	0.785714285714286	0.904761904761905	0.833333333333333	0.761904761904762	0.738095238095238	0.952380952380953	0.880952380952381	0.833333333333333	0.928571428571429	0.785714285714286	0.833333333333333	0.714285714285714	0.952380952380953	1	0.80952380952381	0.833333333333333	0.690476190476191	0.718575757147955
Dactylosporangium	0.928571428571429	0.928571428571429	0.928571428571429	0.714285714285714	0.976190476190476	1	0.904761904761905	0.785714285714286	0.857142857142857	0.952380952380953	0.880952380952381	0.714285714285714	0.761904761904762	0.976190476190476	0.952380952380953	0.904761904761905	0.857142857142857	0.761904761904762	0.904761904761905	0.738095238095238	0.976190476190476	0.976190476190476	0.785714285714286	0.785714285714286	0.738095238095238	0.778457070243618
Nitrobacter	0.976190476190476	0.976190476190476	0.833333333333333	0.904761904761905	0.928571428571429	0.904761904761905	1	0.928571428571429	0.80952380952381	0.80952380952381	0.928571428571429	0.904761904761905	0.904761904761905	0.833333333333333	0.857142857142857	0.80952380952381	0.952380952380953	0.904761904761905	0.80952380952381	0.880952380952381	0.833333333333333	0.928571428571429	0.928571428571429	0.928571428571429	0.833333333333333	0.874267171196679
Microvirga	0.880952380952381	0.880952380952381	0.761904761904762	0.880952380952381	0.833333333333333	0.785714285714286	0.928571428571429	1	0.80952380952381	0.738095238095238	0.80952380952381	0.904761904761905	0.904761904761905	0.690476190476191	0.785714285714286	0.642857142857143	0.880952380952381	0.761904761904762	0.642857142857143	0.833333333333333	0.690476190476191	0.833333333333333	0.833333333333333	0.857142857142857	0.690476190476191	0.814385858101016
Chitinophaga	0.880952380952381	0.880952380952381	0.976190476190476	0.666666666666667	0.785714285714286	0.857142857142857	0.80952380952381	0.80952380952381	1	0.928571428571429	0.833333333333333	0.761904761904762	0.857142857142857	0.761904761904762	0.952380952380953	0.80952380952381	0.642857142857143	0.571428571428572	0.761904761904762	0.785714285714286	0.761904761904762	0.785714285714286	0.642857142857143	0.738095238095238	0.690476190476191	0.850314645958414
Polaromonas	0.857142857142857	0.857142857142857	0.976190476190476	0.571428571428572	0.904761904761905	0.952380952380953	0.80952380952381	0.738095238095238	0.928571428571429	1	0.785714285714286	0.690476190476191	0.714285714285714	0.904761904761905	0.952380952380953	0.857142857142857	0.714285714285714	0.571428571428572	0.80952380952381	0.666666666666667	0.904761904761905	0.904761904761905	0.619047619047619	0.738095238095238	0.619047619047619	0.718575757147955
