Aeromicrobium	Sorangium	Agromyces	Umezawaea	Solirubrobacter	Cellulomonas	Bacillus	Blastococcus	Pseudonocardia	Gaiella	Terrabacter	Paenibacillus	Phenylobacterium	g__Mortierella	Ideonella	Marmoricola	Gemmatimonas	Aquihabitans	Haliangium	Knoellia	Rhizomicrobium	Saccharothrix	Sporosarcina	Nitrospira	Cellvibrio	Catellatospora	Peredibacter	Ramlibacter	Nannocystis	Methyloceanibacter	Streptosporangium	Amaricoccus	Povalibacter	Adhaeribacter	Nitrincola	Lautropia	Tumebacillus	Rubrobacter	Luteivirga	Nakamurella	Sanguibacter	Tahibacter	Sandaracinus	Sulfurisoma	Polyangium	Armatimonadetes_gp5
Aeromicrobium	1	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	1	0.928571428571429	0.904761904761905	0.761904761904762	0.952380952380953	0.928571428571429	0.928571428571429	0.928571428571429	0.928571428571429	0.928571428571429	0.928571428571429	0.928571428571429	0.976190476190476	0.976190476190476	0.928571428571429	0.833333333333333	0.904761904761905	0.904761904761905	0.928571428571429	0.952380952380953	0.952380952380953	0.904761904761905	0.976190476190476	0.880952380952381	0.976190476190476	0.880952380952381	0.880952380952381	0.952380952380953	0.862290908577547	0.862290908577547	0.880952380952381	0.928571428571429	0.880952380952381	1	0.904761904761905	0.946124746911475	0.898219696434944	0.886243433815812	0.946124746911475	0.904761904761905	0.898219696434944
Sorangium	0.976190476190476	1	0.952380952380953	0.880952380952381	0.952380952380953	0.976190476190476	0.976190476190476	0.928571428571429	0.857142857142857	0.904761904761905	0.880952380952381	0.952380952380953	0.904761904761905	0.904761904761905	0.880952380952381	0.880952380952381	0.880952380952381	0.928571428571429	0.952380952380953	0.904761904761905	0.857142857142857	0.857142857142857	0.952380952380953	0.904761904761905	0.976190476190476	0.904761904761905	0.928571428571429	0.928571428571429	0.928571428571429	0.952380952380953	0.904761904761905	0.928571428571429	0.904761904761905	0.898219696434944	0.922172221673209	0.904761904761905	0.904761904761905	0.904761904761905	0.976190476190476	0.880952380952381	0.886243433815812	0.838338383339281	0.946124746911475	0.886243433815812	0.928571428571429	0.862290908577547
Agromyces	0.976190476190476	0.952380952380953	1	0.904761904761905	1	0.976190476190476	0.904761904761905	0.952380952380953	0.738095238095238	0.976190476190476	0.976190476190476	0.952380952380953	0.904761904761905	0.976190476190476	0.976190476190476	0.976190476190476	0.976190476190476	0.928571428571429	1	0.976190476190476	0.714285714285714	0.880952380952381	0.928571428571429	0.976190476190476	0.976190476190476	0.904761904761905	0.952380952380953	0.952380952380953	0.928571428571429	1	0.904761904761905	0.928571428571429	0.904761904761905	0.886243433815812	0.910195959054077	0.904761904761905	0.976190476190476	0.904761904761905	0.976190476190476	0.928571428571429	0.874267171196679	0.802409595481884	0.814385858101016	0.874267171196679	0.833333333333333	0.922172221673209
Umezawaea	0.952380952380953	0.880952380952381	0.904761904761905	1	0.904761904761905	0.952380952380953	0.833333333333333	0.761904761904762	0.619047619047619	0.928571428571429	0.880952380952381	0.80952380952381	0.928571428571429	0.833333333333333	0.880952380952381	0.880952380952381	0.880952380952381	0.976190476190476	0.904761904761905	0.833333333333333	0.785714285714286	0.880952380952381	0.785714285714286	0.833333333333333	0.833333333333333	0.952380952380953	0.761904761904762	0.976190476190476	0.738095238095238	0.904761904761905	0.80952380952381	0.738095238095238	0.952380952380953	0.718575757147955	0.718575757147955	0.80952380952381	0.833333333333333	0.738095238095238	0.952380952380953	0.80952380952381	0.97007727214974	0.922172221673209	0.790433332862751	0.97007727214974	0.857142857142857	0.826362120720149
Solirubrobacter	0.976190476190476	0.952380952380953	1	0.904761904761905	1	0.976190476190476	0.904761904761905	0.952380952380953	0.738095238095238	0.976190476190476	0.976190476190476	0.952380952380953	0.904761904761905	0.976190476190476	0.976190476190476	0.976190476190476	0.976190476190476	0.928571428571429	1	0.976190476190476	0.714285714285714	0.880952380952381	0.928571428571429	0.976190476190476	0.976190476190476	0.904761904761905	0.952380952380953	0.952380952380953	0.928571428571429	1	0.904761904761905	0.928571428571429	0.904761904761905	0.886243433815812	0.910195959054077	0.904761904761905	0.976190476190476	0.904761904761905	0.976190476190476	0.928571428571429	0.874267171196679	0.802409595481884	0.814385858101016	0.874267171196679	0.833333333333333	0.922172221673209
Cellulomonas	1	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	1	0.928571428571429	0.904761904761905	0.761904761904762	0.952380952380953	0.928571428571429	0.928571428571429	0.928571428571429	0.928571428571429	0.928571428571429	0.928571428571429	0.928571428571429	0.976190476190476	0.976190476190476	0.928571428571429	0.833333333333333	0.904761904761905	0.904761904761905	0.928571428571429	0.952380952380953	0.952380952380953	0.904761904761905	0.976190476190476	0.880952380952381	0.976190476190476	0.880952380952381	0.880952380952381	0.952380952380953	0.862290908577547	0.862290908577547	0.880952380952381	0.928571428571429	0.880952380952381	1	0.904761904761905	0.946124746911475	0.898219696434944	0.886243433815812	0.946124746911475	0.904761904761905	0.898219696434944
Bacillus	0.928571428571429	0.976190476190476	0.904761904761905	0.833333333333333	0.904761904761905	0.928571428571429	1	0.904761904761905	0.833333333333333	0.880952380952381	0.80952380952381	0.928571428571429	0.928571428571429	0.857142857142857	0.80952380952381	0.80952380952381	0.80952380952381	0.857142857142857	0.904761904761905	0.857142857142857	0.80952380952381	0.833333333333333	0.976190476190476	0.857142857142857	0.952380952380953	0.880952380952381	0.904761904761905	0.904761904761905	0.904761904761905	0.904761904761905	0.952380952380953	0.904761904761905	0.880952380952381	0.898219696434944	0.922172221673209	0.952380952380953	0.857142857142857	0.880952380952381	0.928571428571429	0.833333333333333	0.826362120720149	0.778457070243618	0.946124746911475	0.826362120720149	0.880952380952381	0.826362120720149
Blastococcus	0.904761904761905	0.928571428571429	0.952380952380953	0.761904761904762	0.952380952380953	0.904761904761905	0.904761904761905	1	0.785714285714286	0.904761904761905	0.904761904761905	0.928571428571429	0.833333333333333	0.976190476190476	0.904761904761905	0.904761904761905	0.904761904761905	0.80952380952381	0.952380952380953	0.976190476190476	0.666666666666667	0.857142857142857	0.952380952380953	0.976190476190476	0.976190476190476	0.833333333333333	1	0.857142857142857	0.952380952380953	0.952380952380953	0.904761904761905	0.952380952380953	0.833333333333333	0.97007727214974	0.946124746911475	0.904761904761905	0.976190476190476	0.976190476190476	0.904761904761905	0.952380952380953	0.766480807624486	0.69462323190969	0.826362120720149	0.766480807624486	0.761904761904762	0.934148484292342
Pseudonocardia	0.761904761904762	0.857142857142857	0.738095238095238	0.619047619047619	0.738095238095238	0.761904761904762	0.833333333333333	0.785714285714286	1	0.619047619047619	0.690476190476191	0.785714285714286	0.619047619047619	0.690476190476191	0.690476190476191	0.690476190476191	0.690476190476191	0.738095238095238	0.738095238095238	0.690476190476191	0.80952380952381	0.571428571428572	0.80952380952381	0.690476190476191	0.833333333333333	0.619047619047619	0.785714285714286	0.642857142857143	0.880952380952381	0.738095238095238	0.690476190476191	0.880952380952381	0.619047619047619	0.754504545005353	0.874267171196679	0.690476190476191	0.690476190476191	0.761904761904762	0.761904761904762	0.666666666666667	0.658694444052292	0.586836868337497	0.898219696434944	0.658694444052292	0.904761904761905	0.610789393575762
Gaiella	0.952380952380953	0.904761904761905	0.976190476190476	0.928571428571429	0.976190476190476	0.952380952380953	0.880952380952381	0.904761904761905	0.619047619047619	1	0.952380952380953	0.904761904761905	0.952380952380953	0.952380952380953	0.952380952380953	0.952380952380953	0.952380952380953	0.904761904761905	0.976190476190476	0.952380952380953	0.642857142857143	0.904761904761905	0.904761904761905	0.952380952380953	0.928571428571429	0.928571428571429	0.904761904761905	0.976190476190476	0.857142857142857	0.976190476190476	0.928571428571429	0.857142857142857	0.928571428571429	0.850314645958414	0.850314645958414	0.928571428571429	0.952380952380953	0.857142857142857	0.952380952380953	0.904761904761905	0.874267171196679	0.802409595481884	0.754504545005353	0.874267171196679	0.761904761904762	0.922172221673209
