Sphingopyxis	g__Sarocladium	Sphingobium	Luteimonas	Ralstonia	g__Pseudogymnoascus	Sphingobacterium	Afipia	Methylobacterium	Oxalicibacterium
Sphingopyxis	1	0.976190476190476	0.952380952380953	0.833333333333333	0.952380952380953	0.833333333333333	0.976190476190476	0.880952380952381	0.904761904761905	0.886243433815812
g__Sarocladium	0.976190476190476	1	0.976190476190476	0.880952380952381	0.976190476190476	0.857142857142857	0.928571428571429	0.833333333333333	0.880952380952381	0.814385858101016
Sphingobium	0.952380952380953	0.976190476190476	1	0.904761904761905	0.928571428571429	0.904761904761905	0.904761904761905	0.857142857142857	0.904761904761905	0.850314645958414
Luteimonas	0.833333333333333	0.880952380952381	0.904761904761905	1	0.904761904761905	0.952380952380953	0.80952380952381	0.904761904761905	0.857142857142857	0.790433332862751
Ralstonia	0.952380952380953	0.976190476190476	0.928571428571429	0.904761904761905	1	0.833333333333333	0.904761904761905	0.857142857142857	0.833333333333333	0.778457070243618
g__Pseudogymnoascus	0.833333333333333	0.857142857142857	0.904761904761905	0.952380952380953	0.833333333333333	1	0.857142857142857	0.904761904761905	0.952380952380953	0.874267171196679
Sphingobacterium	0.976190476190476	0.928571428571429	0.904761904761905	0.80952380952381	0.904761904761905	0.857142857142857	1	0.904761904761905	0.952380952380953	0.934148484292342
Afipia	0.880952380952381	0.833333333333333	0.857142857142857	0.904761904761905	0.857142857142857	0.904761904761905	0.904761904761905	1	0.904761904761905	0.934148484292342
Methylobacterium	0.904761904761905	0.880952380952381	0.904761904761905	0.857142857142857	0.833333333333333	0.952380952380953	0.952380952380953	0.904761904761905	1	0.946124746911475
Oxalicibacterium	0.886243433815812	0.814385858101016	0.850314645958414	0.790433332862751	0.778457070243618	0.874267171196679	0.934148484292342	0.934148484292342	0.946124746911475	1
