Sphingopyxis	Stenotrophomonas	g__Pyrenochaetopsis	g__Sarocladium	Sphingobium	Achromobacter	Ralstonia	Brevundimonas	Nocardia	Sphingobacterium	Afipia	Methylobacterium	Pedomicrobium	Methylovirgula	Oxalicibacterium
Sphingopyxis	1	0.857142857142857	0.857142857142857	0.976190476190476	0.952380952380953	0.904761904761905	0.952380952380953	0.904761904761905	0.904761904761905	0.976190476190476	0.880952380952381	0.904761904761905	0.857142857142857	0.952380952380953	0.886243433815812
Stenotrophomonas	0.857142857142857	1	0.642857142857143	0.761904761904762	0.738095238095238	0.880952380952381	0.714285714285714	0.976190476190476	0.714285714285714	0.833333333333333	0.690476190476191	0.690476190476191	0.714285714285714	0.880952380952381	0.802409595481884
g__Pyrenochaetopsis	0.857142857142857	0.642857142857143	1	0.928571428571429	0.904761904761905	0.666666666666667	0.880952380952381	0.690476190476191	0.642857142857143	0.761904761904762	0.619047619047619	0.714285714285714	0.595238095238095	0.738095238095238	0.586836868337497
g__Sarocladium	0.976190476190476	0.761904761904762	0.928571428571429	1	0.976190476190476	0.857142857142857	0.976190476190476	0.833333333333333	0.857142857142857	0.928571428571429	0.833333333333333	0.880952380952381	0.80952380952381	0.880952380952381	0.814385858101016
Sphingobium	0.952380952380953	0.738095238095238	0.904761904761905	0.976190476190476	1	0.80952380952381	0.928571428571429	0.785714285714286	0.833333333333333	0.904761904761905	0.857142857142857	0.904761904761905	0.833333333333333	0.833333333333333	0.850314645958414
Achromobacter	0.904761904761905	0.880952380952381	0.666666666666667	0.857142857142857	0.80952380952381	1	0.880952380952381	0.952380952380953	0.880952380952381	0.880952380952381	0.833333333333333	0.761904761904762	0.785714285714286	0.857142857142857	0.850314645958414
Ralstonia	0.952380952380953	0.714285714285714	0.880952380952381	0.976190476190476	0.928571428571429	0.880952380952381	1	0.80952380952381	0.904761904761905	0.904761904761905	0.857142857142857	0.833333333333333	0.761904761904762	0.857142857142857	0.778457070243618
Brevundimonas	0.904761904761905	0.976190476190476	0.690476190476191	0.833333333333333	0.785714285714286	0.952380952380953	0.80952380952381	1	0.785714285714286	0.880952380952381	0.738095238095238	0.738095238095238	0.761904761904762	0.904761904761905	0.826362120720149
Nocardia	0.904761904761905	0.714285714285714	0.642857142857143	0.857142857142857	0.833333333333333	0.880952380952381	0.904761904761905	0.785714285714286	1	0.928571428571429	0.976190476190476	0.880952380952381	0.857142857142857	0.880952380952381	0.898219696434944
Sphingobacterium	0.976190476190476	0.833333333333333	0.761904761904762	0.928571428571429	0.904761904761905	0.880952380952381	0.904761904761905	0.880952380952381	0.928571428571429	1	0.904761904761905	0.952380952380953	0.928571428571429	0.976190476190476	0.934148484292342
Afipia	0.880952380952381	0.690476190476191	0.619047619047619	0.833333333333333	0.857142857142857	0.833333333333333	0.857142857142857	0.738095238095238	0.976190476190476	0.904761904761905	1	0.904761904761905	0.880952380952381	0.833333333333333	0.934148484292342
Methylobacterium	0.904761904761905	0.690476190476191	0.714285714285714	0.880952380952381	0.904761904761905	0.761904761904762	0.833333333333333	0.738095238095238	0.880952380952381	0.952380952380953	0.904761904761905	1	0.976190476190476	0.880952380952381	0.946124746911475
Pedomicrobium	0.857142857142857	0.714285714285714	0.595238095238095	0.80952380952381	0.833333333333333	0.785714285714286	0.761904761904762	0.761904761904762	0.857142857142857	0.928571428571429	0.880952380952381	0.976190476190476	1	0.857142857142857	0.97007727214974
Methylovirgula	0.952380952380953	0.880952380952381	0.738095238095238	0.880952380952381	0.833333333333333	0.857142857142857	0.857142857142857	0.904761904761905	0.880952380952381	0.976190476190476	0.833333333333333	0.880952380952381	0.857142857142857	1	0.874267171196679
Oxalicibacterium	0.886243433815812	0.802409595481884	0.586836868337497	0.814385858101016	0.850314645958414	0.850314645958414	0.778457070243618	0.826362120720149	0.898219696434944	0.934148484292342	0.934148484292342	0.946124746911475	0.97007727214974	0.874267171196679	1
