Sorangium	Bacillus	Blastococcus	Paenibacillus	Sporosarcina	Nitrospira	Cellvibrio	Peredibacter	Ramlibacter	Ohtaekwangia	Nannocystis	Methyloceanibacter	Streptosporangium	Pyxidicoccus	Amaricoccus	Adhaeribacter	Nitrincola	Lautropia	Geodermatophilus	Tumebacillus	Rubrobacter	Saccharomonospora	Luteivirga	Nakamurella	Sandaracinus	Armatimonadetes_gp5
Sorangium	1	0.976190476190476	0.928571428571429	0.952380952380953	0.952380952380953	0.904761904761905	0.976190476190476	0.928571428571429	0.928571428571429	0.814385858101016	0.928571428571429	0.952380952380953	0.904761904761905	0.80952380952381	0.928571428571429	0.898219696434944	0.922172221673209	0.904761904761905	0.785714285714286	0.904761904761905	0.904761904761905	0.738095238095238	0.976190476190476	0.880952380952381	0.946124746911475	0.862290908577547
Bacillus	0.976190476190476	1	0.904761904761905	0.928571428571429	0.976190476190476	0.857142857142857	0.952380952380953	0.904761904761905	0.904761904761905	0.778457070243618	0.904761904761905	0.904761904761905	0.952380952380953	0.833333333333333	0.904761904761905	0.898219696434944	0.922172221673209	0.952380952380953	0.833333333333333	0.857142857142857	0.880952380952381	0.833333333333333	0.928571428571429	0.833333333333333	0.946124746911475	0.826362120720149
Blastococcus	0.928571428571429	0.904761904761905	1	0.928571428571429	0.952380952380953	0.976190476190476	0.976190476190476	1	0.857142857142857	0.874267171196679	0.952380952380953	0.952380952380953	0.904761904761905	0.904761904761905	0.952380952380953	0.97007727214974	0.946124746911475	0.904761904761905	0.785714285714286	0.976190476190476	0.976190476190476	0.714285714285714	0.904761904761905	0.952380952380953	0.826362120720149	0.934148484292342
Paenibacillus	0.952380952380953	0.928571428571429	0.928571428571429	1	0.952380952380953	0.904761904761905	0.976190476190476	0.928571428571429	0.880952380952381	0.874267171196679	0.952380952380953	0.952380952380953	0.904761904761905	0.738095238095238	0.952380952380953	0.850314645958414	0.946124746911475	0.904761904761905	0.80952380952381	0.904761904761905	0.857142857142857	0.738095238095238	0.928571428571429	0.833333333333333	0.826362120720149	0.814385858101016
Sporosarcina	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	1	0.904761904761905	0.976190476190476	0.952380952380953	0.880952380952381	0.862290908577547	0.952380952380953	0.928571428571429	0.976190476190476	0.857142857142857	0.952380952380953	0.922172221673209	0.97007727214974	0.976190476190476	0.880952380952381	0.904761904761905	0.904761904761905	0.857142857142857	0.904761904761905	0.857142857142857	0.874267171196679	0.850314645958414
Nitrospira	0.904761904761905	0.857142857142857	0.976190476190476	0.904761904761905	0.904761904761905	1	0.952380952380953	0.976190476190476	0.904761904761905	0.850314645958414	0.904761904761905	0.976190476190476	0.880952380952381	0.833333333333333	0.904761904761905	0.934148484292342	0.886243433815812	0.880952380952381	0.690476190476191	1	0.952380952380953	0.690476190476191	0.928571428571429	0.976190476190476	0.766480807624486	0.97007727214974
Cellvibrio	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	0.976190476190476	0.952380952380953	1	0.976190476190476	0.904761904761905	0.898219696434944	0.976190476190476	0.976190476190476	0.928571428571429	0.833333333333333	0.976190476190476	0.922172221673209	0.97007727214974	0.928571428571429	0.833333333333333	0.952380952380953	0.928571428571429	0.761904761904762	0.952380952380953	0.904761904761905	0.874267171196679	0.886243433815812
Peredibacter	0.928571428571429	0.904761904761905	1	0.928571428571429	0.952380952380953	0.976190476190476	0.976190476190476	1	0.857142857142857	0.874267171196679	0.952380952380953	0.952380952380953	0.904761904761905	0.904761904761905	0.952380952380953	0.97007727214974	0.946124746911475	0.904761904761905	0.785714285714286	0.976190476190476	0.976190476190476	0.714285714285714	0.904761904761905	0.952380952380953	0.826362120720149	0.934148484292342
Ramlibacter	0.928571428571429	0.904761904761905	0.857142857142857	0.880952380952381	0.880952380952381	0.904761904761905	0.904761904761905	0.857142857142857	1	0.730552019767088	0.80952380952381	0.952380952380953	0.904761904761905	0.690476190476191	0.80952380952381	0.826362120720149	0.802409595481884	0.904761904761905	0.642857142857143	0.904761904761905	0.833333333333333	0.785714285714286	0.976190476190476	0.880952380952381	0.826362120720149	0.898219696434944
Ohtaekwangia	0.814385858101016	0.778457070243618	0.874267171196679	0.874267171196679	0.862290908577547	0.850314645958414	0.898219696434944	0.874267171196679	0.730552019767088	1	0.958101009530607	0.874267171196679	0.802409595481884	0.682646969290558	0.958101009530607	0.753012048192771	0.94578313253012	0.802409595481884	0.898219696434944	0.850314645958414	0.766480807624486	0.718575757147955	0.790433332862751	0.742528282386221	0.668674698795181	0.716867469879518
Nannocystis	0.928571428571429	0.904761904761905	0.952380952380953	0.952380952380953	0.952380952380953	0.904761904761905	0.976190476190476	0.952380952380953	0.80952380952381	0.958101009530607	1	0.928571428571429	0.880952380952381	0.80952380952381	1	0.874267171196679	0.994029797388005	0.880952380952381	0.904761904761905	0.904761904761905	0.880952380952381	0.738095238095238	0.880952380952381	0.833333333333333	0.826362120720149	0.802409595481884
Methyloceanibacter	0.952380952380953	0.904761904761905	0.952380952380953	0.952380952380953	0.928571428571429	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.874267171196679	0.928571428571429	1	0.904761904761905	0.761904761904762	0.928571428571429	0.886243433815812	0.910195959054077	0.904761904761905	0.738095238095238	0.976190476190476	0.904761904761905	0.738095238095238	0.976190476190476	0.928571428571429	0.814385858101016	0.922172221673209
Streptosporangium	0.904761904761905	0.952380952380953	0.904761904761905	0.904761904761905	0.976190476190476	0.880952380952381	0.928571428571429	0.904761904761905	0.904761904761905	0.802409595481884	0.880952380952381	0.904761904761905	1	0.80952380952381	0.880952380952381	0.886243433815812	0.910195959054077	1	0.833333333333333	0.880952380952381	0.857142857142857	0.928571428571429	0.880952380952381	0.833333333333333	0.814385858101016	0.850314645958414
Pyxidicoccus	0.80952380952381	0.833333333333333	0.904761904761905	0.738095238095238	0.857142857142857	0.833333333333333	0.833333333333333	0.904761904761905	0.690476190476191	0.682646969290558	0.80952380952381	0.761904761904762	0.80952380952381	1	0.80952380952381	0.97007727214974	0.826362120720149	0.80952380952381	0.714285714285714	0.833333333333333	0.952380952380953	0.642857142857143	0.738095238095238	0.880952380952381	0.826362120720149	0.862290908577547
Amaricoccus	0.928571428571429	0.904761904761905	0.952380952380953	0.952380952380953	0.952380952380953	0.904761904761905	0.976190476190476	0.952380952380953	0.80952380952381	0.958101009530607	1	0.928571428571429	0.880952380952381	0.80952380952381	1	0.874267171196679	0.994029797388005	0.880952380952381	0.904761904761905	0.904761904761905	0.880952380952381	0.738095238095238	0.880952380952381	0.833333333333333	0.826362120720149	0.802409595481884
Adhaeribacter	0.898219696434944	0.898219696434944	0.97007727214974	0.850314645958414	0.922172221673209	0.934148484292342	0.922172221673209	0.97007727214974	0.826362120720149	0.753012048192771	0.874267171196679	0.886243433815812	0.886243433815812	0.97007727214974	0.874267171196679	1	0.879518072289157	0.886243433815812	0.718575757147955	0.934148484292342	0.994029797388005	0.69462323190969	0.862290908577547	0.958101009530607	0.855421686746988	0.94578313253012
Nitrincola	0.922172221673209	0.922172221673209	0.946124746911475	0.946124746911475	0.97007727214974	0.886243433815812	0.97007727214974	0.946124746911475	0.802409595481884	0.94578313253012	0.994029797388005	0.910195959054077	0.910195959054077	0.826362120720149	0.994029797388005	0.879518072289157	1	0.910195959054077	0.934148484292342	0.886243433815812	0.874267171196679	0.790433332862751	0.862290908577547	0.814385858101016	0.831325301204819	0.789156626506024
Lautropia	0.904761904761905	0.952380952380953	0.904761904761905	0.904761904761905	0.976190476190476	0.880952380952381	0.928571428571429	0.904761904761905	0.904761904761905	0.802409595481884	0.880952380952381	0.904761904761905	1	0.80952380952381	0.880952380952381	0.886243433815812	0.910195959054077	1	0.833333333333333	0.880952380952381	0.857142857142857	0.928571428571429	0.880952380952381	0.833333333333333	0.814385858101016	0.850314645958414
Geodermatophilus	0.785714285714286	0.833333333333333	0.785714285714286	0.80952380952381	0.880952380952381	0.690476190476191	0.833333333333333	0.785714285714286	0.642857142857143	0.898219696434944	0.904761904761905	0.738095238095238	0.833333333333333	0.714285714285714	0.904761904761905	0.718575757147955	0.934148484292342	0.833333333333333	1	0.690476190476191	0.690476190476191	0.833333333333333	0.690476190476191	0.595238095238095	0.742528282386221	0.574860605718364
Tumebacillus	0.904761904761905	0.857142857142857	0.976190476190476	0.904761904761905	0.904761904761905	1	0.952380952380953	0.976190476190476	0.904761904761905	0.850314645958414	0.904761904761905	0.976190476190476	0.880952380952381	0.833333333333333	0.904761904761905	0.934148484292342	0.886243433815812	0.880952380952381	0.690476190476191	1	0.952380952380953	0.690476190476191	0.928571428571429	0.976190476190476	0.766480807624486	0.97007727214974
Rubrobacter	0.904761904761905	0.880952380952381	0.976190476190476	0.857142857142857	0.904761904761905	0.952380952380953	0.928571428571429	0.976190476190476	0.833333333333333	0.766480807624486	0.880952380952381	0.904761904761905	0.857142857142857	0.952380952380953	0.880952380952381	0.994029797388005	0.874267171196679	0.857142857142857	0.690476190476191	0.952380952380953	1	0.642857142857143	0.880952380952381	0.976190476190476	0.850314645958414	0.958101009530607
Saccharomonospora	0.738095238095238	0.833333333333333	0.714285714285714	0.738095238095238	0.857142857142857	0.690476190476191	0.761904761904762	0.714285714285714	0.785714285714286	0.718575757147955	0.738095238095238	0.738095238095238	0.928571428571429	0.642857142857143	0.738095238095238	0.69462323190969	0.790433332862751	0.928571428571429	0.833333333333333	0.690476190476191	0.642857142857143	1	0.714285714285714	0.619047619047619	0.670670706671425	0.658694444052292
Luteivirga	0.976190476190476	0.928571428571429	0.904761904761905	0.928571428571429	0.904761904761905	0.928571428571429	0.952380952380953	0.904761904761905	0.976190476190476	0.790433332862751	0.880952380952381	0.976190476190476	0.880952380952381	0.738095238095238	0.880952380952381	0.862290908577547	0.862290908577547	0.880952380952381	0.690476190476191	0.928571428571429	0.880952380952381	0.714285714285714	1	0.904761904761905	0.886243433815812	0.898219696434944
Nakamurella	0.880952380952381	0.833333333333333	0.952380952380953	0.833333333333333	0.857142857142857	0.976190476190476	0.904761904761905	0.952380952380953	0.880952380952381	0.742528282386221	0.833333333333333	0.928571428571429	0.833333333333333	0.880952380952381	0.833333333333333	0.958101009530607	0.814385858101016	0.833333333333333	0.595238095238095	0.976190476190476	0.976190476190476	0.619047619047619	0.904761904761905	1	0.790433332862751	0.994029797388005
Sandaracinus	0.946124746911475	0.946124746911475	0.826362120720149	0.826362120720149	0.874267171196679	0.766480807624486	0.874267171196679	0.826362120720149	0.826362120720149	0.668674698795181	0.826362120720149	0.814385858101016	0.814385858101016	0.826362120720149	0.826362120720149	0.855421686746988	0.831325301204819	0.814385858101016	0.742528282386221	0.766480807624486	0.850314645958414	0.670670706671425	0.886243433815812	0.790433332862751	1	0.765060240963855
Armatimonadetes_gp5	0.862290908577547	0.826362120720149	0.934148484292342	0.814385858101016	0.850314645958414	0.97007727214974	0.886243433815812	0.934148484292342	0.898219696434944	0.716867469879518	0.802409595481884	0.922172221673209	0.850314645958414	0.862290908577547	0.802409595481884	0.94578313253012	0.789156626506024	0.850314645958414	0.574860605718364	0.97007727214974	0.958101009530607	0.658694444052292	0.898219696434944	0.994029797388005	0.765060240963855	1
