Steroidobacter	Arthrobacter	Umezawaea	Shinella	Lysobacter	Solirubrobacter	Cellulomonas	Bradyrhizobium	Amycolatopsis	Galbitalea	Gaiella	Conexibacter	Micromonospora	Terrabacter	Dactylosporangium	Rudaibacter	Aquabacterium	Phenylobacterium	Polaromonas	Chryseolinea	Hyphomicrobium	Ideonella	Marmoricola	Geobacter	Gemmatimonas	Dongia	Aquihabitans	Haliangium	Rhizocola	g__Apodus	Asticcacaulis	Kinneretia	Ilumatobacter	Arenimonas	Curtobacterium	Catellatospora	Aquimonas	Pseudolabrys	Ramlibacter	Chitinimonas	Methyloceanibacter	Povalibacter	Variibacter	Parachlamydia	Thiomonas	Halobacteriovorax	Ardenticatena	Chelativorans	Luteivirga	Roseiflexus	Sanguibacter	Tahibacter	Sulfurisoma	Methylosinus	Aciditerrimonas	Skermanella	Sneathiella	Terrimonas
Steroidobacter	1	0.857142857142857	0.976190476190476	0.857142857142857	0.857142857142857	0.880952380952381	0.904761904761905	0.976190476190476	0.952380952380953	0.952380952380953	0.904761904761905	0.928571428571429	0.928571428571429	0.904761904761905	0.976190476190476	0.928571428571429	0.857142857142857	0.857142857142857	0.904761904761905	0.952380952380953	0.952380952380953	0.904761904761905	0.904761904761905	0.952380952380953	0.904761904761905	0.976190476190476	0.952380952380953	0.880952380952381	1	0.946124746911475	0.857142857142857	0.904761904761905	0.952380952380953	0.952380952380953	0.857142857142857	0.880952380952381	0.857142857142857	0.976190476190476	0.928571428571429	0.952380952380953	0.880952380952381	0.880952380952381	0.928571428571429	0.857142857142857	1	0.952380952380953	0.952380952380953	0.857142857142857	0.904761904761905	0.862290908577547	0.922172221673209	0.850314645958414	0.922172221673209	0.874267171196679	0.838338383339281	0.862290908577547	0.862290908577547	0.862290908577547
Arthrobacter	0.857142857142857	1	0.833333333333333	0.690476190476191	0.595238095238095	0.928571428571429	0.857142857142857	0.928571428571429	0.738095238095238	0.80952380952381	0.952380952380953	0.976190476190476	0.785714285714286	0.952380952380953	0.761904761904762	0.785714285714286	0.904761904761905	0.833333333333333	0.619047619047619	0.80952380952381	0.904761904761905	0.952380952380953	0.952380952380953	0.904761904761905	0.952380952380953	0.928571428571429	0.80952380952381	0.928571428571429	0.857142857142857	0.874267171196679	0.904761904761905	0.714285714285714	0.904761904761905	0.80952380952381	0.619047619047619	0.833333333333333	0.642857142857143	0.928571428571429	0.880952380952381	0.785714285714286	0.928571428571429	0.833333333333333	0.904761904761905	0.571428571428572	0.857142857142857	0.738095238095238	0.904761904761905	0.785714285714286	0.857142857142857	0.850314645958414	0.778457070243618	0.682646969290558	0.778457070243618	0.706599494528823	0.826362120720149	0.850314645958414	0.850314645958414	0.850314645958414
Umezawaea	0.976190476190476	0.833333333333333	1	0.833333333333333	0.785714285714286	0.904761904761905	0.952380952380953	0.928571428571429	0.976190476190476	0.904761904761905	0.928571428571429	0.904761904761905	0.904761904761905	0.880952380952381	0.952380952380953	0.904761904761905	0.80952380952381	0.928571428571429	0.857142857142857	0.904761904761905	0.880952380952381	0.880952380952381	0.880952380952381	0.904761904761905	0.880952380952381	0.928571428571429	0.976190476190476	0.904761904761905	0.976190476190476	0.898219696434944	0.785714285714286	0.833333333333333	0.904761904761905	0.904761904761905	0.785714285714286	0.952380952380953	0.833333333333333	0.928571428571429	0.976190476190476	0.928571428571429	0.904761904761905	0.952380952380953	0.857142857142857	0.904761904761905	0.976190476190476	0.976190476190476	0.904761904761905	0.761904761904762	0.952380952380953	0.778457070243618	0.97007727214974	0.922172221673209	0.97007727214974	0.826362120720149	0.730552019767088	0.778457070243618	0.778457070243618	0.778457070243618
Shinella	0.857142857142857	0.690476190476191	0.833333333333333	1	0.904761904761905	0.666666666666667	0.690476190476191	0.833333333333333	0.904761904761905	0.714285714285714	0.761904761904762	0.785714285714286	0.738095238095238	0.690476190476191	0.928571428571429	0.738095238095238	0.80952380952381	0.80952380952381	0.857142857142857	0.714285714285714	0.785714285714286	0.690476190476191	0.690476190476191	0.738095238095238	0.690476190476191	0.833333333333333	0.738095238095238	0.666666666666667	0.857142857142857	0.766480807624486	0.595238095238095	0.928571428571429	0.738095238095238	0.714285714285714	0.880952380952381	0.714285714285714	0.619047619047619	0.833333333333333	0.785714285714286	0.738095238095238	0.666666666666667	0.714285714285714	0.880952380952381	0.80952380952381	0.857142857142857	0.904761904761905	0.738095238095238	0.785714285714286	0.690476190476191	0.718575757147955	0.718575757147955	0.622765656194895	0.718575757147955	0.622765656194895	0.670670706671425	0.718575757147955	0.718575757147955	0.718575757147955
Lysobacter	0.857142857142857	0.595238095238095	0.785714285714286	0.904761904761905	1	0.571428571428572	0.619047619047619	0.80952380952381	0.857142857142857	0.833333333333333	0.619047619047619	0.690476190476191	0.833333333333333	0.642857142857143	0.928571428571429	0.833333333333333	0.666666666666667	0.619047619047619	0.976190476190476	0.833333333333333	0.833333333333333	0.642857142857143	0.642857142857143	0.761904761904762	0.642857142857143	0.80952380952381	0.738095238095238	0.571428571428572	0.857142857142857	0.742528282386221	0.690476190476191	0.976190476190476	0.761904761904762	0.833333333333333	0.880952380952381	0.619047619047619	0.80952380952381	0.80952380952381	0.666666666666667	0.761904761904762	0.571428571428572	0.619047619047619	0.833333333333333	0.833333333333333	0.857142857142857	0.857142857142857	0.761904761904762	0.761904761904762	0.619047619047619	0.754504545005353	0.718575757147955	0.622765656194895	0.718575757147955	0.790433332862751	0.778457070243618	0.754504545005353	0.754504545005353	0.754504545005353
Solirubrobacter	0.880952380952381	0.928571428571429	0.904761904761905	0.666666666666667	0.571428571428572	1	0.976190476190476	0.904761904761905	0.80952380952381	0.833333333333333	0.976190476190476	0.952380952380953	0.761904761904762	0.976190476190476	0.785714285714286	0.761904761904762	0.857142857142857	0.904761904761905	0.642857142857143	0.833333333333333	0.833333333333333	0.976190476190476	0.976190476190476	0.928571428571429	0.976190476190476	0.904761904761905	0.928571428571429	1	0.880952380952381	0.898219696434944	0.833333333333333	0.642857142857143	0.928571428571429	0.833333333333333	0.595238095238095	0.904761904761905	0.714285714285714	0.904761904761905	0.952380952380953	0.880952380952381	1	0.904761904761905	0.833333333333333	0.690476190476191	0.880952380952381	0.80952380952381	0.928571428571429	0.714285714285714	0.976190476190476	0.850314645958414	0.874267171196679	0.802409595481884	0.874267171196679	0.682646969290558	0.778457070243618	0.850314645958414	0.850314645958414	0.850314645958414
Cellulomonas	0.904761904761905	0.857142857142857	0.952380952380953	0.690476190476191	0.619047619047619	0.976190476190476	1	0.880952380952381	0.880952380952381	0.857142857142857	0.952380952380953	0.904761904761905	0.80952380952381	0.928571428571429	0.833333333333333	0.80952380952381	0.785714285714286	0.928571428571429	0.714285714285714	0.857142857142857	0.80952380952381	0.928571428571429	0.928571428571429	0.904761904761905	0.928571428571429	0.880952380952381	0.976190476190476	0.976190476190476	0.904761904761905	0.874267171196679	0.785714285714286	0.666666666666667	0.904761904761905	0.857142857142857	0.619047619047619	0.952380952380953	0.785714285714286	0.880952380952381	0.976190476190476	0.904761904761905	0.976190476190476	0.952380952380953	0.785714285714286	0.80952380952381	0.904761904761905	0.880952380952381	0.904761904761905	0.666666666666667	1	0.790433332862751	0.946124746911475	0.898219696434944	0.946124746911475	0.730552019767088	0.718575757147955	0.790433332862751	0.790433332862751	0.790433332862751
Bradyrhizobium	0.976190476190476	0.928571428571429	0.928571428571429	0.833333333333333	0.80952380952381	0.904761904761905	0.880952380952381	1	0.880952380952381	0.928571428571429	0.928571428571429	0.976190476190476	0.880952380952381	0.952380952380953	0.928571428571429	0.880952380952381	0.928571428571429	0.833333333333333	0.833333333333333	0.928571428571429	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	1	0.904761904761905	0.904761904761905	0.976190476190476	0.97007727214974	0.904761904761905	0.880952380952381	0.976190476190476	0.928571428571429	0.833333333333333	0.833333333333333	0.785714285714286	1	0.904761904761905	0.928571428571429	0.904761904761905	0.833333333333333	0.976190476190476	0.738095238095238	0.976190476190476	0.880952380952381	0.976190476190476	0.904761904761905	0.880952380952381	0.922172221673209	0.850314645958414	0.754504545005353	0.850314645958414	0.826362120720149	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Amycolatopsis	0.952380952380953	0.738095238095238	0.976190476190476	0.904761904761905	0.857142857142857	0.80952380952381	0.880952380952381	0.880952380952381	1	0.857142857142857	0.857142857142857	0.833333333333333	0.880952380952381	0.785714285714286	0.976190476190476	0.880952380952381	0.761904761904762	0.904761904761905	0.904761904761905	0.857142857142857	0.833333333333333	0.785714285714286	0.785714285714286	0.833333333333333	0.785714285714286	0.880952380952381	0.928571428571429	0.80952380952381	0.952380952380953	0.838338383339281	0.690476190476191	0.880952380952381	0.833333333333333	0.857142857142857	0.833333333333333	0.904761904761905	0.80952380952381	0.880952380952381	0.928571428571429	0.880952380952381	0.80952380952381	0.904761904761905	0.833333333333333	0.952380952380953	0.952380952380953	1	0.833333333333333	0.738095238095238	0.880952380952381	0.718575757147955	0.934148484292342	0.886243433815812	0.934148484292342	0.790433332862751	0.670670706671425	0.718575757147955	0.718575757147955	0.718575757147955
Galbitalea	0.952380952380953	0.80952380952381	0.904761904761905	0.714285714285714	0.833333333333333	0.833333333333333	0.857142857142857	0.928571428571429	0.857142857142857	1	0.80952380952381	0.857142857142857	0.952380952380953	0.880952380952381	0.904761904761905	0.952380952380953	0.738095238095238	0.714285714285714	0.904761904761905	1	0.952380952380953	0.880952380952381	0.880952380952381	0.952380952380953	0.880952380952381	0.928571428571429	0.928571428571429	0.833333333333333	0.952380952380953	0.898219696434944	0.928571428571429	0.857142857142857	0.952380952380953	1	0.761904761904762	0.80952380952381	0.952380952380953	0.928571428571429	0.833333333333333	0.928571428571429	0.833333333333333	0.80952380952381	0.857142857142857	0.80952380952381	0.952380952380953	0.857142857142857	0.952380952380953	0.785714285714286	0.857142857142857	0.874267171196679	0.898219696434944	0.826362120720149	0.898219696434944	0.946124746911475	0.898219696434944	0.874267171196679	0.874267171196679	0.874267171196679
